Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.3147967	0.3392396	1.7725544	0.044180907	500.0	-0.17450973	0.032291535	-0.13982967	-0.33990198	16000	-2.2351742e-08	0.040990002	-0.005256707	-0.035876986	1.3564423	0.0055183573	0.038000003	127.0	30.362009286880493	0.0	0.0	0.0	0.0	0.0
1	0.69743294	0.80595237	2.949093	0.03504631	500.0	0.01993563	0.032968264	0.08836367	-0.091607794	32000	2.4214387e-08	0.027597548	-0.0074357837	-0.010572379	1.3564423	0.0047051427	0.0759375	127.0	57.12316131591797	0.0	0.0	0.0	0.0	0.0
2	1.8305583	1.7998011	6.1226788	0.11196857	500.0	0.1758464	0.05846999	0.33892322	-0.027213182	48000	-3.7252903e-08	0.13787216	-0.0076631415	-0.04175991	1.3564423	0.006589039	0.0705	127.0	85.47687816619873	0.0	0.0	0.0	0.0	0.0
3	2.589109	2.4045181	9.814623	0.26396462	500.0	0.41081372	0.098874986	0.7986102	0.113543645	64000	-1.4901161e-08	0.18986872	-0.008409781	-0.07047934	1.3564423	0.0067174407	0.0823125	127.0	112.56892490386963	0.0	0.0	0.0	0.0	0.0
4	5.713835	4.045805	16.779243	0.46997926	500.0	0.80682886	0.21997032	1.3457947	0.21155968	80000	1.1175871e-08	0.76605463	-0.008518309	-0.33912227	1.3564423	0.0067323633	0.087	127.0	141.69347667694092	0.0	0.0	0.0	0.0	0.0
5	12.31624	8.090913	36.477905	1.593963	500.0	1.4776973	0.46181646	2.711353	0.03543926	96000	0.0	4.2088428	-0.0086719915	-2.0214627	1.3564423	0.005055124	0.0705625	127.0	162.39758586883545	0.0	0.03125	0.0	0.0	0.0
6	12.945251	7.2373405	31.82638	1.798326	500.0	2.9258866	0.8461194	4.700304	0.28748032	112000	-1.6763806e-08	2.1771023	-0.007828637	-0.38684136	1.3564423	0.006407731	0.07268751	127.0	182.71983289718628	0.0	0.0	0.0	0.0	0.0
7	20.264551	8.386211	53.56786	5.5576477	500.0	3.474254	1.1964387	5.519343	-0.72394353	128000	-2.2351742e-08	5.843891	-0.00837413	-2.0068464	1.3564423	0.0067904415	0.081999995	127.0	203.31996035575867	0.0	0.0625	0.0	0.0	0.0
8	25.83812	10.5300045	60.471905	10.554115	500.0	5.1760993	1.6116879	7.479687	-0.55334496	144000	2.6077032e-08	7.054145	-0.0089573115	-1.0754402	1.3564423	0.008424515	0.081125006	127.0	224.75271344184875	0.0	0.03125	0.0	0.0	0.0
9	31.916426	10.85363	80.8333	17.305243	500.0	6.377283	1.6306455	8.472776	-0.018059585	160000	-3.7252903e-09	7.532543	-0.008722512	-1.1799337	1.3564423	0.0056263963	0.0743125	127.0	245.65070819854736	0.0	0.0625	0.0	0.0	0.0
10	29.1397	7.888356	50.888733	16.100887	500.0	7.5307145	1.6954402	9.219162	0.9323704	176000	-2.0489097e-08	4.5854416	-0.008171354	-0.63625026	1.3564423	0.006264113	0.05	127.0	269.5342676639557	0.0	0.0625	0.0	0.0	0.0
11	35.888443	12.258692	78.78739	18.316124	500.0	6.9930096	1.3633277	8.437551	1.2610102	192000	3.3527613e-08	9.489183	-0.009878123	-1.5014863	1.3564423	0.008340915	0.077750005	127.0	293.6578149795532	0.0	0.3125	0.0	0.0	0.0
12	40.22254	12.987375	86.47768	22.709105	500.0	8.259375	1.401093	9.448238	0.7349585	208000	-1.1175871e-08	8.90683	-0.00762399	-0.63250303	1.3564423	0.004952346	0.0585	127.0	315.3347136974335	0.0	0.15625	0.0	0.0	0.0
13	39.49299	9.228697	60.98026	24.087296	500.0	8.992075	1.2472258	10.010242	2.429167	224000	-7.450581e-09	4.826463	-0.010233633	-0.12974003	1.3564423	0.008957998	0.085374996	127.0	334.60426115989685	0.0	0.21875	0.0	0.0	0.0
14	47.318592	12.84373	87.53867	30.068678	500.0	8.974573	1.2583612	9.85908	1.8502028	240000	-1.4901161e-08	11.08561	-0.00992509	-2.0764704	1.3564423	0.008484891	0.082625	127.0	356.85716104507446	0.0	0.46875	0.0	0.0	0.0
15	50.56703	13.028546	89.54956	32.92156	500.0	10.353092	1.5283227	11.364334	1.7439541	256000	-1.1175871e-08	11.116684	-0.008272041	-1.2484466	1.3564423	0.007905376	0.0718125	127.0	378.8097379207611	0.0	0.4375	0.0	0.0	0.0
16	47.63742	9.557592	91.5284	36.166676	500.0	11.217869	1.788241	12.473195	1.3284006	272000	7.450581e-09	5.457557	-0.007754165	-0.28361925	1.3564423	0.006923218	0.05375	127.0	399.2105293273926	0.0	0.4375	0.0	0.0	0.0
17	49.74034	9.868953	80.85577	27.256245	500.0	10.884069	1.5001073	12.025081	3.1969965	288000	-1.1175871e-08	5.9019747	-0.010081989	-0.2657758	1.3564423	0.008405909	0.083124995	127.0	421.2930941581726	0.0	0.4375	0.0	0.0	0.0
18	55.68134	14.423836	105.94917	37.34486	500.0	11.123336	1.546145	12.431785	3.2794344	304000	0.0	10.648876	-0.0090336315	-1.3018551	1.3564423	0.009056207	0.086125	127.0	443.75233936309814	0.0	0.53125	0.0	0.0	0.0
19	50.514748	7.7237315	69.69663	32.333046	500.0	12.162292	1.4531845	13.23182	3.8786411	320000	1.8626451e-08	3.1398764	-0.0099436715	-0.7933911	1.3564423	0.007950039	0.0843125	127.0	465.7110004425049	0.0	0.3125	0.0	0.0	0.0
20	55.887047	12.676953	104.015526	32.97632	500.0	11.435683	1.5711808	12.926761	3.042123	336000	-5.5879354e-09	9.375408	-0.008948165	-1.2138574	1.3564423	0.007563414	0.089999996	127.0	491.45898056030273	0.0	0.59375	0.0	0.0	0.0
21	59.316162	18.599031	113.51742	40.561882	500.0	12.018888	1.755255	13.676113	3.3926065	352000	-2.6077032e-08	17.982208	-0.008605852	-1.2521793	1.3564423	0.0077428957	0.0849375	127.0	515.2761573791504	0.0	0.5	0.0	0.0	0.0
22	59.178123	20.448145	117.95156	39.620575	500.0	12.708084	1.7667723	14.570904	3.919565	368000	7.450581e-09	19.711926	-0.0090530375	-1.5119107	1.3564423	0.009056096	0.0958125	127.0	536.7811243534088	0.0	0.4375	0.0	0.0	0.0
23	53.379135	9.46931	75.597565	35.609615	500.0	12.478278	2.7006204	15.243405	-5.104038	384000	-1.4901161e-08	7.9220357	-0.010018207	-3.1934395	1.3564423	0.007096476	0.081	127.0	557.25754570961	0.0	0.4375	0.0	0.0	0.0
24	67.85205	26.412537	129.695	41.699467	500.0	12.08899	1.9212016	14.014175	2.651068	400000	2.2351742e-08	34.096195	-0.00980022	-7.261855	1.3564423	0.010801979	0.100687504	127.0	580.629968881607	0.0	0.625	0.0	0.0	0.0
25	62.308346	17.616959	115.27856	44.78337	500.0	14.368372	1.9467424	16.296764	2.6733487	416000	-1.8626451e-08	17.525557	-0.009667926	-1.5577006	1.3564423	0.0078337025	0.083000004	127.0	602.7269740104675	0.0	0.65625	0.0	0.0	0.0
26	58.687897	14.789237	105.70247	30.050638	500.0	13.7454405	2.6210597	16.021908	-0.03714687	432000	-1.8626451e-09	12.567223	-0.009080227	-1.0528617	1.3564423	0.007818713	0.079312496	127.0	623.165020942688	0.0	0.90625	0.0	0.0	0.0
27	60.55672	15.806949	104.13675	41.976013	500.0	13.105679	2.0343611	15.529822	3.9371572	448000	1.8626451e-09	13.788842	-0.010206588	-0.7398564	1.3564423	0.008961279	0.09275	127.0	644.4375820159912	0.0	0.78125	0.0	0.0	0.0
28	65.44599	20.33099	144.14304	43.005005	500.0	13.300084	2.0262494	15.660051	3.1997492	464000	3.7252903e-09	20.868637	-0.0100687	-1.5597894	1.3564423	0.007612579	0.0819375	127.0	664.848504781723	0.0	0.78125	0.03125	0.0	0.0
29	70.23065	18.70531	120.853584	42.945545	500.0	14.42126	1.9434737	16.329102	4.0175414	480000	-2.2351742e-08	18.588764	-0.008694362	-2.8654742	1.3564423	0.008202903	0.0769375	127.0	685.9209380149841	0.0	0.84375	0.0	0.0	0.0
30	67.46521	20.085913	127.23898	47.573692	500.0	15.1797285	2.1917849	17.520422	2.2733085	496000	7.450581e-09	20.154577	-0.008709965	-1.2603486	1.3564423	0.007787233	0.0748125	127.0	709.4737718105316	0.0	0.96875	0.0	0.0	0.0
31	69.85628	27.792917	136.95908	45.189636	500.0	14.897979	2.3593347	17.448507	3.8294153	512000	3.1664968e-08	30.977474	-0.008793927	-1.7374089	1.3564423	0.008844934	0.082875	127.0	733.5102159976959	0.0	0.71875	0.0	0.0	0.0
32	66.86781	16.843756	109.17071	44.448044	500.0	14.985131	2.854489	18.114805	-7.086613	528000	7.450581e-09	19.40223	-0.01025039	-2.5603096	1.3564423	0.0071824556	0.0855625	127.0	755.7253661155701	0.0	0.90625	0.0	0.0	0.0
33	60.449787	15.266974	103.86944	39.030758	500.0	14.568695	2.892099	17.673279	-8.187148	544000	2.9802322e-08	15.792399	-0.009694604	-2.7969022	1.3564423	0.007421446	0.0820625	127.0	775.8309350013733	0.0	0.75	0.0	0.0	0.0
34	65.17007	20.78255	125.736084	42.1654	500.0	14.042805	2.0552616	16.777885	5.757822	560000	-5.5879354e-09	23.340664	-0.00976585	-2.0942981	1.3564423	0.008778816	0.075	127.0	795.973060131073	0.0	0.75	0.0	0.0	0.0
35	78.33177	26.162361	133.52417	42.841164	500.0	14.078449	2.011516	16.881926	1.8902104	576000	-7.450581e-09	42.71308	-0.009769539	-10.476217	1.3564423	0.008208511	0.08075	127.0	820.3865885734558	0.0	0.875	0.0	0.0	0.0
36	68.35826	26.07424	132.11653	38.223087	500.0	16.535223	2.376156	19.068142	5.405998	592000	1.1175871e-08	30.458858	-0.009050686	-4.1619186	1.3564423	0.009963267	0.091249995	127.0	842.2252259254456	0.0	0.78125	0.0	0.0	0.0
