Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.42643982	0.4695719	2.601247	0.045514166	500.0	-0.3255623	0.026455542	-0.17329052	-0.37537956	16000	1.3969839e-07	0.13600844	-0.0056340424	-0.118535176	1.3564423	0.00663998	0.0348125	127.0	23.185474634170532	0.0	0.0	0.0	0.0	0.0
1	1.0242587	0.86448365	3.399529	0.1067814	500.0	0.0060718153	0.007240079	0.040645055	-0.025471054	32000	4.4703484e-08	0.06253435	-0.0058481754	-0.03157438	1.3564423	0.0048588305	0.049687497	127.0	43.601906538009644	0.0	0.0	0.0	0.0	0.0
2	1.3802614	1.0478773	5.129599	0.33081555	500.0	0.18544307	0.0149704795	0.22324586	0.1254983	48000	-1.4901161e-08	0.062497936	-0.0053414768	-0.014109734	1.3564423	0.005849172	0.04025	127.0	65.1394190788269	0.0	0.0	0.0	0.0	0.0
3	3.4145052	2.5640361	8.817991	0.29097795	500.0	0.2824123	0.031481132	0.3890945	0.15972291	64000	-8.195639e-08	0.54186904	-0.006922069	-0.2610319	1.3564423	0.008276076	0.0656875	127.0	83.9538414478302	0.0	0.0	0.0	0.0	0.0
4	5.4862037	3.0514674	13.529318	1.2433019	500.0	0.8288196	0.20062223	1.3321564	0.15909965	80000	-2.6077032e-08	0.76856863	-0.0064941365	-0.3187715	1.3564423	0.004319967	0.058750004	127.0	104.03726315498352	0.0	0.0	0.0	0.0	0.0
5	7.288662	3.6517801	18.821625	1.4723355	500.0	1.398648	0.5590963	2.4944994	0.10349293	96000	-7.450581e-09	0.914092	-0.008740632	-0.24426074	1.3564423	0.008033632	0.09025	127.0	124.67710065841675	0.0	0.0	0.0	0.0	0.0
6	10.26853	3.8933985	18.643486	3.9909642	500.0	2.0765498	0.75971043	3.3141136	0.0892733	112000	3.3527613e-08	1.1879838	-0.007817376	-0.37735027	1.3564423	0.007464068	0.085875	127.0	145.91589951515198	0.0	0.0	0.0	0.0	0.0
7	13.9037285	3.7596946	21.550692	6.7621403	500.0	2.7122016	1.1334003	4.548269	-0.30046257	128000	-6.519258e-09	1.407531	-0.010695415	-0.60466576	1.3564423	0.007999847	0.10325	127.0	166.81844663619995	0.0	0.0	0.0	0.0	0.0
8	20.001593	5.4500628	34.96539	12.072132	500.0	3.7004495	1.3841506	5.4354806	-0.0423748	144000	-4.4703484e-08	3.230129	-0.009264667	-1.3271717	1.3564423	0.008904288	0.0956875	127.0	189.22551465034485	0.0	0.0	0.0	0.0	0.0
9	24.217886	5.4578147	38.578304	13.025579	500.0	4.9708986	1.6284025	6.6667223	-0.37647784	160000	-1.8626451e-08	3.0357862	-0.008797323	-0.69996744	1.3564423	0.007602705	0.083812505	127.0	211.59331679344177	0.0	0.0	0.0	0.0	0.0
10	22.343052	5.1284127	39.08022	11.1652355	500.0	5.96638	1.6145614	7.4217963	0.36311418	176000	1.6763806e-08	2.1820397	-0.008930599	-0.5140106	1.3564423	0.0064213127	0.057812497	127.0	233.86846137046814	0.0	0.0	0.0	0.0	0.0
11	24.864822	5.997649	40.744003	12.24854	500.0	5.521394	1.161582	6.560525	1.4965112	192000	1.1175871e-08	2.2869792	-0.008186119	-0.1494832	1.3564423	0.007496682	0.068375	127.0	255.68889617919922	0.0	0.0	0.0	0.0	0.0
12	29.626488	7.7690234	45.63402	15.771333	500.0	5.8660383	1.1297435	6.763094	1.4856628	208000	2.6077032e-08	4.3158274	-0.0077229985	-0.92274755	1.3564423	0.007502824	0.0651875	127.0	277.31428384780884	0.0	0.0	0.0	0.0	0.0
13	29.63395	7.3293905	41.62571	17.11151	500.0	6.8370333	1.3907675	7.7656155	1.1027639	224000	4.0978193e-08	3.1340103	-0.006277249	-0.04594789	1.3564423	0.0047758305	0.0460625	127.0	298.53026366233826	0.0	0.0625	0.0	0.0	0.0
14	34.403458	8.464451	52.092487	21.398327	500.0	6.947044	1.3544483	7.870225	1.6953285	240000	0.0	4.6799674	-0.0077767875	-0.77963644	1.3564423	0.0060042604	0.056312498	127.0	320.5138726234436	0.0	0.0	0.0	0.0	0.0
15	36.1286	9.321193	52.703053	16.12318	500.0	7.799238	1.467748	8.845989	1.9018325	256000	-1.1175871e-08	4.3408556	-0.00882946	-0.30224767	1.3564423	0.006989975	0.058375	127.0	345.3646514415741	0.0	0.0625	0.0	0.0	0.0
16	36.701435	8.472226	48.394646	22.54255	500.0	8.297574	1.4978105	9.335955	2.3311002	272000	7.450581e-09	3.776427	-0.0071295234	-0.09331859	1.3564423	0.0065789125	0.050125003	127.0	368.5531644821167	0.0	0.0	0.0	0.0	0.0
17	36.685623	8.3997755	48.42007	22.095144	500.0	8.501156	1.4577429	9.5759945	2.5927873	288000	7.450581e-09	3.9593503	-0.006234662	-0.22841384	1.3564423	0.005841549	0.046937503	127.0	392.6096439361572	0.0	0.0	0.0	0.0	0.0
18	38.60158	8.18479	53.719852	25.28907	500.0	8.390621	1.4586657	9.677266	2.4265192	304000	-2.9802322e-08	3.7637906	-0.0080691	-0.47023407	1.3564423	0.0057673454	0.056562502	127.0	414.39618277549744	0.0	0.125	0.0	0.0	0.0
19	41.529114	7.9097333	55.16976	22.326488	500.0	8.971072	1.4637113	10.3827505	3.16646	320000	0.0	3.5173583	-0.00722083	-0.7210517	1.3564423	0.0061849947	0.059125	127.0	436.57293915748596	0.0	0.125	0.0	0.0	0.0
20	38.59508	9.965468	58.601418	22.242023	500.0	9.4589815	1.8038021	11.435242	2.2731674	336000	-7.450581e-09	5.205099	-0.008336246	-1.3126745	1.3564423	0.007112611	0.055875	127.0	458.9291627407074	0.0	0.0625	0.0	0.0	0.0
21	40.906826	8.068908	60.427692	23.306068	500.0	9.300373	1.9522766	11.906424	-4.8367105	352000	-1.1175871e-08	3.2388783	-0.00965362	-0.663537	1.3564423	0.00683924	0.0753125	127.0	481.5374574661255	0.0	0.125	0.0	0.0	0.0
22	41.398872	5.8293905	55.217815	25.495377	500.0	9.787513	1.9171087	12.944061	1.9500471	368000	-1.1175871e-08	1.4207697	-0.009222909	-0.18888333	1.3564423	0.0053253565	0.075312495	127.0	503.9057664871216	0.0	0.0	0.0	0.0	0.0
23	41.533264	4.4676723	51.02579	27.902693	500.0	9.947	2.1638706	13.266284	2.307822	384000	-7.450581e-09	1.5244889	-0.010082327	-0.265354	1.3564423	0.006881846	0.0691875	127.0	525.7147371768951	0.0	0.0	0.0	0.0	0.0
