Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.13589172	0.06941941	0.33998254	0.047354016	500.0	-0.2961654	0.029328506	-0.16575536	-0.35147417	16000	-5.5879354e-09	0.080540285	-0.007098301	-0.07609496	1.3564423	0.007039145	0.0560625	127.0	22.847836017608643	0.0	0.0	0.0	0.0	0.0
1	0.12284446	0.067533806	0.28960198	0.049577415	500.0	-0.04342912	0.027000297	0.027396344	-0.08134717	32000	2.0489097e-08	0.0034027752	-0.0075946245	-0.0030239685	1.3564423	0.0065728473	0.066	127.0	44.27927374839783	0.0	0.0	0.0	0.0	0.0
2	0.18303637	0.13009538	0.5891757	0.048015594	500.0	0.023668038	0.018459342	0.063154705	-0.03056831	48000	-3.7252903e-09	0.0009850531	-0.009553777	-0.00029503583	1.3564423	0.006695308	0.089187495	127.0	65.19259858131409	0.0	0.0	0.0	0.0	0.0
3	0.3346607	0.22690591	1.0920349	0.08609317	500.0	0.03262334	0.0110469	0.0620668	0.0027692094	64000	-2.6077032e-08	0.0033304538	-0.006614089	-0.0012051633	1.3564423	0.008287104	0.0648125	127.0	88.33976030349731	0.0	0.0	0.0	0.0	0.0
4	0.69019794	0.38740647	1.5691714	0.22716005	500.0	0.06314343	0.011324515	0.089405775	0.01638642	80000	-3.7252903e-08	0.012789183	-0.006140087	-0.00693555	1.3564423	0.0045707338	0.0545	127.0	109.9289903640747	0.0	0.0	0.0	0.0	0.0
5	1.2482474	0.64421993	2.724606	0.15423506	500.0	0.14018823	0.023797864	0.19906849	0.038608946	96000	-1.4901161e-08	0.03405481	-0.007612719	-0.019526925	1.3564423	0.0060722413	0.0680625	127.0	129.8941388130188	0.0	0.0	0.0	0.0	0.0
6	1.5323695	0.6512958	3.9161944	0.59044063	500.0	0.29913482	0.076349825	0.52957964	0.025313362	112000	7.450581e-09	0.021884702	-0.007898286	-0.010360757	1.3564423	0.0065735094	0.091	127.0	151.66875076293945	0.0	0.0	0.0	0.0	0.0
7	1.5322206	1.0643358	6.5388546	0.580806	500.0	0.3816501	0.13562196	0.8147857	0.018438153	128000	0.0	0.047534514	-0.0085549485	-0.01786803	1.3564423	0.00747852	0.088937506	127.0	172.21776914596558	0.0	0.0	0.0	0.0	0.0
8	2.2489564	2.6195815	13.1660795	0.7787105	500.0	0.46442914	0.23386952	1.316628	-0.027300898	144000	-2.2351742e-08	0.3018765	-0.00543142	-0.09852522	1.3564423	0.008556519	0.0920625	127.0	193.48094272613525	0.0	0.0	0.0	0.0	0.0
9	1.9555982	1.4757869	7.4839764	0.671121	500.0	0.5341809	0.3281245	2.012365	-0.13441879	160000	-5.5879354e-09	0.06692706	-0.009140704	-0.012206443	1.3564423	0.00698803	0.089125	127.0	213.20726203918457	0.0	0.0	0.0	0.0	0.0
10	2.2308927	1.0515294	4.2570233	0.8236695	500.0	0.5823711	0.35582423	1.9688138	-0.12181504	176000	0.0	0.040520772	-0.01130999	-0.01912336	1.3564423	0.0090465415	0.105500005	127.0	232.97163486480713	0.0	0.0	0.0	0.0	0.0
11	3.4159424	3.1509278	17.005625	0.866106	500.0	0.74666643	0.39503923	2.5887392	0.016325846	192000	-2.6077032e-08	0.3263935	-0.008386983	-0.09106493	1.3564423	0.0074548507	0.086375006	127.0	252.9395408630371	0.0	0.0	0.0	0.0	0.0
12	3.9798012	3.206281	17.947557	1.0050586	500.0	1.0871772	0.6834297	3.5350482	-0.3129556	208000	1.4901161e-08	0.36137807	-0.008536053	-0.077080384	1.3564423	0.0060022473	0.06925	127.0	274.04928970336914	0.0	0.0	0.0	0.0	0.0
13	6.169563	5.6119123	19.756737	0.83461976	500.0	1.1643523	0.8175632	3.7489393	-0.27983582	224000	7.450581e-09	0.72527575	-0.008267689	-0.34249485	1.3564423	0.004289132	0.0686875	127.0	294.18132495880127	0.0	0.0	0.0	0.0	0.0
14	4.80465	3.336266	21.055876	1.8029027	500.0	1.3749616	0.8765753	4.8785777	-0.6639151	240000	1.6763806e-08	0.3406476	-0.007067764	-0.072459586	1.3564423	0.0059930864	0.055375002	127.0	318.71242117881775	0.0	0.0	0.0	0.0	0.0
15	6.032039	4.8630424	23.508936	2.4882092	500.0	1.5231849	1.1771396	5.1159854	-0.56707186	256000	1.4901161e-08	0.45116684	-0.006788478	-0.020412829	1.3564423	0.0045042774	0.0476875	127.0	341.27838706970215	0.0	0.0	0.0	0.0	0.0
16	8.2146225	6.1886797	19.749668	0.9674609	500.0	1.9494987	1.4852035	5.3767533	-0.785505	272000	1.4901161e-08	0.83589333	-0.0068290913	-0.13608037	1.3564423	0.004646141	0.055749997	127.0	362.7035620212555	0.0	0.0	0.0	0.0	0.0
17	8.840245	6.339909	19.10268	1.1001089	500.0	2.2966611	1.6869879	5.431137	-0.65728176	288000	-1.3969839e-09	0.71029246	-0.006091846	-0.14186218	1.3564423	0.0053199567	0.0459375	127.0	385.9471044540405	0.0	0.0	0.0	0.0	0.0
18	8.260529	5.66222	16.905773	1.3951374	500.0	2.2558832	1.5298096	5.2406883	-0.67174125	304000	-3.259629e-09	0.5940633	-0.008097693	-0.14723131	1.3564423	0.006411671	0.0530625	127.0	409.1124815940857	0.0	0.0	0.0	0.0	0.0
19	7.9038754	5.3305373	17.363405	1.6013316	500.0	2.0416682	1.3356336	4.4688406	-0.66795564	320000	-2.2351742e-08	0.5372162	-0.007421432	-0.10983572	1.3564423	0.006613821	0.0583125	127.0	430.76319694519043	0.0	0.0	0.0	0.0	0.0
20	9.057079	5.611144	17.064198	1.2892827	500.0	2.188811	1.3752158	4.4279323	-0.6374206	336000	1.3038516e-08	0.61308515	-0.0067048306	-0.20477092	1.3564423	0.004880713	0.0496875	127.0	452.32126355171204	0.0	0.0	0.0	0.0	0.0
21	8.978655	5.2792807	16.304596	1.0844178	500.0	2.2198083	1.2102265	4.9595904	-0.21488057	352000	0.0	0.42917922	-0.007662476	-0.09825859	1.3564423	0.006173316	0.0590625	127.0	473.9185552597046	0.0	0.0	0.0	0.0	0.0
22	11.343079	5.7607274	18.65267	0.8797932	500.0	2.3736699	1.2056988	4.947944	0.035068728	368000	-7.450581e-09	0.3480315	-0.008203203	-0.055125263	1.3564423	0.006217962	0.074625	127.0	495.89561223983765	0.0	0.0	0.0	0.0	0.0
23	10.389529	6.8997912	18.751038	0.96667165	500.0	2.1455176	1.3203399	5.2117867	0.16375999	384000	0.0	0.3497632	-0.0074843746	-0.05666248	1.3564423	0.004969825	0.0575	127.0	516.3337666988373	0.0	0.0	0.0	0.0	0.0
