Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.13483042	0.06875445	0.33586225	0.047190346	500.0	-0.2958839	0.02945776	-0.16467728	-0.35146338	16000	-1.238659e-07	0.08032985	-0.006971094	-0.07589527	1.3564423	0.007007206	0.056	127.0	21.63299298286438	0.0	0.0	0.0	0.0	0.0
1	0.12087789	0.06625659	0.28584868	0.04927317	500.0	-0.043481607	0.026768139	0.025466934	-0.08093979	32000	1.3038516e-08	0.003368352	-0.007907724	-0.0029997732	1.3564423	0.006790581	0.0665	127.0	44.11457800865173	0.0	0.0	0.0	0.0	0.0
2	0.1859549	0.13265245	0.5978744	0.048255723	500.0	0.023842156	0.018433128	0.065242894	-0.02572146	48000	7.450581e-09	0.0010303331	-0.00929483	-0.00031227796	1.3564423	0.0065685567	0.0869375	127.0	64.09912943840027	0.0	0.0	0.0	0.0	0.0
3	0.33301818	0.22722495	1.0728676	0.08629381	500.0	0.033503927	0.011502928	0.06483045	0.0023675114	64000	2.9802322e-08	0.0032723118	-0.00679533	-0.0011392076	1.3564423	0.008465884	0.06649999	127.0	83.04738974571228	0.0	0.0	0.0	0.0	0.0
4	0.6750144	0.37868297	1.5420889	0.22579478	500.0	0.06334325	0.01169207	0.09048938	0.018008403	80000	-8.195639e-08	0.011918546	-0.006139758	-0.0063136867	1.3564423	0.004299003	0.05225	127.0	103.1958680152893	0.0	0.0	0.0	0.0	0.0
5	1.2001626	0.62630546	2.7066045	0.14322968	500.0	0.13616055	0.022721842	0.19242868	0.015676945	96000	-2.9802322e-08	0.031051183	-0.0077126855	-0.017590579	1.3564423	0.0059193433	0.0685	127.0	123.48778939247131	0.0	0.0	0.0	0.0	0.0
6	1.486584	0.65786767	3.594173	0.5306666	500.0	0.28992927	0.07380599	0.5134589	0.0302177	112000	3.3527613e-08	0.024041876	-0.007615811	-0.010552097	1.3564423	0.006605685	0.093	127.0	143.80007338523865	0.0	0.0	0.0	0.0	0.0
7	1.4781793	1.0219414	6.2440815	0.72246534	500.0	0.3684776	0.13252121	0.7988333	0.014631689	128000	-1.1175871e-08	0.043041795	-0.008667405	-0.017412996	1.3564423	0.0073874677	0.08575	127.0	163.39032101631165	0.0	0.0	0.0	0.0	0.0
8	2.7496097	2.7782192	12.5811825	0.79057944	500.0	0.49755028	0.26347733	1.2857413	-0.020846054	144000	1.4901161e-08	0.36636138	-0.0064360336	-0.1241143	1.3564423	0.008018611	0.09837499	127.0	182.2958207130432	0.0	0.0	0.0	0.0	0.0
9	2.409183	2.619158	14.55421	0.6577718	500.0	0.56644523	0.37265688	2.4114738	-0.1439142	160000	1.4901161e-08	0.2258088	-0.008461734	-0.071767166	1.3564423	0.00766345	0.1041875	127.0	200.77226328849792	0.0	0.0	0.0	0.0	0.0
10	2.1466424	1.0183281	4.0232263	0.5787344	500.0	0.63776064	0.4273185	2.3977556	-0.33057228	176000	1.8626451e-09	0.081378296	-0.00921888	-0.052819293	1.3564423	0.0072259586	0.0764375	127.0	220.57923197746277	0.0	0.0	0.0	0.0	0.0
11	3.5861063	3.8044536	18.825886	0.61526227	500.0	0.76678723	0.5222531	3.2875226	-0.12229021	192000	-2.2351742e-08	0.42282078	-0.0081636775	-0.102539204	1.3564423	0.007247178	0.081	127.0	239.86507987976074	0.0	0.0	0.0	0.0	0.0
