Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.098986566	0.065292604	0.2899469	0.030747814	500.0	-0.29750898	0.029992094	-0.16656762	-0.35741657	16000	-6.146729e-08	0.07747099	-0.0076846215	-0.07319	1.3564423	0.0073558567	0.062249996	127.0	22.378017902374268	0.0	0.0	0.0	0.0	0.0
1	0.0909459	0.052955847	0.24312468	0.018054936	500.0	-0.04962634	0.025174871	0.023444667	-0.08718048	32000	1.44355e-08	0.0033857469	-0.008204352	-0.003050957	1.3564423	0.006817172	0.068937495	127.0	43.30106854438782	0.0	0.0	0.0	0.0	0.0
2	0.12076925	0.07959744	0.35024	0.03490694	500.0	0.013711268	0.016155824	0.056491017	-0.03312869	48000	-2.2351742e-08	0.00046769768	-0.009582667	-0.00014770961	1.3564423	0.006889334	0.08337501	127.0	63.485166788101196	0.0	0.0	0.0	0.0	0.0
3	0.19191356	0.1252242	0.69208914	0.0436472	500.0	0.021060137	0.009502344	0.052029625	-0.011094853	64000	-1.8626451e-08	0.0010522931	-0.0047730794	-0.00033251615	1.3564423	0.0062836288	0.046875	127.0	81.69653010368347	0.0	0.0	0.0	0.0	0.0
4	0.33738148	0.17868696	0.8263576	0.07648355	500.0	0.031069605	0.012465359	0.07177279	-0.0028234497	80000	-7.450581e-09	0.0028976318	-0.005664346	-0.001511026	1.3564423	0.0039062835	0.0420625	127.0	102.27756762504578	0.0	0.0	0.0	0.0	0.0
5	0.6549804	0.39903614	1.5900965	0.11702637	500.0	0.06359726	0.012152304	0.09415674	0.0092436075	96000	-1.8626451e-08	0.012493731	-0.008094646	-0.00641945	1.3564423	0.0062024533	0.07412499	127.0	121.63817238807678	0.0	0.0	0.0	0.0	0.0
6	0.96108943	0.41889727	1.9527954	0.25205332	500.0	0.15871893	0.037694417	0.28122532	0.05070527	112000	-7.450581e-09	0.011169298	-0.006473757	-0.0054292204	1.3564423	0.005266438	0.057687502	127.0	141.95660519599915	0.0	0.0	0.0	0.0	0.0
7	1.0836153	0.5248592	2.2958467	0.42092106	500.0	0.22134455	0.06307882	0.35790175	0.034522682	128000	0.0	0.014111952	-0.008827189	-0.005941258	1.3564423	0.008325122	0.1031875	127.0	162.6748354434967	0.0	0.0	0.0	0.0	0.0
8	1.2420197	0.7222111	3.5357926	0.53515786	500.0	0.2589638	0.07861137	0.51993227	0.044216484	144000	-1.4901161e-08	0.024409395	-0.005846468	-0.014269718	1.3564423	0.008691851	0.085625	127.0	182.13450264930725	0.0	0.0	0.0	0.0	0.0
9	1.7203196	0.7307114	3.182855	0.6317516	500.0	0.37984288	0.18241635	0.9030167	-0.07942563	160000	0.0	0.015583888	-0.012228887	-0.0059971483	1.3564423	0.0077870865	0.102125004	127.0	200.83131337165833	0.0	0.0	0.0	0.0	0.0
10	1.8997977	0.93555987	4.057986	0.56986386	500.0	0.47640944	0.20786342	0.9960726	-0.098044135	176000	1.8626451e-09	0.017470572	-0.009825634	-0.0064553823	1.3564423	0.006201982	0.082125	127.0	222.43212914466858	0.0	0.0	0.0	0.0	0.0
11	2.577786	1.0240123	4.256213	0.736777	500.0	0.6295378	0.26725084	1.0980197	0.025889099	192000	2.9802322e-08	0.023487711	-0.010342735	-0.011207199	1.3564423	0.007439212	0.0919375	127.0	244.81155514717102	0.0	0.0	0.0	0.0	0.0
12	3.3561833	2.1023421	13.257437	1.2862273	500.0	0.7191501	0.23503669	1.2251095	-0.06823099	208000	1.4901161e-08	0.18440108	-0.0092228465	-0.08431653	1.3564423	0.0072042877	0.098437496	127.0	267.7818777561188	0.0	0.0	0.0	0.0	0.0
13	3.513729	0.6740036	4.705989	2.1017122	500.0	0.7861324	0.32320872	1.5228919	-0.33701268	224000	1.4901161e-08	0.025814798	-0.009857148	-0.015813634	1.3564423	0.005270604	0.07525	127.0	287.1662178039551	0.0	0.0	0.0	0.0	0.0
14	3.8739285	1.5727682	11.56698	1.0931653	500.0	0.8545018	0.28220156	1.6538526	-0.08592534	240000	-3.7252903e-09	0.09502912	-0.008766132	-0.028674133	1.3564423	0.0066724746	0.0763125	127.0	306.13392210006714	0.0	0.0	0.0	0.0	0.0
15	4.5152674	3.1328976	21.691612	2.6397243	500.0	0.96750987	0.31339023	2.3554885	-0.026908375	256000	2.9802322e-08	0.31641507	-0.005889759	-0.17383987	1.3564423	0.004705801	0.05175	127.0	327.3351719379425	0.0	0.0	0.0	0.0	0.0
16	3.9134111	0.8605127	5.024453	0.89291394	500.0	1.0255574	0.35510972	2.0387533	-0.54133785	272000	-1.7695129e-08	0.101644054	-0.007725834	-0.06741372	1.3564423	0.0056721377	0.0604375	127.0	353.074015378952	0.0	0.0	0.0	0.0	0.0
17	4.646454	4.0124497	20.316961	2.105119	500.0	1.0960944	0.6305572	3.851677	-0.25092012	288000	-2.9802322e-08	0.34434924	-0.006385212	-0.09846774	1.3564423	0.0064285905	0.0518125	127.0	381.32710361480713	0.0	0.0	0.0	0.0	0.0
18	4.6280804	3.5790987	18.76678	1.6938142	500.0	1.2233052	0.8870729	5.162225	-0.4963098	304000	3.7252903e-09	0.11861211	-0.006614546	-0.033713974	1.3564423	0.005479029	0.053875	127.0	408.22420263290405	0.0	0.0	0.0	0.0	0.0
