Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.31443065	0.27274665	1.5037696	0.05005497	500.0	-0.32670593	0.026384166	-0.17451224	-0.3734362	16000	1.3411045e-07	0.11766822	-0.0060745548	-0.1066472	1.3564423	0.006634334	0.03725	127.0	21.905078172683716	0.0	0.0	0.0	0.0	0.0
1	0.58479774	0.448446	2.0942612	0.08078121	500.0	-0.009297871	0.0060290354	0.036018506	-0.0364391	32000	2.4214387e-08	0.021090988	-0.0061389133	-0.012310946	1.3564423	0.0052633816	0.056	127.0	41.64677548408508	0.0	0.0	0.0	0.0	0.0
2	0.9760864	0.6908398	3.508204	0.29697862	500.0	0.102601446	0.0133842435	0.13693248	0.059285358	48000	4.4703484e-08	0.031626865	-0.0053413706	-0.010209383	1.3564423	0.006275674	0.046	127.0	60.150084018707275	0.0	0.0	0.0	0.0	0.0
3	2.2961235	1.6421802	5.6623745	0.25865299	500.0	0.19410321	0.020074287	0.2636265	0.11610482	64000	-1.4901161e-08	0.23104642	-0.006744082	-0.11210483	1.3564423	0.008331407	0.067	127.0	78.42450022697449	0.0	0.0	0.0	0.0	0.0
4	3.9526541	2.1379554	9.939363	1.051617	500.0	0.55501854	0.13203308	0.88933355	0.07511201	80000	-1.1175871e-08	0.42180914	-0.0058917436	-0.20251855	1.3564423	0.0041621085	0.0560625	127.0	97.28118371963501	0.0	0.0	0.0	0.0	0.0
5	6.258958	3.2010489	17.47768	1.5692034	500.0	1.0201344	0.42954093	1.9088228	0.06991501	96000	-2.2351742e-08	0.8625023	-0.007686425	-0.32829756	1.3564423	0.0074937437	0.086625	127.0	115.32161545753479	0.0	0.0	0.0	0.0	0.0
6	8.435925	3.6523607	18.369482	3.0856416	500.0	1.7526027	0.6980947	2.9261267	0.058038607	112000	1.8626451e-08	1.0288659	-0.00798573	-0.30199292	1.3564423	0.0072981124	0.0895625	127.0	134.70186352729797	0.0	0.0	0.0	0.0	0.0
7	13.41501	5.168949	27.683283	5.5561867	500.0	2.3601406	1.1012039	4.221475	-0.2278593	128000	9.313226e-09	2.4389234	-0.00914274	-1.0928117	1.3564423	0.008115651	0.0943125	127.0	153.04552125930786	0.0	0.0	0.0	0.0	0.0
8	18.702093	4.536129	29.178642	10.283884	500.0	3.5278459	1.5168252	5.4707584	-0.35217905	144000	-7.450581e-09	2.5356703	-0.009157035	-1.1705549	1.3564423	0.0076652863	0.0858125	127.0	171.50856685638428	0.0	0.0625	0.0	0.0	0.0
9	22.543072	3.9565918	27.628716	10.007244	500.0	4.7681537	1.7552179	6.732332	-0.15969726	160000	-4.656613e-08	1.8360176	-0.010734674	-0.57205635	1.3564423	0.007974553	0.091375	127.0	190.671138048172	0.0	0.125	0.0	0.0	0.0
