Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.09932889	0.065681644	0.28947714	0.030299729	500.0	-0.29707727	0.029507931	-0.16720822	-0.35161376	16000	1.4714897e-07	0.07727498	-0.0074279592	-0.072991416	1.3564423	0.0072032707	0.060374998	127.0	21.168989658355713	0.0	0.0	0.0	0.0	0.0
1	0.09293391	0.053888284	0.24725623	0.019532843	500.0	-0.0490421	0.024633333	0.020481057	-0.08530804	32000	2.0023435e-08	0.0033534577	-0.008054724	-0.0030231187	1.3564423	0.0067570526	0.0689375	127.0	41.19365692138672	0.0	0.0	0.0	0.0	0.0
2	0.124184184	0.0821808	0.37219647	0.035878748	500.0	0.0149884485	0.01597258	0.051785782	-0.029004913	48000	-1.4901161e-08	0.00047958002	-0.009497119	-0.00014401693	1.3564423	0.0072112586	0.089	127.0	60.817930459976196	0.0	0.0	0.0	0.0	0.0
3	0.20592779	0.13918887	0.7541423	0.046809115	500.0	0.02157089	0.008855982	0.049942628	-0.0055073425	64000	-6.146729e-08	0.0012831099	-0.0048377654	-0.00044481063	1.3564423	0.0062485253	0.049625	127.0	80.11873745918274	0.0	0.0	0.0	0.0	0.0
4	0.37165537	0.19626366	0.938962	0.08324259	500.0	0.03383605	0.012854363	0.07652825	-0.0018212795	80000	7.450581e-09	0.0035503304	-0.0056132106	-0.0018367388	1.3564423	0.004274261	0.0455625	127.0	99.50253200531006	0.0	0.0	0.0	0.0	0.0
5	0.71918446	0.4391182	1.8159364	0.13594742	500.0	0.07101934	0.012357055	0.10161602	0.013370961	96000	1.1175871e-08	0.015105402	-0.008251059	-0.007702505	1.3564423	0.0062564425	0.0769375	127.0	118.50920844078064	0.0	0.0	0.0	0.0	0.0
6	1.0058227	0.42752945	1.9538511	0.27407798	500.0	0.17488074	0.040707074	0.31215587	0.05078473	112000	-1.1175871e-08	0.011508547	-0.006275369	-0.00531785	1.3564423	0.005193521	0.05675	127.0	137.2631480693817	0.0	0.0	0.0	0.0	0.0
7	1.1264057	0.5665947	2.4811816	0.4380162	500.0	0.23002791	0.06706437	0.4168709	0.04442732	128000	4.4703484e-08	0.01669082	-0.008599054	-0.007617696	1.3564423	0.008352064	0.10124999	127.0	155.94914031028748	0.0	0.0	0.0	0.0	0.0
8	1.210083	0.6060347	2.3522992	0.54650885	500.0	0.26616168	0.08475464	0.5567887	0.045346253	144000	-3.7252903e-09	0.013278412	-0.0077135316	-0.0075891465	1.3564423	0.009099408	0.0901875	127.0	174.52503037452698	0.0	0.0	0.0	0.0	0.0
9	1.799164	0.78619325	3.2220097	0.56468207	500.0	0.38939404	0.17607145	0.8257257	0.018917501	160000	-1.4901161e-08	0.016325314	-0.011487877	-0.006833474	1.3564423	0.008161034	0.1073125	127.0	194.489643573761	0.0	0.0	0.0	0.0	0.0
10	2.1680846	0.9576714	4.018359	0.59006107	500.0	0.52400833	0.20361526	0.9383055	-0.03542516	176000	7.450581e-09	0.023268923	-0.010217493	-0.010082654	1.3564423	0.006199551	0.0864375	127.0	213.8333399295807	0.0	0.0	0.0	0.0	0.0
11	2.7570872	0.8886498	4.1464653	0.8151408	500.0	0.62789357	0.22930169	1.0003343	0.028127015	192000	-2.2351742e-08	0.01421502	-0.012704922	-0.006241394	1.3564423	0.0076086298	0.10675	127.0	233.20338249206543	0.0	0.0	0.0	0.0	0.0
12	3.2338498	0.6768366	4.4128103	1.7745426	500.0	0.7275048	0.22876357	1.1035924	-0.08632236	208000	2.9802322e-08	0.0124545	-0.0129900435	-0.004039003	1.3564423	0.0083117485	0.10743751	127.0	253.05705046653748	0.0	0.0	0.0	0.0	0.0
13	3.7306905	0.37260145	4.648555	3.1051288	500.0	0.84407395	0.23473157	1.2641026	0.09597864	224000	-7.450581e-09	0.015740965	-0.010726897	-0.007642679	1.3564423	0.007117958	0.096375	127.0	271.9736382961273	0.0	0.0	0.0	0.0	0.0
14	3.8895974	1.3283118	10.173268	2.1931221	500.0	0.94646627	0.24311206	1.3368545	0.19857998	240000	-3.7252903e-09	0.111545295	-0.008812156	-0.048062045	1.3564423	0.006523928	0.0693125	127.0	293.6637387275696	0.0	0.0	0.0	0.0	0.0
15	3.9273496	0.7147392	4.7990355	2.455946	500.0	0.9746293	0.25382993	2.1039648	0.23050287	256000	4.656613e-09	0.036486313	-0.01058154	-0.010409392	1.3564423	0.008883363	0.089625	127.0	311.82903003692627	0.0	0.0	0.0	0.0	0.0
16	4.4358664	0.36225137	5.248469	3.6448982	500.0	1.0721488	0.308749	1.9568106	0.33812535	272000	-3.7252903e-09	0.052994397	-0.008411651	-0.039025016	1.3564423	0.0061027333	0.0820625	127.0	332.2043616771698	0.0	0.0	0.0	0.0	0.0
17	4.2744007	0.4997356	5.030836	2.7104957	500.0	1.0607356	0.2181925	1.352483	0.40531242	288000	-7.450581e-09	0.014338526	-0.0069305566	-0.0043507162	1.3564423	0.00564974	0.042499997	127.0	351.76099610328674	0.0	0.0	0.0	0.0	0.0
18	4.4903984	0.484233	5.260017	3.1514387	500.0	1.0345068	0.21898484	1.3317149	0.36352697	304000	-1.4901161e-08	0.016047962	-0.008016963	-0.002584326	1.3564423	0.0059655993	0.0604375	127.0	372.1323757171631	0.0	0.0	0.0	0.0	0.0
19	4.8390527	0.67371225	7.6023154	3.9306657	500.0	1.0731465	0.20198928	1.4913884	0.4183012	320000	3.7252903e-09	0.025940109	-0.0068321833	-0.0059084427	1.3564423	0.006185578	0.070375	127.0	393.05515217781067	0.0	0.0	0.0	0.0	0.0
20	4.798059	0.6574251	5.6124697	2.9810212	500.0	1.12269	0.23803392	1.51953	0.35606983	336000	0.0	0.014041456	-0.00755385	-0.0021036998	1.3564423	0.0039834892	0.0559375	127.0	412.1577341556549	0.0	0.0	0.0	0.0	0.0
21	5.079688	0.8900771	7.9340963	3.3055446	500.0	1.165244	0.26862583	1.7881165	0.3294349	352000	-1.7695129e-08	0.034430426	-0.0065958016	-0.008421152	1.3564423	0.006188927	0.055625	127.0	432.2576620578766	0.0	0.0	0.0	0.0	0.0
22	4.9849534	0.8279602	7.0292583	3.4358954	500.0	1.2106485	0.30517024	2.1680274	0.29807922	368000	0.0	0.024278102	-0.007566719	-0.005467788	1.3564423	0.0036160788	0.06425	127.0	452.24299788475037	0.0	0.0	0.0	0.0	0.0
23	5.0555577	1.0362116	7.4190764	3.5274525	500.0	1.2278022	0.39003065	2.4345417	0.298464	384000	-2.7939677e-08	0.0364204	-0.0072948877	-0.008470453	1.3564423	0.0029262677	0.0593125	127.0	474.84121918678284	0.0	0.0	0.0	0.0	0.0
24	5.5355344	1.8420612	10.833537	3.1079068	500.0	1.3703045	0.5422739	2.9454813	0.28753686	400000	-7.450581e-09	0.10904315	-0.007768391	-0.02611136	1.3564423	0.008514942	0.073249996	127.0	493.4225857257843	0.0	0.0	0.0	0.0	0.0
