Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.4837464	0.4062164	2.007464	0.085154094	500.0	-0.30505958	0.027908292	-0.14718491	-0.35168588	16000	-2.0116568e-07	0.13062286	-0.0060693687	-0.1161616	1.3564423	0.006176521	0.0408125	127.0	24.71015501022339	0.0	0.0	0.0	0.0	0.0
1	1.0267463	0.8340338	4.0407844	0.16325049	500.0	0.025215317	0.008750269	0.08122233	-0.010232277	32000	-1.4901161e-08	0.060829975	-0.0048791035	-0.030342698	1.3564423	0.0044945152	0.049062498	127.0	44.33761405944824	0.0	0.0	0.0	0.0	0.0
2	2.3974261	2.1650305	9.845714	0.3054503	500.0	0.19432092	0.014177874	0.25600487	0.13785896	48000	-4.0978193e-08	0.32637912	-0.0055310633	-0.10949762	1.3564423	0.006805	0.0545	127.0	64.41870784759521	0.0	0.0	0.0	0.0	0.0
3	3.1285496	2.305093	9.934775	0.5252224	500.0	0.47168797	0.08357589	0.7687744	0.28371924	64000	0.0	0.359209	-0.0077047823	-0.14483829	1.3564423	0.008645824	0.081562504	127.0	84.86610913276672	0.0	0.0	0.0	0.0	0.0
4	6.7690234	3.555181	13.68723	1.1792223	500.0	0.9665668	0.36753142	1.9358995	0.040744334	80000	2.9802322e-08	1.2777797	-0.006799247	-0.59685814	1.3564423	0.0045279376	0.068124995	127.0	105.57420206069946	0.0	0.0	0.0	0.0	0.0
5	10.714294	4.698539	19.451729	2.1445615	500.0	1.8566762	0.8700149	3.476367	-0.012200382	96000	2.2351742e-08	2.2094226	-0.008233326	-0.83421683	1.3564423	0.008691411	0.099874996	127.0	126.24889612197876	0.0	0.0	0.0	0.0	0.0
6	10.626144	4.125562	21.441229	4.1147285	500.0	3.0044122	1.1239922	4.628782	0.046988368	112000	1.4901161e-08	1.2846951	-0.009224609	-0.20612597	1.3564423	0.006492664	0.0866875	127.0	146.9246792793274	0.0	0.0	0.0	0.0	0.0
7	16.100578	4.0880504	23.580698	7.9178414	500.0	3.0714848	1.4199125	5.084014	-0.3265734	128000	7.4505806e-08	2.3522608	-0.009196643	-0.9932004	1.3564423	0.007950474	0.09575	127.0	166.47139310836792	0.0	0.0625	0.0	0.0	0.0
8	21.284855	7.718891	46.51468	10.693801	500.0	4.264672	1.6905556	6.1276145	-0.10113691	144000	2.4214387e-08	5.28736	-0.008506418	-1.1630466	1.3564423	0.008193025	0.0865625	127.0	185.66402792930603	0.0	0.28125	0.0	0.0	0.0
9	22.431164	5.9133673	40.322086	10.748761	500.0	5.3737407	1.9318112	7.309517	-0.12509638	160000	-1.1175871e-08	2.5055604	-0.00959859	-0.23462886	1.3564423	0.006775097	0.088750005	127.0	207.16042470932007	0.0	0.09375	0.0	0.0	0.0
10	25.06871	6.190106	44.724743	16.154457	500.0	5.704512	1.5271338	7.1221495	1.0524651	176000	0.0	3.1674159	-0.006595354	-0.1947977	1.3564423	0.0058399793	0.053937502	127.0	228.13987803459167	0.0	0.1875	0.0	0.0	0.0
11	27.430855	4.739699	35.489	19.00013	500.0	6.061453	1.4720842	7.239339	1.2145065	192000	0.0	1.9723893	-0.008988634	-0.24612375	1.3564423	0.0063715167	0.064875	127.0	248.83599019050598	0.0	0.03125	0.0	0.0	0.0
12	27.189682	5.7047787	36.19026	17.077385	500.0	6.514962	1.4551293	7.5320444	1.382949	208000	-2.0489097e-08	2.0842175	-0.0074785873	-0.079348385	1.3564423	0.0046873246	0.0513125	127.0	269.374794960022	0.0	0.0625	0.0	0.0	0.0
13	27.664562	8.4605665	53.446518	14.404236	500.0	6.493618	1.297471	7.327751	1.5704393	224000	1.4901161e-08	4.0824184	-0.006885394	-0.03433706	1.3564423	0.0058703884	0.049875	127.0	287.9413616657257	0.0	0.1875	0.0	0.0	0.0
14	28.932652	8.250009	62.171494	13.399909	500.0	6.489036	1.2178149	7.235172	1.7518926	240000	-7.450581e-09	4.4281716	-0.00772079	-0.057470053	1.3564423	0.005474593	0.0515	127.0	308.55327463150024	0.0	0.1875	0.0	0.0	0.0
15	31.21423	5.933821	55.444424	22.76616	500.0	6.703124	1.2309123	7.414736	1.849965	256000	3.7252903e-09	2.9634762	-0.00796185	-0.21279436	1.3564423	0.0070377747	0.067499995	127.0	330.77957010269165	0.0	0.03125	0.0	0.0	0.0
16	33.640217	7.490427	62.519314	21.937853	500.0	7.1201015	1.2456547	7.8080454	2.1000972	272000	1.4901161e-08	4.439212	-0.00699438	-0.27815157	1.3564423	0.0058060647	0.0473125	127.0	354.5866503715515	0.0	0.25	0.0	0.0	0.0
17	33.371025	7.1455383	52.169456	16.740326	500.0	7.6439238	1.249975	8.303934	2.3146424	288000	-9.313226e-09	3.2798848	-0.007904679	-0.07828833	1.3564423	0.007078841	0.062625	127.0	377.90479826927185	0.0	0.40625	0.0	0.0	0.0
18	35.671913	15.690179	113.567406	20.90648	500.0	7.6500087	1.3180261	8.425098	2.2790816	304000	-1.8626451e-08	12.231693	-0.0060645896	-0.9707096	1.3564423	0.006409428	0.052375	127.0	399.31546926498413	0.0	0.28125	0.0	0.0	0.0
19	39.202232	14.914922	91.717735	22.759739	500.0	8.259006	1.3375645	9.060914	2.9454403	320000	-3.7252903e-09	13.087485	-0.0070043765	-1.4332426	1.3564423	0.0070403256	0.0725625	127.0	420.609735250473	0.0	0.4375	0.0	0.0	0.0
20	35.717613	10.955739	89.7578	25.49452	500.0	8.735499	1.8795626	10.320533	-0.18684566	336000	-1.4901161e-08	6.049392	-0.007842017	-0.6646831	1.3564423	0.008274253	0.075375	127.0	442.19985270500183	0.0	0.21875	0.0	0.0	0.0
21	39.51922	17.544333	103.12326	22.219957	500.0	8.896861	1.7623343	10.574746	2.6268165	352000	-3.7252903e-08	14.408935	-0.005911643	-0.3805442	1.3564423	0.0066493927	0.0644375	127.0	463.3262391090393	0.0	0.4375	0.0	0.0	0.0
22	38.070732	12.487802	101.493256	27.887802	500.0	9.445978	1.9312952	11.194199	2.4530184	368000	-1.8626451e-08	6.9302816	-0.0057944665	-0.41790175	1.3564423	0.0051467987	0.053125	127.0	483.82398796081543	0.0	0.25	0.0	0.0	0.0
23	35.10015	13.799001	108.19104	25.749437	500.0	9.060158	1.7662328	10.6113825	2.4747179	384000	2.2351742e-08	9.140156	-0.0064086514	-0.7658353	1.3564423	0.0046212384	0.049999997	127.0	503.5173270702362	0.0	0.1875	0.0	0.0	0.0
