Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.13195825	0.12080448	0.603078	0.023465771	500.0	-0.18760696	0.022748366	-0.1593093	-0.31694132	16000	-1.15484e-07	0.0315616	-0.005188402	-0.02989507	1.3564423	0.0058251508	0.0495625	127.0	30.61786413192749	0.0	0.0	0.0	0.0	0.0
1	0.30034548	0.23997204	0.9031664	0.052518874	500.0	-0.013460906	0.025560657	0.04255163	-0.088948674	32000	1.4901161e-08	0.0038354136	-0.009327276	-0.0023320753	1.3564423	0.0056266384	0.094437495	127.0	56.08990144729614	0.0	0.0	0.0	0.0	0.0
2	0.43370354	0.2775528	1.1504653	0.07231735	500.0	0.056149043	0.025536014	0.111626595	-0.033710454	48000	-2.9802322e-08	0.0027781748	-0.010802725	-0.0007006584	1.3564423	0.008030298	0.099562496	127.0	85.59118914604187	0.0	0.0	0.0	0.0	0.0
3	0.81154424	0.37216553	1.9044825	0.13260172	500.0	0.095312744	0.017663995	0.14346468	0.034717254	64000	-1.8626451e-08	0.008906758	-0.010840466	-0.004220573	1.3564423	0.008108987	0.0978125	127.0	109.89197731018066	0.0	0.0	0.0	0.0	0.0
4	1.4002936	0.60053444	2.9328961	0.49164283	500.0	0.17296535	0.02309076	0.22844186	0.06606008	80000	1.4901161e-08	0.028196491	-0.006659278	-0.012256287	1.3564423	0.003964261	0.0516875	127.0	134.3698604106903	0.0	0.0	0.0	0.0	0.0
5	1.7364349	0.8578301	4.483947	0.54507434	500.0	0.27572167	0.029054465	0.38442433	0.19433719	96000	2.2351742e-08	0.042052492	-0.00635523	-0.016062835	1.3564423	0.0055988836	0.060312502	127.0	161.48574948310852	0.0	0.0	0.0	0.0	0.0
6	2.0868158	1.0739654	5.5225797	0.6315593	500.0	0.40757903	0.097140014	0.64495134	0.15108402	112000	4.0978193e-08	0.056417473	-0.007477113	-0.02266505	1.3564423	0.006909034	0.075937495	127.0	191.7854917049408	0.0	0.0	0.0	0.0	0.0
7	3.5179777	3.0274367	14.8651905	1.1675891	500.0	0.5274538	0.19557244	1.0922643	0.036217496	128000	7.450581e-09	0.5074225	-0.006095755	-0.23657301	1.3564423	0.006569729	0.0743125	127.0	217.95177364349365	0.0	0.0	0.0	0.0	0.0
8	6.7193737	3.3700495	16.776457	0.9173055	500.0	1.0554569	0.45796058	2.1239727	-0.03654467	144000	4.8428774e-08	0.97643507	-0.007957987	-0.5134654	1.3564423	0.009196369	0.0845625	127.0	243.3224847316742	0.0	0.0	0.0	0.0	0.0
9	10.369511	5.60175	22.873524	1.31189	500.0	1.8369114	0.9803966	3.8874855	-0.29977804	160000	7.450581e-09	2.1045246	-0.008171062	-0.9189193	1.3564423	0.0065553347	0.085	127.0	269.310560464859	0.0	0.0625	0.0	0.0	0.0
10	15.227018	6.445579	31.6317	1.7173805	500.0	3.0368953	1.6244773	5.904216	-0.12616198	176000	0.0	2.702922	-0.009126115	-1.1579794	1.3564423	0.0067064674	0.0841875	127.0	299.1038463115692	0.0	0.0	0.0	0.0	0.0
11	18.388428	7.1926813	35.16098	7.2039146	500.0	4.3247004	2.1385694	7.3098702	-0.34183255	192000	-3.9115548e-08	3.1984177	-0.008898394	-0.46561015	1.3564423	0.0069284537	0.07925	127.0	333.4224145412445	0.0	0.09375	0.0	0.0	0.0
12	20.443989	8.056956	44.890785	8.5718975	500.0	5.160557	2.1854343	7.9277177	-0.69685453	208000	1.4901161e-08	3.1716146	-0.009447103	-0.23432744	1.3564423	0.0076616635	0.082375	127.0	361.4610872268677	0.0	0.0625	0.0	0.0	0.0
13	25.505346	7.873924	42.80341	10.770046	500.0	5.5923924	2.141843	8.003115	-0.552947	224000	3.7252903e-09	4.3801684	-0.009251457	-0.82708806	1.3564423	0.0066067507	0.079875	127.0	388.94152426719666	0.0	0.375	0.0	0.0	0.0
14	25.446266	7.65181	43.204212	14.733056	500.0	6.446065	2.0995395	8.60786	0.28145963	240000	0.0	3.1205544	-0.009285666	-0.11750276	1.3564423	0.009744968	0.0795625	127.0	415.51956486701965	0.0	0.03125	0.0	0.0	0.0
15	30.343605	12.358902	56.155884	10.055694	500.0	6.5951257	2.060472	8.802278	-0.49344108	256000	-2.6077032e-08	8.835071	-0.009768249	-0.91093147	1.3564423	0.008209148	0.0885	127.0	441.41958117485046	0.0	0.1875	0.0	0.0	0.0
16	32.235294	11.708345	57.735435	13.1129465	500.0	7.346122	2.0186217	9.390777	-0.3035207	272000	-2.2351742e-08	6.6904335	-0.0066451626	-0.7712228	1.3564423	0.005535393	0.055250004	127.0	468.8052878379822	0.0	0.3125	0.0	0.0	0.0
17	31.576351	13.204813	66.07628	13.461521	500.0	7.7247043	2.3255706	10.627706	-0.5820739	288000	-7.450581e-09	8.135706	-0.0084585305	-1.2327373	1.3564423	0.007361365	0.070437506	127.0	497.2391574382782	0.0	0.375	0.0	0.0	0.0
18	37.004673	14.439492	65.71848	16.618288	500.0	8.017805	2.4183	11.369016	-1.8002112	304000	-7.450581e-09	9.092405	-0.008004057	-2.344812	1.3564423	0.0059137833	0.070875004	127.0	524.7006783485413	0.0	0.375	0.0	0.0	0.0
19	34.08278	14.046407	77.920456	14.676395	500.0	8.967391	2.933992	13.463511	-0.920965	320000	-9.313226e-10	7.309108	-0.008580066	-1.3700459	1.3564423	0.0066727353	0.064624995	127.0	553.5457673072815	0.0	0.25	0.0	0.0	0.0
20	34.22512	12.370203	61.775383	15.189068	500.0	8.239265	2.9618187	13.286255	-0.23083276	336000	1.6763806e-08	5.099817	-0.010244802	-0.69083583	1.3564423	0.006514647	0.080625	127.0	581.4980494976044	0.0	0.28125	0.0	0.0	0.0
21	40.303825	15.76342	71.482285	15.412723	500.0	9.215524	2.8294694	13.095289	0.29494497	352000	-2.7939677e-09	10.009304	-0.009506902	-1.898793	1.3564423	0.008286129	0.07075	127.0	611.9571793079376	0.0	0.53125	0.0	0.0	0.0
22	41.037018	14.887335	70.173836	16.672201	500.0	10.176705	3.4696255	15.549161	-0.785178	368000	-7.450581e-09	14.040876	-0.008850222	-3.5243409	1.3564423	0.0055550584	0.0626875	127.0	638.6849145889282	0.0	0.53125	0.0	0.0	0.0
23	44.841545	17.769117	89.17952	18.714342	500.0	9.934285	3.1338363	14.086379	0.9282856	384000	-1.8626451e-09	16.183506	-0.00851574	-2.955255	1.3564423	0.00814613	0.076124996	127.0	667.4737370014191	0.0	0.5	0.0	0.0	0.0
24	43.11306	19.354208	108.23533	19.380623	500.0	9.76146	3.3725615	14.912527	1.0870856	400000	-3.7252903e-09	12.009929	-0.008365727	-1.1675981	1.3564423	0.0058996286	0.069625	127.0	693.962338924408	0.0	0.375	0.0	0.0	0.0
25	44.601185	19.573877	94.21673	22.024324	500.0	10.740673	3.4098856	15.530688	2.0173147	416000	0.0	15.693512	-0.008171995	-1.5263436	1.3564423	0.0069798026	0.061375	127.0	721.4116342067719	0.0	0.53125	0.0	0.0	0.0
26	43.62616	14.234913	88.242294	20.985281	500.0	10.613213	3.3301566	15.448127	1.9645368	432000	-1.1175871e-08	9.147945	-0.009599078	-1.634067	1.3564423	0.0097339265	0.0743125	127.0	750.6418867111206	0.0	0.4375	0.0	0.0	0.0
27	44.57984	20.297972	106.332306	21.357265	500.0	9.691988	3.103795	15.733532	1.242857	448000	-3.3527613e-08	15.158136	-0.009524649	-1.5730972	1.3564423	0.009283291	0.088250004	127.0	779.5720057487488	0.0	0.5625	0.0	0.0	0.0
28	43.030502	19.671118	101.455086	19.356829	500.0	11.0082445	3.2631145	16.641228	0.89634275	464000	0.0	18.825855	-0.008644722	-4.604855	1.3564423	0.006891788	0.071312495	127.0	808.8881869316101	0.0	0.3125	0.0	0.0	0.0
29	40.307953	14.112644	90.01224	20.779001	500.0	9.534436	3.255913	15.651064	-0.74419725	480000	7.450581e-09	11.849726	-0.009683013	-2.4087572	1.3564423	0.0066100396	0.07725	127.0	836.9887156486511	0.0	0.28125	0.0	0.0	0.0
30	46.71026	20.866491	112.56825	22.880287	500.0	9.645479	3.006301	14.679579	-0.14281788	496000	2.9802322e-08	20.307205	-0.009170228	-3.2383761	1.3564423	0.0070915883	0.080375	127.0	865.8631715774536	0.0	0.46875	0.0	0.0	0.0
31	52.985123	19.066496	100.94523	27.158436	500.0	11.0774355	2.845524	15.753126	3.1696732	512000	2.9802322e-08	18.31263	-0.009373024	-3.202592	1.3564423	0.007929169	0.07224999	127.0	892.5257480144501	0.0	0.6875	0.0	0.0	0.0
32	49.67067	18.276684	90.122406	23.624231	500.0	11.479328	3.3249671	16.978828	1.2731745	528000	-3.7252903e-09	15.306779	-0.010815527	-3.1683133	1.3564423	0.008022057	0.087312505	127.0	920.2515001296997	0.0	0.53125	0.0	0.0	0.0
33	47.225967	21.5244	104.10633	15.318179	500.0	11.036229	4.117553	17.479328	-6.539642	544000	0.0	16.812046	-0.009092941	-2.6481137	1.3564423	0.006331983	0.0741875	127.0	947.8631303310394	0.0	0.53125	0.0	0.0	0.0
34	50.054653	22.404524	117.559364	25.79134	500.0	10.6405525	3.934845	17.944794	-8.776479	560000	2.2351742e-08	20.932419	-0.009272836	-4.381566	1.3564423	0.0065207398	0.0801875	127.0	978.108535528183	0.0	0.5	0.0	0.0	0.0
35	64.77333	30.172258	121.544106	27.410967	500.0	12.337145	4.0196824	19.642786	0.032006018	576000	2.9802322e-08	37.614944	-0.009012348	-8.93908	1.3564423	0.00652659	0.080625	127.0	1008.0074226856232	0.0	0.71875	0.0	0.0	0.0
36	47.340324	18.6368	99.82702	23.494423	500.0	12.942117	4.5530043	21.324686	-1.6598024	592000	-3.7252903e-08	18.291533	-0.010698524	-6.1733713	1.3564423	0.008399472	0.0823125	127.0	1039.3565428256989	0.0	0.625	0.0	0.0	0.0
37	43.632393	21.574533	114.211716	23.411015	500.0	10.72665	3.9704075	20.544498	-0.060542896	608000	1.8626451e-08	17.526117	-0.01023975	-2.5677023	1.3564423	0.005968515	0.076749995	127.0	1068.7672672271729	0.0	0.21875	0.0	0.0	0.0
38	51.18322	21.050318	112.39586	19.73779	500.0	10.727947	4.6543026	19.995213	-3.0745237	624000	-1.4901161e-08	14.604578	-0.00939079	-2.2273808	1.3564423	0.006777906	0.074687496	127.0	1099.3255553245544	0.0	0.5	0.0	0.0	0.0
39	50.1391	25.409689	118.715355	20.881346	500.0	12.406697	4.9907646	21.631475	-0.77956736	640000	0.0	21.81707	-0.009147222	-2.2272558	1.3564423	0.008094834	0.0736875	127.0	1126.3457865715027	0.0	0.53125	0.0	0.0	0.0
40	60.889526	29.848745	118.89451	22.296085	500.0	12.074433	5.049569	21.705477	-0.23524939	656000	2.2351742e-08	26.721182	-0.009789524	-6.5249624	1.3564423	0.0059688855	0.071375	127.0	1155.513365983963	0.0	0.65625	0.0	0.0	0.0
41	45.416607	18.370457	111.05058	25.089981	500.0	12.281217	5.1780267	23.814863	-5.7951617	672000	0.0	19.465046	-0.010603407	-7.690579	1.3564423	0.0056460234	0.075687505	127.0	1183.9560852050781	0.0	0.65625	0.0	0.0	0.0
42	48.38393	25.494717	112.79079	20.069029	500.0	10.631214	5.232325	22.462221	-11.493873	688000	7.450581e-09	18.827246	-0.008797308	-5.042232	1.3564423	0.007905472	0.078687504	127.0	1214.8308417797089	0.0	0.40625	0.0	0.0	0.0
43	43.7806	18.993792	96.24393	21.2518	500.0	10.637308	4.771484	23.185179	-6.846296	704000	-1.3038516e-08	13.318216	-0.0108852545	-3.216363	1.3564423	0.0069094794	0.0865625	127.0	1244.500267982483	0.0	0.34375	0.0	0.0	0.0
44	55.238243	28.03401	120.47288	25.222769	500.0	11.594488	5.2321386	23.875967	-2.7963722	720000	-2.6077032e-08	24.32288	-0.009415444	-4.047271	1.3564423	0.00766775	0.0728125	127.0	1274.1767175197601	0.0	0.625	0.0	0.0	0.0
45	51.625534	25.344875	108.01122	20.629206	500.0	12.596668	5.6289454	25.073036	-0.2082971	736000	-3.7252903e-09	20.88726	-0.009629695	-5.391505	1.3564423	0.008189024	0.08356251	127.0	1303.8750083446503	0.0	0.59375	0.0	0.0	0.0
46	47.76055	26.615772	131.01393	21.984825	500.0	10.948836	4.981002	24.700668	0.16047288	752000	-3.7252903e-09	19.378773	-0.008029606	-3.3512352	1.3564423	0.007572966	0.0676875	127.0	1331.6731441020966	0.0	0.46875	0.0	0.0	0.0
47	49.088173	21.479666	109.57479	20.484957	500.0	13.508129	5.690195	24.010698	3.0459566	768000	-7.450581e-09	22.524239	-0.009965217	-7.2646704	1.3564423	0.008225337	0.074375	127.0	1359.9821972846985	0.0	0.59375	0.0	0.0	0.0
48	67.7184	30.80488	125.453384	23.022678	500.0	12.98183	5.353101	25.245749	2.6806672	784000	1.4901161e-08	36.545612	-0.00927285	-14.097102	1.3564423	0.008228766	0.076000005	127.0	1388.7454743385315	0.0	0.84375	0.0	0.0	0.0
49	55.781197	30.601255	121.5238	24.494226	500.0	13.099232	6.1586924	27.153631	-0.07438913	800000	-2.2351742e-08	25.907585	-0.009511068	-3.6958537	1.3564423	0.006733274	0.082125	127.0	1415.610285282135	0.0	0.5	0.0	0.0	0.0
50	52.731106	28.203924	120.730446	23.271864	500.0	12.964496	6.38878	27.109016	-5.974539	816000	0.0	19.64584	-0.009136015	-3.7674522	1.3564423	0.008990157	0.092125	127.0	1442.495487689972	0.0	0.59375	0.0	0.0	0.0
51	56.218178	26.952402	124.18081	27.233	500.0	14.06886	6.8832006	27.766268	1.4956863	832000	-6.519258e-09	23.75631	-0.010387164	-4.7741346	1.3564423	0.007703104	0.090375	127.0	1472.1261749267578	0.0	0.53125	0.0	0.0	0.0
52	60.375065	35.808308	123.03302	20.620144	500.0	12.442106	7.0071115	28.349495	-9.812966	848000	0.0	36.643143	-0.010572106	-9.1932125	1.3564423	0.0073212767	0.0896875	127.0	1505.7634010314941	0.0	0.59375	0.0625	0.0	0.0
53	64.66995	33.527115	126.98345	22.548264	500.0	14.081835	6.9392962	29.042578	1.3925208	864000	1.4901161e-08	24.581251	-0.010456644	-4.5679555	1.3564423	0.007942583	0.086937495	127.0	1536.817031621933	0.0	0.6875	0.0	0.0	0.0
54	55.210415	33.159264	120.1206	16.534414	500.0	12.465435	7.7646255	29.827839	-6.069823	880000	3.7252903e-09	23.779575	-0.009026008	-4.5810466	1.3564423	0.0058878455	0.0755625	127.0	1568.3801522254944	0.0	0.59375	0.0	0.0	0.0
55	72.72989	38.358715	128.08455	11.96316	500.0	15.260027	8.023444	29.984539	-1.1548814	896000	-3.3527613e-08	32.083733	-0.01029957	-8.632586	1.3564423	0.008045271	0.0859375	127.0	1600.1650264263153	0.0	0.84375	0.0	0.0	0.0
56	71.2238	39.505882	128.32224	21.823326	500.0	16.018267	8.553969	31.636398	-2.3401937	912000	0.0	26.606518	-0.009903444	-7.262489	1.3564423	0.006093939	0.09324999	127.0	1628.215232849121	0.0	0.625	0.0	0.0	0.0
57	54.104187	30.327463	125.77413	22.876862	500.0	14.39208	8.322822	32.904568	-6.307026	928000	2.0489097e-08	25.043472	-0.010630362	-10.060793	1.3564423	0.0072916867	0.0866875	127.0	1659.6923644542694	0.0	0.40625	0.0	0.0	0.0
58	63.812912	35.036377	130.72388	22.490084	500.0	16.443193	8.612304	33.060318	-1.2696393	944000	-1.8626451e-09	38.70665	-0.009560531	-12.152452	1.3564423	0.0075384974	0.0819375	127.0	1693.7479372024536	0.0	0.65625	0.03125	0.0	0.0
59	66.24957	32.56707	127.868835	26.540865	500.0	14.40183	6.961443	31.34566	0.866909	960000	3.7252903e-08	25.01488	-0.008772324	-3.1417687	1.3564423	0.0065994975	0.080249995	127.0	1724.4777133464813	0.0	0.75	0.0	0.0	0.0
60	75.73897	32.74501	121.5383	27.832167	500.0	17.407227	8.244001	33.396202	0.307078	976000	-3.7252903e-09	24.928497	-0.009724977	-4.3051934	1.3564423	0.0061933487	0.080625	127.0	1756.643789768219	0.0	0.8125	0.0625	0.0	0.0
61	61.078453	28.128622	126.91943	28.319746	500.0	17.391848	7.8501363	34.710926	-2.322297	992000	2.2351742e-08	35.40696	-0.008830681	-11.326437	1.3564423	0.0063595935	0.068312496	127.0	1784.6596281528473	0.0	0.71875	0.0	0.0	0.0
62	76.38253	34.17223	137.22574	27.661179	500.0	17.018904	8.334964	33.95163	-0.8655789	1008000	3.7252903e-09	33.31997	-0.009809359	-5.766418	1.3564423	0.006961669	0.078999996	127.0	1815.69712972641	0.0	0.78125	0.03125	0.0	0.0
63	72.84236	35.031067	126.65576	6.076198	500.0	17.460024	8.43948	34.125317	-11.660106	1024000	-7.450581e-09	34.700382	-0.010755409	-8.0020075	1.3564423	0.007517954	0.0953125	127.0	1846.1580533981323	0.0	0.875	0.0	0.0	0.0
64	77.30521	37.789787	124.66287	25.138136	500.0	17.723942	9.473997	35.858837	-1.3883415	1040000	-1.4901161e-08	29.784294	-0.010311005	-6.7758923	1.3564423	0.009643933	0.095249996	127.0	1882.088607788086	0.0	0.78125	0.0	0.0	0.0
