Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2903866	0.32213485	1.7518864	0.027951289	500.0	-0.32715514	0.026532901	-0.17451231	-0.37509084	16000	3.9115548e-08	0.11623914	-0.0058585834	-0.10455976	1.3564423	0.0064717624	0.035625003	127.0	18.7182137966156	0.0	0.0	0.0	0.0	0.0
1	0.56721735	0.5137896	2.0153096	0.051555127	500.0	-0.013282472	0.006535789	0.034069292	-0.041445494	32000	-6.3329935e-08	0.023398591	-0.005890912	-0.012649811	1.3564423	0.0052152923	0.049625	127.0	38.637579679489136	0.0	0.0	0.0	0.0	0.0
2	0.7117145	0.5467737	2.313682	0.15204842	500.0	0.09881458	0.013025402	0.13263112	0.05583056	48000	-2.9802322e-08	0.015867814	-0.005037401	-0.0032351618	1.3564423	0.0059782136	0.041	127.0	58.62016749382019	0.0	0.0	0.0	0.0	0.0
3	1.850638	1.5594105	5.2216425	0.12643524	500.0	0.14547008	0.015836064	0.19755447	0.07594127	64000	-1.4901161e-08	0.18182188	-0.0064159	-0.07996148	1.3564423	0.008622414	0.0663125	127.0	81.07289505004883	0.0	0.0	0.0	0.0	0.0
4	3.1438627	2.133721	9.158249	0.528855	500.0	0.44522357	0.103473894	0.7289417	0.075924136	80000	-2.2351742e-08	0.33053666	-0.0055395723	-0.1359456	1.3564423	0.0044606505	0.056625	127.0	100.97791528701782	0.0	0.0	0.0	0.0	0.0
5	4.5016313	3.0852344	15.984968	0.81657416	500.0	0.8170913	0.34905094	1.5857586	0.0099598095	96000	0.0	0.57961476	-0.008065384	-0.15105839	1.3564423	0.00820473	0.097375005	127.0	120.67027616500854	0.0	0.0	0.0	0.0	0.0
6	6.2292	2.9558744	13.99837	1.9214008	500.0	1.3213822	0.5287538	2.3258	-0.04815103	112000	-3.7252903e-09	0.5761176	-0.008061827	-0.17777416	1.3564423	0.0076058498	0.0894375	127.0	139.49851179122925	0.0	0.0	0.0	0.0	0.0
7	10.35376	5.0675945	20.85001	3.4409115	500.0	1.7617983	0.85875016	3.3151803	-0.34148613	128000	-4.0978193e-08	1.9510511	-0.00922971	-0.81715107	1.3564423	0.009211811	0.10325	127.0	158.27040123939514	0.0	0.125	0.0	0.0	0.0
8	17.200346	6.3254714	33.598312	8.622182	500.0	2.8399317	1.3043545	4.7362165	-0.44990194	144000	-7.636845e-08	4.0316286	-0.0084436	-1.9866748	1.3564423	0.008801273	0.0886875	127.0	177.8344280719757	0.0	0.0625	0.0	0.0	0.0
9	21.004759	5.0210423	33.188442	12.658488	500.0	4.3815193	1.7512903	6.401349	-0.5527347	160000	1.4901161e-08	2.2732162	-0.009229682	-0.69487613	1.3564423	0.0065696808	0.07637501	127.0	197.54099655151367	0.0	0.0625	0.0	0.0	0.0
10	26.476274	8.002773	40.687687	13.223167	500.0	5.3481946	1.7974051	7.2561316	-0.10077096	176000	-2.9802322e-08	4.296671	-0.009223467	-0.9995351	1.3564423	0.0075281933	0.06825	127.0	218.37917304039001	0.0	0.28125	0.0	0.0	0.0
11	27.759945	7.3063188	41.98609	10.112838	500.0	6.32775	1.9125463	8.23462	0.08225765	192000	-5.5879354e-09	2.998111	-0.008369945	-0.20272438	1.3564423	0.006466459	0.053499997	127.0	238.98884963989258	0.0	0.09375	0.0	0.0	0.0
12	31.372223	6.1323466	42.921833	17.354136	500.0	6.8150706	1.9041346	8.638819	0.36698732	208000	2.9802322e-08	2.6047783	-0.0077714617	-0.5058397	1.3564423	0.0052176835	0.048750002	127.0	258.8478786945343	0.0	0.21875	0.0	0.0	0.0
13	31.651386	7.0951014	42.11735	12.514293	500.0	7.5938253	2.079699	9.400513	0.26648962	224000	0.0	2.7583046	-0.009219786	-0.08818864	1.3564423	0.0060540964	0.0623125	127.0	278.6055884361267	0.0	0.09375	0.0	0.0	0.0
14	32.96617	7.315192	55.40496	14.7610655	500.0	7.7296534	1.8852167	9.37611	1.1211908	240000	1.3038516e-08	3.0954082	-0.008422067	-0.19029757	1.3564423	0.006939409	0.0519375	127.0	299.17673993110657	0.0	0.15625	0.0	0.0	0.0
15	34.120296	7.2336974	41.4678	11.34389	500.0	7.9464607	2.032648	9.797887	0.7989855	256000	-1.4901161e-08	2.8012257	-0.008977201	-0.1644854	1.3564423	0.006328958	0.057375003	127.0	319.82211804389954	0.0	0.03125	0.0	0.0	0.0
16	35.68519	3.914973	44.629612	27.073902	500.0	8.075116	1.9005908	9.557792	0.4354007	272000	7.450581e-09	1.1009362	-0.0074903737	-0.12714571	1.3564423	0.0060430253	0.052375	127.0	339.4787333011627	0.0	0.0625	0.0	0.0	0.0
17	36.676746	8.407366	53.7403	16.058474	500.0	8.43655	1.8816164	10.001161	1.6094564	288000	-7.450581e-09	3.552245	-0.007732233	-0.860047	1.3564423	0.00689813	0.045374997	127.0	357.7206451892853	0.0	0.21875	0.0	0.0	0.0
18	38.884995	9.714017	69.929	25.275505	500.0	8.794279	2.1579251	10.772095	-0.14614911	304000	3.7252903e-09	5.1730614	-0.008699007	-0.8436364	1.3564423	0.006253143	0.0664375	127.0	377.5628705024719	0.0	0.3125	0.0	0.0	0.0
19	35.07287	5.878311	53.084335	23.188534	500.0	9.197115	2.245804	11.370204	1.3063147	320000	0.0	2.018331	-0.0074006245	-0.58644694	1.3564423	0.005250776	0.041812498	127.0	397.9223084449768	0.0	0.125	0.0	0.0	0.0
20	37.2321	8.098773	69.76825	15.226858	500.0	8.650385	2.1545866	10.894938	1.2621593	336000	-7.450581e-09	3.450748	-0.0072955545	-0.21417715	1.3564423	0.0033850814	0.055	127.0	418.30858874320984	0.0	0.09375	0.0	0.0	0.0
21	37.60571	11.069013	65.6649	14.7347355	500.0	8.812998	1.9459957	10.774457	1.8956149	352000	-1.8626451e-08	6.1014214	-0.008826062	-0.26189315	1.3564423	0.0070788204	0.0695	127.0	438.8075361251831	0.0	0.25	0.0	0.0	0.0
22	39.307964	9.492233	69.53007	26.71587	500.0	8.957693	1.9973986	11.134347	2.0897357	368000	1.6763806e-08	4.85338	-0.0077882363	-0.639806	1.3564423	0.0062660947	0.0591875	127.0	459.17223596572876	0.0	0.21875	0.0	0.0	0.0
23	35.910614	5.9852	58.765366	21.481468	500.0	9.344223	2.2174754	11.910709	1.6168327	384000	-3.9115548e-08	1.9072508	-0.010760082	-0.5782349	1.3564423	0.0072838347	0.070375	127.0	479.8720600605011	0.0	0.15625	0.0	0.0	0.0
24	37.499664	7.016795	67.17781	28.235897	500.0	8.840652	2.3193567	11.515063	1.2178541	400000	0.0	3.408645	-0.008489366	-0.15534137	1.3564423	0.00844328	0.0720625	127.0	500.1922650337219	0.0	0.15625	0.0	0.0	0.0
25	35.89598	7.9813886	71.77556	18.0491	500.0	8.88219	2.441909	11.670256	1.0884734	416000	7.450581e-09	2.309362	-0.008426489	-0.23325977	1.3564423	0.0072992025	0.066	127.0	519.8592698574066	0.0	0.0625	0.0	0.0	0.0
26	36.391514	3.2827687	41.6041	29.68749	500.0	9.173332	2.4376247	12.11361	1.2281516	432000	1.1175871e-08	0.7750574	-0.00917956	-0.28054443	1.3564423	0.006100593	0.06225	127.0	540.8945739269257	0.0	0.03125	0.0	0.0	0.0
27	38.788002	9.266554	86.843094	23.774107	500.0	8.898203	2.115092	11.3115015	1.5733232	448000	0.0	3.3511002	-0.0070725	-0.18416362	1.3564423	0.007826338	0.0659375	127.0	560.0887162685394	0.0	0.03125	0.0	0.0	0.0
28	35.888573	2.861191	41.10202	28.829695	500.0	9.07556	2.280947	11.741264	1.210886	464000	-1.1175871e-08	0.7786434	-0.0085555175	-0.3712515	1.3564423	0.0067580277	0.070375	127.0	580.7664513587952	0.0	0.0625	0.0	0.0	0.0
29	37.55802	3.0925794	42.26957	28.20037	500.0	8.825299	2.369308	11.825456	1.1255858	480000	1.4901161e-08	0.3811179	-0.008804627	-0.08694576	1.3564423	0.007393181	0.0621875	127.0	601.1212298870087	0.0	0.0	0.0	0.0	0.0
30	37.510498	8.6045475	75.69142	22.10522	500.0	9.023147	2.3012502	11.840826	1.2875062	496000	-1.4901161e-08	3.9023023	-0.007284175	-0.22815593	1.3564423	0.0056087608	0.05375	127.0	620.1217827796936	0.0	0.125	0.0	0.0	0.0
31	36.75051	5.7307124	42.692245	17.151817	500.0	8.930549	2.0749257	11.144609	1.9114201	512000	-1.4901161e-08	1.8307586	-0.010263863	-0.31511867	1.3564423	0.008783853	0.0750625	127.0	638.4573695659637	0.0	0.0	0.0	0.0	0.0
32	38.102375	5.8307114	51.9237	21.859825	500.0	8.667543	2.026226	10.578904	1.8974322	528000	8.381903e-09	2.2744102	-0.007930905	-0.2591148	1.3564423	0.0052153524	0.061875	127.0	660.2821247577667	0.0	0.0625	0.0	0.0	0.0
33	38.627117	10.821984	86.88004	21.721806	500.0	8.980129	1.9975245	10.650121	2.2516966	544000	-2.2351742e-08	5.126565	-0.007272898	-0.13849863	1.3564423	0.004602383	0.066062495	127.0	683.6731917858124	0.0	0.09375	0.0	0.0	0.0
34	38.60495	10.583391	80.31776	19.840048	500.0	9.063633	1.9292402	10.511308	2.5418775	560000	1.4901161e-08	5.558502	-0.006986174	-0.3002084	1.3564423	0.0054039545	0.0650625	127.0	704.54150557518	0.0	0.25	0.0	0.0	0.0
35	45.8569	18.206034	90.34445	21.95012	500.0	9.049566	1.9503185	10.9388075	2.5774174	576000	1.1175871e-08	17.467682	-0.008148661	-2.651147	1.3564423	0.0072979103	0.0710625	127.0	725.0474483966827	0.0	0.375	0.0	0.0	0.0
36	39.868473	21.951994	99.83482	16.946173	500.0	10.316945	2.2848115	12.606936	2.4678228	592000	-1.4901161e-08	20.478722	-0.007888595	-3.6681063	1.3564423	0.0069300896	0.0731875	127.0	748.9834673404694	0.0	0.1875	0.0	0.0	0.0
37	36.7931	16.958841	97.75517	14.901048	500.0	9.834583	2.7030137	14.077974	2.3080013	608000	1.1175871e-08	11.425924	-0.008967472	-1.6754003	1.3564423	0.0074949977	0.078125	127.0	772.4578804969788	0.0	0.0625	0.0	0.0	0.0
38	37.005463	7.8130455	66.32675	20.131525	500.0	9.840345	2.7584167	14.088233	0.41160172	624000	-2.0489097e-08	3.2721505	-0.0098939985	-1.1093826	1.3564423	0.0075520636	0.075500004	127.0	793.8591570854187	0.0	0.03125	0.0	0.0	0.0
39	39.324654	12.835639	89.62501	25.034449	500.0	9.636114	2.6007698	13.453713	2.7254627	640000	-1.6763806e-08	6.915913	-0.008129047	-0.17822254	1.3564423	0.0069263894	0.076000005	127.0	814.8887495994568	0.0	0.09375	0.0	0.0	0.0
40	39.586945	12.403768	84.99062	22.375307	500.0	9.764975	2.6066625	13.476749	2.9569871	656000	-1.4901161e-08	6.673604	-0.008052267	-0.18025376	1.3564423	0.0069622453	0.080375	127.0	836.288880109787	0.0	0.125	0.0	0.0	0.0
41	38.57585	10.797309	87.59724	25.037937	500.0	10.070563	2.7472131	13.422783	2.5766847	672000	0.0	6.084429	-0.007359705	-0.6718643	1.3564423	0.0059143333	0.063125	127.0	856.7027916908264	0.0	0.0625	0.0	0.0	0.0
42	33.88543	4.176682	40.687878	23.95176	500.0	9.572869	2.6154566	12.43709	2.716037	688000	-1.0803342e-07	2.2074714	-0.008727174	-1.1714255	1.3564423	0.0074780993	0.060625	127.0	875.724250793457	0.0	0.0	0.0	0.0	0.0
