Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.2903866	0.32213485	1.7518864	0.027951289	500.0	-0.32715514	0.026532901	-0.17451231	-0.37509084	16000	3.9115548e-08	0.11623914	-0.0058585834	-0.10455976	1.3564423	0.0064717624	0.035625003	127.0	21.121521472930908	0.0	0.0	0.0	0.0	0.0
1	0.57084656	0.5119534	2.0153096	0.051555127	500.0	-0.013282902	0.006314102	0.034069292	-0.041445494	32000	5.5879354e-08	0.023466818	-0.0056542503	-0.01272545	1.3564423	0.0047739814	0.04625	127.0	39.069737672805786	0.0	0.0	0.0	0.0	0.0
2	0.6993046	0.53687775	2.270297	0.15318835	500.0	0.09893782	0.012971936	0.13245828	0.056026176	48000	-7.450581e-09	0.01516526	-0.0050617773	-0.0029994466	1.3564423	0.0060494384	0.0425	127.0	57.876246213912964	0.0	0.0	0.0	0.0	0.0
3	1.8165903	1.5318234	5.1123133	0.145518	500.0	0.14296192	0.0153652225	0.1942034	0.07603346	64000	-3.7252903e-08	0.1752573	-0.0063107954	-0.07638407	1.3564423	0.008429667	0.066125005	127.0	78.58043479919434	0.0	0.0	0.0	0.0	0.0
4	2.971412	1.9786289	8.875476	0.4755371	500.0	0.4347913	0.09902892	0.71204185	0.1092673	80000	-1.1175871e-08	0.28304	-0.0056527383	-0.11608912	1.3564423	0.004299866	0.055875	127.0	98.82724285125732	0.0	0.0	0.0	0.0	0.0
5	4.3773246	2.9553337	15.3990345	0.7774907	500.0	0.7787701	0.34165722	1.5426764	0.005159065	96000	-2.9802322e-08	0.5445299	-0.008041532	-0.15068519	1.3564423	0.008353598	0.098187506	127.0	119.92258143424988	0.0	0.0	0.0	0.0	0.0
6	6.1022134	3.0151923	13.893943	1.7742214	500.0	1.2843174	0.51488817	2.2321641	-0.043475598	112000	5.5879354e-09	0.59667045	-0.007699798	-0.19483787	1.3564423	0.007291	0.085125	127.0	140.64550185203552	0.0	0.0	0.0	0.0	0.0
7	10.07453	4.9046755	20.946796	3.3695743	500.0	1.733573	0.8556432	3.2709796	-0.33110574	128000	6.519258e-08	1.8255866	-0.008933683	-0.77574575	1.3564423	0.0089738555	0.1028125	127.0	160.7654161453247	0.0	0.0	0.0	0.0	0.0
8	16.980356	6.359426	33.404522	7.6531167	500.0	2.7750552	1.2920816	4.6789474	-0.4673309	144000	-8.6613e-08	4.1493626	-0.008129009	-2.0420067	1.3564423	0.00842863	0.08475	127.0	182.4926631450653	0.0	0.09375	0.0	0.0	0.0
9	20.681267	5.6748877	33.87851	12.332945	500.0	4.318762	1.7824785	6.419311	-0.5710248	160000	1.7695129e-08	2.517087	-0.009807242	-0.70066345	1.3564423	0.0062745567	0.077562496	127.0	203.0120165348053	0.0	0.0625	0.0	0.0	0.0
10	26.1993	7.885649	40.81939	12.840116	500.0	5.258935	1.8358023	7.214969	-0.16587502	176000	6.61239e-08	4.398858	-0.009746991	-1.0854689	1.3564423	0.007890018	0.075312495	127.0	222.86813378334045	0.0	0.3125	0.0	0.0	0.0
11	29.329023	6.412128	41.400387	7.833433	500.0	6.3762097	2.0201795	8.233053	-0.19344698	192000	2.6077032e-08	2.6254563	-0.008245632	-0.4740207	1.3564423	0.006773554	0.055562504	127.0	244.7854151725769	0.0	0.09375	0.0	0.0	0.0
12	30.714817	6.8591356	48.524662	15.81972	500.0	7.1321464	2.1441016	8.972069	-0.14340845	208000	-1.1175871e-08	2.766751	-0.007489752	-0.21294813	1.3564423	0.005546605	0.048249997	127.0	267.0731682777405	0.0	0.15625	0.0	0.0	0.0
13	30.167007	7.2032075	39.255753	11.018175	500.0	7.5230346	2.1984518	9.670141	-0.045683675	224000	2.2351742e-08	3.139637	-0.008817049	-0.20356348	1.3564423	0.0058781356	0.06025	127.0	289.14043259620667	0.0	0.0625	0.0	0.0	0.0
14	34.11998	8.95888	55.980785	17.93789	500.0	7.4591203	1.9143972	9.14178	0.9271479	240000	-2.9802322e-08	4.5952992	-0.008226826	-0.6086019	1.3564423	0.0047524613	0.0535625	127.0	310.51433634757996	0.0	0.25	0.0	0.0	0.0
15	31.936787	9.3680105	44.53168	9.880292	500.0	8.154823	2.1502519	10.143184	0.66221064	256000	-7.450581e-09	4.890445	-0.008495562	-0.5186261	1.3564423	0.0064384225	0.060875002	127.0	332.01915860176086	0.0	0.09375	0.0	0.0	0.0
16	35.37189	7.982716	56.542343	16.904255	500.0	7.7744875	1.7981564	9.285964	1.8186101	272000	1.8626451e-08	3.0916238	-0.006898098	-0.5994601	1.3564423	0.007116718	0.058750004	127.0	354.95131611824036	0.0	0.125	0.0	0.0	0.0
17	34.11178	11.884688	60.0614	12.852965	500.0	8.217451	2.0094461	9.9466305	0.47815773	288000	1.6763806e-08	6.900001	-0.007912086	-0.6678504	1.3564423	0.0066567995	0.051125	127.0	378.21353340148926	0.0	0.34375	0.0	0.0	0.0
18	31.68771	10.494944	60.185165	16.21636	500.0	7.9033694	2.0953834	10.166247	-1.8006777	304000	1.4901161e-08	5.203489	-0.009060367	-0.9149983	1.3564423	0.007311154	0.059375003	127.0	401.2106921672821	0.0	0.34375	0.0	0.0	0.0
19	32.603436	8.754678	52.40246	17.513836	500.0	7.9060073	1.8590779	10.278312	1.6539557	320000	2.2351742e-08	3.1235294	-0.008253245	-0.40696788	1.3564423	0.0072390432	0.061812498	127.0	421.7626473903656	0.0	0.15625	0.0	0.0	0.0
20	36.578606	8.805625	64.42138	18.643167	500.0	8.074085	2.0356843	10.762216	1.7179703	336000	1.1175871e-08	4.156329	-0.009035647	-0.48199558	1.3564423	0.005906537	0.0691875	127.0	444.84483551979065	0.0	0.25	0.0	0.0	0.0
21	32.542572	7.1199684	56.519737	18.814402	500.0	8.854745	2.079726	11.486317	-0.6913983	352000	1.8626451e-08	3.0845423	-0.008600673	-0.7675214	1.3564423	0.0065056467	0.0605	127.0	467.54523158073425	0.0	0.125	0.0	0.0	0.0
22	32.58814	7.447169	66.12819	21.661976	500.0	8.120798	2.0174222	10.903503	1.5808798	368000	2.2351742e-08	2.712984	-0.0076603107	-0.37450436	1.3564423	0.008063801	0.058937497	127.0	491.8078610897064	0.0	0.125	0.0	0.0	0.0
23	31.418062	4.107698	46.58049	24.64477	500.0	7.963542	1.9453777	10.545219	1.4399489	384000	7.450581e-09	1.5839444	-0.008579612	-0.24076858	1.3564423	0.0073505724	0.06981251	127.0	516.7188143730164	0.0	0.15625	0.0	0.0	0.0
24	33.379543	6.879318	67.52705	25.670792	500.0	7.606366	1.8807602	9.858871	1.1097037	400000	1.1175871e-08	2.9085386	-0.0068208096	-0.19412524	1.3564423	0.007861704	0.058125	127.0	540.1447682380676	0.0	0.09375	0.0	0.0	0.0
25	33.9237	8.208779	74.67084	24.568201	500.0	7.905476	1.9410789	10.342127	0.99503016	416000	-2.2351742e-08	3.135662	-0.0067684455	-0.34436345	1.3564423	0.0058226204	0.0585	127.0	562.8034076690674	0.0	0.125	0.0	0.0	0.0
26	35.62858	8.797158	79.68817	24.127066	500.0	8.208589	2.013449	10.778536	1.006862	432000	-2.2351742e-08	4.0610056	-0.009343138	-0.52731025	1.3564423	0.006893608	0.066	127.0	587.2492136955261	0.0	0.09375	0.0	0.0	0.0
27	42.171482	17.00672	91.021545	19.560703	500.0	8.368061	1.9712396	11.498976	1.0303223	448000	-7.450581e-09	14.186821	-0.0074213957	-2.5906863	1.3564423	0.0052906424	0.048	127.0	610.5874292850494	0.0	0.21875	0.0	0.0	0.0
28	42.263046	18.10877	97.370384	24.763464	500.0	9.135718	2.2525203	13.132646	0.93840295	464000	0.0	12.548527	-0.008722629	-3.1561475	1.3564423	0.007328336	0.1038125	127.0	633.2779057025909	0.0	0.3125	0.0	0.0	0.0
29	41.05904	17.286644	93.44442	19.595148	500.0	9.736142	3.049102	15.387454	-3.6210723	480000	1.4901161e-08	10.4186535	-0.009235641	-1.4273129	1.3564423	0.009274323	0.0965	127.0	669.7058193683624	0.0	0.15625	0.0	0.0	0.0
30	43.587288	25.748312	100.57285	15.09601	500.0	10.6976	3.383256	16.315733	0.29728645	496000	1.4901161e-08	25.517677	-0.0075918343	-6.5420656	1.3564423	0.005869887	0.071187496	127.0	699.8143343925476	0.0	0.28125	0.0	0.0	0.0
31	32.011295	17.379362	97.64371	11.49185	500.0	9.772732	3.76295	17.961962	-3.8504035	512000	1.3038516e-08	20.914688	-0.00890747	-7.7743664	1.3564423	0.006806179	0.0745625	127.0	721.3833146095276	0.0	0.125	0.0	0.0	0.0
32	36.175655	20.40263	95.4565	11.567598	500.0	8.136982	2.64315	15.663197	0.15961578	528000	-1.1175871e-08	17.414474	-0.008776741	-0.8981212	1.3564423	0.0077343695	0.0765625	127.0	745.0366587638855	0.0	0.1875	0.0	0.0	0.0
33	40.121887	17.531939	83.911064	15.0881605	500.0	9.1226	2.8765764	15.954084	2.4368005	544000	1.1175871e-08	11.394812	-0.008293419	-1.4382193	1.3564423	0.0072671934	0.0675625	127.0	768.51011967659	0.0	0.21875	0.0	0.0	0.0
34	42.40176	19.427662	91.273895	22.764917	500.0	9.98814	3.2404895	16.843395	-2.1242907	560000	1.8626451e-08	15.312062	-0.007904883	-1.1045026	1.3564423	0.007376923	0.0744375	127.0	791.2485485076904	0.0	0.21875	0.0	0.0	0.0
35	39.06982	14.685278	99.275154	21.25	500.0	10.195645	3.0488775	16.697504	1.2443262	576000	5.5879354e-08	11.043351	-0.007964131	-1.5418122	1.3564423	0.008477241	0.065249994	127.0	812.394654750824	0.0	0.125	0.0	0.0	0.0
36	37.547737	15.053338	87.96544	17.64496	500.0	9.799633	2.8108878	17.982296	1.1011056	592000	-1.1175871e-08	11.886575	-0.0085378345	-1.6288244	1.3564423	0.0083077075	0.0661875	127.0	834.4142105579376	0.0	0.21875	0.0	0.0	0.0
