Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.09827841	0.059872508	0.3147469	0.027764276	500.0	-0.29827294	0.029701203	-0.16787967	-0.3533575	16000	-1.4901161e-08	0.07801466	-0.007213846	-0.07381385	1.3564423	0.0071710395	0.0604375	127.0	21.05175471305847	0.0	0.0	0.0	0.0	0.0
1	0.09145532	0.052212812	0.20620795	0.025464352	500.0	-0.048655618	0.024206525	0.022582322	-0.08394962	32000	3.3527613e-08	0.0033004428	-0.007930608	-0.0029912097	1.3564423	0.0064266534	0.06375	127.0	39.76449537277222	0.0	0.0	0.0	0.0	0.0
2	0.10849151	0.051827908	0.26548532	0.03490077	500.0	0.016527088	0.01582078	0.058951296	-0.030213803	48000	-3.3527613e-08	0.00029580103	-0.010015149	-0.00011867033	1.3564423	0.007361876	0.09175	127.0	60.06210446357727	0.0	0.0	0.0	0.0	0.0
3	0.18264906	0.11964913	0.5795093	0.044766787	500.0	0.019737374	0.008415945	0.05004087	-0.009479582	64000	-5.5879354e-08	0.0009483518	-0.0053566894	-0.0002960091	1.3564423	0.0067563523	0.047750004	127.0	79.82414078712463	0.0	0.0	0.0	0.0	0.0
4	0.30231497	0.16682541	0.7788395	0.07419803	500.0	0.028867787	0.010320661	0.0662351	-0.0023139343	80000	0.0	0.002347427	-0.005356392	-0.0011157994	1.3564423	0.0045856824	0.047625	127.0	98.91899347305298	0.0	0.0	0.0	0.0	0.0
5	0.55840886	0.3140251	1.3032403	0.08792347	500.0	0.056703333	0.009532507	0.0862399	0.016807653	96000	2.9802322e-08	0.008354854	-0.008689578	-0.0044508097	1.3564423	0.007058777	0.080625	127.0	117.2897698879242	0.0	0.0	0.0	0.0	0.0
6	0.8853098	0.4311441	2.46093	0.27911997	500.0	0.13836023	0.032131925	0.22143814	0.037597433	112000	3.7252903e-09	0.013575079	-0.0080401	-0.0053507574	1.3564423	0.006589695	0.0728125	127.0	136.64167070388794	0.0	0.0	0.0	0.0	0.0
7	1.6927025	1.2120347	4.6591454	0.40137494	500.0	0.20795685	0.070522204	0.36826554	0.0029577687	128000	-2.6077032e-08	0.109807625	-0.0054733623	-0.053039614	1.3564423	0.007994099	0.072	127.0	154.85692071914673	0.0	0.0	0.0	0.0	0.0
8	4.128484	2.5409255	9.87925	1.1800835	500.0	0.46578574	0.20485033	0.86894876	-0.13037826	144000	-2.0489097e-08	0.6096908	-0.0069887717	-0.34771365	1.3564423	0.007992573	0.074875	127.0	174.36108875274658	0.0	0.0	0.0	0.0	0.0
9	7.545661	2.902127	13.803505	0.56799984	500.0	1.130361	0.5667712	2.1973894	-0.26709992	160000	-6.146729e-08	1.0559051	-0.00777212	-0.6461227	1.3564423	0.005136254	0.077125	127.0	193.06419324874878	0.0	0.0	0.0	0.0	0.0
10	12.128711	4.3620744	27.858644	6.624184	500.0	2.142867	1.0653158	3.850381	-0.34830692	176000	1.8626451e-08	2.250514	-0.008279595	-0.97370636	1.3564423	0.0060865567	0.083000004	127.0	213.73128819465637	0.0	0.0625	0.0	0.0	0.0
11	16.51104	4.9409957	25.23213	6.8938217	500.0	3.2025292	1.4737478	5.4858584	-0.24453871	192000	-3.7252903e-09	2.5614057	-0.008156424	-1.1960984	1.3564423	0.0074293176	0.0871875	127.0	232.5521833896637	0.0	0.09375	0.0	0.0	0.0
