Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.4423218	0.46663275	2.2017767	0.05394578	500.0	-0.3054347	0.028101487	-0.14685446	-0.3537314	16000	-1.7508864e-07	0.12763323	-0.005802111	-0.11198752	1.3564423	0.0059963013	0.0395625	127.0	23.02867841720581	0.0	0.0	0.0	0.0	0.0
1	0.9644915	0.936766	4.306535	0.11045691	500.0	0.017987728	0.009616471	0.07491139	-0.020175073	32000	3.7252903e-09	0.06661668	-0.004331333	-0.029603474	1.3564423	0.0042759334	0.04525	127.0	40.992226362228394	0.0	0.0	0.0	0.0	0.0
2	2.2224147	2.3268538	9.897382	0.18729329	500.0	0.18250513	0.0155721875	0.2493935	0.11683077	48000	-8.568168e-08	0.34523976	-0.0054787886	-0.100913376	1.3564423	0.006853726	0.0560625	127.0	59.74339056015015	0.0	0.0	0.0	0.0	0.0
3	2.5816178	2.3523734	9.850118	0.29600206	500.0	0.43537298	0.086177245	0.75030994	0.23516908	64000	1.8626451e-09	0.3136484	-0.0075315014	-0.09932676	1.3564423	0.008584943	0.0826875	127.0	77.60974216461182	0.0	0.0	0.0	0.0	0.0
4	5.998294	3.7856376	17.689116	0.7440032	500.0	0.84451914	0.34390035	1.7713833	-0.0008247122	80000	-7.450581e-09	1.2021719	-0.0062782075	-0.51164484	1.3564423	0.004472842	0.06725	127.0	96.47340154647827	0.0	0.0	0.0	0.0	0.0
5	8.9493	4.294453	18.467413	1.4870548	500.0	1.6569569	0.7938145	3.205882	-0.12938799	96000	-7.450581e-09	1.4808459	-0.008278536	-0.5615216	1.3564423	0.008740917	0.10175	127.0	115.57782673835754	0.0	0.0	0.0	0.0	0.0
6	8.972999	3.446807	19.265984	3.918652	500.0	2.5886114	1.045463	4.2380257	-0.20640288	112000	2.9802322e-08	0.8556211	-0.008655468	-0.15992036	1.3564423	0.0066537643	0.0754375	127.0	133.9334270954132	0.0	0.0	0.0	0.0	0.0
7	13.817726	4.634044	23.614918	5.720979	500.0	2.6359234	1.2994837	4.694098	-0.57774454	128000	-1.8626451e-08	2.0715656	-0.008917525	-0.80859375	1.3564423	0.0076959096	0.095625	127.0	154.02679634094238	0.0	0.0	0.0	0.0	0.0
8	16.5512	5.48496	36.32444	9.593569	500.0	3.7543585	1.5705987	5.7890806	-0.2810601	144000	-2.2351742e-08	2.1482587	-0.007942823	-0.33655554	1.3564423	0.008607122	0.0798125	127.0	172.9256637096405	0.0	0.15625	0.0	0.0	0.0
9	20.19448	6.1546645	36.343216	8.644914	500.0	4.395658	1.5313538	6.03552	0.09388203	160000	1.8626451e-08	2.6710842	-0.007819893	-0.37671447	1.3564423	0.0064806277	0.079687506	127.0	192.5491111278534	0.0	0.0625	0.0	0.0	0.0
10	22.934559	8.35339	45.53364	10.677263	500.0	5.0751767	1.3921826	6.4734435	0.81998205	176000	-5.5879354e-08	3.876408	-0.006921391	-0.27391487	1.3564423	0.005726165	0.0635625	127.0	211.53749823570251	0.0	0.125	0.0	0.0	0.0
