Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.09749383	0.055447638	0.3214575	0.028359009	500.0	-0.28756365	0.030195309	-0.15577725	-0.34418303	16000	2.924353e-07	0.07307297	-0.007353001	-0.069140896	1.3564423	0.0071475776	0.061375	127.0	27.516416788101196	0.0	0.0	0.0	0.0	0.0
1	0.086693086	0.047943898	0.20951784	0.022391465	500.0	-0.046866585	0.02343136	0.019279659	-0.07970932	32000	-2.2351742e-08	0.0030777892	-0.00763821	-0.0028064307	1.3564423	0.0065856427	0.061312497	127.0	51.543463945388794	0.0	0.0	0.0	0.0	0.0
2	0.101279065	0.045813993	0.21866986	0.031676155	500.0	0.014304137	0.01568526	0.05624354	-0.029574212	48000	7.450581e-09	0.00025064603	-0.009878662	-9.2461414e-05	1.3564423	0.0071258396	0.0883125	127.0	73.83000135421753	0.0	0.0	0.0	0.0	0.0
3	0.18346348	0.13989362	0.61205727	0.040260244	500.0	0.017965604	0.00902596	0.048665717	-0.015006121	64000	2.2351742e-08	0.0012559071	-0.0055701747	-0.00040965775	1.3564423	0.0067696474	0.051625	127.0	95.47505021095276	0.0	0.0	0.0	0.0	0.0
4	0.3139099	0.17706133	0.8025602	0.076399095	500.0	0.029427506	0.011891462	0.06232982	-0.008246839	80000	-1.4901161e-08	0.0026177305	-0.005908614	-0.0012450975	1.3564423	0.0049617887	0.05125	127.0	116.6706531047821	0.0	0.0	0.0	0.0	0.0
5	0.5860658	0.37493554	1.778377	0.1037941	500.0	0.05935211	0.011581298	0.09539397	0.00787136	96000	-1.4901161e-08	0.011255991	-0.008532571	-0.0052644257	1.3564423	0.006982617	0.0799375	127.0	138.96851444244385	0.0	0.0	0.0	0.0	0.0
6	0.81829274	0.35180843	1.8210933	0.3149113	500.0	0.14950763	0.037316006	0.27168745	0.0240314	112000	-5.5879354e-08	0.007430657	-0.007863366	-0.0027286143	1.3564423	0.006142678	0.071687505	127.0	160.2014925479889	0.0	0.0	0.0	0.0	0.0
7	0.9486846	0.48691478	2.6241446	0.43764666	500.0	0.19089927	0.054398663	0.29970127	0.036532238	128000	-3.7252903e-09	0.012239059	-0.0077698166	-0.004483827	1.3564423	0.008760134	0.095125	127.0	181.91182494163513	0.0	0.0	0.0	0.0	0.0
8	1.2939837	1.4429014	8.728559	0.4372531	500.0	0.22950315	0.07047129	0.4434864	-0.0075649843	144000	0.0	0.104807466	-0.004828441	-0.03725459	1.3564423	0.008819466	0.0805	127.0	204.35930275917053	0.0	0.0	0.0	0.0	0.0
9	2.1207066	0.89023376	4.1263876	0.37974536	500.0	0.4334042	0.21834138	1.0263524	-0.14047515	160000	1.6763806e-08	0.034000937	-0.011270264	-0.017292172	1.3564423	0.00712582	0.0953125	127.0	225.98459267616272	0.0	0.0	0.0	0.0	0.0
10	2.344286	0.89328086	4.105604	0.69663495	500.0	0.578233	0.24854672	1.0513713	-0.03121762	176000	1.1175871e-08	0.024158426	-0.010792998	-0.0051550795	1.3564423	0.0062716845	0.0898125	127.0	250.51824116706848	0.0	0.0	0.0	0.0	0.0
11	3.513157	0.7062303	4.64565	1.2939979	500.0	0.7210229	0.25171313	1.0623683	0.06266254	192000	-4.4703484e-08	0.03106023	-0.01318665	-0.014414271	1.3564423	0.0073436983	0.1131875	127.0	272.099720954895	0.0	0.0	0.0	0.0	0.0
12	3.6490397	0.6972861	5.51076	2.2935328	500.0	0.89932877	0.2524283	1.2078882	-0.097405605	208000	-3.7252903e-08	0.019428898	-0.011326072	-0.0035629247	1.3564423	0.0069106156	0.088375	127.0	294.29588198661804	0.0	0.0	0.0	0.0	0.0
13	4.225685	0.6691658	5.6054244	2.3957264	500.0	0.91979	0.2492274	1.3189899	0.18657967	224000	4.4703484e-08	0.025762293	-0.008916846	-0.0067922315	1.3564423	0.007037539	0.0715625	127.0	317.76492714881897	0.0	0.0	0.0	0.0	0.0
14	4.04653	0.84238386	5.682646	2.538837	500.0	1.0469655	0.2445097	1.3406745	0.28136966	240000	1.4901161e-08	0.0450249	-0.007972689	-0.011069726	1.3564423	0.0059605734	0.057125002	127.0	341.1663267612457	0.0	0.0	0.0	0.0	0.0
15	4.567173	0.56266403	5.870909	3.014695	500.0	0.9888561	0.22454014	1.2824187	0.23576832	256000	3.7252903e-08	0.027925262	-0.0073719975	-0.009809623	1.3564423	0.0068249097	0.050750002	127.0	363.57575511932373	0.0	0.0	0.0	0.0	0.0
16	4.8672485	0.5904082	6.191845	3.7815568	500.0	1.0742178	0.19892767	1.2531722	0.42197043	272000	-2.9802322e-08	0.022651952	-0.008724684	-0.0045748176	1.3564423	0.0074399663	0.0726875	127.0	388.4059045314789	0.0	0.0	0.0	0.0	0.0
17	5.2391233	0.60855913	6.1478033	4.1540546	500.0	1.1250771	0.2283618	1.3528174	0.23072082	288000	0.0	0.021431554	-0.0067835096	-0.006813632	1.3564423	0.00477773	0.043250002	127.0	413.0001187324524	0.0	0.0	0.0	0.0	0.0
