Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.097049035	0.05461753	0.311055	0.027654858	500.0	-0.29783002	0.029895278	-0.16678995	-0.3533544	16000	1.8021092e-07	0.07764995	-0.007374469	-0.073455766	1.3564423	0.007155014	0.061	127.0	30.79453754425049	0.0	0.0	0.0	0.0	0.0
1	0.08522248	0.046920136	0.19936149	0.022584768	500.0	-0.048553195	0.023758505	0.020081826	-0.083152816	32000	-1.4901161e-08	0.0031621032	-0.007974295	-0.0028861496	1.3564423	0.0065242145	0.06625	127.0	56.72068524360657	0.0	0.0	0.0	0.0	0.0
2	0.112121075	0.05225712	0.25556332	0.035044305	500.0	0.014869381	0.01571866	0.055302747	-0.029874142	48000	2.2351742e-08	0.00030375845	-0.009549513	-0.00011465558	1.3564423	0.00695799	0.0864375	127.0	79.97063612937927	0.0	0.0	0.0	0.0	0.0
3	0.19015738	0.14413933	0.6363826	0.041908436	500.0	0.01985791	0.009017021	0.048083916	-0.011757672	64000	-1.1175871e-08	0.0012875566	-0.005256189	-0.00037963255	1.3564423	0.0067697433	0.0535625	127.0	110.79043459892273	0.0	0.0	0.0	0.0	0.0
4	0.32960513	0.1863643	0.84533125	0.08116904	500.0	0.030363398	0.01129843	0.070924275	-0.003573224	80000	3.7252903e-09	0.002884028	-0.0060049575	-0.0014041682	1.3564423	0.005061448	0.0499375	127.0	138.58842730522156	0.0	0.0	0.0	0.0	0.0
5	0.57476604	0.3505827	1.6650234	0.09837264	500.0	0.062388994	0.011266146	0.09761459	0.0033147484	96000	-7.450581e-09	0.0095936395	-0.008595363	-0.0044664587	1.3564423	0.0068460135	0.081062496	127.0	165.86886644363403	0.0	0.0	0.0	0.0	0.0
6	0.78350437	0.34737962	1.7716919	0.29070255	500.0	0.14654678	0.03501974	0.26035506	0.032289505	112000	1.8626451e-09	0.0068298895	-0.0077718855	-0.0022731244	1.3564423	0.006364991	0.075375	127.0	187.40009546279907	0.0	0.0	0.0	0.0	0.0
7	0.9075034	0.49959445	2.6761158	0.4120251	500.0	0.1813847	0.049150616	0.27306867	0.04130669	128000	1.6763806e-08	0.012213685	-0.0075168763	-0.0043806345	1.3564423	0.00863248	0.09775	127.0	213.2869737148285	0.0	0.0	0.0	0.0	0.0
8	1.1620505	1.115832	6.758262	0.4557512	500.0	0.21791561	0.062624335	0.41425896	0.011148721	144000	1.1175871e-08	0.05914182	-0.005028636	-0.020087713	1.3564423	0.008936056	0.08337501	127.0	235.35514569282532	0.0	0.0	0.0	0.0	0.0
9	2.1436734	0.8880062	4.107239	0.45703912	500.0	0.377458	0.167507	0.80410427	-0.15469739	160000	-9.126961e-08	0.041888237	-0.010839798	-0.023794401	1.3564423	0.0070236726	0.0990625	127.0	257.2922623157501	0.0	0.0	0.0	0.0	0.0
10	2.4716883	0.8516679	4.2258325	0.87447566	500.0	0.5683204	0.21818167	0.9503085	-0.010985684	176000	-3.7252903e-09	0.024718214	-0.011322618	-0.0055903653	1.3564423	0.006839142	0.094500005	127.0	279.6361315250397	0.0	0.0	0.0	0.0	0.0
11	3.556798	0.7481782	4.6182475	1.4752913	500.0	0.7026176	0.24078105	1.0197911	0.08611262	192000	-2.9802322e-08	0.033493068	-0.012918325	-0.016927961	1.3564423	0.008855848	0.125625	127.0	302.8396797180176	0.0	0.0	0.0	0.0	0.0
12	3.7647724	0.6004969	5.2369685	2.139258	500.0	0.90542454	0.25023592	1.1695148	-0.08636818	208000	-3.7252903e-09	0.014862149	-0.011616444	-0.0014747023	1.3564423	0.0077414094	0.088125	127.0	327.7699496746063	0.0	0.0	0.0	0.0	0.0
13	4.2005463	0.59488386	5.3755364	2.961495	500.0	0.93468887	0.24349162	1.258208	0.20929673	224000	-2.9802322e-08	0.021380655	-0.007960711	-0.0050089657	1.3564423	0.0063798865	0.065125	127.0	349.47123312950134	0.0	0.0	0.0	0.0	0.0
