Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.8196058	1.248221	4.173352	0.27610764	500.0	-0.36604783	0.03383767	-0.19273865	-0.40824652	16000	5.7742e-08	0.45104522	-0.0057080025	-0.35791427	1.3564423	0.0057923454	0.043375	127.0	32.880345821380615	0.0	0.0	0.0	0.0	0.0
1	4.3177004	4.305726	23.053171	0.45324722	500.0	0.2214354	0.019039292	0.26684946	0.15266784	32000	-2.9802322e-08	1.131269	-0.005054093	-0.36214763	1.3564423	0.005996489	0.0495625	127.0	60.752758741378784	0.0	0.0	0.0	0.0	0.0
2	9.013367	6.6432796	27.685976	1.0272505	500.0	0.8236178	0.04525095	0.89505655	0.5219669	48000	1.3038516e-08	3.01509	-0.005173498	-1.0386405	1.3564423	0.005776797	0.040062502	127.0	83.23355722427368	0.0	0.0	0.0	0.0	0.0
3	10.54785	6.214586	25.603163	2.6599033	500.0	1.7986296	0.17591628	2.1469762	1.0251036	64000	0.0	2.500862	-0.0072079897	-0.43712682	1.3564423	0.0068567456	0.0565625	127.0	101.68825674057007	0.0	0.0	0.0	0.0	0.0
4	21.620087	9.930936	54.53213	7.472208	500.0	2.4413211	0.2777932	2.9638762	0.9729276	80000	2.2351742e-08	10.973956	-0.0062947143	-4.6958323	1.3564423	0.004477634	0.0436875	127.0	123.07344579696655	0.0	0.125	0.0	0.0	0.0
5	23.936928	8.112294	42.171097	4.8933086	500.0	4.5008	0.43301827	5.117696	1.8401549	96000	3.7252903e-08	6.0767612	-0.008065425	-1.3146242	1.3564423	0.0045135855	0.0514375	127.0	142.67093443870544	0.0	0.03125	0.0	0.0	0.0
6	24.968689	7.451241	47.558372	11.279777	500.0	5.323845	0.72351265	6.3334475	0.88852805	112000	-1.6763806e-08	5.4446363	-0.007140506	-1.5356847	1.3564423	0.006135852	0.051625002	127.0	164.10835766792297	0.0	0.125	0.0	0.0	0.0
7	28.582687	8.299821	48.707966	11.330438	500.0	5.909461	1.5451927	7.520847	-1.4283463	128000	-3.7252903e-09	5.516054	-0.008585604	-0.99600935	1.3564423	0.0072939694	0.0694375	127.0	184.3454360961914	0.0	0.125	0.0	0.0	0.0
8	32.415215	9.053077	67.19322	19.83932	500.0	6.924871	1.8140931	8.568458	-1.2217224	144000	-7.450581e-09	6.5577116	-0.008193696	-0.5523431	1.3564423	0.0071480013	0.066	127.0	203.65550565719604	0.0	0.1875	0.0	0.0	0.0
9	35.06967	12.062309	73.41409	17.628813	500.0	7.719753	1.7727966	9.0961075	-0.3207029	160000	-1.4901161e-08	10.09622	-0.008687474	-0.29675516	1.3564423	0.0056115687	0.067875	127.0	223.2546968460083	0.0	0.28125	0.0	0.0	0.0
10	40.06585	11.062994	76.629135	21.980478	500.0	8.240547	1.530063	9.330164	1.315341	176000	-2.9802322e-08	8.998165	-0.008930767	-0.8065766	1.3564423	0.0060110926	0.06575	127.0	246.93739771842957	0.0	0.28125	0.0	0.0	0.0
11	42.35692	10.277647	71.68502	21.23668	500.0	9.08618	1.653048	10.112435	1.394436	192000	-2.2351742e-08	7.0837336	-0.00911504	-0.5781349	1.3564423	0.0066105183	0.059062503	127.0	268.1570785045624	0.0	0.34375	0.0	0.0	0.0
