Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	2.7003474	2.7869186	10.1357155	0.30564064	500.0	-0.38504934	0.034333505	-0.20778984	-0.42914206	16000	-4.8428774e-08	0.9707421	-0.004439869	-0.6049051	1.3564423	0.0061360225	0.0430625	127.0	22.642523288726807	0.0	0.0	0.0	0.0	0.0
1	6.0643783	6.2634244	31.968311	0.38183665	500.0	0.38285407	0.023655677	0.43704242	0.26823175	32000	1.8626451e-08	2.3155246	-0.0047097914	-0.6310745	1.3564423	0.003932176	0.034625	127.0	43.137768030166626	0.0	0.0	0.0	0.0	0.0
2	7.370242	5.70244	22.796732	0.7718362	500.0	1.1733782	0.054815836	1.2516224	0.7674329	48000	3.7252903e-09	1.8746623	-0.005982926	-0.261392	1.3564423	0.005987933	0.054500002	127.0	64.44407677650452	0.0	0.0	0.0	0.0	0.0
3	11.881385	6.743491	30.74259	2.5051858	500.0	1.5889673	0.15020227	1.8605305	0.81644505	64000	-1.8626451e-08	3.389991	-0.007211242	-1.1105918	1.3564423	0.008001395	0.058125	127.0	84.39665031433105	0.0	0.0	0.0	0.0	0.0
4	19.076067	6.923233	33.757324	5.3668885	500.0	2.610859	0.31167015	3.126071	0.81870747	80000	1.8626451e-09	6.0988092	-0.007398231	-2.645977	1.3564423	0.0049888697	0.042	127.0	104.15507340431213	0.0	0.0	0.0	0.0	0.0
5	23.787685	8.11158	39.722996	9.209961	500.0	4.0738015	0.56214434	4.93741	1.0481808	96000	-1.6763806e-08	6.7524242	-0.0064911703	-2.427631	1.3564423	0.0048323544	0.039125	127.0	124.2838876247406	0.0	0.0625	0.0	0.0	0.0
6	23.662937	9.345732	59.13815	10.595447	500.0	5.1777916	1.0728358	6.670319	0.09343536	112000	7.450581e-09	5.5205975	-0.008767771	-1.1033696	1.3564423	0.0063002734	0.0656875	127.0	144.65477228164673	0.0	0.0625	0.0	0.0	0.0
7	32.849762	11.295299	58.91981	13.607528	500.0	5.795262	1.7564831	7.7955585	-0.81130713	128000	3.5390258e-08	11.485525	-0.009252109	-3.4027472	1.3564423	0.007708755	0.0773125	127.0	164.6731414794922	0.0	0.4375	0.0	0.0	0.0
8	35.852985	9.732511	61.917557	21.663198	500.0	7.6063027	1.8130022	9.17116	-0.07108615	144000	-1.4901161e-08	7.5867414	-0.0077932593	-0.8225684	1.3564423	0.0059497375	0.060687497	127.0	187.92212629318237	0.0	0.375	0.0	0.0	0.0
9	40.958923	9.325268	63.638344	22.709158	500.0	8.44472	2.1198773	10.03751	-0.6779171	160000	3.3527613e-08	6.727128	-0.008269012	-1.1228123	1.3564423	0.0048547555	0.0630625	127.0	208.1122531890869	0.0	0.34375	0.0	0.0	0.0
10	37.858078	10.176301	62.49574	21.020592	500.0	9.593295	1.9489809	10.881869	0.70160556	176000	1.4901161e-08	8.157139	-0.0070803943	-0.722273	1.3564423	0.0063419184	0.0519375	127.0	227.82309126853943	0.0	0.34375	0.0	0.0	0.0
11	42.936398	13.558755	83.431366	26.498476	500.0	9.017057	1.5176299	10.081908	2.033207	192000	-1.4901161e-08	12.515116	-0.0083016865	-0.64210725	1.3564423	0.00715358	0.0734375	127.0	248.04920840263367	0.0	0.46875	0.0	0.0	0.0
12	48.80979	12.95046	89.42573	25.245264	500.0	9.689403	1.5801996	10.62767	1.4124807	208000	-2.4214387e-08	11.817367	-0.008249449	-1.5834128	1.3564423	0.007009259	0.0588125	127.0	270.8831489086151	0.0	0.625	0.0	0.0	0.0
13	48.82584	15.540204	77.566444	27.816174	500.0	10.832398	1.751889	11.755308	1.5399688	224000	-3.7252903e-09	15.492954	-0.0076173036	-0.24792808	1.3564423	0.0077660545	0.0741875	127.0	291.9204246997833	0.0	0.65625	0.0	0.0	0.0
14	48.783577	14.930344	96.43631	22.147062	500.0	11.135517	1.8476378	12.142916	1.9879565	240000	7.450581e-09	12.966299	-0.0075527984	-0.12195808	1.3564423	0.0073055327	0.053125	127.0	312.08172082901	0.0	0.4375	0.0	0.0	0.0
15	54.465115	17.832113	99.003265	33.848904	500.0	11.106031	1.5811981	11.986851	3.5006206	256000	-1.4901161e-08	20.644232	-0.008102169	-0.96158946	1.3564423	0.008903668	0.0733125	127.0	333.890460729599	0.0	0.6875	0.0	0.0	0.0
16	52.3326	15.743951	97.51381	28.356314	500.0	12.005283	1.474894	12.727299	3.8574266	272000	-1.8626451e-09	14.870033	-0.008927546	-0.09864782	1.3564423	0.008851898	0.0844375	127.0	355.75384640693665	0.0	0.625	0.0	0.0	0.0
17	54.37597	22.389767	126.15549	30.33093	500.0	11.845641	1.4105015	12.508806	3.8769293	288000	-3.7252903e-09	23.602205	-0.0069691013	-0.17196295	1.3564423	0.0076507395	0.06506251	127.0	377.81003737449646	0.0	0.625	0.0	0.0	0.0
18	68.3113	26.67214	128.6809	34.07283	500.0	12.065246	1.468214	12.797819	4.052749	304000	3.7252903e-09	42.86107	-0.007617717	-6.9914975	1.3564423	0.006833166	0.062125	127.0	399.245480298996	0.0	0.65625	0.0	0.0	0.0
19	67.27344	23.64715	126.01961	40.14257	500.0	14.141519	1.8220409	14.933689	3.9860852	320000	-2.9802322e-08	32.820183	-0.0071706222	-1.6050328	1.3564423	0.006007807	0.0634375	127.0	420.9936351776123	0.0	0.6875	0.0	0.0	0.0
20	62.87951	21.876059	115.70681	36.4159	500.0	14.60557	2.119937	15.872428	4.8531423	336000	1.4901161e-08	25.30607	-0.008486288	-0.33762437	1.3564423	0.008998759	0.0766875	127.0	442.2458257675171	0.0	0.71875	0.0	0.0	0.0
21	65.57172	26.072746	136.5549	38.42544	500.0	14.292009	2.0629961	15.771103	5.6849504	352000	7.450581e-09	32.177357	-0.008309087	-0.85773695	1.3564423	0.0065236622	0.06825	127.0	464.56252121925354	0.0	0.75	0.0	0.0	0.0
22	65.46362	28.798157	128.93845	28.917227	500.0	14.411075	2.0816526	16.163822	5.976528	368000	4.8428774e-08	38.002613	-0.008420763	-2.4711013	1.3564423	0.009675448	0.080125004	127.0	486.1139109134674	0.0	0.65625	0.0	0.0	0.0
23	64.98134	28.26927	138.64041	33.598892	500.0	14.116762	2.2111485	16.892536	5.9507556	384000	-7.450581e-09	34.911003	-0.0089010745	-2.4418128	1.3564423	0.009828521	0.0831875	127.0	513.4654088020325	0.0	0.625	0.0	0.0	0.0
24	60.623447	28.029026	129.36644	25.033386	500.0	14.469011	2.5663106	17.586063	2.087647	400000	1.8626451e-08	32.232456	-0.010646999	-3.957127	1.3564423	0.011159569	0.0954375	127.0	543.3464016914368	0.0	0.78125	0.0	0.0	0.0
25	80.43047	36.45007	138.83371	37.86147	500.0	14.58306	2.6130724	17.959082	5.520119	416000	-1.1175871e-08	65.42978	-0.009072982	-12.916134	1.3564423	0.008653607	0.076875	127.0	565.3150832653046	0.0	0.75	0.0	0.0	0.0
26	63.926872	28.867329	153.71054	36.188618	500.0	15.336168	3.7131648	20.032358	3.4435668	432000	0.0	33.19957	-0.009787333	-3.8680582	1.3564423	0.008753296	0.08675	127.0	587.1764094829559	0.0	0.5625	0.03125	0.0	0.0
27	68.637665	31.267885	154.8458	25.93364	500.0	14.017257	4.046094	20.223246	-3.2899737	448000	1.8626451e-08	43.21954	-0.007923912	-3.6612663	1.3564423	0.005598704	0.0545625	127.0	608.5107474327087	0.0	0.5	0.0	0.0	0.0
