Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.8459988	0.44709507	2.214807	0.29359964	500.0	-0.36532226	0.029528689	-0.22320826	-0.41176736	16000	1.9744039e-07	0.21217653	-0.0061232066	-0.1908931	1.3564423	0.005855927	0.036937498	127.0	21.000200986862183	0.0	0.0	0.0	0.0	0.0
1	1.0248642	0.44337064	1.8387825	0.13721977	500.0	0.06932521	0.025149493	0.15659685	-0.005150035	32000	-7.0780516e-08	0.021544479	-0.0054912516	-0.012885379	1.3564423	0.0056739934	0.0384375	127.0	39.57629752159119	0.0	0.0	0.0	0.0	0.0
2	1.1847854	0.62917554	3.8225737	0.45624763	500.0	0.18269625	0.025646208	0.24259244	0.09142426	48000	-2.9802322e-08	0.020069243	-0.005906944	-0.0031896369	1.3564423	0.0061382344	0.06025	127.0	58.03848576545715	0.0	0.0	0.0	0.0	0.0
3	1.2743404	0.4786651	2.5887585	0.34156078	500.0	0.22466363	0.025088416	0.28642333	0.1403146	64000	5.9604645e-08	0.008575562	-0.008248929	-0.0016842829	1.3564423	0.009598026	0.0718125	127.0	77.16109800338745	0.0	0.0	0.0	0.0	0.0
4	1.9011128	1.6796545	10.872095	0.6999944	500.0	0.2640913	0.027399858	0.32537496	0.13873819	80000	-1.1175871e-08	0.15593523	-0.004551191	-0.03848055	1.3564423	0.0064020455	0.062	127.0	96.92395806312561	0.0	0.0	0.0	0.0	0.0
5	1.8897214	1.9674491	12.345165	0.4451036	500.0	0.37506765	0.06089693	0.69200146	0.19696367	96000	-1.1175871e-08	0.14167707	-0.0049999626	-0.051734444	1.3564423	0.005361149	0.0501875	127.0	116.16102814674377	0.0	0.0	0.0	0.0	0.0
6	1.6943444	0.65686697	3.641837	0.72115177	500.0	0.47312602	0.17715481	1.6972767	0.009394616	112000	-1.8626451e-08	0.03650888	-0.0090012755	-0.017605932	1.3564423	0.007114089	0.075937495	127.0	134.66607332229614	0.0	0.0	0.0	0.0	0.0
7	2.6234827	2.576964	13.475786	0.64127946	500.0	0.4337699	0.14098538	1.12254	0.18779114	128000	1.8626451e-08	0.3656987	-0.004647564	-0.22382301	1.3564423	0.00617485	0.067375	127.0	152.89042496681213	0.0	0.0625	0.0	0.0	0.0
8	2.1926641	0.68743217	3.685037	0.69555	500.0	0.56268567	0.21377437	1.3724592	-0.095378235	144000	-1.1175871e-08	0.029706474	-0.010314342	-0.011183938	1.3564423	0.00899153	0.0910625	127.0	171.9706530570984	0.0	0.0	0.0	0.0	0.0
9	3.956863	5.0411	27.349442	0.87907165	500.0	0.8093196	0.5179465	3.3861387	0.015356466	160000	-7.450581e-09	0.6932429	-0.006233417	-0.34733754	1.3564423	0.005909907	0.08175	127.0	189.9344699382782	0.0	0.0	0.0	0.0	0.0
