Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	2.6745968	2.6899977	9.705022	0.31844828	500.0	-0.3843167	0.034412052	-0.20892972	-0.4278311	16000	-7.4505806e-08	0.9407619	-0.0044402494	-0.5964776	1.3564423	0.006373398	0.0448125	127.0	30.245033025741577	0.0	0.0	0.0	0.0	0.0
1	5.996786	6.3931375	31.888569	0.38593945	500.0	0.3796662	0.029139344	0.42918774	0.22657344	32000	-1.4901161e-08	2.368737	-0.0048616445	-0.63152087	1.3564423	0.0046693636	0.0376875	127.0	48.019779682159424	0.0	0.0	0.0	0.0	0.0
2	7.6621814	6.562838	30.754293	0.7662519	500.0	1.171115	0.06258204	1.2397324	0.6877881	48000	-2.6077032e-08	2.334779	-0.0054119998	-0.32665968	1.3564423	0.0056690103	0.049625	127.0	67.54139733314514	0.0	0.0	0.0	0.0	0.0
3	11.549614	6.747297	30.841639	1.8238398	500.0	1.6519818	0.15670916	1.9313481	0.78679633	64000	-1.8626451e-09	3.1626737	-0.006887561	-0.9189986	1.3564423	0.006941734	0.0569375	127.0	86.4693832397461	0.0	0.0	0.0	0.0	0.0
4	19.048141	6.8968325	33.560684	5.5348926	500.0	2.5710855	0.33286262	3.0859973	0.6689209	80000	-5.5879354e-09	6.216072	-0.006977958	-2.7283466	1.3564423	0.005689689	0.044875	127.0	104.92051863670349	0.0	0.0	0.0	0.0	0.0
5	23.41697	7.9059186	41.515373	9.089606	500.0	4.06882	0.5951184	5.062114	0.8823965	96000	2.2351742e-08	6.1343913	-0.0065899133	-2.2765472	1.3564423	0.005478031	0.0465625	127.0	126.96193647384644	0.0	0.0625	0.0	0.0	0.0
6	23.562569	7.9822702	49.4182	10.814426	500.0	5.1641364	1.1225008	6.6892614	-0.20532048	112000	1.4901161e-08	4.7078433	-0.009192852	-0.91455543	1.3564423	0.007544411	0.070999995	127.0	148.67411851882935	0.0	0.03125	0.0	0.0	0.0
7	33.201218	11.754788	63.96575	20.072977	500.0	5.863941	1.7430702	7.7143917	-0.9361712	128000	-1.1175871e-08	12.140675	-0.00872958	-3.4631026	1.3564423	0.0071966443	0.074875	127.0	169.45890164375305	0.0	0.375	0.0	0.0	0.0
8	35.451942	8.619667	59.69474	23.096493	500.0	7.6197686	1.8593111	9.183541	-0.22718987	144000	1.4901161e-08	6.412853	-0.00831693	-0.600484	1.3564423	0.0065695276	0.063062504	127.0	192.94129943847656	0.0	0.4375	0.0	0.0	0.0
9	41.52591	9.98161	67.853226	22.350367	500.0	8.402119	2.0205085	9.8733635	-0.28549704	160000	1.4901161e-08	7.2094865	-0.008520291	-1.4060218	1.3564423	0.0049348157	0.061125	127.0	213.732656955719	0.0	0.3125	0.0	0.0	0.0
