Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.0996842	0.7106687	3.3217123	0.24478993	500.0	-0.35740528	0.02703437	-0.21345761	-0.39226538	16000	1.1175871e-07	0.26514953	-0.0059204665	-0.22786418	1.3564423	0.0060747336	0.046187498	127.0	24.100056886672974	0.0	0.0	0.0	0.0	0.0
1	1.5052052	0.8678767	4.032076	0.15011813	500.0	0.11486755	0.017541504	0.16363539	0.049190924	32000	2.9802322e-08	0.065811485	-0.006013608	-0.03139143	1.3564423	0.0063213757	0.0430625	127.0	43.89936351776123	0.0	0.0	0.0	0.0	0.0
2	2.856542	3.2147846	15.409805	0.6566023	500.0	0.29703662	0.019190889	0.32774776	0.16096395	48000	1.1175871e-08	0.68839043	-0.0052457987	-0.14620957	1.3564423	0.006696162	0.053375	127.0	62.3119843006134	0.0	0.0	0.0	0.0	0.0
3	4.736035	2.9124222	14.394741	0.72638375	500.0	0.6110728	0.14368927	1.0325042	0.1302349	64000	-1.8626451e-09	0.7095177	-0.0069198785	-0.3149652	1.3564423	0.009373955	0.0715	127.0	82.60215091705322	0.0	0.0	0.0	0.0	0.0
4	7.660934	5.3497577	21.364262	1.0608047	500.0	1.1269947	0.39899674	2.0157363	-0.15674278	80000	-2.2351742e-08	1.993832	-0.005721097	-0.9220925	1.3564423	0.0065925	0.051375	127.0	103.02210927009583	0.0	0.0	0.0	0.0	0.0
5	12.282507	6.394548	25.363665	1.397483	500.0	2.0133774	1.0869131	3.9105814	-0.55562377	96000	-7.450581e-09	3.1719372	-0.007057037	-1.5296264	1.3564423	0.0054770373	0.0710625	127.0	121.21826815605164	0.0	0.0625	0.0	0.0	0.0
6	15.907726	7.074396	29.432896	4.833145	500.0	3.3913794	1.7774554	6.1161103	-0.8050883	112000	-1.4901161e-08	3.3287692	-0.0077956542	-0.8879695	1.3564423	0.0074422527	0.079500005	127.0	139.8421607017517	0.0	0.03125	0.0	0.0	0.0
7	18.739273	6.9105043	42.40271	10.491829	500.0	4.392484	2.2178884	7.305019	-0.88959706	128000	7.450581e-09	3.260553	-0.008681959	-0.4107049	1.3564423	0.008668122	0.0810625	127.0	158.37676405906677	0.0	0.09375	0.0	0.0	0.0
8	24.450361	7.037001	40.715824	11.370136	500.0	5.2184043	2.2492843	7.7889743	-0.20089921	144000	-2.9802322e-08	4.4208937	-0.008362516	-0.9807433	1.3564423	0.0085577	0.0766875	127.0	177.7519509792328	0.0	0.0625	0.0	0.0	0.0
9	30.441175	10.176242	59.149853	14.0897	500.0	6.2793703	2.146693	8.407077	0.20982243	160000	-1.4901161e-08	7.1753817	-0.007885177	-1.2733042	1.3564423	0.0066770427	0.078875	127.0	197.86788153648376	0.0	0.25	0.0	0.0	0.0
10	32.04323	8.561332	63.138325	16.934593	500.0	7.555375	2.310758	9.376629	0.12915294	176000	7.450581e-09	4.6608644	-0.009297409	-0.2633772	1.3564423	0.0061390214	0.0715625	127.0	218.8524615764618	0.0	0.09375	0.0	0.0	0.0
11	33.878853	13.8573	82.63601	6.632076	500.0	7.7916503	1.8770759	9.236206	1.2527046	192000	2.2351742e-08	10.713705	-0.008703185	-0.3779107	1.3564423	0.0073182746	0.0814375	127.0	238.72055196762085	0.0	0.3125	0.0	0.0	0.0
12	38.3961	13.681916	66.864685	17.541737	500.0	7.8823614	2.165237	9.565457	1.1307881	208000	0.0	11.489584	-0.008098719	-1.4807359	1.3564423	0.0061955173	0.062937506	127.0	260.9689390659332	0.0	0.46875	0.0	0.0	0.0
13	36.8173	15.588161	82.484344	1.4296043	500.0	9.140407	2.4715962	10.832979	0.8781796	224000	-1.8626451e-08	11.131296	-0.00837213	-0.60794044	1.3564423	0.00959548	0.0730625	127.0	280.89302825927734	0.0	0.3125	0.0	0.0	0.0
14	35.032787	15.618419	64.37155	1.0600464	500.0	8.878264	2.4278064	10.490296	1.7444302	240000	7.450581e-09	9.108111	-0.007838021	-0.5661623	1.3564423	0.007698211	0.0686875	127.0	300.74921798706055	0.0	0.3125	0.0	0.0	0.0
15	40.682045	18.665283	97.00732	18.855902	500.0	8.687837	1.9092047	9.88957	1.5157163	256000	0.0	18.058193	-0.008673029	-0.5907884	1.3564423	0.00884066	0.0824375	127.0	320.19923210144043	0.0	0.46875	0.0	0.0	0.0
16	44.314327	14.761484	91.38066	16.283201	500.0	9.437584	1.8586242	10.555243	1.6646177	272000	-2.9802322e-08	11.914278	-0.008219611	-1.3168063	1.3564423	0.008029674	0.071125	127.0	342.8121430873871	0.0	0.53125	0.0	0.0	0.0
17	50.33507	22.765963	114.04594	22.397577	500.0	9.947443	2.2658317	11.6265	0.019951766	288000	-2.6077032e-08	28.444132	-0.00925158	-3.9023473	1.3564423	0.008791484	0.0876875	127.0	364.45332956314087	0.0	0.5625	0.0	0.0	0.0
18	52.913124	25.909483	116.16573	27.355612	500.0	11.402765	2.4963148	13.095931	2.0558112	304000	-2.9802322e-08	29.74895	-0.008607075	-1.548923	1.3564423	0.0074502435	0.068875	127.0	383.34834265708923	0.0	0.46875	0.0	0.0	0.0
