Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.2801602	0.67052245	3.6655993	0.40228286	500.0	-0.36620805	0.02683551	-0.22272192	-0.4026277	16000	1.8626451e-08	0.3053068	-0.0060016634	-0.26584753	1.3564423	0.006177331	0.051250003	127.0	19.78373432159424	0.0	0.0	0.0	0.0	0.0
1	1.8302083	0.93759817	4.8106394	0.28657272	500.0	0.14237787	0.018646896	0.187163	0.07057131	32000	-2.9802322e-08	0.0875908	-0.006424192	-0.045923173	1.3564423	0.007091133	0.050625	127.0	38.41312861442566	0.0	0.0	0.0	0.0	0.0
2	3.9758558	3.4191816	17.277678	0.88437235	500.0	0.36143023	0.02435387	0.3963812	0.18224975	48000	-1.4901161e-08	0.89999545	-0.0057368344	-0.27156815	1.3564423	0.0066658454	0.050875	127.0	57.035887479782104	0.0	0.0	0.0	0.0	0.0
3	5.8788633	3.3556437	14.982414	1.0016963	500.0	0.8029629	0.1573856	1.2275859	0.18504316	64000	-7.450581e-09	0.9972169	-0.0076711783	-0.45454824	1.3564423	0.009754905	0.0765625	127.0	75.72457122802734	0.0	0.0	0.0	0.0	0.0
4	8.162498	4.1485744	17.96459	1.8576642	500.0	1.4127584	0.44500807	2.3448176	-0.266064	80000	-2.2351742e-08	1.362081	-0.0059614507	-0.6542988	1.3564423	0.005964107	0.047	127.0	93.51882433891296	0.0	0.0	0.0	0.0	0.0
5	12.048753	5.7175503	25.355001	1.533984	500.0	2.1207905	1.0651538	3.9306464	-0.6994287	96000	2.7939677e-08	2.3140283	-0.0074665686	-0.9742253	1.3564423	0.0070920605	0.0834375	127.0	113.41216325759888	0.0	0.0	0.0	0.0	0.0
6	13.720912	4.695244	21.992224	6.518483	500.0	3.3288584	1.5630043	5.6555347	-0.5575466	112000	-2.7939677e-08	1.265393	-0.008861752	-0.18799815	1.3564423	0.007687222	0.0764375	127.0	131.6935031414032	0.0	0.0	0.0	0.0	0.0
7	17.133156	5.3538857	34.006683	10.496946	500.0	3.8355243	1.585965	5.888839	-0.1377021	128000	1.4901161e-08	2.1693974	-0.00822402	-0.32095185	1.3564423	0.008626731	0.084875	127.0	150.13022327423096	0.0	0.0	0.0	0.0	0.0
8	20.324627	6.805042	40.32268	11.116365	500.0	4.5267634	1.5886723	6.303116	0.005637642	144000	2.9802322e-08	2.9411838	-0.007023191	-0.36303717	1.3564423	0.00779415	0.0604375	127.0	169.55345821380615	0.0	0.0	0.0	0.0	0.0
9	22.73444	7.988126	42.39369	10.854155	500.0	5.102013	1.4467587	6.5822773	0.65378404	160000	7.450581e-09	3.8316977	-0.0068584057	-0.27212286	1.3564423	0.005713653	0.061125003	127.0	188.91471195220947	0.0	0.0	0.0	0.0	0.0
10	27.59837	9.037671	46.461857	13.41876	500.0	5.5329003	1.2305733	6.5401163	0.71729106	176000	-4.4703484e-08	4.81023	-0.005763597	-0.728476	1.3564423	0.004049103	0.036875002	127.0	208.87003803253174	0.0	0.0	0.0	0.0	0.0
11	29.800282	10.285646	47.71693	16.571424	500.0	6.3645787	1.3053311	7.290883	0.92618626	192000	-2.9802322e-08	5.4901876	-0.008052908	-0.30801016	1.3564423	0.005093474	0.061812498	127.0	227.0770115852356	0.0	0.0	0.0	0.0	0.0
12	27.029766	12.254787	53.431152	12.571372	500.0	6.8543854	1.460513	7.8550572	0.8346238	208000	-7.450581e-09	7.0695314	-0.0072733806	-0.24745558	1.3564423	0.00659669	0.057875	127.0	244.96688652038574	0.0	0.0	0.0	0.0	0.0
13	28.043655	9.967397	48.65694	17.064957	500.0	6.4652033	1.4179138	7.521317	1.0175049	224000	-2.2351742e-08	5.135644	-0.0071848463	-0.14427274	1.3564423	0.007054032	0.0584375	127.0	263.34031772613525	0.0	0.0	0.0	0.0	0.0
14	32.9123	13.537364	56.9195	15.785778	500.0	6.623764	1.2765412	7.5741982	1.2489872	240000	1.8626451e-08	8.350732	-0.0063144513	-0.8622613	1.3564423	0.0055719325	0.04825	127.0	283.62928891181946	0.0	0.03125	0.0	0.0	0.0
15	36.697815	12.538715	58.891605	19.0582	500.0	7.3398075	1.4135435	8.561102	1.2875144	256000	-5.5879354e-09	7.3703127	-0.0071891122	-1.2307081	1.3564423	0.00632354	0.054624997	127.0	301.78394317626953	0.0	0.0625	0.0	0.0	0.0
16	45.14354	10.345376	68.497635	23.07758	500.0	8.503716	1.5347589	9.704987	1.1988646	272000	1.8626451e-08	8.299556	-0.00870374	-2.8311625	1.3564423	0.0064912294	0.0696875	127.0	320.7086775302887	0.0	0.15625	0.0	0.0	0.0
17	41.590874	12.333816	58.327087	21.402777	500.0	10.086669	1.9556022	11.337467	1.1428114	288000	7.450581e-09	7.097818	-0.0074507035	-1.5408868	1.3564423	0.0045813336	0.0496875	127.0	340.13658118247986	0.0	0.25	0.0	0.0	0.0
18	42.586716	12.539353	56.728622	20.969498	500.0	9.642416	1.9171761	11.623564	1.9964811	304000	7.450581e-09	6.459181	-0.008781718	-1.8427857	1.3564423	0.006776759	0.059875	127.0	359.7773802280426	0.0	0.1875	0.0	0.0	0.0
