Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.0364779	0.3806745	2.2875674	0.5056362	500.0	-0.36237383	0.031655155	-0.22758023	-0.40202403	16000	-2.1979213e-07	0.2406842	-0.0060684695	-0.21786666	1.3564423	0.006263429	0.038999997	127.0	23.320078372955322	0.0	0.0	0.0	0.0	0.0
1	1.2316699	0.8456729	5.411291	0.40822402	500.0	0.09811687	0.023284053	0.15928635	0.0100911185	32000	-1.4901161e-08	0.054030053	-0.005371838	-0.017241161	1.3564423	0.008137327	0.0651875	127.0	44.929704666137695	0.0	0.0	0.0	0.0	0.0
2	1.7878244	1.3603723	7.9928093	0.8846227	500.0	0.22927982	0.032314934	0.2937705	0.11256632	48000	1.4901161e-08	0.11526818	-0.0047600023	-0.022096597	1.3564423	0.0063517164	0.063625	127.0	65.1563572883606	0.0	0.0	0.0	0.0	0.0
3	1.7539532	0.71994615	4.440943	0.74985105	500.0	0.3450028	0.054969333	0.48277146	0.16962777	64000	-1.8626451e-08	0.033304814	-0.0077242926	-0.0034701887	1.3564423	0.010808531	0.0964375	127.0	85.27136826515198	0.0	0.0	0.0	0.0	0.0
4	2.9923162	3.1956394	15.412513	0.91862684	500.0	0.39465687	0.049659427	0.5638287	0.16118348	80000	7.450581e-09	0.5311428	-0.004641147	-0.17168862	1.3564423	0.0059619388	0.070375	127.0	106.43222451210022	0.0	0.0	0.0	0.0	0.0
5	4.941637	6.034525	26.991169	0.68782425	500.0	0.670161	0.2718481	1.8448883	0.116059445	96000	-9.313226e-09	1.723871	-0.00601248	-0.99529934	1.3564423	0.0068387734	0.0710625	127.0	128.46441745758057	0.0	0.0	0.0	0.0	0.0
6	4.148128	4.893369	20.173779	0.8703283	500.0	1.0961238	1.0002556	4.7105937	-0.5611266	112000	0.0	0.3326192	-0.008994246	-0.11362084	1.3564423	0.0062373225	0.086875	127.0	148.52586960792542	0.0	0.0	0.0	0.0	0.0
7	5.3809757	6.114285	27.998825	0.7659415	500.0	1.7238308	1.6228981	5.7850327	-0.64483196	128000	3.7252903e-09	0.90455323	-0.009077549	-0.13008296	1.3564423	0.0071768994	0.0999375	127.0	169.5855917930603	0.0	0.0	0.0	0.0	0.0
8	10.755157	5.8959165	23.79913	0.86054003	500.0	2.7956781	1.839885	6.129821	-0.6374791	144000	3.7252903e-09	1.1405215	-0.008486167	-0.14216004	1.3564423	0.007445946	0.0779375	127.0	192.65965843200684	0.0	0.0	0.0	0.0	0.0
9	12.876152	7.905419	43.04321	1.1347933	500.0	3.1388643	1.673793	5.610435	-0.45110252	160000	0.0	2.1970556	-0.008138385	-0.17212348	1.3564423	0.0053842934	0.0685625	127.0	214.98602771759033	0.0	0.0	0.0	0.0	0.0
10	13.778638	7.5710216	46.587116	1.1822138	500.0	3.5584996	1.7045288	5.743051	-0.25271845	176000	0.0	2.5924337	-0.007773475	-0.13677736	1.3564423	0.008419659	0.0785625	127.0	237.90062713623047	0.0	0.0	0.0	0.0	0.0
11	14.218237	7.780509	38.882404	0.7298184	500.0	4.021396	1.7312381	5.7160497	-0.5623705	192000	-2.2351742e-08	3.3643808	-0.0080150245	-0.469366	1.3564423	0.007702492	0.0628125	127.0	258.4924464225769	0.0	0.0	0.0	0.0	0.0
12	13.591694	3.6673627	18.432142	1.2514144	500.0	3.8623939	1.2813319	4.8035355	-0.025909226	208000	1.8626451e-09	1.323813	-0.007125732	-0.39212438	1.3564423	0.0060562994	0.0515	127.0	279.2502808570862	0.0	0.0	0.0	0.0	0.0
13	17.403477	8.841078	51.75596	11.280701	500.0	3.5739832	0.8423944	4.088687	-0.16252556	224000	-1.4901161e-08	4.095186	-0.007009866	-0.41632408	1.3564423	0.007398209	0.059625	127.0	303.7345893383026	0.0	0.0	0.0	0.0	0.0
14	17.25766	5.5219736	45.516685	12.875074	500.0	3.9097235	0.7448494	4.50854	-0.027537387	240000	3.7252903e-09	2.145464	-0.007666288	-0.34780782	1.3564423	0.005083619	0.057687502	127.0	327.16428327560425	0.0	0.0	0.0	0.0	0.0
15	20.953945	10.683118	62.637894	12.993953	500.0	3.9261308	0.78902584	4.8432255	0.6565022	256000	0.0	4.875665	-0.0077595664	-1.0140976	1.3564423	0.005429074	0.071812496	127.0	349.170284986496	0.0	0.03125	0.0	0.0	0.0
16	20.381279	8.223635	56.576996	11.824992	500.0	4.5770106	1.027441	5.9896517	0.23438168	272000	-4.4703484e-08	2.8898962	-0.0077341376	-0.42241806	1.3564423	0.0065002614	0.0674375	127.0	370.5662007331848	0.0	0.0	0.0	0.0	0.0
