Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	2.2685394	1.3784292	4.841753	0.4382965	500.0	-0.3635484	0.034128018	-0.19392544	-0.40928125	16000	-9.49949e-08	0.57314885	-0.0057192305	-0.45167238	1.3564423	0.005914311	0.0440625	127.0	21.935224533081055	0.0	0.0	0.0	0.0	0.0
1	5.210148	4.575667	25.470112	0.53555983	500.0	0.29970607	0.019436171	0.341765	0.2054728	32000	7.4505806e-08	1.3914224	-0.0054054786	-0.48653933	1.3564423	0.0069234553	0.055687502	127.0	41.80369687080383	0.0	0.0	0.0	0.0	0.0
2	10.504833	6.273292	29.495779	2.2681165	500.0	1.0018913	0.049135063	1.066746	0.64542985	48000	3.7252903e-08	3.292245	-0.005367498	-1.2605295	1.3564423	0.0063605113	0.046937503	127.0	61.232654333114624	0.0	0.0	0.0	0.0	0.0
3	13.673452	5.223396	25.406902	5.5440836	500.0	2.0886407	0.16832401	2.3390248	1.310419	64000	3.7252903e-09	2.7673378	-0.0080249235	-0.841949	1.3564423	0.00780732	0.062625006	127.0	80.14524340629578	0.0	0.0	0.0	0.0	0.0
4	21.823055	7.198994	37.251755	10.978939	500.0	3.0410688	0.22030334	3.374916	1.583411	80000	-2.7939677e-08	6.580869	-0.0064913006	-2.6802409	1.3564423	0.0047850884	0.0529375	127.0	109.04162955284119	0.0	0.0	0.0	0.0	0.0
5	22.197523	6.675661	40.167133	10.978233	500.0	4.620503	0.30079997	5.0069227	2.4809287	96000	0.0	3.1115155	-0.007645839	-0.24287063	1.3564423	0.005511404	0.0616875	127.0	141.82301330566406	0.0	0.0	0.0	0.0	0.0
6	24.459902	6.8677006	38.5636	12.902111	500.0	4.9765787	0.36512315	5.5220246	2.085707	112000	-1.1175871e-08	4.508074	-0.006745099	-0.93310064	1.3564423	0.0053957556	0.043250002	127.0	171.72879004478455	0.0	0.0	0.0	0.0	0.0
7	28.029312	8.230103	42.61439	13.642874	500.0	5.5285087	0.80533683	6.556595	0.36034355	128000	-7.450581e-09	5.185432	-0.007547023	-1.106112	1.3564423	0.005946856	0.0625	127.0	198.9632318019867	0.0	0.0	0.0	0.0	0.0
8	28.070435	7.0363903	44.585182	15.557074	500.0	6.421794	1.1573406	7.640797	-0.46327555	144000	0.0	3.4569159	-0.007135196	-0.085626006	1.3564423	0.0067420644	0.058125	127.0	217.88501644134521	0.0	0.0	0.0	0.0	0.0
9	29.256922	9.074757	47.289627	17.326542	500.0	6.673324	1.1076329	7.6889553	0.5160011	160000	1.4901161e-08	4.8820643	-0.00762957	-0.15394819	1.3564423	0.005070171	0.0636875	127.0	238.74761867523193	0.0	0.0	0.0	0.0	0.0
10	30.219458	9.922195	51.7621	18.565725	500.0	6.7625465	0.8095022	7.4330597	1.7259209	176000	0.0	5.102545	-0.006461921	-0.054451853	1.3564423	0.005262705	0.0483125	127.0	259.5742576122284	0.0	0.0	0.0	0.0	0.0
