Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.7522097	0.9717166	3.8901541	0.47880217	500.0	-0.3570685	0.03390934	-0.18649687	-0.40002757	16000	2.1792948e-07	0.41058788	-0.0059901904	-0.34061342	1.3564423	0.0060926145	0.048249997	127.0	23.245686769485474	0.0	0.0	0.0	0.0	0.0
1	3.8492217	2.8798962	15.845486	0.39908504	500.0	0.21794078	0.019258594	0.26510867	0.1443179	32000	0.0	0.65329736	-0.005708902	-0.2712548	1.3564423	0.00652657	0.054	127.0	44.834882736206055	0.0	0.0	0.0	0.0	0.0
2	8.558756	4.652857	22.162527	1.9547842	500.0	0.7415736	0.03704052	0.7945182	0.47751367	48000	-4.8428774e-08	2.266057	-0.0056984858	-1.0004059	1.3564423	0.006259698	0.049374998	127.0	67.39607667922974	0.0	0.0	0.0	0.0	0.0
3	12.492496	4.598307	23.11682	5.372425	500.0	1.7025498	0.15455642	1.9510156	1.0237472	64000	-2.2351742e-08	2.7966058	-0.008010358	-1.1177826	1.3564423	0.008414857	0.06568749	127.0	92.71329045295715	0.0	0.0	0.0	0.0	0.0
4	20.505571	4.755511	32.340656	11.410944	500.0	2.781106	0.24440849	3.173008	1.2214984	80000	-4.377216e-08	5.5787735	-0.0069755055	-2.7868152	1.3564423	0.004410529	0.047624998	127.0	117.95811891555786	0.0	0.0625	0.0	0.0	0.0
5	22.369915	5.9495654	34.312935	7.8558226	500.0	4.322894	0.36351442	4.8389554	1.898942	96000	-7.450581e-09	3.4567232	-0.007423234	-0.732768	1.3564423	0.006088829	0.053062502	127.0	145.65728425979614	0.0	0.125	0.0	0.0	0.0
6	23.439352	4.075598	35.645782	15.578501	500.0	5.044384	0.54482824	5.8042994	1.3107036	112000	9.313226e-09	2.7784038	-0.0075900704	-0.8733039	1.3564423	0.005435798	0.0463125	127.0	171.7795979976654	0.0	0.09375	0.0	0.0	0.0
7	26.084503	4.973198	34.895866	12.129438	500.0	5.488259	1.128558	6.832917	-0.37773222	128000	3.7252903e-09	2.5486257	-0.008929392	-0.5979957	1.3564423	0.005973742	0.068875	127.0	202.37531304359436	0.0	0.125	0.0	0.0	0.0
8	27.431911	4.3883085	35.315334	16.73159	500.0	6.255518	1.3621607	7.575504	-0.10956894	144000	-7.450581e-09	2.0040295	-0.00835579	-0.11573404	1.3564423	0.007509081	0.06375	127.0	239.71883606910706	0.0	0.15625	0.0	0.0	0.0
9	29.60131	4.79138	39.353977	17.52457	500.0	6.579177	1.2252009	7.642778	0.6492492	160000	7.450581e-09	2.0774322	-0.009180801	-0.123440295	1.3564423	0.004776745	0.069625	127.0	271.59172105789185	0.0	0.1875	0.0	0.0	0.0
10	30.915236	5.226836	40.44189	19.63711	500.0	6.883965	0.9982012	7.661115	1.9398623	176000	-1.4901161e-08	1.963861	-0.007479757	-0.056546923	1.3564423	0.0046971217	0.0543125	127.0	296.47109937667847	0.0	0.1875	0.0	0.0	0.0
11	32.918655	5.311826	41.340515	19.099472	500.0	7.046391	1.0471275	7.839603	2.1804788	192000	2.9802322e-08	2.428289	-0.009114444	-0.18279748	1.3564423	0.006245117	0.07	127.0	320.01559114456177	0.0	0.09375	0.0	0.0	0.0
12	34.30721	4.0563703	42.70325	25.336123	500.0	7.4461484	1.0716488	8.225182	2.3641264	208000	1.7695129e-08	1.460049	-0.007908987	-0.12286259	1.3564423	0.0051554777	0.0535	127.0	344.11065769195557	0.0	0.28125	0.0	0.0	0.0
13	34.83722	5.6600237	47.277435	23.695301	500.0	7.683586	0.8511147	8.263571	3.2156353	224000	-7.450581e-09	2.1624262	-0.008374117	-0.024274237	1.3564423	0.0076244026	0.0783125	127.0	369.83950686454773	0.0	0.1875	0.0	0.0	0.0
