Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	2.400162	1.8953834	7.607785	0.46389946	500.0	-0.37666658	0.034549963	-0.20270164	-0.41919732	16000	5.2154064e-08	0.71262646	-0.0049135815	-0.51873845	1.3564423	0.006309624	0.051	127.0	29.951815605163574	0.0	0.0	0.0	0.0	0.0
1	5.514662	4.0368357	18.684927	0.58461565	500.0	0.33694032	0.027235363	0.39199635	0.19021648	32000	-2.2351742e-08	1.382337	-0.005164857	-0.56146765	1.3564423	0.0059034345	0.046437502	127.0	61.96177577972412	0.0	0.0	0.0	0.0	0.0
2	9.289944	5.18527	24.920744	1.4706035	500.0	1.0947238	0.057940144	1.1645654	0.6351095	48000	-1.1175871e-08	2.455055	-0.0062260656	-0.817997	1.3564423	0.0055584298	0.052125	127.0	89.72054028511047	0.0	0.0	0.0	0.0	0.0
3	14.1045265	5.3480716	26.41075	4.674233	500.0	1.9390473	0.18621816	2.2425003	0.98996407	64000	-1.8626451e-09	3.4017792	-0.0072087892	-1.4542903	1.3564423	0.007957607	0.058562502	127.0	113.42230272293091	0.0	0.03125	0.0	0.0	0.0
4	19.494312	4.4145527	28.381975	9.498546	500.0	3.1104872	0.33516717	3.6616926	0.9852464	80000	1.4901161e-08	4.1351633	-0.006463903	-1.6892226	1.3564423	0.0046512038	0.0374375	127.0	142.56876850128174	0.0	0.125	0.0	0.0	0.0
5	21.947136	5.1418815	30.58939	12.933862	500.0	4.248832	0.5552367	5.0392885	1.0894386	96000	-7.450581e-09	3.0831392	-0.007508532	-0.9845073	1.3564423	0.0043995604	0.0529375	127.0	178.67483282089233	0.0	0.0	0.0	0.0	0.0
6	22.420443	5.153098	38.225815	11.865605	500.0	4.9847465	0.9051269	6.2427945	0.18317917	112000	1.8626451e-08	2.4890547	-0.009759423	-0.46997023	1.3564423	0.007131627	0.0696875	127.0	213.52961468696594	0.0	0.15625	0.0	0.0	0.0
7	27.194098	3.420085	34.326744	20.388134	500.0	5.482572	1.3241533	6.9828677	-0.24596049	128000	4.656613e-09	2.5071273	-0.009596022	-0.8373977	1.3564423	0.006796086	0.08225	127.0	238.45567989349365	0.0	0.1875	0.0	0.0	0.0
8	28.134867	4.1604924	38.28587	20.32345	500.0	6.441249	1.3529981	7.7379975	0.2841599	144000	3.7252903e-09	1.7010913	-0.009022598	-0.07623756	1.3564423	0.0077902675	0.0715625	127.0	265.1715326309204	0.0	0.0625	0.0	0.0	0.0
9	32.864147	4.3598866	39.037678	17.074774	500.0	6.707743	1.3063445	7.840658	0.87457705	160000	1.8626451e-08	2.4848194	-0.009464368	-0.62721074	1.3564423	0.0052572833	0.06568751	127.0	291.49284267425537	0.0	0.25	0.0	0.0	0.0
10	33.229534	4.256741	41.358044	23.671326	500.0	7.5679874	1.195999	8.437161	1.9515913	176000	2.2351742e-08	1.7465392	-0.008920336	-0.050154675	1.3564423	0.006275506	0.06525	127.0	325.2085156440735	0.0	0.53125	0.0	0.0	0.0
11	34.569637	4.095653	40.834534	25.260233	500.0	7.5944304	1.0341856	8.32193	2.7633731	192000	0.0	1.7161736	-0.0085348515	-0.07134993	1.3564423	0.007680254	0.06825	127.0	354.46302366256714	0.0	0.125	0.0	0.0	0.0
12	36.80133	4.8682766	44.682	18.158407	500.0	7.797553	0.96020514	8.428946	2.873411	208000	1.1175871e-08	1.9366062	-0.006936987	-0.17344722	1.3564423	0.005613642	0.053312503	127.0	383.49439311027527	0.0	0.15625	0.0	0.0	0.0
13	39.268654	5.965185	62.977066	28.704834	500.0	8.207567	0.96760166	8.760263	3.0142045	224000	7.450581e-09	2.8435745	-0.00783876	-0.28485703	1.3564423	0.0067101605	0.06575	127.0	410.58433651924133	0.0	0.21875	0.0	0.0	0.0
14	38.452553	4.091189	47.259842	28.920609	500.0	8.7553215	1.0874735	9.349654	2.9379942	240000	1.3038516e-08	1.1967182	-0.008183078	-0.06860517	1.3564423	0.0066523957	0.0613125	127.0	435.2048816680908	0.0	0.0625	0.0	0.0	0.0
15	40.811226	3.4883304	46.699554	31.884487	500.0	8.569723	0.8880069	9.071148	3.7663283	256000	1.9557774e-08	1.3090177	-0.006846697	-0.16286102	1.3564423	0.0053564114	0.0506875	127.0	460.36383724212646	0.0	0.0625	0.0	0.0	0.0
16	42.55252	4.866698	53.328033	28.555355	500.0	8.966503	0.9039907	9.4291725	4.102595	272000	3.7252903e-09	2.0231764	-0.008264383	-0.15215999	1.3564423	0.0062607885	0.056	127.0	485.503621339798	0.0	0.4375	0.0	0.0	0.0
17	43.725315	7.360304	77.11639	28.080435	500.0	9.378554	0.8888172	9.804436	3.9573858	288000	9.313226e-09	4.0661883	-0.006238092	-0.055653404	1.3564423	0.0052269194	0.05675	127.0	513.0864520072937	0.0	0.375	0.0	0.0	0.0
18	44.1299	6.5132866	65.65116	33.422203	500.0	9.599417	0.9122025	10.011949	4.174142	304000	-3.7252903e-09	2.5439446	-0.006803711	-0.021292385	1.3564423	0.0074262493	0.05775	127.0	541.3871986865997	0.0	0.3125	0.0	0.0	0.0
19	45.864716	6.2274375	71.221695	38.316425	500.0	9.692929	0.94104266	10.129312	4.155237	320000	-7.450581e-09	2.3369832	-0.007115298	-0.13805619	1.3564423	0.0043988046	0.047624998	127.0	567.3886208534241	0.0	0.0625	0.0	0.0	0.0
20	45.609097	4.7509212	65.61639	37.591694	500.0	10.033698	0.98284894	10.520807	4.3051033	336000	0.0	1.7963006	-0.0080751255	-0.01823002	1.3564423	0.0059429323	0.06125	127.0	597.7945892810822	0.0	0.21875	0.0	0.0	0.0
21	48.46931	11.707415	94.9132	37.270863	500.0	10.030697	0.9527241	10.573695	4.5457087	352000	7.450581e-09	7.1399555	-0.0074931853	-0.5110806	1.3564423	0.00473621	0.054437503	127.0	623.2174561023712	0.0	0.15625	0.0	0.0	0.0
22	47.209244	7.228802	83.32387	37.526882	500.0	10.41844	1.0854604	11.311288	4.839428	368000	-1.1175871e-08	2.501015	-0.007012232	-0.097527	1.3564423	0.0073560686	0.053937502	127.0	649.926962852478	0.0	0.125	0.0	0.0	0.0
