Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	2.2837827	1.7788479	7.163824	0.4490889	500.0	-0.3853396	0.034487035	-0.21251677	-0.42779005	16000	5.2154064e-08	0.67171526	-0.0049250387	-0.49840614	1.3564423	0.0063008745	0.050437503	127.0	28.099342823028564	0.0	0.0	0.0	0.0	0.0
1	5.2642922	3.926312	18.262535	0.594049	500.0	0.3141271	0.027932806	0.37184605	0.17070372	32000	-1.4901161e-08	1.2855849	-0.0050527574	-0.51544785	1.3564423	0.0059604263	0.0475	127.0	49.86430740356445	0.0	0.0	0.0	0.0	0.0
2	8.987712	5.1451163	25.286777	1.5032496	500.0	1.0395147	0.055887874	1.0999135	0.5967231	48000	1.1175871e-08	2.3592029	-0.005944494	-0.7897093	1.3564423	0.0058702435	0.051875003	127.0	72.22627639770508	0.0	0.0	0.0	0.0	0.0
3	13.687269	5.188816	24.437273	4.4212546	500.0	1.8722348	0.17215253	2.1606839	0.9468735	64000	2.7939677e-08	3.2263453	-0.0072033675	-1.3743632	1.3564423	0.0075626145	0.057937503	127.0	94.55053210258484	0.0	0.0	0.0	0.0	0.0
4	19.277378	4.440921	29.826921	9.4960985	500.0	3.0089004	0.32007495	3.5467677	0.95972073	80000	5.5879354e-08	4.091255	-0.007028358	-1.7856387	1.3564423	0.0045715896	0.0441875	127.0	115.98027348518372	0.0	0.09375	0.0	0.0	0.0
5	21.513474	4.8250227	29.48718	12.012116	500.0	4.1736465	0.55335295	4.990049	0.93491125	96000	2.6077032e-08	2.9162107	-0.007202723	-0.92679304	1.3564423	0.0060450193	0.0530625	127.0	141.87087321281433	0.0	0.09375	0.0	0.0	0.0
6	22.260132	5.188871	36.089172	11.850398	500.0	4.934604	0.9140941	6.2080383	0.06568533	112000	-1.4901161e-08	2.4335933	-0.0094945785	-0.5162885	1.3564423	0.007340028	0.0738125	127.0	167.32246899604797	0.0	0.21875	0.0	0.0	0.0
7	27.302147	3.798979	39.59202	21.115265	500.0	5.4463077	1.3434312	6.982487	-0.32744044	128000	-2.4214387e-08	2.6347427	-0.010083561	-0.95777106	1.3564423	0.0079388	0.087312505	127.0	192.09117937088013	0.0	0.15625	0.0	0.0	0.0
8	29.087753	5.6687884	52.561653	19.423431	500.0	6.4702015	1.4288673	7.8137302	0.13669714	144000	-1.4901161e-08	2.512547	-0.009162803	-0.18772687	1.3564423	0.00791347	0.077250004	127.0	216.52440929412842	0.0	0.125	0.0	0.0	0.0
9	32.789646	4.520681	39.108532	17.0405	500.0	6.9308925	1.3960721	8.063705	0.6459014	160000	2.2351742e-08	2.2077093	-0.010328673	-0.37226996	1.3564423	0.0049890634	0.072375	127.0	238.81686067581177	0.0	0.28125	0.0	0.0	0.0
10	33.92887	4.357443	47.124256	26.133505	500.0	7.6072636	1.2558078	8.497701	1.8564688	176000	-1.3038516e-08	1.8198712	-0.008385789	-0.05132308	1.3564423	0.004908682	0.0559375	127.0	262.69733476638794	0.0	0.34375	0.0	0.0	0.0
11	35.043785	3.9118195	42.05303	24.5631	500.0	7.7504845	1.1160196	8.511222	2.6041489	192000	-5.5879354e-09	1.5038186	-0.008951047	-0.056973983	1.3564423	0.007900302	0.0721875	127.0	285.3372211456299	0.0	0.09375	0.0	0.0	0.0
12	37.892586	3.9630084	46.047707	24.608932	500.0	7.918789	1.0182556	8.564536	2.923512	208000	7.450581e-09	1.8395734	-0.0074281488	-0.28736776	1.3564423	0.005313698	0.055437498	127.0	309.4127027988434	0.0	0.40625	0.0	0.0	0.0
13	39.452587	6.1175513	60.095406	27.349	500.0	8.455001	1.0624338	9.075108	2.9151547	224000	7.450581e-09	2.5254219	-0.007731816	-0.13769695	1.3564423	0.0065469258	0.0604375	127.0	332.245064496994	0.0	0.34375	0.0	0.0	0.0
14	40.081768	7.503932	65.575584	23.806639	500.0	8.850311	1.111895	9.471027	3.0054884	240000	-7.450581e-09	3.4329958	-0.007043995	-0.04125862	1.3564423	0.0075847865	0.0645625	127.0	356.7425436973572	0.0	0.3125	0.0	0.0	0.0
15	40.68347	3.4815552	50.38151	35.378735	500.0	8.895969	0.95475316	9.440871	3.7706907	256000	-7.450581e-09	1.1514653	-0.007997554	-0.025748048	1.3564423	0.0046680574	0.047312498	127.0	378.3513264656067	0.0	0.125	0.0	0.0	0.0
16	41.082245	3.9073687	49.85846	33.443363	500.0	9.009904	0.89571005	9.49444	4.2650943	272000	-1.3038516e-08	1.3099401	-0.008193122	-0.015189241	1.3564423	0.007322217	0.06475	127.0	400.9077823162079	0.0	0.375	0.0	0.0	0.0
17	43.332077	5.197665	66.76661	37.416462	500.0	9.119906	0.8619611	9.550636	4.0289655	288000	2.9802322e-08	2.2058759	-0.0069570066	-0.11976157	1.3564423	0.004892896	0.058375	127.0	430.76473903656006	0.0	0.25	0.0	0.0	0.0
18	45.457443	9.552715	91.38717	34.7332	500.0	9.442473	0.7849256	9.809171	4.8319025	304000	2.6077032e-08	5.2801423	-0.0063051395	-0.232824	1.3564423	0.0073605403	0.059125	127.0	463.41961336135864	0.0	0.40625	0.0	0.0	0.0
19	48.764957	11.320553	95.29039	38.125195	500.0	9.871375	0.9184452	10.3092375	4.4981527	320000	-1.1175871e-08	7.4994435	-0.00636632	-0.65753657	1.3564423	0.004454395	0.056125	127.0	497.5212631225586	0.0	0.25	0.0	0.0	0.0
20	45.512413	5.122561	69.13958	36.70305	500.0	10.577248	1.1267283	11.183162	4.14443	336000	1.4901161e-08	2.0288858	-0.008051621	-0.23586018	1.3564423	0.0062111663	0.0573125	127.0	536.5146262645721	0.0	0.09375	0.0	0.0	0.0
21	47.65775	13.0277815	113.25216	37.56306	500.0	10.140758	1.031381	10.926019	4.6462846	352000	-2.9802322e-08	7.512137	-0.007511865	-0.28174487	1.3564423	0.005971774	0.055062503	127.0	572.5286605358124	0.0	0.15625	0.0	0.0	0.0
22	49.503593	12.594184	115.06602	38.57262	500.0	10.260131	1.0150526	11.333311	5.152635	368000	1.4901161e-08	6.929783	-0.0063411314	-0.816911	1.3564423	0.00819816	0.0739375	127.0	603.719587802887	0.0	0.125	0.0	0.0	0.0
