Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.67988354	0.32105687	1.5993066	0.3019067	500.0	-0.36708954	0.029426675	-0.22484662	-0.4139682	16000	1.0617077e-07	0.18395407	-0.0066613527	-0.16810048	1.3564423	0.006035237	0.044062503	127.0	31.88740825653076	0.0	0.0	0.0	0.0	0.0
1	0.75823766	0.27720097	1.3729533	0.17015848	500.0	0.044235907	0.025196021	0.13105014	-0.03068731	32000	2.9802322e-08	0.0119731985	-0.0059217643	-0.008397718	1.3564423	0.0065990193	0.0425625	127.0	55.11784505844116	0.0	0.0	0.0	0.0	0.0
2	0.94708484	0.40285423	2.4475174	0.4679516	500.0	0.13274203	0.02582599	0.1891463	0.04054296	48000	3.7252903e-09	0.011820875	-0.006293431	-0.0028963643	1.3564423	0.006895777	0.073625	127.0	80.62438559532166	0.0	0.0	0.0	0.0	0.0
3	1.0225275	0.35392565	2.1227915	0.36699614	500.0	0.17293747	0.02922032	0.24335471	0.08535193	64000	0.0	0.007671948	-0.008348152	-0.0010407765	1.3564423	0.009793537	0.08687501	127.0	104.95195198059082	0.0	0.0	0.0	0.0	0.0
4	1.4893756	0.74800664	4.675023	0.6370947	500.0	0.20895715	0.025612181	0.27476588	0.12481934	80000	-1.8626451e-08	0.03220475	-0.0063416976	-0.0152679235	1.3564423	0.0058521153	0.0616875	127.0	132.81274700164795	0.0	0.0	0.0	0.0	0.0
5	1.7198942	1.4862269	7.9946685	0.6301853	500.0	0.29264885	0.062626414	0.62659144	0.15750496	96000	1.8626451e-08	0.124960095	-0.005689862	-0.06063778	1.3564423	0.0047174525	0.052375	127.0	157.39469718933105	0.0	0.0	0.0	0.0	0.0
6	1.7673732	1.8604146	11.667201	0.55465204	500.0	0.4983571	0.26663333	1.6743069	-0.014263447	112000	1.6763806e-08	0.2094836	-0.009284341	-0.060425807	1.3564423	0.0082793115	0.1060625	127.0	182.9485206604004	0.0	0.0	0.0	0.0	0.0
7	2.4572709	2.881467	10.925914	0.43231496	500.0	0.60031223	0.4337739	2.3317494	-0.22316304	128000	1.8626451e-08	0.23492011	-0.007202752	-0.1166589	1.3564423	0.0054960684	0.066	127.0	206.32779836654663	0.0	0.0	0.0	0.0	0.0
8	1.5614845	1.472834	7.2479153	0.4419435	500.0	0.5678593	0.43048638	3.3579962	-0.18584108	144000	-7.450581e-09	0.07051143	-0.009698711	-0.020865306	1.3564423	0.006412081	0.07325	127.0	226.4899241924286	0.0	0.0	0.0	0.0	0.0
9	4.156088	5.7502885	22.552654	0.4896623	500.0	0.9134722	0.95832306	4.0737796	-0.32603768	160000	-4.4703484e-08	0.7837328	-0.0067576957	-0.2574859	1.3564423	0.0054132296	0.077375	127.0	252.27352094650269	0.0	0.0	0.0	0.0	0.0
10	4.547279	7.178912	30.291794	0.76288545	500.0	1.0517898	1.1035919	5.5799174	-0.2048935	176000	-1.8626451e-08	1.2275889	-0.009156	-0.61355543	1.3564423	0.010150103	0.1160625	127.0	281.2072479724884	0.0	0.0625	0.0	0.0	0.0
11	7.897462	8.095738	37.72264	0.51593184	500.0	2.716497	2.568099	8.043395	-0.87416726	192000	-1.4901161e-08	1.9250736	-0.010216618	-0.37045076	1.3564423	0.007091338	0.0875	127.0	308.41554498672485	0.0	0.0625	0.0	0.0	0.0
12	14.787651	8.586795	43.221527	0.8208344	500.0	3.7683663	2.1507897	6.828334	-0.5556626	208000	-7.450581e-09	2.4604356	-0.00896216	-0.24580304	1.3564423	0.007140194	0.0831875	127.0	332.48522758483887	0.0	0.125	0.0	0.0	0.0
13	15.879347	10.336378	51.97191	5.297084	500.0	4.642261	1.811103	6.535387	-0.35101122	224000	-3.7252903e-08	5.556751	-0.0069901715	-0.67800987	1.3564423	0.008461373	0.0555	127.0	355.43049240112305	0.0	0.1875	0.0	0.0	0.0
14	20.92605	11.668023	49.513477	1.729897	500.0	4.39971	1.3267231	5.892904	-0.04597173	240000	1.4901161e-08	6.188605	-0.007663419	-0.8050556	1.3564423	0.0064317444	0.0664375	127.0	378.9382526874542	0.0	0.125	0.0	0.0	0.0
15	16.097109	9.369497	51.77323	4.302576	500.0	4.7779837	1.5639311	6.4432063	0.10042088	256000	-7.450581e-09	5.1766515	-0.006579794	-1.2102714	1.3564423	0.006873268	0.0578125	127.0	403.8840732574463	0.0	0.09375	0.0	0.0	0.0
16	18.216188	7.67145	53.1996	10.079563	500.0	4.255263	1.2741687	5.8713026	-0.39653397	272000	1.8626451e-08	2.9415493	-0.0069210865	-0.52462614	1.3564423	0.005389042	0.04875	127.0	428.6072647571564	0.0	0.0625	0.0	0.0	0.0
17	19.220272	8.096376	47.419167	10.53112	500.0	4.4665637	1.227534	6.856906	0.44603252	288000	-3.7252903e-09	3.181592	-0.007955441	-0.8130538	1.3564423	0.005547535	0.0664375	127.0	454.11303901672363	0.0	0.125	0.0	0.0	0.0
