Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.9471893	1.7190211	6.5477257	0.29815188	500.0	-0.3851694	0.034256786	-0.2114645	-0.4278412	16000	-4.4703484e-08	0.57360184	-0.0047617154	-0.41867268	1.3564423	0.006393751	0.0491875	127.0	21.508442401885986	0.0	0.0	0.0	0.0	0.0
1	4.6808386	4.080449	20.2158	0.45304495	500.0	0.25537926	0.020004319	0.3037639	0.1959081	32000	-2.9802322e-08	1.2069231	-0.004417472	-0.42229146	1.3564423	0.00455365	0.04075	127.0	41.19086217880249	0.0	0.0	0.0	0.0	0.0
2	6.729944	4.420304	18.441816	0.9304966	500.0	0.9028268	0.047622535	0.9734845	0.57306427	48000	1.8626451e-08	1.3943617	-0.006007139	-0.35441923	1.3564423	0.0061363867	0.0545625	127.0	61.25112986564636	0.0	0.0	0.0	0.0	0.0
3	10.998663	5.7538123	28.788994	3.3313978	500.0	1.42872	0.15639117	1.7007328	0.69840527	64000	3.259629e-08	2.8684802	-0.007233172	-1.0891078	1.3564423	0.008040464	0.0595	127.0	82.012362241745	0.0	0.03125	0.0	0.0	0.0
4	16.373718	5.3043613	28.89248	6.2796035	500.0	2.4400823	0.3442918	3.0411413	0.60061586	80000	3.3527613e-08	4.2715254	-0.0065555703	-1.7392831	1.3564423	0.004605052	0.0355625	127.0	104.41525840759277	0.0	0.15625	0.0	0.0	0.0
5	21.522175	7.068021	38.455315	9.107659	500.0	3.599547	0.66974086	4.5967517	0.43027347	96000	7.450581e-09	5.489313	-0.0057502096	-2.1620843	1.3564423	0.0054105916	0.041562498	127.0	134.99017024040222	0.0	0.1875	0.0	0.0	0.0
6	18.913483	6.687451	34.81731	7.256155	500.0	4.8662586	1.1311911	6.3904734	-0.22049743	112000	2.2351742e-08	2.787619	-0.008374954	-0.32595283	1.3564423	0.0074710296	0.072312504	127.0	164.2687749862671	0.0	0.09375	0.0	0.0	0.0
7	26.699059	10.464935	51.74463	14.534454	500.0	4.927267	1.4848108	6.8260746	-0.49956024	128000	-5.5879354e-09	7.330807	-0.008948369	-1.8306018	1.3564423	0.0064090304	0.0749375	127.0	187.7012619972229	0.0	0.4375	0.0	0.0	0.0
8	25.95375	8.146106	53.609608	13.147304	500.0	6.2983394	1.5856876	7.8643703	-0.042378467	144000	-3.7252903e-09	3.6741369	-0.0065961382	-0.050561674	1.3564423	0.007893874	0.04575	127.0	209.37768292427063	0.0	0.1875	0.0	0.0	0.0
9	31.413189	8.989084	49.839725	14.436674	500.0	6.353221	1.4802471	7.7115946	0.34347862	160000	-2.142042e-08	5.3142104	-0.00879266	-0.8308219	1.3564423	0.0061026616	0.0685	127.0	229.1822464466095	0.0	0.3125	0.0	0.0	0.0
10	34.13643	9.023663	55.384193	18.37278	500.0	7.345821	1.4074433	8.446672	1.194407	176000	-1.8626451e-09	4.501792	-0.007897898	-0.24817827	1.3564423	0.0060052034	0.0533125	127.0	250.4095606803894	0.0	0.25	0.0	0.0	0.0
11	32.28561	11.840569	74.358025	16.771416	500.0	7.8485374	1.3747464	8.820415	1.7775054	192000	-1.4901161e-08	7.023144	-0.00767974	-0.15228382	1.3564423	0.005167797	0.051749997	127.0	273.7429127693176	0.0	0.21875	0.0	0.0	0.0
12	38.286327	12.000066	66.50377	15.122334	500.0	7.522073	1.2529069	8.455281	2.1110334	208000	-3.7252903e-08	7.7987404	-0.006631773	-1.1507077	1.3564423	0.00645475	0.0495625	127.0	296.0574440956116	0.0	0.34375	0.0	0.0	0.0
13	37.201637	7.5107865	58.922283	22.195591	500.0	8.613136	1.3756301	9.486173	1.9789108	224000	1.8626451e-08	2.6498902	-0.008468432	-0.045523588	1.3564423	0.0057785707	0.0568125	127.0	318.39977169036865	0.0	0.21875	0.0	0.0	0.0
14	36.404434	11.088139	73.395035	18.431961	500.0	8.6049595	1.4208833	9.504328	2.1570182	240000	0.0	5.8890657	-0.0067066113	-0.13445818	1.3564423	0.005391169	0.043	127.0	339.2639877796173	0.0	0.1875	0.0	0.0	0.0
15	42.37503	12.420422	67.668686	19.907253	500.0	8.34734	1.1822935	9.151282	2.9634752	256000	-3.7252903e-09	7.7687244	-0.007146339	-1.0442475	1.3564423	0.00772019	0.070875004	127.0	361.0205512046814	0.0	0.4375	0.0	0.0	0.0
16	40.437126	8.935428	71.78722	24.25486	500.0	9.37734	1.315638	10.161297	3.0738103	272000	7.450581e-09	3.4567823	-0.006889266	-0.05560448	1.3564423	0.0075190016	0.0671875	127.0	382.5293962955475	0.0	0.21875	0.0	0.0	0.0
17	43.593834	16.02592	83.223335	23.129128	500.0	9.290691	1.3539217	10.090337	2.50909	288000	2.9802322e-08	11.15436	-0.007715659	-0.27441484	1.3564423	0.006903054	0.0706875	127.0	405.3852801322937	0.0	0.25	0.0	0.0	0.0
18	42.306637	12.616331	86.87283	18.720352	500.0	9.755023	1.4257442	10.573947	2.7221487	304000	0.0	7.4161534	-0.0070497775	-0.110724725	1.3564423	0.006127027	0.057937503	127.0	427.45266485214233	0.0	0.21875	0.0	0.0	0.0
19	43.7528	15.1008215	104.55636	23.232515	500.0	9.593789	1.4388145	10.510691	2.9577785	320000	-7.450581e-09	11.040639	-0.0075723547	-0.14540642	1.3564423	0.0066106548	0.069000006	127.0	450.03928780555725	0.0	0.21875	0.0	0.0	0.0
