Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.8471366	0.47548285	2.5082774	0.2308371	500.0	-0.35857108	0.026919397	-0.21636839	-0.39347082	16000	2.2351742e-08	0.21163473	-0.0062664533	-0.18894547	1.3564423	0.006389253	0.050750002	127.0	24.77842903137207	0.0	0.0	0.0	0.0	0.0
1	1.1353878	0.60149616	2.7443488	0.18017092	500.0	0.07396863	0.01816578	0.12767333	0.0028193295	32000	7.450581e-09	0.0373386	-0.0061095688	-0.021089807	1.3564423	0.0063597094	0.046812505	127.0	46.76991653442383	0.0	0.0	0.0	0.0	0.0
2	2.4465437	2.3717985	12.763255	0.59813976	500.0	0.22345766	0.018152859	0.2539583	0.10653995	48000	2.2351742e-08	0.4207998	-0.00526851	-0.11845696	1.3564423	0.0064221965	0.0486875	127.0	68.37790846824646	0.0	0.0	0.0	0.0	0.0
3	4.09259	2.7513647	13.678685	0.37138247	500.0	0.5201701	0.12429272	0.8791728	0.088304356	64000	3.7252903e-09	0.6220077	-0.006506484	-0.24899583	1.3564423	0.00943758	0.071812496	127.0	88.70464825630188	0.0	0.0	0.0	0.0	0.0
4	6.3506136	3.8176682	14.914386	1.0003076	500.0	0.9705157	0.35493013	1.6976076	-0.19263202	80000	0.0	1.1242678	-0.0053379727	-0.5752431	1.3564423	0.0061729066	0.045374997	127.0	114.98487496376038	0.0	0.0	0.0	0.0	0.0
5	9.032743	4.46695	19.000778	0.89432853	500.0	1.6682494	0.9388848	3.4117286	-0.46629542	96000	4.8428774e-08	1.3067274	-0.0075751916	-0.6208544	1.3564423	0.006354479	0.076375	127.0	138.9177703857422	0.0	0.0	0.0	0.0	0.0
6	11.583183	5.081664	25.17754	3.3185809	500.0	2.6849914	1.4162095	5.046923	-0.40116704	112000	-1.1175871e-08	1.5587075	-0.007364996	-0.31605488	1.3564423	0.007974547	0.076375	127.0	160.21719408035278	0.0	0.03125	0.0	0.0	0.0
7	15.156973	6.061679	29.005228	6.3780537	500.0	3.3195908	1.6253996	5.7267995	-0.27111053	128000	7.450581e-09	2.42109	-0.0076029743	-0.515149	1.3564423	0.008987599	0.084874995	127.0	185.0425946712494	0.0	0.0625	0.0	0.0	0.0
8	19.981407	7.7647495	36.257557	9.486911	500.0	4.133257	1.78659	6.5460215	0.112208575	144000	1.4901161e-08	3.9958138	-0.0083824005	-0.8688085	1.3564423	0.009016166	0.0795	127.0	210.26015663146973	0.0	0.28125	0.0	0.0	0.0
9	21.986567	8.179592	41.682434	8.43286	500.0	5.1611466	1.828821	7.3857613	0.37132668	160000	-3.1664968e-08	3.451433	-0.007989638	-0.3185324	1.3564423	0.008069118	0.0715625	127.0	236.35436820983887	0.0	0.09375	0.0	0.0	0.0
