Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	1.4134357	0.8537256	3.1474092	0.28740296	500.0	-0.3650243	0.034087926	-0.195713	-0.41014987	16000	-5.401671e-08	0.33628112	-0.0059198346	-0.28293452	1.3564423	0.005848781	0.043437503	127.0	22.193477630615234	0.0	0.0	0.0	0.0	0.0
1	3.245998	3.0081635	16.629679	0.2990272	500.0	0.15883468	0.020169884	0.20564197	0.08386728	32000	1.4901161e-08	0.6045363	-0.005221775	-0.21410798	1.3564423	0.006445987	0.05025	127.0	41.07837462425232	0.0	0.0	0.0	0.0	0.0
2	6.989423	4.678761	19.979683	1.216702	500.0	0.6227823	0.036158886	0.6729723	0.3804829	48000	-9.313226e-10	1.7511148	-0.0051185	-0.6553705	1.3564423	0.0063198614	0.0470625	127.0	62.077605962753296	0.0	0.0	0.0	0.0	0.0
3	9.433516	5.0383954	22.82083	3.055629	500.0	1.3945029	0.1463707	1.682972	0.7540484	64000	1.4901161e-08	2.138947	-0.007451878	-0.55539477	1.3564423	0.007711913	0.060562503	127.0	81.84434175491333	0.0	0.0	0.0	0.0	0.0
4	17.704212	6.7959332	35.407963	5.8234425	500.0	2.1666088	0.25134295	2.6473382	0.8690709	80000	2.0489097e-08	6.1617084	-0.0059269667	-2.8959832	1.3564423	0.004731371	0.04525	127.0	103.6661479473114	0.0	0.03125	0.0	0.0	0.0
5	20.390049	7.372034	35.758793	6.238813	500.0	3.7436123	0.46148977	4.4780774	1.2868726	96000	-7.450581e-09	4.5580893	-0.0073084175	-1.2808053	1.3564423	0.0052750907	0.051437497	127.0	125.25993728637695	0.0	0.03125	0.0	0.0	0.0
6	20.797802	6.0313754	32.695004	10.625336	500.0	4.608214	0.81841916	5.8383656	0.38399523	112000	-3.7252903e-09	3.0691836	-0.00642054	-0.808606	1.3564423	0.0055576963	0.044	127.0	145.44861912727356	0.0	0.03125	0.0	0.0	0.0
7	22.948042	6.636588	34.615273	11.344889	500.0	5.1588225	1.5072447	7.0058193	-1.0862689	128000	-1.8626451e-09	2.9791312	-0.008166061	-0.3401112	1.3564423	0.006629441	0.065312505	127.0	167.39334177970886	0.0	0.03125	0.0	0.0	0.0
8	25.261602	6.495625	40.079468	14.113477	500.0	5.6984324	1.5655781	7.3055644	-0.2477927	144000	-1.8626451e-08	2.8522656	-0.008107317	-0.16944614	1.3564423	0.0068762447	0.0591875	127.0	188.3105227947235	0.0	0.15625	0.0	0.0	0.0
9	27.953709	9.04083	45.076706	13.704266	500.0	6.2479787	1.5038084	7.619952	0.38417703	160000	2.2351742e-08	4.571738	-0.0066853436	-0.19985256	1.3564423	0.0047709784	0.051875	127.0	211.10813856124878	0.0	0.21875	0.0	0.0	0.0
10	28.272415	9.280213	45.637062	13.63952	500.0	6.6877875	1.3286664	7.7870445	1.3253644	176000	2.9802322e-08	4.44674	-0.006457762	-0.055720333	1.3564423	0.0042500887	0.0399375	127.0	232.02591013908386	0.0	0.1875	0.0	0.0	0.0
11	31.789055	7.011823	42.123432	13.999579	500.0	6.653775	1.3470373	7.740876	1.4507929	192000	-3.9115548e-08	3.3335266	-0.007333124	-0.45992467	1.3564423	0.004567264	0.050937496	127.0	254.20737838745117	0.0	0.15625	0.0	0.0	0.0
12	29.913261	8.955393	43.36225	14.426945	500.0	7.3412223	1.4047841	8.382729	1.54089	208000	1.4901161e-08	4.1735325	-0.007141965	-0.28985652	1.3564423	0.0056365463	0.0485	127.0	278.94240522384644	0.0	0.125	0.0	0.0	0.0
13	30.938599	9.386833	49.75988	14.056777	500.0	7.0379586	1.0375323	7.8047423	2.5884893	224000	-2.9802322e-08	4.1148148	-0.0061404225	-0.043687027	1.3564423	0.0054564737	0.0525625	127.0	300.6063930988312	0.0	0.15625	0.0	0.0	0.0
