Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.80702865	0.4403623	2.3761427	0.2309381	500.0	-0.3674359	0.026731862	-0.22882168	-0.4040941	16000	4.0978193e-08	0.21011081	-0.00627271	-0.18913724	1.3564423	0.006387297	0.048125	127.0	25.94732141494751	0.0	0.0	0.0	0.0	0.0
1	1.0890592	0.5559339	2.6566021	0.17780484	500.0	0.06748702	0.018384058	0.119182855	0.0051558316	32000	-2.9802322e-08	0.033966854	-0.005951865	-0.01999844	1.3564423	0.0062458725	0.046437502	127.0	48.341460943222046	0.0	0.0	0.0	0.0	0.0
2	2.2840314	2.0458536	10.008093	0.43749556	500.0	0.21099232	0.01937198	0.24220818	0.092259176	48000	3.7252903e-08	0.31670058	-0.0051296214	-0.097178884	1.3564423	0.006287448	0.053687498	127.0	71.33865118026733	0.0	0.0	0.0	0.0	0.0
3	3.915485	2.5613673	12.395757	0.34594563	500.0	0.48239714	0.1043654	0.7683188	0.08779721	64000	-9.313226e-09	0.54527175	-0.006359375	-0.24363515	1.3564423	0.00925828	0.071062505	127.0	91.43057060241699	0.0	0.0	0.0	0.0	0.0
4	6.2885885	3.7117362	15.051373	0.8886859	500.0	0.9348578	0.33283275	1.6062032	-0.2159589	80000	5.2154064e-08	1.0846629	-0.005625098	-0.56716144	1.3564423	0.00643352	0.0495625	127.0	114.79642653465271	0.0	0.0	0.0	0.0	0.0
5	9.15284	4.5473766	18.614286	0.8951888	500.0	1.6172698	0.8887601	3.3288536	-0.49812332	96000	2.3283064e-08	1.4332384	-0.0074466243	-0.7122769	1.3564423	0.006175635	0.073625	127.0	135.70486497879028	0.0	0.0	0.0	0.0	0.0
6	11.833819	4.824546	24.13344	3.740536	500.0	2.6631312	1.4230324	5.071435	-0.516756	112000	-9.313226e-09	1.5561719	-0.007478287	-0.37324262	1.3564423	0.0072575547	0.0755	127.0	158.27248620986938	0.0	0.0625	0.0	0.0	0.0
7	15.376404	6.427643	28.215982	8.404434	500.0	3.4187865	1.6575017	5.8836823	-0.29154888	128000	-2.2351742e-08	2.4897833	-0.007688931	-0.46706796	1.3564423	0.00863654	0.088375	127.0	180.08725929260254	0.0	0.125	0.0	0.0	0.0
8	20.705116	8.4351635	41.253098	9.6800165	500.0	4.1826935	1.8345549	6.479366	-0.0697452	144000	-2.9802322e-08	4.786108	-0.008081911	-1.1592469	1.3564423	0.008412863	0.077250004	127.0	203.7577428817749	0.0	0.375	0.0	0.0	0.0
9	23.537605	9.236038	50.452534	7.301021	500.0	5.317039	1.9314415	7.6754065	0.23779465	160000	-2.3283064e-08	4.8754086	-0.0080529805	-0.5479847	1.3564423	0.0068473974	0.072375	127.0	225.674884557724	0.0	0.1875	0.0	0.0	0.0
10	28.641048	11.473181	64.08459	12.826474	500.0	5.975507	1.9130753	8.223839	0.66745144	176000	7.450581e-09	6.595354	-0.0072299177	-1.2108742	1.3564423	0.005769754	0.062249996	127.0	248.2951877117157	0.0	0.15625	0.0	0.0	0.0
11	33.826733	10.070432	57.3254	17.612352	500.0	7.037817	2.0063872	9.450833	1.5249332	192000	-7.450581e-09	6.448018	-0.0077876775	-1.1951674	1.3564423	0.0069397306	0.0661875	127.0	270.91541385650635	0.0	0.21875	0.0	0.0	0.0
12	30.628908	14.730157	76.235435	1.0670022	500.0	7.791872	2.3665202	10.233684	0.77094877	208000	3.7252903e-09	8.147293	-0.008288616	-1.3214288	1.3564423	0.005894617	0.0680625	127.0	294.94813108444214	0.0	0.1875	0.0	0.0	0.0
13	29.768661	10.461579	66.93374	0.9872735	500.0	7.724997	2.912809	11.185144	0.27875507	224000	2.9802322e-08	5.2063875	-0.008541925	-0.36736822	1.3564423	0.0076954393	0.074375	127.0	319.06851506233215	0.0	0.1875	0.0	0.0	0.0
14	30.01683	8.818252	40.70168	0.97984076	500.0	7.7927704	2.5005586	10.665383	0.8851581	240000	-1.4901161e-08	3.0972743	-0.008513804	-0.5426024	1.3564423	0.0076171393	0.058624998	127.0	344.40769600868225	0.0	0.0	0.0	0.0	0.0
15	31.214458	7.894889	46.77454	16.638844	500.0	7.736015	1.8798363	9.818308	1.8539331	256000	-1.1175871e-08	3.5698605	-0.007915592	-0.4576219	1.3564423	0.0074545066	0.068812504	127.0	369.39164209365845	0.0	0.0625	0.0	0.0	0.0
16	35.61705	11.07079	76.60534	18.04207	500.0	7.63522	1.5079182	9.286954	0.8913495	272000	7.450581e-09	6.660512	-0.0070097893	-0.4378377	1.3564423	0.007496378	0.06775	127.0	393.0226845741272	0.0	0.0625	0.0	0.0	0.0
17	36.35241	15.197894	89.10371	17.858713	500.0	8.329715	1.6110028	9.925211	0.9661829	288000	2.2351742e-08	10.365635	-0.0071280105	-0.13741218	1.3564423	0.0064540566	0.0610625	127.0	417.69775438308716	0.0	0.15625	0.0	0.0	0.0
