Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.4452706	0.58598137	3.243166	0.03180214	500.0	-0.17732723	0.04574322	-0.13383543	-0.3444836	16000	-6.146729e-08	0.057781447	-0.00520455	-0.04556049	1.3564423	0.006045712	0.0449375	127.0	25.36369013786316	0.0	0.0	0.0	0.0	0.0
1	1.3306437	1.5626456	6.2704034	0.10771689	500.0	0.04421096	0.034675933	0.12304651	-0.0588438	32000	-6.7055225e-08	0.11255869	-0.005678825	-0.038421486	1.3564423	0.003824897	0.0413125	127.0	47.48785996437073	0.0	0.0	0.0	0.0	0.0
2	1.1394887	0.9173016	4.2549677	0.14617112	500.0	0.25308594	0.061259348	0.42539334	-0.013379317	48000	1.4901161e-08	0.029383656	-0.008812	-0.005222357	1.3564423	0.0066868854	0.096062504	127.0	68.20606136322021	0.0	0.0	0.0	0.0	0.0
3	2.708466	2.0152674	10.452588	0.17125112	500.0	0.27306312	0.048302624	0.42040998	0.11882551	64000	2.9802322e-08	0.21094629	-0.00686006	-0.08231841	1.3564423	0.0069134356	0.0678125	127.0	89.58907437324524	0.0	0.0	0.0	0.0	0.0
4	4.2052345	2.783748	12.012938	0.7697844	500.0	0.62293464	0.10794984	0.94866425	0.31122562	80000	0.0	0.3543178	-0.006298218	-0.12434106	1.3564423	0.0050052768	0.049000002	127.0	111.28053426742554	0.0	0.0	0.0	0.0	0.0
5	4.7211847	3.0702498	14.286297	0.8657231	500.0	0.90719944	0.19854702	1.4537325	0.2923326	96000	7.450581e-09	0.3229248	-0.008459246	-0.13968518	1.3564423	0.007193103	0.078875005	127.0	131.95571374893188	0.0	0.0	0.0	0.0	0.0
6	5.5045834	2.9410737	14.1381855	0.931674	500.0	1.2719887	0.3733192	2.288019	0.05064489	112000	-2.0489097e-08	0.23471045	-0.009520769	-0.07782596	1.3564423	0.008100035	0.097	127.0	154.39366126060486	0.0	0.0	0.0	0.0	0.0
7	10.745636	7.891095	27.98369	1.2269535	500.0	1.4785657	0.57290214	2.899204	-0.18699698	128000	-2.2351742e-08	3.0062656	-0.0076256357	-1.5844338	1.3564423	0.0075146873	0.071875	127.0	176.7300419807434	0.0	0.0	0.0	0.0	0.0
8	17.498013	6.9281287	32.97091	4.782708	500.0	2.9423559	1.0036204	5.283379	0.08376562	144000	2.7939677e-09	3.5354915	-0.00924373	-1.7715781	1.3564423	0.0066450536	0.076	127.0	198.45401287078857	0.0	0.0	0.0	0.0	0.0
9	17.014824	8.702941	34.59945	4.6798587	500.0	4.076607	1.6997176	7.093559	-1.07517	160000	-1.6763806e-08	2.2224016	-0.009816612	-0.6689924	1.3564423	0.007170831	0.0878125	127.0	220.79436039924622	0.0	0.0	0.0	0.0	0.0
