Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.46569756	0.43531924	1.9107629	0.053592775	500.0	-0.15784058	0.04120716	-0.121961355	-0.334342	16000	1.1920929e-07	0.049151488	-0.005213367	-0.04117145	1.3564423	0.0056622773	0.042375	127.0	26.92512345314026	0.0	0.0	0.0	0.0	0.0
1	1.1783253	1.3491172	6.1515527	0.06677626	500.0	0.055209406	0.030328108	0.12214423	-0.06148917	32000	-1.8626451e-08	0.07995228	-0.0062932326	-0.02985252	1.3564423	0.004193178	0.057937503	127.0	50.51482796669006	0.0	0.0	0.0	0.0	0.0
2	2.4516394	2.4805615	10.273503	0.21672831	500.0	0.27546152	0.07389644	0.48377198	0.023550779	48000	4.0978193e-08	0.2549017	-0.0067295264	-0.05769006	1.3564423	0.0059872265	0.07075	127.0	71.05286049842834	0.0	0.0	0.0	0.0	0.0
3	3.4330797	2.753715	10.815377	0.47359103	500.0	0.502003	0.08297168	0.74811846	0.23124374	64000	-2.2351742e-08	0.28571907	-0.0073246146	-0.10763204	1.3564423	0.0052022706	0.058875002	127.0	92.17568635940552	0.0	0.0	0.0	0.0	0.0
4	4.6696215	2.8064876	14.233898	0.70004123	500.0	0.8130849	0.19512384	1.4683132	0.30783197	80000	0.0	0.335173	-0.010445811	-0.099101186	1.3564423	0.0070621073	0.0875625	127.0	114.1616849899292	0.0	0.0	0.0	0.0	0.0
5	4.6722555	2.763804	11.050338	0.7903033	500.0	1.1405202	0.28888327	1.9077498	0.2606219	96000	-7.450581e-09	0.24986288	-0.009095899	-0.09030325	1.3564423	0.008358858	0.0806875	127.0	134.4365198612213	0.0	0.0	0.0	0.0	0.0
6	5.842844	3.2255833	14.860164	1.8554038	500.0	1.2492203	0.40274695	2.3973377	0.2903427	112000	0.0	0.3652171	-0.008280197	-0.12098651	1.3564423	0.008166713	0.0815	127.0	158.54374766349792	0.0	0.0	0.0	0.0	0.0
7	9.731749	4.776525	24.567327	2.2760112	500.0	1.5753249	0.63322514	2.889762	-0.12219563	128000	-4.4703484e-08	1.3265522	-0.008066954	-0.66607696	1.3564423	0.0073180012	0.094312504	127.0	182.53518509864807	0.0	0.0	0.0	0.0	0.0
8	17.09919	9.100956	37.8234	3.5280054	500.0	2.708743	0.9768772	4.456777	-0.55796564	144000	7.450581e-09	4.627279	-0.009294322	-2.2511268	1.3564423	0.008433092	0.086812496	127.0	203.92911195755005	0.0	0.125	0.0	0.0	0.0
9	21.827942	9.080141	40.96404	4.3419743	500.0	4.1688952	1.5885805	6.8112826	-1.2831423	160000	0.0	3.5037618	-0.011075411	-1.4240621	1.3564423	0.007915074	0.0976875	127.0	224.0340645313263	0.0	0.15625	0.0	0.0	0.0
10	28.587605	9.585673	56.811424	12.503611	500.0	5.587472	1.9594252	8.60971	-1.7995516	176000	7.450581e-09	4.8136945	-0.009959955	-1.4403968	1.3564423	0.008952683	0.0923125	127.0	247.33060240745544	0.0	0.15625	0.0	0.0	0.0
11	31.67408	7.2662673	44.896385	16.638304	500.0	6.5600104	2.1779583	9.702083	-1.9849203	192000	2.0489097e-08	4.0871687	-0.01151457	-1.3430511	1.3564423	0.008596469	0.0919375	127.0	268.9539952278137	0.0	0.3125	0.0	0.0	0.0
12	38.379227	10.548716	57.92899	21.905724	500.0	8.18017	2.397124	10.778853	-2.6917984	208000	1.1175871e-08	8.811884	-0.0073256018	-1.1413264	1.3564423	0.004852989	0.062125005	127.0	291.7398729324341	0.0	0.5	0.0	0.0	0.0
13	35.759144	10.393371	62.191177	22.72207	500.0	9.149798	2.2406023	11.274621	-1.2207325	224000	0.0	7.2761507	-0.0085873995	-0.7234382	1.3564423	0.0074527515	0.072	127.0	313.8877389431	0.0	0.28125	0.0	0.0	0.0
14	38.38167	8.580741	59.271145	24.807661	500.0	8.739209	1.7874476	10.41064	-0.6636725	240000	-1.8626451e-08	6.5355663	-0.009381422	-0.22304037	1.3564423	0.0061883484	0.0669375	127.0	336.9390766620636	0.0	0.375	0.0	0.0	0.0
15	41.25553	8.191858	59.61206	22.458439	500.0	8.930252	1.8250799	10.337788	0.18907182	256000	0.0	5.379981	-0.008979149	-0.43402475	1.3564423	0.0074613485	0.0756875	127.0	358.17258620262146	0.0	0.46875	0.0	0.0	0.0
16	40.83485	8.7648325	59.402023	27.848774	500.0	9.640916	1.8493994	10.955924	-0.11062649	272000	1.1175871e-08	5.692908	-0.008240734	-0.31977975	1.3564423	0.007221312	0.0615625	127.0	381.256498336792	0.0	0.4375	0.0	0.0	0.0
