Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.18783236	0.16374336	0.8954731	0.030178035	500.0	-0.20042145	0.047775026	-0.14732638	-0.32800442	16000	-1.3038516e-07	0.040225927	-0.005438675	-0.03712908	1.3564423	0.0059918608	0.044125	127.0	30.183645963668823	0.0	0.0	0.0	0.0	0.0
1	0.36342567	0.307346	1.1382916	0.06398975	500.0	-0.00620955	0.038107503	0.06716573	-0.10414496	32000	-5.9604645e-08	0.005528558	-0.010159176	-0.00274257	1.3564423	0.0066081006	0.1095625	127.0	59.552385330200195	0.0	0.0	0.0	0.0	0.0
2	0.4729867	0.30969524	1.4934093	0.064758345	500.0	0.07808228	0.030129973	0.12761828	-0.03829096	48000	7.450581e-09	0.0032456014	-0.009620115	-0.00055056013	1.3564423	0.0060373903	0.0855	127.0	83.43482661247253	0.0	0.0	0.0	0.0	0.0
3	0.9511819	0.45127234	2.083994	0.1266284	500.0	0.09726036	0.017622307	0.15199432	0.040584683	64000	-3.7252903e-08	0.0134490095	-0.009073893	-0.0068314443	1.3564423	0.0073881177	0.08225	127.0	105.77906942367554	0.0	0.0	0.0	0.0	0.0
4	1.41949	0.68633527	2.8723233	0.4873191	500.0	0.2021962	0.024314428	0.28861165	0.12407355	80000	0.0	0.026717834	-0.0066459444	-0.010394435	1.3564423	0.004946937	0.052125	127.0	138.33514261245728	0.0	0.0	0.0	0.0	0.0
5	1.4667311	0.6995496	3.8355837	0.47530633	500.0	0.29048163	0.04287468	0.42892352	0.17553258	96000	-7.450581e-09	0.017800678	-0.007977677	-0.004872603	1.3564423	0.0064275074	0.06275	127.0	172.9743344783783	0.0	0.0	0.0	0.0	0.0
6	2.2190855	1.287428	5.725811	0.24460833	500.0	0.37039408	0.082630135	0.6085746	0.16581897	112000	-3.7252903e-09	0.07756212	-0.0064457078	-0.027812513	1.3564423	0.0067871287	0.0685625	127.0	203.44082736968994	0.0	0.0	0.0	0.0	0.0
7	3.1511607	1.3946782	7.3832364	1.3143299	500.0	0.5721397	0.19983427	1.0696303	0.115480796	128000	-2.9802322e-08	0.11332977	-0.008538599	-0.04778812	1.3564423	0.007241031	0.0975625	127.0	237.250385761261	0.0	0.0	0.0	0.0	0.0
8	4.904023	1.8175404	9.632389	2.1633728	500.0	0.83678794	0.293024	1.5813121	0.18516834	144000	3.7252903e-09	0.28416884	-0.0070716497	-0.13221228	1.3564423	0.008151993	0.0789375	127.0	264.0868263244629	0.0	0.0	0.0	0.0	0.0
9	5.7651024	2.620993	13.300016	2.185265	500.0	1.2506876	0.4385816	2.0955286	0.20285803	160000	3.7252903e-09	0.35106197	-0.008746965	-0.09795663	1.3564423	0.007863341	0.1085625	127.0	287.9184076786041	0.0	0.0	0.0	0.0	0.0
10	8.097173	2.8203866	15.651476	2.7537916	500.0	1.6411836	0.6064171	2.9918718	0.2962433	176000	7.450581e-09	0.43505317	-0.0072052116	-0.15145144	1.3564423	0.006926343	0.067687504	127.0	310.27325081825256	0.0	0.0	0.0	0.0	0.0
11	10.6256075	3.1887066	17.116373	3.4574873	500.0	2.184159	0.758435	3.724857	0.55598485	192000	1.1175871e-08	0.63119626	-0.008640919	-0.20525658	1.3564423	0.006756785	0.0773125	127.0	333.8571836948395	0.0	0.0	0.0	0.0	0.0
12	11.946474	3.5550497	18.792002	5.303292	500.0	2.7583926	0.97977763	4.3367205	0.3328461	208000	1.4901161e-08	0.7328583	-0.008065573	-0.1444101	1.3564423	0.007437483	0.078625	127.0	354.7566804885864	0.0	0.0	0.0	0.0	0.0
