Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.20177545	0.19269681	0.8954731	0.030178035	500.0	-0.20029618	0.047836218	-0.14732638	-0.32800442	16000	5.5879354e-08	0.041539945	-0.0052891886	-0.038062513	1.3564423	0.0059046578	0.043312497	127.0	27.233316659927368	0.0	0.0	0.0	0.0	0.0
1	0.34419632	0.2957684	1.1584536	0.06609913	500.0	-0.0036510983	0.041366514	0.07293774	-0.10482779	32000	0.0	0.0048610186	-0.010400632	-0.002217575	1.3564423	0.0068820524	0.1171875	127.0	50.90713453292847	0.0	0.0	0.0	0.0	0.0
2	0.5332733	0.35127926	1.5354939	0.068812974	500.0	0.07546743	0.02813199	0.12357338	-0.03607348	48000	-2.2351742e-08	0.0044647204	-0.009360135	-0.0008447344	1.3564423	0.0063770306	0.088375	127.0	71.9817566871643	0.0	0.0	0.0	0.0	0.0
3	0.9615163	0.42295	2.0127885	0.13602345	500.0	0.10718548	0.020574283	0.16679317	0.029157199	64000	3.7252903e-08	0.011540891	-0.00976399	-0.0059556914	1.3564423	0.007661532	0.086375	127.0	96.63921213150024	0.0	0.0	0.0	0.0	0.0
4	1.3477852	0.73522645	3.8798392	0.4871886	500.0	0.20478526	0.03081082	0.310974	0.083835825	80000	-7.450581e-09	0.024878366	-0.006603133	-0.0086469855	1.3564423	0.005589902	0.053125	127.0	119.75304841995239	0.0	0.0	0.0	0.0	0.0
5	1.3394865	0.53155005	2.7363627	0.4884168	500.0	0.27932623	0.04343188	0.45185676	0.1688554	96000	2.2351742e-08	0.012483319	-0.009463566	-0.0036512841	1.3564423	0.007444404	0.0789375	127.0	143.016099691391	0.0	0.0	0.0	0.0	0.0
6	1.8068779	1.037519	4.507563	0.5525791	500.0	0.33163792	0.0638286	0.5788096	0.19798839	112000	-7.450581e-09	0.046821274	-0.0071357093	-0.024610277	1.3564423	0.0076850615	0.0804375	127.0	168.81932473182678	0.0	0.0	0.0	0.0	0.0
7	2.2171538	1.1194669	5.177656	0.7546109	500.0	0.44989643	0.18316928	1.2458187	0.08050666	128000	4.0978193e-08	0.042050738	-0.009993834	-0.016170548	1.3564423	0.008738167	0.0985	127.0	193.0356583595276	0.0	0.0	0.0	0.0	0.0
8	3.1012328	1.4013348	6.0892487	0.51016945	500.0	0.73489684	0.31765285	1.69501	0.16784859	144000	-7.450581e-09	0.061499618	-0.008932358	-0.019274145	1.3564423	0.007939695	0.0898125	127.0	214.67145252227783	0.0	0.0	0.0	0.0	0.0
9	3.8980777	2.4981833	10.287006	0.6385425	500.0	0.9008047	0.4132357	1.8696694	0.09462515	160000	2.9802322e-08	0.17731473	-0.0061180126	-0.0761698	1.3564423	0.006930041	0.076875	127.0	237.4671175479889	0.0	0.0	0.0	0.0	0.0
10	4.764434	2.6924086	14.825608	0.7155716	500.0	1.1742127	0.5636286	2.7572925	-0.15653569	176000	-1.4901161e-08	0.16600415	-0.009975937	-0.024231436	1.3564423	0.007182721	0.0970625	127.0	258.8418152332306	0.0	0.0	0.0	0.0	0.0
11	6.2886915	4.0967946	21.719215	1.9551897	500.0	1.3703461	0.6469386	3.392429	-0.1295863	192000	-7.450581e-09	0.48644313	-0.007906484	-0.15217037	1.3564423	0.008598166	0.0960625	127.0	283.62846994400024	0.0	0.0	0.0	0.0	0.0
12	6.2460375	4.8182106	20.933695	1.8048087	500.0	1.6400962	0.93767154	4.0417013	-0.6388765	208000	0.0	0.5761466	-0.0050745746	-0.07359928	1.3564423	0.00636354	0.0553125	127.0	310.7521665096283	0.0	0.0	0.0	0.0	0.0
13	10.260595	8.699638	33.74249	2.0677915	500.0	2.2611313	1.236905	5.5201564	-0.62153745	224000	1.8626451e-09	1.6410532	-0.0069066007	-0.7212249	1.3564423	0.006345936	0.06937499	127.0	333.47359800338745	0.0	0.0	0.0	0.0	0.0
14	10.015944	7.3770432	26.625145	1.5315269	500.0	2.7377865	1.6390476	6.8904243	-1.3508137	240000	0.0	1.2598696	-0.0059569343	-0.2558074	1.3564423	0.006222884	0.05175	127.0	355.6979908943176	0.0	0.0	0.0	0.0	0.0
15	12.52917	8.533873	32.670654	0.87887526	500.0	3.2115703	1.7879242	7.169096	-2.2556791	256000	-1.8626451e-08	1.3377552	-0.0069232355	-0.5362731	1.3564423	0.0064597917	0.0644375	127.0	380.4348351955414	0.0	0.0	0.0	0.0	0.0
16	12.478323	10.042456	32.676746	1.1800007	500.0	2.9632926	2.2005274	9.467116	-2.5610933	272000	0.0	1.6554885	-0.008246016	-0.49749035	1.3564423	0.0044903513	0.066062495	127.0	404.7796504497528	0.0	0.0	0.0	0.0	0.0
17	11.276039	8.30394	28.504395	1.2412009	500.0	3.2274823	2.3559885	11.375087	-2.191855	288000	-3.7252903e-09	0.80674577	-0.009542059	-0.2594441	1.3564423	0.008297548	0.0858125	127.0	427.0387089252472	0.0	0.0	0.0	0.0	0.0
18	15.41785	9.320722	37.540474	0.83427376	500.0	4.029265	2.8511562	11.630306	-1.2756491	304000	7.450581e-09	1.3799368	-0.007203884	-0.23305637	1.3564423	0.006117765	0.0671875	127.0	451.96800351142883	0.0	0.125	0.0	0.0	0.0
19	16.25934	9.622492	35.28666	2.871188	500.0	4.2783356	2.5837715	11.065768	-1.3251535	320000	1.1175871e-08	1.8926654	-0.008148897	-0.47554043	1.3564423	0.008134704	0.07618751	127.0	477.76030707359314	0.0	0.0	0.0	0.0	0.0
20	17.35691	7.249864	32.542717	2.1188242	500.0	4.879213	3.0233133	9.997406	-0.8599941	336000	-4.656613e-09	2.7037685	-0.007233017	-1.1442523	1.3564423	0.005310975	0.06575	127.0	501.4860396385193	0.0	0.0625	0.0	0.0	0.0
21	18.985123	7.827219	29.440523	1.4961376	500.0	4.946006	2.3816335	9.305013	0.21454014	352000	1.8626451e-09	2.3264594	-0.0068610413	-0.444575	1.3564423	0.005029036	0.047	127.0	526.3781595230103	0.0	0.0	0.0	0.0	0.0
22	24.791437	11.070155	43.61597	2.832266	500.0	5.3799376	2.2181292	9.197207	-0.19594394	368000	2.2351742e-08	4.4551167	-0.005722877	-1.1397898	1.3564423	0.005537805	0.049875	127.0	550.0114555358887	0.0	0.0625	0.0	0.0	0.0
23	30.158245	8.373648	42.80258	1.7346152	500.0	6.3714356	2.6963668	10.180848	-0.39294332	384000	1.1175871e-08	4.040813	-0.0066619017	-1.0747736	1.3564423	0.005410606	0.054437503	127.0	574.3093371391296	0.0	0.15625	0.0	0.0	0.0
24	31.264553	11.66872	51.515594	1.059431	500.0	7.4883003	3.204312	11.153209	0.05901634	400000	-1.1175871e-08	3.2491617	-0.009794241	-0.30729967	1.3564423	0.008838424	0.079375	127.0	602.0022656917572	0.0	0.21875	0.0	0.0	0.0
25	34.342415	8.445852	49.20211	19.629	500.0	8.209111	2.992011	12.092608	0.3535626	416000	-3.7252903e-09	4.133092	-0.0085293995	-0.64740956	1.3564423	0.0053467974	0.0581875	127.0	628.4442682266235	0.0	0.25	0.0	0.0	0.0
26	35.00609	8.681726	57.530552	19.240767	500.0	8.460819	3.055097	12.359764	0.53245085	432000	-7.450581e-09	3.112173	-0.008835968	-0.24521445	1.3564423	0.008263189	0.063125	127.0	653.670645236969	0.0	0.1875	0.0	0.0	0.0
27	38.44761	9.720026	61.51212	22.526896	500.0	8.806021	3.0827196	12.241155	0.91805154	448000	1.4901161e-08	5.1752834	-0.008727349	-0.3329055	1.3564423	0.007357637	0.0784375	127.0	676.147509098053	0.0	0.21875	0.0	0.0	0.0
28	36.42685	9.783323	67.83722	24.836332	500.0	9.074416	3.049968	12.506836	1.2353348	464000	3.7252903e-09	4.914301	-0.007319549	-0.2818957	1.3564423	0.0066744983	0.074	127.0	700.9409718513489	0.0	0.3125	0.0	0.0	0.0
29	34.890625	7.8896017	49.458187	20.06644	500.0	8.826108	3.0068245	12.831239	0.66630024	480000	-1.3038516e-08	4.8102627	-0.008756983	-0.9235594	1.3564423	0.007613386	0.060125	127.0	723.5734419822693	0.0	0.0625	0.0	0.0	0.0
30	36.61139	7.9701066	53.61146	22.711832	500.0	8.46833	3.0819821	12.280562	-1.2421685	496000	1.1175871e-08	2.8536992	-0.009552544	-0.45398802	1.3564423	0.0066242944	0.0716875	127.0	744.188734292984	0.0	0.28125	0.0	0.0	0.0
31	40.665443	9.163169	65.8914	25.222544	500.0	8.914924	3.1108742	12.696964	-2.359943	512000	-3.7252903e-09	4.6878424	-0.008571882	-1.4866424	1.3564423	0.0068241153	0.068	127.0	767.7911598682404	0.0	0.4375	0.0	0.0	0.0
32	37.001587	8.333604	52.958347	22.88834	500.0	9.259369	3.6745734	13.970361	-0.45286512	528000	7.450581e-09	5.015829	-0.009395673	-0.8909367	1.3564423	0.0057581044	0.065875	127.0	791.3404710292816	0.0	0.375	0.0	0.0	0.0
33	34.953255	9.216451	53.130646	17.960766	500.0	9.35108	3.2940571	13.606819	1.841351	544000	-3.9115548e-08	4.7976027	-0.00845065	-1.0434238	1.3564423	0.0060701966	0.06362499	127.0	814.6453976631165	0.0	0.28125	0.0	0.0	0.0
34	36.077103	9.624212	56.47892	17.373005	500.0	8.141391	2.9322248	12.488532	2.0348833	560000	-1.8626451e-08	4.1679535	-0.008960495	-0.5466246	1.3564423	0.0060344236	0.068	127.0	837.9943232536316	0.0	0.21875	0.0	0.0	0.0
35	36.987396	11.484269	55.592457	0.9154936	500.0	8.438084	3.2391126	13.444832	1.9802477	576000	7.450581e-09	4.2171965	-0.008934783	-0.7590506	1.3564423	0.009128023	0.0784375	127.0	862.1305024623871	0.0	0.28125	0.0	0.0	0.0
36	39.119408	10.878491	58.286194	20.904453	500.0	9.312166	3.7282798	14.641539	1.319997	592000	1.8626451e-09	4.885126	-0.009397376	-0.8674971	1.3564423	0.004989284	0.0650625	127.0	885.83904337883	0.0	0.28125	0.0	0.0	0.0
37	37.409508	11.738436	58.38006	2.2854693	500.0	9.698576	4.0610147	15.036928	1.019635	608000	9.313226e-10	4.8400702	-0.009240409	-0.78846806	1.3564423	0.0073929657	0.069375	127.0	911.6924419403076	0.0	0.28125	0.0	0.0	0.0
38	37.344128	10.98503	60.847126	4.8393164	500.0	8.980586	3.6031528	14.054303	0.5602316	624000	3.306195e-08	4.199095	-0.008749463	-0.38863257	1.3564423	0.005710615	0.074625	127.0	935.4470326900482	0.0	0.28125	0.0	0.0	0.0
39	42.742676	13.050785	62.7419	3.2247217	500.0	9.703009	3.6098568	14.883812	0.73305476	640000	-2.0489097e-08	5.376787	-0.010521584	-1.3058972	1.3564423	0.0066693793	0.0841875	127.0	957.3316886425018	0.0	0.375	0.0	0.0	0.0
40	34.55555	16.75289	59.03451	0.39406788	500.0	9.161469	5.006406	15.48962	-3.9109123	656000	-3.7252903e-09	3.9451618	-0.009339028	-1.2241158	1.3564423	0.007303035	0.07425	127.0	980.2317495346069	0.0	0.3125	0.0	0.0	0.0
41	41.97631	14.851111	61.45192	0.5061437	500.0	9.898821	4.874507	15.568229	-2.1277099	672000	9.313226e-09	3.4781942	-0.009450878	-0.7112466	1.3564423	0.008121252	0.066750005	127.0	1002.4360060691833	0.0	0.375	0.0	0.0	0.0
42	42.58216	10.62066	60.102436	24.693153	500.0	10.7759905	4.3876114	16.136007	-0.27006367	688000	3.7252903e-08	4.8112926	-0.009551942	-0.6143363	1.3564423	0.004525842	0.069000006	127.0	1024.6976244449615	0.0	0.625	0.0	0.0	0.0
