Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.19774899	0.1897223	0.8903896	0.029821249	500.0	-0.18866086	0.046621133	-0.13997048	-0.31990477	16000	-1.0803342e-07	0.037574127	-0.0054253326	-0.03437403	1.3564423	0.005642291	0.040875003	127.0	21.624767065048218	0.0	0.0	0.0	0.0	0.0
1	0.33331978	0.28019238	1.0436344	0.06668825	500.0	-0.0064046746	0.038167864	0.07609108	-0.10664396	32000	-2.6077032e-08	0.0046988954	-0.010436991	-0.0023267362	1.3564423	0.006814621	0.111499995	127.0	40.95732545852661	0.0	0.0	0.0	0.0	0.0
2	0.4674086	0.30200297	1.3155601	0.067722164	500.0	0.07397292	0.02931467	0.12713951	-0.03445275	48000	0.0	0.0030708588	-0.010107486	-0.0005458851	1.3564423	0.006793594	0.0955	127.0	62.96491241455078	0.0	0.0	0.0	0.0	0.0
3	0.9452923	0.44960108	1.9474595	0.11420362	500.0	0.09413609	0.019289773	0.1491904	0.01739771	64000	-5.2154064e-08	0.0133435	-0.009297663	-0.0073354193	1.3564423	0.006890959	0.0804375	127.0	83.91888093948364	0.0	0.0	0.0	0.0	0.0
4	1.3467078	0.71920204	3.8004582	0.5289021	500.0	0.20010798	0.031112863	0.2932816	0.102605686	80000	2.6077032e-08	0.024738604	-0.006814325	-0.009651611	1.3564423	0.00573493	0.056125	127.0	103.32596349716187	0.0	0.0	0.0	0.0	0.0
5	1.4052877	0.6578382	3.253192	0.47632748	500.0	0.27345625	0.03927888	0.4184804	0.19167605	96000	7.450581e-09	0.017496444	-0.008464539	-0.006309064	1.3564423	0.00630988	0.062562495	127.0	123.9454894065857	0.0	0.0	0.0	0.0	0.0
6	1.6815498	0.92669576	4.5469074	0.37690103	500.0	0.33231804	0.06607884	0.5764123	0.16630931	112000	0.0	0.03154964	-0.008008245	-0.013751264	1.3564423	0.00758175	0.0824375	127.0	143.42796993255615	0.0	0.0	0.0	0.0	0.0
7	2.0992963	1.1591418	5.453344	0.757201	500.0	0.42393947	0.16724497	1.1302007	0.08717894	128000	-1.1175871e-08	0.039299928	-0.0099477	-0.01362924	1.3564423	0.008316987	0.0974375	127.0	162.87279319763184	0.0	0.0	0.0	0.0	0.0
8	3.4113567	1.3072563	5.811229	1.2163123	500.0	0.7138777	0.29986343	1.5675577	0.09186008	144000	3.3527613e-08	0.08220817	-0.00899126	-0.03455837	1.3564423	0.008544246	0.0963125	127.0	183.19309616088867	0.0	0.0	0.0	0.0	0.0
9	3.7713814	2.202057	11.462445	1.1181245	500.0	0.8779963	0.31917518	1.7349259	0.14107382	160000	2.2351742e-08	0.1537578	-0.007713935	-0.05621881	1.3564423	0.0075598443	0.0820625	127.0	203.0924813747406	0.0	0.0	0.0	0.0	0.0
10	4.939325	1.9485433	8.715847	1.7389622	500.0	1.1888841	0.54674274	2.6481416	-0.10395508	176000	1.4901161e-08	0.15262868	-0.009226333	-0.03444887	1.3564423	0.0068041165	0.0818125	127.0	223.22019028663635	0.0	0.0	0.0	0.0	0.0
11	4.80877	2.100349	9.134549	1.3570447	500.0	1.2351682	0.560516	2.704342	0.12314518	192000	3.7252903e-09	0.1748002	-0.007247125	-0.04137662	1.3564423	0.00707664	0.0673125	127.0	244.90437078475952	0.0	0.0	0.0	0.0	0.0
12	4.303366	4.0878882	23.431686	1.3720897	500.0	1.0714175	0.41750705	2.5978947	0.20346966	208000	-5.5879354e-09	0.57097477	-0.0046074567	-0.17534295	1.3564423	0.006567187	0.0546875	127.0	266.25910472869873	0.0	0.0	0.0	0.0	0.0
13	7.532882	6.2049885	27.702438	2.2142434	500.0	1.6540511	0.9937577	4.444502	0.07689199	224000	-3.7252903e-09	0.86619943	-0.008231173	-0.3220532	1.3564423	0.008513813	0.0986875	127.0	285.8477258682251	0.0	0.0	0.0	0.0	0.0
14	9.17565	6.6836085	27.945034	1.0535549	500.0	2.519912	1.1648562	5.654865	0.0021477155	240000	1.4901161e-08	1.6494415	-0.009378027	-0.46644336	1.3564423	0.006121091	0.0924375	127.0	305.9894597530365	0.0	0.0	0.0	0.0	0.0
