Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.35532403	0.29343146	1.5321157	0.07777892	500.0	-0.17173584	0.031941406	-0.13945705	-0.33084244	16000	-5.2154064e-08	0.041323572	-0.0051925806	-0.03687516	1.3564423	0.005803244	0.0410625	127.0	28.299697875976562	0.0	0.0	0.0	0.0	0.0
1	0.80040085	0.7850165	2.7824156	0.06585603	500.0	0.027572777	0.033345565	0.093700424	-0.08665872	32000	9.313226e-09	0.028692488	-0.008322113	-0.012374023	1.3564423	0.0046376702	0.077	127.0	56.16544008255005	0.0	0.0	0.0	0.0	0.0
2	2.1564922	1.9171567	6.443108	0.20726395	500.0	0.19572791	0.0625416	0.37524524	-0.014841411	48000	-4.284084e-08	0.180787	-0.008391464	-0.059000596	1.3564423	0.007218457	0.083437495	127.0	81.14237475395203	0.0	0.0	0.0	0.0	0.0
3	3.2421956	2.2645264	10.693223	0.5749665	500.0	0.50366247	0.11186222	0.92108625	0.15688953	64000	-2.9802322e-08	0.23579986	-0.010029007	-0.061054923	1.3564423	0.008061753	0.09725	127.0	103.32051134109497	0.0	0.0	0.0	0.0	0.0
4	6.387946	4.143089	21.299707	0.8596351	500.0	0.8790013	0.20220359	1.4259459	0.3188372	80000	3.1664968e-08	0.8954998	-0.0072553274	-0.34560382	1.3564423	0.004679488	0.0680625	127.0	126.29270100593567	0.0	0.0	0.0	0.0	0.0
5	11.625238	6.0015726	25.759602	1.2897818	500.0	1.330989	0.34777728	2.4507353	0.42757148	96000	3.7252903e-09	2.8647926	-0.010117196	-1.3948526	1.3564423	0.00752825	0.084625	127.0	152.91865158081055	0.0	0.0	0.0	0.0	0.0
6	13.204643	4.381435	24.073305	4.0372143	500.0	2.7891347	0.5536115	4.1631556	1.1499307	112000	5.5879354e-09	1.3904595	-0.008948052	-0.23557211	1.3564423	0.0066850875	0.0805	127.0	174.15982365608215	0.0	0.0	0.0	0.0	0.0
7	16.106314	4.112354	24.11767	7.8790054	500.0	3.3332696	0.8249285	4.795278	0.7065176	128000	7.450581e-09	1.4478687	-0.010024135	-0.37684184	1.3564423	0.007400606	0.0830625	127.0	199.23924732208252	0.0	0.0	0.0	0.0	0.0
8	18.803968	4.5505147	32.915012	10.0021515	500.0	4.0183096	0.92170733	5.5367317	0.5330102	144000	1.4901161e-08	1.7455426	-0.010283577	-0.22943328	1.3564423	0.007899968	0.0813125	127.0	221.0322585105896	0.0	0.0	0.0	0.0	0.0
9	21.732103	5.042589	37.15339	11.505296	500.0	4.544232	0.86313564	5.9701123	1.2014878	160000	-2.6077032e-08	1.9857669	-0.009848231	-0.30901724	1.3564423	0.009151576	0.08075	127.0	244.04350566864014	0.0	0.0	0.0	0.0	0.0
