Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.21906438	0.14729312	0.7158994	0.060503054	500.0	-0.20067348	0.047976788	-0.14911303	-0.33234763	16000	8.009374e-08	0.042084157	-0.0056917993	-0.039020427	1.3564423	0.0052589225	0.0381875	127.0	26.229548454284668	0.0	0.0	0.0	0.0	0.0
1	0.38293558	0.24878176	0.8478664	0.083456814	500.0	-0.0008967497	0.04478314	0.081369445	-0.11199215	32000	1.4901161e-08	0.00455135	-0.012245464	-0.00259795	1.3564423	0.0077566043	0.141875	127.0	45.53236532211304	0.0	0.0	0.0	0.0	0.0
2	0.63068414	0.30674675	1.3152177	0.15922771	500.0	0.085439555	0.02933882	0.13633053	-0.036043	48000	-7.450581e-09	0.004294564	-0.012052345	-0.0011135829	1.3564423	0.006594027	0.10025	127.0	67.35021686553955	0.0	0.0	0.0	0.0	0.0
3	1.201491	0.4267194	2.2413	0.27864453	500.0	0.11864303	0.022504916	0.17746073	0.038148947	64000	5.2154064e-08	0.018068291	-0.009884724	-0.010866482	1.3564423	0.0075303814	0.085	127.0	87.40278959274292	0.0	0.0	0.0	0.0	0.0
4	1.6895413	0.79844135	5.21041	0.6046967	500.0	0.24286559	0.019599155	0.30613086	0.1522085	80000	-1.1175871e-08	0.04147903	-0.006417392	-0.01350973	1.3564423	0.005561617	0.0684375	127.0	109.27426743507385	0.0	0.0	0.0	0.0	0.0
5	2.2828548	0.932391	4.412543	1.0946132	500.0	0.36440405	0.053991612	0.525346	0.25480688	96000	7.450581e-09	0.061537247	-0.008011272	-0.024693102	1.3564423	0.008653175	0.07075	127.0	133.35970091819763	0.0	0.0	0.0	0.0	0.0
6	3.2072954	1.3404047	6.311913	0.7382432	500.0	0.5478651	0.1340604	0.87035173	0.28279445	112000	-1.8626451e-08	0.12009958	-0.0072108647	-0.055281647	1.3564423	0.0074099805	0.0808125	127.0	154.44234156608582	0.0	0.0	0.0	0.0	0.0
7	4.264696	1.7654133	11.140502	2.0711148	500.0	0.831104	0.30001363	1.5202267	0.19878092	128000	1.4901161e-08	0.2045484	-0.008758359	-0.06959007	1.3564423	0.00933647	0.108312495	127.0	177.4269459247589	0.0	0.0	0.0	0.0	0.0
8	6.4270554	1.969851	10.180865	2.8122716	500.0	1.1511128	0.43399295	2.1334934	0.25940782	144000	-1.4901161e-08	0.36954522	-0.0074421233	-0.17491622	1.3564423	0.007201226	0.070187494	127.0	198.752592086792	0.0	0.0	0.0	0.0	0.0
9	8.234741	2.5515006	13.882224	3.6854963	500.0	1.6737001	0.5960052	2.8994575	0.3799948	160000	6.7055225e-08	0.47877315	-0.009737771	-0.16548912	1.3564423	0.008109721	0.0985625	127.0	221.4842963218689	0.0	0.0	0.0	0.0	0.0
