Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.5204667	0.3817173	1.5089974	0.09305078	500.0	-0.15646045	0.04021007	-0.121497676	-0.3323077	16000	5.2154064e-08	0.051137693	-0.0057310797	-0.04410378	1.3564423	0.006065557	0.04775	127.0	21.4045672416687	0.0	0.0	0.0	0.0	0.0
1	1.4122016	1.3257148	6.0728207	0.127159	500.0	0.0709337	0.031351376	0.15105093	-0.05418757	32000	2.6077032e-08	0.088331655	-0.0070074536	-0.038152058	1.3564423	0.0041723857	0.0651875	127.0	42.73589205741882	0.0	0.0	0.0	0.0	0.0
2	2.94079	2.328088	9.394919	0.40713114	500.0	0.32348087	0.073786706	0.5562302	0.088113666	48000	-4.4703484e-08	0.27412534	-0.007692847	-0.071773306	1.3564423	0.006203889	0.0783125	127.0	64.74791598320007	0.0	0.0	0.0	0.0	0.0
3	4.545826	2.971074	13.541047	0.9699451	500.0	0.61001533	0.07475955	0.81451464	0.35130495	64000	0.0	0.4521981	-0.008282029	-0.15773922	1.3564423	0.00630316	0.067375004	127.0	86.7584958076477	0.0	0.0	0.0	0.0	0.0
4	5.65829	2.8766294	14.951099	1.0933772	500.0	1.0139748	0.18539028	1.4799314	0.5514149	80000	0.0	0.41810572	-0.010650411	-0.085535824	1.3564423	0.0072008264	0.0860625	127.0	107.48924016952515	0.0	0.0	0.0	0.0	0.0
5	5.638407	2.645513	11.260978	1.3627834	500.0	1.3011129	0.212774	1.865603	0.6510104	96000	-1.4901161e-08	0.28473198	-0.008965794	-0.06018918	1.3564423	0.008478301	0.077	127.0	129.3100950717926	0.0	0.0	0.0	0.0	0.0
6	7.667944	3.1511304	16.842562	2.8444636	500.0	1.4466186	0.29639095	2.3162231	0.75094765	112000	3.7252903e-09	0.5126641	-0.00746346	-0.18500552	1.3564423	0.0068600457	0.063625	127.0	153.3188967704773	0.0	0.0	0.0	0.0	0.0
7	12.986864	4.175609	23.135221	4.6835365	500.0	1.9060603	0.60710907	3.2639885	0.4008687	128000	-3.7252903e-09	1.9985683	-0.008831484	-1.2292669	1.3564423	0.0069863955	0.0804375	127.0	171.94011902809143	0.0	0.0	0.0	0.0	0.0
8	18.335506	6.0117908	34.361103	6.8582673	500.0	3.2602918	0.98558235	5.2501564	0.557279	144000	2.6077032e-08	2.811659	-0.009302314	-1.1233985	1.3564423	0.0077398536	0.0840625	127.0	192.14715909957886	0.0	0.0	0.0	0.0	0.0
9	23.55426	7.152835	42.19601	11.3541765	500.0	4.490907	1.2164354	6.341628	0.6997944	160000	2.9802322e-08	3.5764422	-0.009774638	-1.1319065	1.3564423	0.007644573	0.085999995	127.0	213.1413803100586	0.0	0.0	0.0	0.0	0.0
10	24.04866	4.9647136	39.507206	16.81884	500.0	5.7706265	1.42866	7.4966345	0.87868094	176000	1.6763806e-08	1.576565	-0.00972128	-0.051157195	1.3564423	0.0071910927	0.0760625	127.0	233.50891423225403	0.0	0.0	0.0	0.0	0.0
11	28.352846	6.827646	45.340042	18.062244	500.0	5.808948	1.3277984	7.636355	1.1314466	192000	2.2351742e-08	3.4441433	-0.008881223	-0.69598526	1.3564423	0.007601765	0.0783125	127.0	254.3226351737976	0.0	0.0	0.0	0.0	0.0
12	32.036835	8.4868355	50.53424	18.285395	500.0	6.7210975	1.3933387	8.1460705	0.8477632	208000	1.4901161e-08	4.5305567	-0.0077033755	-0.53223073	1.3564423	0.0051558902	0.057562504	127.0	277.8492829799652	0.0	0.0	0.0	0.0	0.0
13	28.681118	8.372291	48.978233	18.12641	500.0	7.4510603	1.2528718	8.483508	1.7472785	224000	0.0	4.559243	-0.00811501	-0.6826785	1.3564423	0.007232012	0.072875	127.0	299.1429114341736	0.0	0.0	0.0	0.0	0.0
14	32.839035	10.000479	62.091625	18.401283	500.0	6.8766065	0.9700419	7.6942463	1.4064085	240000	0.0	5.7511125	-0.00895247	-0.2608471	1.3564423	0.008574063	0.06375	127.0	320.1349530220032	0.0	0.0625	0.0	0.0	0.0
