Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.4391303	0.41100377	2.2252593	0.06320018	500.0	-0.17609006	0.043773852	-0.13775158	-0.33753484	16000	4.004687e-08	0.051514387	-0.005569548	-0.04342634	1.3564423	0.005948093	0.045500003	127.0	23.881240129470825	0.0	0.0	0.0	0.0	0.0
1	1.2716861	1.1948439	4.71859	0.17030278	500.0	0.04435654	0.034997076	0.11351819	-0.09034237	32000	-4.4703484e-08	0.07723522	-0.006528687	-0.031848077	1.3564423	0.0045975465	0.05625	127.0	44.95884466171265	0.0	0.0	0.0	0.0	0.0
2	1.5182612	0.93092054	4.3112283	0.2595496	500.0	0.25455096	0.063865006	0.409303	-0.02701303	48000	1.4901161e-08	0.03469593	-0.010305298	-0.004609469	1.3564423	0.008336248	0.1053125	127.0	67.44081425666809	0.0	0.0	0.0	0.0	0.0
3	3.3370128	1.6379898	7.0330887	0.5201768	500.0	0.34313563	0.047773823	0.5168571	0.14675698	64000	3.7252903e-09	0.20090394	-0.008256426	-0.10441008	1.3564423	0.006897905	0.074687496	127.0	90.72575855255127	0.0	0.0	0.0	0.0	0.0
4	4.6079254	2.1630757	10.400544	1.3472501	500.0	0.7411671	0.09777688	1.0520873	0.48224446	80000	7.450581e-09	0.25923347	-0.0068796217	-0.06847891	1.3564423	0.0055926954	0.0559375	127.0	113.18072366714478	0.0	0.0	0.0	0.0	0.0
5	6.0924063	2.7074218	12.741392	1.8397772	500.0	0.96540684	0.094054624	1.2934839	0.6713474	96000	-5.2154064e-08	0.45574927	-0.0070591015	-0.16200042	1.3564423	0.00637956	0.0515	127.0	134.15746760368347	0.0	0.0	0.0	0.0	0.0
6	8.53332	3.5061002	20.515442	3.7517724	500.0	1.4000728	0.20537995	1.92307	0.7823237	112000	2.4214387e-08	0.82823503	-0.007826782	-0.33824468	1.3564423	0.0062489687	0.0624375	127.0	155.35280680656433	0.0	0.0	0.0	0.0	0.0
7	13.091875	6.153873	25.330149	4.7689304	500.0	1.9555012	0.48408905	3.0515623	0.50310075	128000	3.7252903e-08	2.5457034	-0.008019418	-1.1498022	1.3564423	0.0067936005	0.0673125	127.0	176.93468737602234	0.0	0.0	0.0	0.0	0.0
8	19.161507	4.733512	28.689873	9.143078	500.0	3.1227682	0.80190253	4.665499	0.8276221	144000	-1.8626451e-09	3.066072	-0.0099608265	-1.7304919	1.3564423	0.0076526655	0.0818125	127.0	197.08012986183167	0.0	0.0	0.0	0.0	0.0
9	19.799276	5.165203	31.477423	9.285851	500.0	4.478459	1.290992	6.5121155	0.52110684	160000	4.656613e-09	1.5523771	-0.012435302	-0.20686784	1.3564423	0.008933652	0.1055	127.0	219.22208762168884	0.0	0.0	0.0	0.0	0.0
