Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.33888388	0.2449591	1.3353153	0.0784674	500.0	-0.17887421	0.045395643	-0.13524374	-0.34589845	16000	1.2665987e-07	0.043228403	-0.0057464554	-0.03891647	1.3564423	0.0064452384	0.059875	127.0	28.479569673538208	0.0	0.0	0.0	0.0	0.0
1	0.8441177	0.65069985	2.6887357	0.16056469	500.0	0.027800987	0.03153114	0.09692532	-0.08942315	32000	2.2351742e-08	0.026768748	-0.0075250743	-0.013116131	1.3564423	0.005021549	0.0683125	127.0	50.69161534309387	0.0	0.0	0.0	0.0	0.0
2	1.1954473	0.61232895	2.6311862	0.2500595	500.0	0.1730748	0.044636685	0.27799103	-0.021925889	48000	-1.4901161e-08	0.01904748	-0.010928898	-0.0044924403	1.3564423	0.007971801	0.10725	127.0	75.06506705284119	0.0	0.0	0.0	0.0	0.0
3	2.423366	1.0574985	4.9848466	0.43102002	500.0	0.26354042	0.037352007	0.4000547	0.08494703	64000	-1.4901161e-08	0.09417488	-0.009420335	-0.050135702	1.3564423	0.007821857	0.081	127.0	100.37073493003845	0.0	0.0	0.0	0.0	0.0
4	3.4471178	1.3834692	7.8850017	1.209749	500.0	0.5423913	0.06869255	0.7409805	0.37094346	80000	-1.4901161e-08	0.13526073	-0.006880597	-0.04342293	1.3564423	0.004868111	0.057	127.0	134.78027772903442	0.0	0.0	0.0	0.0	0.0
5	5.3539762	1.9761832	9.604773	1.9743525	500.0	0.7441961	0.094670214	1.0272533	0.48356	96000	5.2154064e-08	0.3892426	-0.007839714	-0.19138941	1.3564423	0.006804959	0.0585	127.0	166.6506016254425	0.0	0.0	0.0	0.0	0.0
6	7.526883	3.030804	18.642681	3.146925	500.0	1.2241201	0.19967864	1.6220229	0.6671249	112000	1.3038516e-08	0.77818	-0.006920492	-0.38681436	1.3564423	0.005806188	0.0570625	127.0	200.77399969100952	0.0	0.0	0.0	0.0	0.0
7	12.134586	4.6471806	21.204176	5.529092	500.0	1.7690412	0.6067208	2.8731573	0.28493613	128000	7.636845e-08	2.1884952	-0.008674508	-1.2028302	1.3564423	0.007187128	0.0745	127.0	225.90826630592346	0.0	0.0	0.0	0.0	0.0
8	19.218151	5.7127175	29.532784	8.107811	500.0	2.983582	0.9263321	4.7470107	0.45689398	144000	-9.313226e-09	4.225402	-0.009894877	-2.3982458	1.3564423	0.006865356	0.08225001	127.0	248.96361303329468	0.0	0.03125	0.0	0.0	0.0
9	19.678055	4.916894	29.574608	9.502625	500.0	4.5105996	1.5344886	6.6620145	0.11520175	160000	-1.4901161e-08	1.394939	-0.011097949	-0.15220726	1.3564423	0.0068791267	0.0896875	127.0	272.26315927505493	0.0	0.0625	0.0	0.0	0.0
10	24.67426	4.526844	30.993515	15.068523	500.0	5.213242	1.5820637	7.0428123	0.33901197	176000	-5.5879354e-09	2.1204975	-0.008944064	-0.4900586	1.3564423	0.006566949	0.06925	127.0	304.2579188346863	0.0	0.0625	0.0	0.0	0.0
11	26.989407	5.246683	33.995647	15.018882	500.0	5.921419	1.5251741	7.4924445	0.98427474	192000	5.5879354e-09	1.9336566	-0.010632625	-0.24250428	1.3564423	0.0071082353	0.0748125	127.0	334.27731347084045	0.0	0.0625	0.0	0.0	0.0
12	28.102455	4.227488	35.10424	19.412786	500.0	6.4965243	1.5266899	7.924211	0.71058965	208000	-1.1175871e-08	1.3367347	-0.009045716	-0.055458322	1.3564423	0.0052945344	0.060625	127.0	370.79144167900085	0.0	0.125	0.0	0.0	0.0
13	30.537117	4.251371	38.519527	21.000227	500.0	6.809169	1.337974	7.853065	1.4997998	224000	-6.519258e-09	1.7429994	-0.0096109	-0.12986901	1.3564423	0.005547299	0.0655625	127.0	399.09141087532043	0.0	0.0625	0.0	0.0	0.0
