Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.18155691	0.105402015	0.49355233	0.065919064	500.0	-0.20120022	0.04793114	-0.1474469	-0.32942677	16000	1.3038516e-08	0.039826285	-0.0054627713	-0.03716609	1.3564423	0.005866483	0.049062498	127.0	23.227452993392944	0.0	0.0	0.0	0.0	0.0
1	0.3001184	0.16896206	0.6729707	0.06768402	500.0	-0.0016585169	0.040184256	0.065752536	-0.10809851	32000	3.7252903e-09	0.002617117	-0.012189593	-0.0017284147	1.3564423	0.007457204	0.134875	127.0	44.29852318763733	0.0	0.0	0.0	0.0	0.0
2	0.565288	0.31537056	1.4772885	0.12291834	500.0	0.06640163	0.022291342	0.10689925	-0.02730931	48000	2.9802322e-08	0.0049513	-0.009988027	-0.0015941561	1.3564423	0.0060719843	0.087625	127.0	65.76888132095337	0.0	0.0	0.0	0.0	0.0
3	0.9247433	0.30926836	1.5605572	0.3055538	500.0	0.112465285	0.020742219	0.18202105	0.03678973	64000	-3.7252903e-09	0.008307228	-0.010792382	-0.004396244	1.3564423	0.0075367484	0.0958125	127.0	85.47295093536377	0.0	0.0	0.0	0.0	0.0
4	1.2842519	0.5779816	3.7835906	0.44465795	500.0	0.19987974	0.017190209	0.25904825	0.13014567	80000	0.0	0.019364804	-0.0071242675	-0.0057041254	1.3564423	0.0057315766	0.0738125	127.0	106.19996309280396	0.0	0.0	0.0	0.0	0.0
5	1.9249984	0.6948955	3.85445	0.92658937	500.0	0.27743638	0.02705396	0.37127298	0.19903149	96000	-2.9802322e-08	0.04407379	-0.0065589687	-0.022043675	1.3564423	0.007097304	0.0585	127.0	129.17525267601013	0.0	0.0	0.0	0.0	0.0
6	2.6541843	0.9173267	5.1890516	0.7252498	500.0	0.43174535	0.082309715	0.6436202	0.26326054	112000	-7.450581e-09	0.07530935	-0.0071706185	-0.036436863	1.3564423	0.0073279617	0.072375	127.0	152.3970172405243	0.0	0.0	0.0	0.0	0.0
7	3.795844	1.7341033	8.073246	1.4682273	500.0	0.6480036	0.2014882	1.0990981	0.21739492	128000	2.9802322e-08	0.20489642	-0.006715208	-0.11293869	1.3564423	0.006068023	0.063999996	127.0	174.3568570613861	0.0	0.0	0.0	0.0	0.0
8	5.1538477	2.0997038	10.191995	1.276951	500.0	0.9336679	0.40710506	1.8780658	0.063670434	144000	0.0	0.3058914	-0.0065573044	-0.14297941	1.3564423	0.0067623807	0.067875	127.0	195.82064199447632	0.0	0.0	0.0	0.0	0.0
9	7.016966	2.1064343	12.911482	3.8756971	500.0	1.4289284	0.6098015	2.771439	0.022410452	160000	-2.3283064e-08	0.338017	-0.010865133	-0.115019925	1.3564423	0.009531584	0.106875	127.0	218.96402621269226	0.0	0.0	0.0	0.0	0.0
