Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.33188903	0.23698696	1.2944342	0.07641198	500.0	-0.16581213	0.040669456	-0.13092975	-0.33233935	16000	-8.195639e-08	0.038691536	-0.005814198	-0.034899503	1.3564423	0.0061115846	0.055437498	127.0	31.143317937850952	0.0	0.0	0.0	0.0	0.0
1	0.8660294	0.6745277	2.7648513	0.16139247	500.0	0.029151015	0.032304645	0.09446608	-0.093898885	32000	4.4703484e-08	0.028172262	-0.007427058	-0.013478875	1.3564423	0.0050024427	0.069562495	127.0	55.48659896850586	0.0	0.0	0.0	0.0	0.0
2	1.2723513	0.66127867	2.7538636	0.23979093	500.0	0.17948562	0.046902567	0.28992796	-0.025153805	48000	1.4901161e-08	0.023122381	-0.010136242	-0.005809757	1.3564423	0.007977511	0.1031875	127.0	80.63379526138306	0.0	0.0	0.0	0.0	0.0
3	2.6233659	1.1169912	5.0683365	0.57107	500.0	0.28199396	0.037405543	0.41529948	0.118795395	64000	-2.9802322e-08	0.11202859	-0.00882338	-0.060508654	1.3564423	0.007179128	0.0795625	127.0	106.41140222549438	0.0	0.0	0.0	0.0	0.0
4	3.4488564	1.4489261	7.6250725	1.2331802	500.0	0.57707626	0.06889965	0.80046606	0.38240188	80000	-3.7252903e-08	0.12842707	-0.0073418613	-0.035397004	1.3564423	0.0061696176	0.0635	127.0	132.1734745502472	0.0	0.0	0.0	0.0	0.0
5	4.596656	1.7707071	7.714852	1.5247989	500.0	0.74630433	0.08211293	1.0032488	0.52964395	96000	-7.450581e-09	0.21043962	-0.0073867682	-0.083493136	1.3564423	0.007362754	0.058875002	127.0	158.19673442840576	0.0	0.0	0.0	0.0	0.0
6	7.451007	2.9190392	17.137695	3.0844774	500.0	1.084318	0.18547733	1.5264528	0.58054626	112000	5.2154064e-08	0.8260591	-0.007821406	-0.4307121	1.3564423	0.006361626	0.0669375	127.0	181.42791748046875	0.0	0.0	0.0	0.0	0.0
7	12.258849	6.172577	28.490969	4.7381935	500.0	1.7003828	0.4975891	2.836184	0.4079394	128000	4.4703484e-08	2.9693098	-0.00837478	-1.4852679	1.3564423	0.0068436544	0.071125	127.0	206.45359539985657	0.0	0.0	0.0	0.0	0.0
8	18.205936	5.4779634	28.591597	7.2514052	500.0	3.0669668	1.012941	5.1806164	0.30986673	144000	-2.2351742e-08	3.4238842	-0.010493426	-1.8685927	1.3564423	0.0077708485	0.0919375	127.0	231.684020280838	0.0	0.0	0.0	0.0	0.0
9	20.144985	5.020182	30.230204	9.266064	500.0	4.5694375	1.5823703	6.948079	0.09594709	160000	-3.7252903e-09	1.5868903	-0.01093415	-0.25344175	1.3564423	0.006134618	0.089	127.0	256.1148121356964	0.0	0.03125	0.0	0.0	0.0
10	23.84048	4.4987082	31.11198	13.516874	500.0	5.452388	1.6300206	7.387719	0.41313022	176000	-7.450581e-09	1.8710995	-0.0096292645	-0.3219462	1.3564423	0.005807462	0.0704375	127.0	279.1049110889435	0.0	0.0	0.0	0.0	0.0
11	26.721706	5.3383846	35.578922	12.97596	500.0	5.87284	1.3037169	7.257391	1.3492448	192000	-1.4901161e-08	2.2684927	-0.010241464	-0.28760606	1.3564423	0.0054122787	0.0719375	127.0	308.52232670783997	0.0	0.0625	0.0	0.0	0.0
12	26.869877	4.967407	36.45036	18.068642	500.0	6.332217	1.2716738	7.527841	1.1085013	208000	7.450581e-09	1.926645	-0.008013487	-0.03338287	1.3564423	0.00600198	0.05925	127.0	334.7702703475952	0.0	0.0	0.0	0.0	0.0
13	29.127872	4.911561	38.69227	18.190676	500.0	6.4645615	1.1563886	7.38567	1.4294719	224000	1.8626451e-08	2.2938771	-0.008439298	-0.18762831	1.3564423	0.006625994	0.059687503	127.0	360.46985149383545	0.0	0.03125	0.0	0.0	0.0
14	31.737299	5.6739893	44.4951	17.237371	500.0	6.6499863	0.8711731	7.2298884	2.24991	240000	-7.450581e-09	2.6810246	-0.00981004	-0.3107818	1.3564423	0.0052307416	0.06487501	127.0	383.17080903053284	0.0	0.0625	0.0	0.0	0.0
15	32.722927	4.651798	42.781124	23.46335	500.0	7.1407304	1.0421911	7.8141117	1.6916229	256000	1.4901161e-08	1.8553861	-0.009306887	-0.08160314	1.3564423	0.00796912	0.066125	127.0	407.0996024608612	0.0	0.0625	0.0	0.0	0.0
16	34.99862	5.4965363	41.57394	20.257675	500.0	7.394908	0.9637769	7.961108	2.1566446	272000	-3.1664968e-08	2.2154768	-0.007909758	-0.19515282	1.3564423	0.00608061	0.0599375	127.0	431.2996172904968	0.0	0.21875	0.0	0.0	0.0
17	34.976067	5.2559648	42.99576	24.802786	500.0	7.8350406	1.0351626	8.422206	1.8717445	288000	1.4901161e-08	1.8951423	-0.0074342643	-0.015379962	1.3564423	0.0057127434	0.050437503	127.0	459.65732884407043	0.0	0.125	0.0	0.0	0.0
18	38.181602	4.9733334	47.67908	21.894255	500.0	7.87564	1.0414807	8.444564	2.026692	304000	-5.5879354e-09	2.205631	-0.0071357116	-0.4574682	1.3564423	0.0041567734	0.0518125	127.0	493.10710859298706	0.0	0.0625	0.0	0.0	0.0
19	38.178555	4.8322253	48.145267	24.009949	500.0	8.482386	1.2683347	9.149481	1.7025551	320000	-5.5879354e-09	1.752845	-0.008999137	-0.08171822	1.3564423	0.006075562	0.0634375	127.0	531.9769523143768	0.0	0.15625	0.0	0.0	0.0
20	38.063866	5.9211707	45.764458	21.684196	500.0	8.6854315	1.3283374	9.417772	2.09284	336000	0.0	1.983742	-0.009224048	-0.27428648	1.3564423	0.005964349	0.057562504	127.0	569.0071852207184	0.0	0.21875	0.0	0.0	0.0
21	38.333908	6.048603	47.564995	22.705853	500.0	8.690983	1.3711612	9.618286	1.4016538	352000	-1.3038516e-08	2.189466	-0.009382393	-0.094236955	1.3564423	0.007871255	0.06575	127.0	594.868486404419	0.0	0.125	0.0	0.0	0.0
22	41.39224	5.020511	48.441555	27.954264	500.0	8.809071	1.2527746	9.531738	2.6234488	368000	7.450581e-09	1.9110593	-0.008398026	-0.25195682	1.3564423	0.0064080795	0.063062504	127.0	621.929459810257	0.0	0.0	0.0	0.0	0.0
23	41.454185	4.3814864	46.905163	28.676434	500.0	9.292791	1.320785	10.006918	2.864364	384000	-6.519258e-09	1.2982671	-0.00814761	-0.053131063	1.3564423	0.006829586	0.054375	127.0	649.7300944328308	0.0	0.09375	0.0	0.0	0.0
24	43.192047	3.478777	49.722046	33.69398	500.0	9.377625	1.4304553	10.218519	2.4666169	400000	0.0	0.9381377	-0.008274239	-0.1408276	1.3564423	0.006836703	0.05875	127.0	676.7272508144379	0.0	0.0	0.0	0.0	0.0
25	43.628563	4.8634186	49.447727	30.271215	500.0	9.7159605	1.4378667	10.528194	2.888833	416000	2.6077032e-08	1.4996877	-0.008298576	-0.15231235	1.3564423	0.0055295955	0.0670625	127.0	702.6569335460663	0.0	0.0	0.0	0.0	0.0
26	45.197975	3.6777883	51.051495	31.714231	500.0	9.958578	1.5845397	10.890449	2.9678547	432000	-2.6077032e-08	0.8624284	-0.00893262	-0.092007466	1.3564423	0.007652885	0.067125	127.0	739.289803981781	0.0	0.0	0.0	0.0	0.0
27	44.497116	4.6447577	50.661217	31.51502	500.0	10.20583	1.5488669	11.138422	3.3601928	448000	7.450581e-09	1.0353647	-0.009022152	-0.14478357	1.3564423	0.007941678	0.0569375	127.0	774.9514994621277	0.0	0.09375	0.0	0.0	0.0
28	43.346725	4.538857	50.871494	32.176994	500.0	10.140533	1.5366592	11.243208	2.8578722	464000	-2.6077032e-08	1.110292	-0.008112384	-0.12282687	1.3564423	0.006409134	0.054250002	127.0	804.7591421604156	0.0	0.0625	0.0	0.0	0.0
29	45.32837	5.6366696	52.31668	28.714046	500.0	9.968308	1.5003445	11.075094	3.80113	480000	0.0	1.1703087	-0.009271452	-0.30323085	1.3564423	0.0065537817	0.060125	127.0	836.828506231308	0.0	0.0	0.0	0.0	0.0
30	44.110725	5.177663	52.15867	26.807467	500.0	10.314885	1.6750455	11.613399	2.88871	496000	1.4901161e-08	1.3061789	-0.00906832	-0.1267614	1.3564423	0.0066760937	0.060875	127.0	861.3112156391144	0.0	0.125	0.0	0.0	0.0
31	47.396835	3.040274	51.052605	38.343197	500.0	10.177129	1.6547742	11.339046	3.1903505	512000	-3.7252903e-09	0.9295357	-0.008412605	-0.31233308	1.3564423	0.0050062705	0.0533125	127.0	885.683673620224	0.0	0.0	0.0	0.0	0.0
32	45.380203	4.772023	52.105534	28.481026	500.0	10.622078	1.7834258	11.847554	3.193968	528000	1.4901161e-08	1.2250416	-0.010328624	-0.26469678	1.3564423	0.0071839783	0.061125	127.0	909.251825094223	0.0	0.0	0.0	0.0	0.0
33	45.966858	4.6199603	52.55012	29.213343	500.0	10.523229	1.7624474	11.701339	2.375472	544000	-2.2351742e-08	0.8636451	-0.009086732	-0.14334992	1.3564423	0.0043773623	0.055749997	127.0	935.104238986969	0.0	0.03125	0.0	0.0	0.0
34	48.21029	2.478169	51.93908	43.591953	500.0	10.701088	1.7459137	11.822599	3.6263375	560000	1.3038516e-08	0.4972611	-0.00921347	-0.082706995	1.3564423	0.0065086638	0.0646875	127.0	960.7034511566162	0.0	0.0	0.0	0.0	0.0
35	48.413338	6.610656	80.91054	38.36096	500.0	10.888335	1.8257014	11.98128	3.4441578	576000	7.450581e-09	3.2484138	-0.0065869484	-0.102211416	1.3564423	0.0067318464	0.053000003	127.0	989.007185459137	0.0	0.0625	0.0	0.0	0.0
36	47.29738	3.1905706	52.26521	37.565437	500.0	11.139672	1.8542011	12.172802	3.881997	592000	-1.3038516e-08	0.45635045	-0.008074243	-0.07570237	1.3564423	0.0065739662	0.048125	127.0	1017.7083261013031	0.0	0.0625	0.0	0.0	0.0
37	47.666492	2.6807876	52.82733	41.30437	500.0	10.91128	1.9013048	12.021619	3.467388	608000	0.0	0.44950867	-0.0077561336	-0.034394972	1.3564423	0.0045221914	0.054437503	127.0	1044.6054034233093	0.0	0.03125	0.0	0.0	0.0
38	47.82985	2.599255	51.586937	42.59552	500.0	10.925708	1.8134831	11.974656	3.42237	624000	1.8626451e-08	0.31432003	-0.0077623073	-0.0074336613	1.3564423	0.0049460833	0.048999995	127.0	1069.6905446052551	0.0	0.0	0.0	0.0	0.0
39	46.973595	4.9671216	52.704338	25.288694	500.0	10.912682	1.7853631	11.9945755	3.9994276	640000	-1.4901161e-08	0.834214	-0.009579344	-0.1855723	1.3564423	0.0069960267	0.0605	127.0	1094.6997592449188	0.0	0.0	0.0	0.0	0.0
40	47.469322	2.8651001	52.684895	39.58095	500.0	10.80385	1.8796918	12.043431	3.8352816	656000	-1.4901161e-08	0.4185307	-0.007804717	-0.031493925	1.3564423	0.0053918203	0.05225	127.0	1120.8847861289978	0.0	0.0	0.0	0.0	0.0
41	47.607826	2.6395464	51.9394	40.047966	500.0	10.919182	1.8493004	12.0472145	3.589657	672000	7.450581e-09	0.60515666	-0.007994694	-0.012446999	1.3564423	0.0062154466	0.06	127.0	1149.1169302463531	0.0	0.0625	0.0	0.0	0.0
42	47.958054	2.0370386	50.790615	42.35482	500.0	10.88222	1.8527861	11.926325	3.7826784	688000	7.450581e-09	0.24471104	-0.0061179595	-0.03528549	1.3564423	0.0051766466	0.0509375	127.0	1173.0668802261353	0.0	0.0	0.0	0.0	0.0
43	49.93128	13.998851	126.346855	41.102425	500.0	10.943988	1.9556341	12.132721	3.6043758	704000	-2.6077032e-08	8.610878	-0.005784888	-0.95399094	1.3564423	0.0074987523	0.06575	127.0	1200.324575662613	0.0	0.0625	0.0	0.0	0.0
44	47.591858	2.6169946	51.93463	37.569096	500.0	11.417109	2.0215914	12.55283	4.289751	720000	-1.4901161e-08	0.5645191	-0.009012034	-0.1871017	1.3564423	0.006853846	0.0639375	127.0	1225.4161977767944	0.0	0.0625	0.0	0.0	0.0
45	48.006596	3.8937347	64.55615	39.777046	500.0	11.0273905	1.9618067	12.175318	3.9889245	736000	3.7252903e-09	0.7817567	-0.008650703	-0.015545337	1.3564423	0.008627687	0.070625	127.0	1252.5810978412628	0.0	0.0625	0.0	0.0	0.0
46	48.01516	2.7667859	53.267887	40.284435	500.0	11.139891	1.8965461	12.179642	3.336361	752000	-1.4901161e-08	0.46561688	-0.008368516	-0.035702482	1.3564423	0.0057547214	0.0643125	127.0	1281.123188495636	0.0	0.09375	0.0	0.0	0.0
47	46.9131	2.9902477	51.321873	38.51376	500.0	11.001135	1.8196639	11.998874	3.938851	768000	1.8626451e-08	0.6066117	-0.008483358	-0.060635846	1.3564423	0.0061719697	0.0605625	127.0	1311.0770409107208	0.0	0.09375	0.0	0.0	0.0
48	49.068665	8.657626	95.2036	41.244232	500.0	10.770062	1.8039353	11.778042	3.9872885	784000	-1.4901161e-08	4.5162473	-0.007046081	-0.18204668	1.3564423	0.007678236	0.0796875	127.0	1341.175538301468	0.0	0.09375	0.0	0.0	0.0
49	48.393543	3.5567844	59.17712	42.684628	500.0	11.147779	1.9054291	12.217031	4.1973634	800000	9.313226e-09	1.0952263	-0.0067108963	-0.03001814	1.3564423	0.0069891755	0.056875	127.0	1369.241352558136	0.0	0.15625	0.0	0.0	0.0
50	51.39808	14.633485	116.095184	43.245716	500.0	11.1097555	2.0052168	12.260055	3.7100532	816000	1.4901161e-08	10.375475	-0.0062622707	-0.5608622	1.3564423	0.008715278	0.07325	127.0	1397.3573367595673	0.0	0.125	0.0	0.0	0.0
51	49.00171	8.657953	93.90891	33.643204	500.0	11.744703	2.1121037	12.875605	4.037246	832000	2.2351742e-08	3.967939	-0.0074973484	-0.19663933	1.3564423	0.008070807	0.0686875	127.0	1422.9526944160461	0.0	0.0625	0.0	0.0	0.0
52	52.998215	16.056051	118.05993	38.997684	500.0	11.402599	2.0967906	12.590404	3.143361	848000	-2.6077032e-08	13.959984	-0.0057530156	-0.6914761	1.3564423	0.0070173573	0.065625004	127.0	1447.048658132553	0.0	0.15625	0.0	0.0	0.0
53	48.578976	12.412621	113.280914	29.874731	500.0	12.017457	2.32388	13.506948	3.8749642	864000	-2.9802322e-08	7.495116	-0.0071347263	-0.4426383	1.3564423	0.006958235	0.0689375	127.0	1472.3884325027466	0.0	0.125	0.0	0.0	0.0
54	47.884216	3.0394127	51.691105	38.862988	500.0	11.408791	2.2272224	13.033328	3.427973	880000	1.1175871e-08	0.6664977	-0.009107472	-0.25975522	1.3564423	0.0072450563	0.071875006	127.0	1502.8694832324982	0.0	0.0	0.0	0.0	0.0
55	51.37702	15.806703	111.0999	35.609467	500.0	11.215611	2.0311866	12.577916	3.4319162	896000	1.4901161e-08	11.873373	-0.0083299065	-0.46929878	1.3564423	0.0064854254	0.072125	127.0	1530.8904309272766	0.0	0.09375	0.0	0.0	0.0
56	51.981712	16.350342	116.33353	42.941372	500.0	11.760571	2.1869407	13.092177	3.9083235	912000	0.0	12.082711	-0.007951067	-0.28341484	1.3564423	0.0073808646	0.08225	127.0	1559.843935251236	0.0	0.09375	0.0	0.0	0.0
57	50.686474	15.486749	118.562775	33.472614	500.0	11.915176	2.2240217	13.425499	3.8613074	928000	2.6077032e-08	11.081451	-0.0071634683	-0.8893788	1.3564423	0.008356802	0.0635625	127.0	1585.90953707695	0.0	0.125	0.0	0.0	0.0
58	48.119293	9.593804	93.26936	24.993656	500.0	11.733145	2.2147691	14.494542	4.345674	944000	-3.7252903e-09	5.186516	-0.0075969375	-0.9731469	1.3564423	0.007060992	0.06918751	127.0	1611.6091876029968	0.0	0.09375	0.0	0.0	0.0
59	46.198524	3.4257889	50.760754	39.117622	500.0	11.302224	2.2804785	14.000776	3.6658366	960000	3.7252903e-09	1.2999943	-0.009409688	-0.5689407	1.3564423	0.008793598	0.0695625	127.0	1635.393671989441	0.0	0.03125	0.0	0.0	0.0
60	45.838696	4.577147	51.8909	30.843397	500.0	10.94669	2.0127866	13.163253	2.8405855	976000	1.3969839e-08	0.96871316	-0.00801288	-0.29099488	1.3564423	0.005457377	0.0633125	127.0	1658.0947666168213	0.0	0.0	0.0	0.0	0.0
61	50.16584	14.093651	115.67662	39.972992	500.0	10.786412	2.0367463	12.614281	2.7157755	992000	1.8626451e-08	9.554106	-0.0069376864	-1.0190086	1.3564423	0.006249143	0.075124994	127.0	1685.7395267486572	0.0	0.15625	0.0	0.0	0.0
62	52.210373	21.296125	121.65951	30.280916	500.0	11.492564	2.1599834	13.8377495	3.4633677	1008000	0.0	19.405487	-0.007470209	-3.4013023	1.3564423	0.009037114	0.08356249	127.0	1712.39128780365	0.0	0.1875	0.0	0.0	0.0
63	55.790237	24.257607	118.861244	29.81024	500.0	12.019848	2.7881851	16.13736	3.109301	1024000	-1.4901161e-08	24.29015	-0.007682208	-5.039536	1.3564423	0.008927444	0.078687504	127.0	1738.9622204303741	0.0	0.3125	0.0	0.0	0.0
64	49.746117	18.082808	116.34147	27.202654	500.0	11.92798	3.105772	18.339083	-4.7046447	1040000	-2.9802322e-08	11.932728	-0.008559687	-2.2380333	1.3564423	0.007457531	0.08275001	127.0	1763.7299494743347	0.0	0.15625	0.0	0.0	0.0
65	59.190277	28.141975	126.109436	35.484013	500.0	12.703473	3.5400662	19.203978	-2.7003608	1056000	1.4901161e-08	28.222971	-0.008619757	-7.2340574	1.3564423	0.0087377755	0.092250004	127.0	1792.4782938957214	0.0	0.46875	0.0	0.0	0.0
66	63.200806	32.319504	128.47235	31.885544	500.0	12.892398	4.207336	21.267277	-1.0979964	1072000	2.2351742e-08	30.249575	-0.009046798	-7.44034	1.3564423	0.009080661	0.0918125	127.0	1818.2462644577026	0.0	0.375	0.0	0.0	0.0
67	66.2519	31.153158	124.46385	29.21154	500.0	14.95781	5.465611	23.327145	-1.6716133	1088000	-1.4901161e-08	26.874407	-0.009481633	-5.6932564	1.3564423	0.005265693	0.081875004	127.0	1846.4003975391388	0.0	0.46875	0.0	0.0	0.0
68	79.07386	35.683193	127.030174	37.265667	500.0	15.654541	6.317396	24.623398	0.25935578	1104000	-4.4703484e-08	27.905418	-0.008028256	-9.125718	1.3564423	0.0070231343	0.071375005	127.0	1874.5623128414154	0.0	0.65625	0.0	0.0	0.0
69	67.02882	33.01691	131.6169	38.43029	500.0	16.020672	6.556925	26.653097	3.2716608	1120000	9.313226e-09	21.875275	-0.009444198	-6.7808275	1.3564423	0.0074623497	0.0945625	127.0	1900.5079369544983	0.0	0.4375	0.0	0.0	0.0
70	83.62915	38.916023	132.81026	29.651112	500.0	18.79317	7.28088	27.52269	1.5566561	1136000	-2.9802322e-08	37.099487	-0.008500559	-12.157192	1.3564423	0.008211345	0.076124996	127.0	1924.664540529251	0.0	0.8125	0.0	0.0	0.0
71	72.61799	37.90674	130.35056	28.542501	500.0	17.605246	7.539055	28.928602	1.7829397	1152000	5.5879354e-09	25.623941	-0.009791029	-6.2557116	1.3564423	0.007427389	0.085374996	127.0	1948.742597579956	0.0	0.65625	0.0	0.0	0.0
72	83.41146	37.432274	129.84183	34.87015	500.0	18.392504	8.232417	29.637135	-3.5424874	1168000	-5.5879354e-09	23.794312	-0.008096178	-4.993511	1.3564423	0.0068730186	0.0725	127.0	1974.699116230011	0.0	0.84375	0.0	0.0	0.0
73	108.351074	24.589878	133.90907	35.52768	500.0	23.384075	8.164738	30.462189	1.3592987	1184000	-2.9802322e-08	23.220078	-0.0085768895	-5.945633	1.3564423	0.006730159	0.0799375	127.0	2001.8806371688843	0.0	1.0	0.0	0.0	0.0
74	80.53758	39.11269	123.52696	27.943266	500.0	21.573261	8.377285	31.365679	-2.1681247	1200000	3.1664968e-08	37.85614	-0.009191592	-15.802034	1.3564423	0.0066286875	0.075124994	127.0	2031.0040574073792	0.0	0.78125	0.0	0.0	0.0
75	99.065735	32.123417	128.70345	36.590164	500.0	21.724735	8.998902	31.818205	2.7860591	1216000	1.8626451e-08	23.509497	-0.008957259	-5.6392264	1.3564423	0.0063804993	0.0784375	127.0	2058.6347403526306	0.0	0.90625	0.0	0.0	0.0
76	96.09465	37.634575	127.47786	25.277538	500.0	23.552011	8.544954	32.411137	3.1294284	1232000	3.1664968e-08	29.782356	-0.010854514	-6.5844226	1.3564423	0.007737631	0.0954375	127.0	2085.3014039993286	0.0	0.8125	0.0	0.0	0.0
77	78.23418	40.483845	129.19661	28.25743	500.0	22.846117	8.491314	32.916733	4.2762437	1248000	-3.7252903e-09	59.60833	-0.0064844782	-22.251984	1.3564423	0.0042836117	0.059812497	127.0	2110.885998249054	0.0	0.9375	0.0	0.0	0.0
78	82.69365	39.881626	127.20295	23.55595	500.0	19.98072	9.502016	32.982483	-3.6915376	1264000	1.4901161e-08	38.627052	-0.0082296375	-4.807267	1.3564423	0.0078000193	0.0728125	127.0	2137.9886820316315	0.0	0.875	0.0	0.0	0.0
79	84.34491	40.437458	129.1859	24.181261	500.0	20.090328	9.669587	32.819283	-10.249423	1280000	-7.450581e-09	38.23223	-0.009196994	-4.0773506	1.3564423	0.006848152	0.0754375	127.0	2163.513040781021	0.0	0.75	0.0	0.0	0.0
80	88.365036	39.68756	127.18829	28.551203	500.0	21.586098	9.097342	32.769817	-3.1491995	1296000	-7.450581e-09	33.010334	-0.008861999	-4.8030443	1.3564423	0.006715318	0.07425	127.0	2190.8444051742554	0.0	0.84375	0.0	0.0	0.0
81	87.290146	37.333702	131.68391	30.441181	500.0	20.326626	9.3588085	33.242397	-0.9248701	1312000	3.7252903e-09	30.797674	-0.008568617	-3.8768563	1.3564423	0.005304409	0.08125	127.0	2216.645704984665	0.0	0.90625	0.0	0.0	0.0
82	96.19887	37.42969	126.18475	25.1229	500.0	22.175682	9.695983	33.635742	-0.08149427	1328000	2.4214387e-08	22.75299	-0.00778334	-4.059436	1.3564423	0.0058954684	0.063812494	127.0	2239.7305023670197	0.0	0.90625	0.0	0.0	0.0
83	101.45332	33.629883	127.12213	29.953049	500.0	24.254742	10.065758	34.25468	-0.7118919	1344000	7.450581e-09	19.740528	-0.008223377	-1.9903972	1.3564423	0.009055836	0.0708125	127.0	2266.7459156513214	0.0	0.96875	0.0	0.0	0.0
84	100.03699	32.425953	126.97075	29.053616	500.0	25.665028	9.226663	34.728497	1.1935358	1360000	0.0	22.617311	-0.008127856	-3.7745967	1.3564423	0.0059344238	0.070625	127.0	2293.7670142650604	0.0	0.90625	0.0	0.0	0.0
85	96.950806	34.67174	127.588585	26.186634	500.0	23.713823	10.9169	34.904686	0.5097872	1376000	3.7252903e-09	17.837727	-0.009103776	-2.057589	1.3564423	0.0078375265	0.099875	127.0	2318.47486948967	0.0	0.875	0.0	0.0	0.0
86	112.35379	17.89331	126.1532	31.723024	500.0	25.957005	9.851447	35.280025	-28.499388	1392000	-3.7252903e-09	18.731724	-0.0085639935	-3.8760433	1.3564423	0.009138867	0.0830625	127.0	2344.3950712680817	0.0	0.96875	0.0	0.0	0.0
87	105.00552	27.475008	121.14189	24.4618	500.0	26.54496	9.5207405	35.431824	-0.5102285	1408000	1.1175871e-08	25.777416	-0.008645225	-4.627638	1.3564423	0.0067808777	0.09675	127.0	2372.119227170944	0.0	0.9375	0.0	0.0	0.0
88	97.109314	33.40471	124.76518	25.383518	500.0	25.01942	9.826143	35.30638	1.9865721	1424000	1.1175871e-08	32.62932	-0.009352626	-8.611158	1.3564423	0.0076038586	0.0740625	127.0	2402.3890867233276	0.0	0.90625	0.0	0.0	0.0
89	108.30074	24.940037	128.0644	30.833307	500.0	25.649899	9.224505	35.223118	1.6446102	1440000	7.450581e-09	22.474455	-0.009413631	-3.1015987	1.3564423	0.005645134	0.07206249	127.0	2426.2334735393524	0.0	0.96875	0.0	0.0	0.0
90	97.62876	36.10346	125.73548	24.806679	500.0	25.017748	9.811125	35.295387	1.6267531	1456000	1.1175871e-08	24.916416	-0.008864457	-5.7339725	1.3564423	0.0057132654	0.081125006	127.0	2451.813819169998	0.0	0.90625	0.0	0.0	0.0
91	98.59503	33.067146	124.330315	25.752787	500.0	24.025188	10.167073	35.969093	-7.6219215	1472000	1.1175871e-08	26.16117	-0.00957362	-6.8840632	1.3564423	0.007775139	0.093687505	127.0	2477.5671515464783	0.0	0.90625	0.0	0.0	0.0
92	103.4568	26.64372	126.27624	33.760296	500.0	26.49155	9.322914	35.934063	3.5213237	1488000	5.5879354e-09	34.898315	-0.0100730825	-6.5328317	1.3564423	0.0068103853	0.072812505	127.0	2501.11007976532	0.0	0.96875	0.0	0.0	0.0
93	101.18504	33.282234	126.27427	29.427595	500.0	23.945614	9.99102	35.634514	-2.482317	1504000	1.4901161e-08	24.646423	-0.007996574	-4.319334	1.3564423	0.004577527	0.0756875	127.0	2525.6628279685974	0.0	0.90625	0.0	0.0	0.0
94	109.04474	27.264833	128.39746	33.108562	500.0	25.92467	9.867506	36.132317	1.3234065	1520000	-7.450581e-09	17.352001	-0.010308901	-2.2197294	1.3564423	0.0062840437	0.0851875	127.0	2553.457510948181	0.0	0.9375	0.0	0.0	0.0
95	100.3597	33.399498	126.97628	25.529673	500.0	26.487114	9.511817	36.564064	3.1600027	1536000	0.0	36.8413	-0.00851061	-6.5906663	1.3564423	0.00644073	0.0713125	127.0	2580.191820859909	0.0	0.90625	0.0	0.0	0.0
96	102.99576	30.977879	124.54615	35.103207	500.0	25.375786	9.322636	36.436543	4.161223	1552000	-1.3038516e-08	22.130783	-0.009493772	-2.821318	1.3564423	0.0056612664	0.0853125	127.0	2603.352071285248	0.0	0.90625	0.0	0.0	0.0
97	101.60988	33.819622	126.61291	15.4438095	500.0	24.757507	10.104856	36.683464	-15.416325	1568000	-7.450581e-09	22.553614	-0.0077318894	-2.650545	1.3564423	0.0066036717	0.0655625	127.0	2629.3443686962128	0.0	1.0	0.0	0.0	0.0
98	111.43359	22.936535	131.5897	33.115036	500.0	27.0561	9.905045	37.201717	-9.545896	1584000	-9.313226e-09	21.76413	-0.009273553	-3.9211583	1.3564423	0.00669233	0.0925625	127.0	2654.507229089737	0.0	1.0	0.0	0.0	0.0
