Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.3552457	0.25689605	1.0857655	0.06321881	500.0	-0.16143668	0.041472614	-0.12751305	-0.3402744	16000	4.4703484e-08	0.04031898	-0.005615672	-0.036280483	1.3564423	0.006007675	0.0486875	127.0	27.307102918624878	0.0	0.0	0.0	0.0	0.0
1	0.9157655	0.88332295	4.1088314	0.079231195	500.0	0.039266046	0.02708562	0.10064873	-0.06604169	32000	1.1175871e-08	0.03944718	-0.0071402863	-0.017310176	1.3564423	0.0046012183	0.069125	127.0	51.7285692691803	0.0	0.0	0.0	0.0	0.0
2	1.9289628	1.6280985	6.439999	0.2035767	500.0	0.21643668	0.057537343	0.3799303	0.04411345	48000	7.450581e-09	0.12754215	-0.0073452787	-0.03212039	1.3564423	0.006385832	0.075187504	127.0	75.43509578704834	0.0	0.0	0.0	0.0	0.0
3	2.799687	1.9289154	8.46953	0.5224265	500.0	0.39942637	0.05660689	0.5975455	0.20446573	64000	-2.2351742e-08	0.17518863	-0.0081463065	-0.06571732	1.3564423	0.0060677268	0.0680625	127.0	99.50623226165771	0.0	0.0	0.0	0.0	0.0
4	3.576105	1.7912216	8.485076	0.6788448	500.0	0.65447134	0.14277922	1.0704486	0.28690174	80000	1.4901161e-08	0.15419379	-0.010419924	-0.046497818	1.3564423	0.006766961	0.086812496	127.0	122.64169883728027	0.0	0.0	0.0	0.0	0.0
5	3.7099397	1.9651533	7.948645	0.8368895	500.0	0.85011476	0.1943236	1.4279354	0.3263465	96000	0.0	0.15260354	-0.008843606	-0.060795106	1.3564423	0.008733551	0.079624996	127.0	146.44048261642456	0.0	0.0	0.0	0.0	0.0
6	5.242765	2.503233	13.143653	1.7864074	500.0	0.95505613	0.28929782	1.8121393	0.3282258	112000	7.450581e-09	0.3292884	-0.008328095	-0.12833863	1.3564423	0.007936697	0.08125	127.0	172.41344809532166	0.0	0.0	0.0	0.0	0.0
7	9.648478	3.97347	20.564594	3.4305136	500.0	1.3693687	0.5398603	2.6458893	-0.035100862	128000	2.2351742e-08	1.529108	-0.007917844	-0.89529866	1.3564423	0.0071134754	0.076125	127.0	195.03920197486877	0.0	0.03125	0.0	0.0	0.0
8	13.199458	5.167694	23.731987	4.758514	500.0	2.5484223	0.89920086	4.3597937	0.071224354	144000	3.3527613e-08	1.6622013	-0.00955665	-0.7377227	1.3564423	0.0066280784	0.0789375	127.0	217.20142889022827	0.0	0.125	0.0	0.0	0.0
9	17.749763	5.9845185	29.280323	5.2159777	500.0	3.4713707	1.2018054	5.56989	-0.12754245	160000	2.9802322e-08	2.4191105	-0.011471825	-0.8801102	1.3564423	0.008246096	0.106249996	127.0	240.1807086467743	0.0	0.1875	0.0	0.0	0.0
10	22.757893	8.420659	51.025105	11.267633	500.0	4.606794	1.4205288	7.2110047	-0.19978137	176000	2.4214387e-08	4.0027237	-0.008614939	-1.2462113	1.3564423	0.0068573616	0.0800625	127.0	265.0805459022522	0.0	0.1875	0.0	0.0	0.0
11	26.454533	8.2971325	46.84549	15.127211	500.0	5.4506817	1.830377	8.278448	-0.46843076	192000	3.3527613e-08	4.763479	-0.010112103	-1.1552511	1.3564423	0.007507957	0.0791875	127.0	289.15431237220764	0.0	0.28125	0.0	0.0	0.0
12	27.776104	6.3817554	38.50905	16.594744	500.0	6.6545134	2.08729	9.389562	-1.1630558	208000	1.8626451e-08	2.6123471	-0.0083109215	-0.37923425	1.3564423	0.0054523605	0.051625	127.0	313.2671766281128	0.0	0.125	0.0	0.0	0.0
13	24.37989	8.003579	54.29832	13.807777	500.0	6.9493623	1.7179701	8.769482	0.04256113	224000	-1.4901161e-08	4.465903	-0.008606721	-1.1017683	1.3564423	0.0059328964	0.06475	127.0	336.2736246585846	0.0	0.125	0.0	0.0	0.0
14	27.860622	10.085009	69.30475	15.609675	500.0	6.149827	1.2967733	7.6512947	0.88057023	240000	2.2351742e-08	5.580385	-0.008102732	-0.3478679	1.3564423	0.0077287476	0.0693125	127.0	360.32680010795593	0.0	0.09375	0.0	0.0	0.0
15	32.05006	9.799532	65.185135	17.3772	500.0	6.485166	1.2255656	7.780604	1.0066409	256000	0.0	5.4698	-0.007920908	-0.8183576	1.3564423	0.008092377	0.0618125	127.0	382.82251167297363	0.0	0.15625	0.0	0.0	0.0
16	31.838715	8.561567	53.322342	17.837431	500.0	7.330774	1.3750603	8.665812	1.5073987	272000	2.4214387e-08	3.7705572	-0.006320128	-0.21616825	1.3564423	0.0055096536	0.0418125	127.0	407.6110861301422	0.0	0.125	0.0	0.0	0.0
17	33.400246	6.805549	42.992184	15.708759	500.0	7.459221	1.3451495	8.876235	1.7982187	288000	7.450581e-09	2.3637168	-0.0074546374	-0.23194341	1.3564423	0.0058169747	0.0483125	127.0	433.0201895236969	0.0	0.125	0.0	0.0	0.0
18	33.3733	7.6322327	48.752644	20.085413	500.0	7.697161	1.4332008	9.34916	1.339957	304000	-2.6077032e-08	2.6529446	-0.008467075	-0.0860292	1.3564423	0.006500977	0.0580625	127.0	457.40935254096985	0.0	0.09375	0.0	0.0	0.0
19	34.335953	5.6752377	47.822884	17.71834	500.0	7.899839	1.5071476	9.554486	1.2796357	320000	2.4214387e-08	1.8743851	-0.010312854	-0.15564968	1.3564423	0.008410497	0.086625	127.0	478.9241018295288	0.0	0.125	0.0	0.0	0.0
20	35.039246	7.1666985	50.084366	19.116102	500.0	7.880059	1.6617582	9.635995	1.2187616	336000	-1.4901161e-08	2.1599844	-0.009195555	-0.17843816	1.3564423	0.0056075025	0.063625	127.0	502.701621055603	0.0	0.09375	0.0	0.0	0.0
21	36.183365	6.8676286	54.83898	21.769022	500.0	8.251571	1.6125605	10.064974	1.9098554	352000	1.4901161e-08	2.4628646	-0.009395863	-0.13427263	1.3564423	0.0073789377	0.067625	127.0	525.9525701999664	0.0	0.15625	0.0	0.0	0.0
22	36.10677	7.0505757	51.52995	24.293615	500.0	8.319497	1.491377	9.990076	2.476294	368000	7.450581e-09	2.9093986	-0.0078018345	-0.29989347	1.3564423	0.0080305	0.06125	127.0	550.9181966781616	0.0	0.15625	0.0	0.0	0.0
23	33.770996	5.800949	42.996227	21.539507	500.0	8.272082	1.4241389	9.481003	2.5309553	384000	-2.7939677e-08	1.9108872	-0.009396382	-0.3078757	1.3564423	0.0073054675	0.066875	127.0	573.5333435535431	0.0	0.0	0.0	0.0	0.0
24	37.209854	14.365509	92.50455	20.87856	500.0	7.9993477	1.4156448	9.34111	2.365713	400000	-1.4901161e-08	9.9191265	-0.008822206	-0.5547124	1.3564423	0.0060536694	0.0674375	127.0	597.4329879283905	0.0	0.21875	0.0	0.0	0.0
25	41.882317	10.13613	72.967476	23.704819	500.0	8.450176	1.4507816	9.889595	2.6780615	416000	1.1175871e-08	5.8469734	-0.009212973	-1.3990109	1.3564423	0.008731643	0.07781249	127.0	620.5929193496704	0.0	0.3125	0.0	0.0	0.0
26	39.20298	8.858309	79.08377	27.057823	500.0	9.365454	1.8520304	11.180656	2.1638591	432000	0.0	4.0124784	-0.010021649	-0.16203102	1.3564423	0.007175031	0.080937505	127.0	642.2510576248169	0.0	0.40625	0.0	0.0	0.0
27	36.4573	9.450647	64.6961	21.715227	500.0	9.384738	1.8104461	10.988325	2.1018758	448000	1.1175871e-08	5.766079	-0.007829635	-0.7385367	1.3564423	0.008324115	0.0628125	127.0	668.1520266532898	0.0	0.1875	0.0	0.0	0.0
28	37.231903	6.1864734	53.72294	24.136427	500.0	8.621191	1.662634	10.331607	2.2657418	464000	-1.4901161e-08	2.282856	-0.008478869	-0.2691586	1.3564423	0.0065398915	0.0599375	127.0	692.8189167976379	0.0	0.15625	0.0	0.0	0.0
29	37.405792	7.644587	61.99224	25.344757	500.0	8.5478325	1.4392992	10.075611	3.1333916	480000	2.9802322e-08	2.7914758	-0.008600875	-0.2745921	1.3564423	0.008600933	0.08175	127.0	716.3415811061859	0.0	0.25	0.0	0.0	0.0
30	36.556034	9.13709	60.06822	21.77255	500.0	8.771682	1.5152825	10.323655	2.592161	496000	-2.2351742e-08	4.0659933	-0.007027526	-0.35788125	1.3564423	0.006151882	0.0574375	127.0	741.0485253334045	0.0	0.15625	0.0	0.0	0.0
31	36.015675	7.7809005	54.0283	21.55023	500.0	8.308328	1.3373728	9.717705	3.2154841	512000	0.0	2.9303517	-0.010420255	-0.19387278	1.3564423	0.0078611495	0.076	127.0	765.3395373821259	0.0	0.15625	0.0	0.0	0.0
32	37.721294	10.161978	85.42595	25.779915	500.0	8.319429	1.4398257	9.821826	3.0702744	528000	7.450581e-09	5.4758563	-0.008302428	-0.83113575	1.3564423	0.007973621	0.0764375	127.0	788.4200160503387	0.0	0.28125	0.0	0.0	0.0
33	40.50383	7.8280745	58.086544	22.684948	500.0	8.664918	1.4778212	10.085203	2.303045	544000	1.1175871e-08	3.0294943	-0.009992382	-0.5884322	1.3564423	0.008135604	0.073125	127.0	811.2140512466431	0.0	0.375	0.0	0.0	0.0
34	39.891697	8.633685	66.56652	26.199665	500.0	9.369154	1.5379465	10.8630085	2.838998	560000	1.4901161e-08	4.090181	-0.009198422	-0.20997599	1.3564423	0.007068068	0.071687505	127.0	832.9370770454407	0.0	0.28125	0.0	0.0	0.0
35	38.38518	5.3061347	50.095787	26.180025	500.0	9.176735	1.468121	10.280811	3.161677	576000	7.450581e-09	1.5087414	-0.009385798	-0.23780543	1.3564423	0.00711954	0.064375	127.0	858.2699177265167	0.0	0.25	0.0	0.0	0.0
36	41.16475	8.401904	78.31749	25.497843	500.0	8.891695	1.5053003	10.182223	2.7360344	592000	-2.9802322e-08	3.6251771	-0.008966369	-0.45456585	1.3564423	0.007137416	0.067687504	127.0	881.5780944824219	0.0	0.40625	0.0	0.0	0.0
37	38.784264	6.2584133	48.75154	22.381908	500.0	9.261256	1.4502604	10.6685705	2.2219248	608000	4.0978193e-08	1.9119401	-0.008767602	-0.36950588	1.3564423	0.0075039156	0.0735	127.0	905.1312217712402	0.0	0.34375	0.0	0.0	0.0
38	39.84329	4.870351	50.552925	30.403559	500.0	8.853164	1.591247	10.36861	2.0460644	624000	2.0489097e-08	0.9699978	-0.007276109	-0.25760323	1.3564423	0.0062400494	0.062437497	127.0	927.3830373287201	0.0	0.21875	0.0	0.0	0.0
39	41.39714	7.3389	58.691063	28.043499	500.0	9.1288595	1.6059599	11.341462	2.200658	640000	1.8626451e-08	2.4484205	-0.008371438	-0.31572074	1.3564423	0.0057354122	0.07187499	127.0	951.6201777458191	0.0	0.375	0.0	0.0	0.0
40	40.051353	5.7479887	53.416172	23.45713	500.0	9.475098	1.7673229	11.801257	1.7179573	656000	-3.7252903e-09	1.7965345	-0.011222766	-0.58964044	1.3564423	0.008636445	0.0778125	127.0	975.4617021083832	0.0	0.15625	0.0	0.0	0.0
41	43.207092	8.3045845	68.80693	22.54747	500.0	9.396909	1.7013732	11.555341	2.873086	672000	2.9802322e-08	3.2212071	-0.008501589	-0.42566252	1.3564423	0.007386935	0.0700625	127.0	998.7862343788147	0.0	0.21875	0.0	0.0	0.0
42	41.225876	8.253519	57.415627	20.941803	500.0	9.74659	1.7325214	11.866223	2.7391825	688000	1.1175871e-08	3.991073	-0.008800673	-0.5815277	1.3564423	0.0067515736	0.0633125	127.0	1022.6647982597351	0.0	0.34375	0.0	0.0	0.0
43	39.549103	10.162361	73.7904	20.224491	500.0	9.506693	1.6636859	11.318805	3.393903	704000	-7.450581e-09	5.134941	-0.0093022715	-0.7490875	1.3564423	0.007478001	0.075187504	127.0	1045.7226741313934	0.0	0.3125	0.0	0.0	0.0
44	37.956856	9.132485	49.973415	19.223446	500.0	9.129223	1.7370754	11.553546	2.301476	720000	1.4901161e-08	3.8173285	-0.00917885	-1.0749495	1.3564423	0.00777952	0.070374995	127.0	1067.5685405731201	0.0	0.25	0.0	0.0	0.0
45	41.13787	11.749909	81.516624	19.248348	500.0	8.7451515	1.7232627	11.571729	3.2831104	736000	7.450581e-09	6.094965	-0.009235927	-1.1166075	1.3564423	0.008851886	0.0733125	127.0	1089.4051401615143	0.0	0.28125	0.0	0.0	0.0
