Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.3576309	0.2953273	1.5435691	0.07815885	500.0	-0.16231884	0.031828538	-0.12934104	-0.32301396	16000	-1.4901161e-08	0.03856615	-0.005120773	-0.034291755	1.3564423	0.00568687	0.040375	127.0	20.311627626419067	0.0	0.0	0.0	0.0	0.0
1	0.8174058	0.80597943	2.9090776	0.067563355	500.0	0.029607499	0.03272196	0.09482108	-0.08531418	32000	2.4214387e-08	0.02984	-0.008240914	-0.01287655	1.3564423	0.004608108	0.075937495	127.0	38.979958057403564	0.0	0.0	0.0	0.0	0.0
2	2.2319021	1.9877846	6.58955	0.21230902	500.0	0.20095709	0.06326421	0.3803344	-0.007446684	48000	3.3527613e-08	0.19654521	-0.008460232	-0.06495168	1.3564423	0.007104608	0.081875	127.0	59.014731645584106	0.0	0.0	0.0	0.0	0.0
3	3.4113722	2.4924345	12.053126	0.5787953	500.0	0.52129555	0.11573818	0.9408021	0.1631833	64000	7.450581e-09	0.28435105	-0.009980205	-0.07465674	1.3564423	0.0077431537	0.098812506	127.0	79.01617574691772	0.0	0.0	0.0	0.0	0.0
4	6.9259458	4.241199	22.302773	0.9263251	500.0	0.94843066	0.21625187	1.5164403	0.31946406	80000	-2.7939677e-08	0.9663949	-0.008067281	-0.40482286	1.3564423	0.0049027717	0.076749995	127.0	97.39874315261841	0.0	0.0	0.0	0.0	0.0
5	13.2663765	6.274643	27.223364	1.8450373	500.0	1.51182	0.38136572	2.6718225	0.5458386	96000	-9.313226e-09	3.5234666	-0.009837186	-1.8487458	1.3564423	0.006455614	0.079687506	127.0	117.0603404045105	0.0	0.0	0.0	0.0	0.0
6	14.892336	4.420594	26.543695	4.6678123	500.0	3.0924978	0.57308775	4.3973503	1.3441592	112000	-5.5879354e-09	1.4810225	-0.008536553	-0.29760432	1.3564423	0.0060230913	0.07075	127.0	136.3246672153473	0.0	0.0	0.0	0.0	0.0
7	18.229109	5.6218166	37.60012	8.652776	500.0	3.7432399	0.9056007	5.248895	0.8338661	128000	1.4901161e-08	2.3000908	-0.0097944345	-0.44699135	1.3564423	0.0077104624	0.088375	127.0	155.47096419334412	0.0	0.0	0.0	0.0	0.0
8	19.96484	5.330379	35.525944	10.844733	500.0	4.56082	1.0057112	5.953507	0.5911498	144000	-7.450581e-09	1.978266	-0.009654264	-0.11007763	1.3564423	0.007427556	0.077125	127.0	173.84097957611084	0.0	0.0	0.0	0.0	0.0
9	23.58693	5.5097694	39.507874	14.105614	500.0	4.8416204	0.8004365	5.9054866	1.2291691	160000	4.0978193e-08	2.2013044	-0.009165671	-0.33870178	1.3564423	0.0077089714	0.069625005	127.0	192.6547293663025	0.0	0.0	0.0	0.0	0.0
