Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.30487218	0.2886892	1.5669426	0.04304693	500.0	-0.17874417	0.045498304	-0.13987586	-0.34013236	16000	2.0489097e-08	0.041821763	-0.0056218086	-0.037009418	1.3564423	0.0064952886	0.058	127.0	23.396248817443848	0.0	0.0	0.0	0.0	0.0
1	0.82113606	0.80024076	3.224307	0.10603437	500.0	0.023392264	0.030187733	0.0833247	-0.09001213	32000	-7.450581e-09	0.03371305	-0.0064496463	-0.013678694	1.3564423	0.0048919204	0.061875	127.0	44.98092222213745	0.0	0.0	0.0	0.0	0.0
2	0.93669045	0.60040784	2.8194501	0.1304553	500.0	0.16455792	0.04370093	0.2668344	-0.024544388	48000	-1.4901161e-08	0.013819938	-0.009440791	-0.00223186	1.3564423	0.0073613483	0.097624995	127.0	64.59125804901123	0.0	0.0	0.0	0.0	0.0
3	2.082443	1.1227626	5.420496	0.27783614	500.0	0.21596204	0.03606048	0.34016743	0.10278392	64000	-1.0803342e-07	0.0859366	-0.0076875533	-0.041973077	1.3564423	0.0070010424	0.0703125	127.0	86.04393696784973	0.0	0.0	0.0	0.0	0.0
4	3.129181	1.6011673	7.4477344	0.8474991	500.0	0.47602788	0.07034221	0.69175863	0.28743395	80000	1.4901161e-08	0.14504074	-0.006380451	-0.048136283	1.3564423	0.0049465867	0.0543125	127.0	106.13932347297668	0.0	0.0	0.0	0.0	0.0
5	3.9014008	1.9424592	9.210557	1.0035232	500.0	0.67065793	0.10176383	0.9598379	0.38962016	96000	-3.7252903e-08	0.18393353	-0.00702019	-0.07310943	1.3564423	0.0068723965	0.0575625	127.0	126.66339445114136	0.0	0.0	0.0	0.0	0.0
6	5.3060675	2.7271361	14.935873	1.3431276	500.0	0.9514434	0.21750915	1.4282984	0.31537312	112000	1.6763806e-08	0.34411275	-0.007356884	-0.14554897	1.3564423	0.006588042	0.0715625	127.0	148.17968368530273	0.0	0.0	0.0	0.0	0.0
7	10.557949	7.055582	36.64679	2.679146	500.0	1.3765372	0.47533795	2.419708	0.04881724	128000	-7.450581e-09	3.2489138	-0.0067121536	-1.4698428	1.3564423	0.007855339	0.079187505	127.0	169.85286331176758	0.0	0.0625	0.0	0.0	0.0
8	15.0546665	4.411586	22.888502	5.689357	500.0	2.668294	0.88081455	4.692065	0.25839993	144000	-1.8626451e-08	1.8294625	-0.010205291	-0.98416036	1.3564423	0.0079286955	0.0911875	127.0	191.685729265213	0.0	0.0	0.0	0.0	0.0
9	18.644806	7.5785356	44.42135	5.906725	500.0	3.748356	1.3487194	6.0958924	-0.12970379	160000	-2.9802322e-08	2.9099855	-0.009226135	-0.8125628	1.3564423	0.0069975797	0.091875	127.0	213.18658113479614	0.0	0.21875	0.0	0.0	0.0
10	25.080925	8.937826	52.509327	11.596979	500.0	5.0127907	1.5712844	7.3641086	-0.026329696	176000	-3.7252903e-08	6.314271	-0.0076894443	-0.96547157	1.3564423	0.00736288	0.083125	127.0	234.51310968399048	0.0	0.28125	0.0	0.0	0.0
11	27.087486	13.151719	65.10932	13.500814	500.0	6.0277686	1.7285926	8.224955	-0.28735802	192000	0.0	8.15704	-0.009181975	-0.36743757	1.3564423	0.008841991	0.088	127.0	256.4297173023224	0.0	0.25	0.0	0.0	0.0
12	25.246605	9.301077	67.08078	12.572579	500.0	6.612528	1.9103984	8.806618	-0.62671804	208000	-1.4901161e-08	4.365219	-0.007965201	-0.42806077	1.3564423	0.006802861	0.0639375	127.0	277.87757396698	0.0	0.09375	0.0	0.0	0.0
13	31.288746	14.474344	81.60034	18.328295	500.0	6.390469	1.4321626	8.083428	0.79374176	224000	1.4901161e-08	10.4432125	-0.0077217654	-0.8934492	1.3564423	0.006592036	0.061499998	127.0	302.1899743080139	0.0	0.1875	0.0	0.0	0.0
