Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.3195712	0.29413438	1.5006052	0.051046904	500.0	-0.18020907	0.030217677	-0.14690205	-0.32900703	16000	6.7055225e-08	0.041181765	-0.00567431	-0.036770113	1.3564423	0.006100396	0.0455	127.0	34.325193643569946	0.0	0.0	0.0	0.0	0.0
1	0.88246006	0.7789381	3.0805948	0.1323587	500.0	0.017465897	0.03366481	0.094699666	-0.098676905	32000	-1.1175871e-08	0.030832812	-0.006783546	-0.014758243	1.3564423	0.0043734116	0.0605625	127.0	56.95603609085083	0.0	0.0	0.0	0.0	0.0
2	1.3763497	1.1473379	5.173234	0.20030428	500.0	0.1701903	0.055353094	0.3105693	-0.015042707	48000	2.6077032e-08	0.059985865	-0.009320828	-0.015550621	1.3564423	0.00805113	0.101125	127.0	76.07056093215942	0.0	0.0	0.0	0.0	0.0
3	2.7109222	1.5154381	5.623831	0.44813833	500.0	0.35949275	0.07182333	0.6299012	0.14992943	64000	-1.4901161e-08	0.1303953	-0.010671804	-0.049078993	1.3564423	0.008328874	0.098124996	127.0	97.83562803268433	0.0	0.0	0.0	0.0	0.0
4	5.7403674	3.2573497	15.451133	1.4519209	500.0	0.64614975	0.122971445	1.0529263	0.34877723	80000	7.450581e-09	0.7730449	-0.006028658	-0.3150445	1.3564423	0.0029724003	0.0433125	127.0	117.19632291793823	0.0	0.0	0.0	0.0	0.0
5	9.258198	4.1675634	18.558903	3.403183	500.0	1.199385	0.16830947	1.7612098	0.6928973	96000	2.9802322e-08	1.5270858	-0.0077151335	-0.6967424	1.3564423	0.0060156616	0.0601875	127.0	137.21782422065735	0.0	0.0	0.0	0.0	0.0
6	12.779722	3.941722	22.40712	6.112595	500.0	2.114378	0.37527576	3.0230932	1.0563347	112000	-2.2351742e-08	1.4829315	-0.0079529695	-0.65899414	1.3564423	0.005165332	0.0604375	127.0	157.52245593070984	0.0	0.0	0.0	0.0	0.0
7	15.507724	4.980465	25.978851	6.200584	500.0	3.031241	0.7376746	4.2994647	0.94749814	128000	3.7252903e-09	1.7065161	-0.009100466	-0.40216208	1.3564423	0.0068819514	0.079687506	127.0	181.37992358207703	0.0	0.0	0.0	0.0	0.0
8	20.353846	4.813863	34.0741	11.659272	500.0	3.836082	0.91415006	5.2711873	1.1225343	144000	1.6763806e-08	2.3598542	-0.010018641	-0.76624244	1.3564423	0.0071554305	0.088125005	127.0	213.49641060829163	0.0	0.0	0.0	0.0	0.0
9	23.394241	5.55341	35.884396	14.72684	500.0	4.7384086	0.9269921	6.2303267	1.4681069	160000	3.9115548e-08	2.4654636	-0.010249481	-0.42539865	1.3564423	0.008042689	0.084	127.0	242.37348771095276	0.0	0.0	0.0	0.0	0.0
10	22.866493	3.6927953	29.149393	15.791462	500.0	5.5521994	0.948712	6.568801	1.9174222	176000	3.5390258e-08	1.3447509	-0.007572106	-0.20781007	1.3564423	0.0068600867	0.0569375	127.0	265.80826711654663	0.0	0.0	0.0	0.0	0.0
11	25.997335	5.502627	39.819267	12.322075	500.0	5.2905965	0.6220777	6.0693326	2.364418	192000	3.7252903e-09	1.9831871	-0.0081791	-0.27306268	1.3564423	0.0063896608	0.0574375	127.0	286.98274755477905	0.0	0.0	0.0	0.0	0.0
12	27.52763	6.2464366	47.93957	16.73188	500.0	5.80092	0.6361621	6.587326	2.3923771	208000	-7.450581e-09	2.184038	-0.010011746	-0.15770039	1.3564423	0.00865794	0.081125	127.0	309.22583055496216	0.0	0.0	0.0	0.0	0.0
13	28.434143	5.0451803	42.982628	19.61607	500.0	6.230128	0.68306	7.0506115	2.5968664	224000	-2.9802322e-08	1.7990175	-0.009174233	-0.056598507	1.3564423	0.0054829256	0.074	127.0	334.3437268733978	0.0	0.0	0.0	0.0	0.0
14	31.41654	7.314522	46.724075	19.61336	500.0	6.343929	0.626146	6.986073	2.9912274	240000	2.9802322e-08	3.2158551	-0.009116784	-0.30686137	1.3564423	0.0061047114	0.071875006	127.0	355.1225061416626	0.0	0.0	0.0	0.0	0.0
15	29.984728	5.2542458	45.091892	17.041552	500.0	6.7716174	0.79234076	7.562419	2.348223	256000	-7.450581e-09	1.9646448	-0.009989301	-0.21558022	1.3564423	0.0066554165	0.07287499	127.0	375.28458285331726	0.0	0.0	0.0	0.0	0.0
16	35.129524	8.832889	56.236015	22.271278	500.0	6.6379356	0.50240505	7.034521	3.4640274	272000	-2.2351742e-08	4.380428	-0.0077841897	-0.8046133	1.3564423	0.0067072995	0.054500002	127.0	398.170245885849	0.0	0.0	0.0	0.0	0.0
17	35.90029	8.673306	55.121937	21.401419	500.0	7.5084877	0.6878364	7.9555445	2.7319584	288000	-1.4901161e-08	3.7498734	-0.008405457	-0.15021437	1.3564423	0.0049373237	0.064375	127.0	420.1368091106415	0.0	0.0	0.0	0.0	0.0
18	40.2747	7.878484	52.627373	27.853249	500.0	7.757336	0.79558116	8.267081	1.1349881	304000	-7.450581e-09	3.800726	-0.008203519	-0.86475104	1.3564423	0.006688023	0.0674375	127.0	443.517870426178	0.0	0.0	0.0	0.0	0.0
19	38.926773	8.109827	50.854904	26.964077	500.0	8.656151	0.8917027	9.163276	2.5567663	320000	0.0	3.3659735	-0.008757379	-0.20063193	1.3564423	0.006063564	0.059249997	127.0	463.530250787735	0.0	0.0	0.0	0.0	0.0
20	41.430775	8.714809	53.25374	25.86713	500.0	8.57909	0.8127007	9.140345	3.1120374	336000	-1.3038516e-08	3.7186766	-0.00806373	-0.37474728	1.3564423	0.0052140364	0.0508125	127.0	489.47966170310974	0.0	0.0	0.0	0.0	0.0
21	38.802807	8.582233	52.032707	24.29198	500.0	8.966401	0.9684181	9.774878	2.7530153	352000	-3.7252903e-09	3.5697346	-0.009901749	-0.3746708	1.3564423	0.0072723804	0.075125	127.0	526.9132754802704	0.0	0.0	0.0	0.0	0.0
22	40.068497	8.397736	57.341225	28.891356	500.0	8.536931	0.89030236	9.895411	2.9879112	368000	-3.3527613e-08	2.8130088	-0.008277087	-0.33712566	1.3564423	0.0060791513	0.0576875	127.0	553.7990355491638	0.0	0.0	0.0	0.0	0.0
23	41.5323	8.024874	55.00676	27.521803	500.0	8.568736	0.97938323	10.158491	3.1680682	384000	0.0	2.342699	-0.009221621	-0.4678509	1.3564423	0.0068720467	0.0745625	127.0	574.965827703476	0.0	0.03125	0.0	0.0	0.0
24	44.06971	7.070418	55.115524	34.40581	500.0	9.260008	1.1290922	11.163975	3.6490545	400000	-1.4901161e-08	2.874104	-0.010328818	-0.38395068	1.3564423	0.008695375	0.074375	127.0	600.1465954780579	0.0	0.0625	0.0	0.0	0.0
25	43.671402	9.8791895	57.96476	29.953201	500.0	9.382309	1.054398	10.973905	4.2523174	416000	-7.450581e-09	3.0046453	-0.009017124	-1.1233122	1.3564423	0.0058278367	0.072625	127.0	624.1586682796478	0.0	0.0	0.0	0.0	0.0
26	44.019592	8.006639	59.180073	31.575165	500.0	9.209842	1.8270158	12.30697	0.13588747	432000	0.0	2.0146322	-0.0089866	-0.40587848	1.3564423	0.008015791	0.070187494	127.0	647.4615769386292	0.0	0.0	0.0	0.0	0.0
27	47.008797	8.803221	59.075054	30.38907	500.0	10.10186	1.591762	12.864541	3.789876	448000	-7.450581e-09	2.7856157	-0.009865211	-0.40027854	1.3564423	0.008460971	0.074687496	127.0	671.9232831001282	0.0	0.0	0.0	0.0	0.0
28	46.83908	9.08334	67.30589	33.9237	500.0	10.1607685	1.6356232	13.008601	4.5291533	464000	-2.2351742e-08	3.1095579	-0.010287046	-0.6901325	1.3564423	0.0071750972	0.0781875	127.0	695.288836479187	0.0	0.0625	0.0	0.0	0.0
29	48.78289	10.828527	78.749565	27.308392	500.0	10.437992	1.7655852	13.523304	4.510086	480000	-3.7252903e-09	3.3082092	-0.010403523	-0.6832379	1.3564423	0.0095424205	0.085062504	127.0	716.8318326473236	0.0	0.0625	0.0	0.0	0.0
30	43.45552	10.7559	58.080284	28.247158	500.0	10.1499	1.8070055	13.805758	4.871481	496000	-3.7252903e-09	2.6151323	-0.010020992	-1.1130532	1.3564423	0.008379786	0.06725	127.0	756.2565412521362	0.0	0.0	0.0	0.0	0.0
31	47.815994	11.895743	72.39582	30.489073	500.0	10.245695	2.3214972	14.521023	4.175369	512000	-3.7252903e-09	2.9682503	-0.010425666	-0.7866008	1.3564423	0.005603495	0.077375	127.0	786.1057162284851	0.0	0.0625	0.0	0.0	0.0
32	47.78418	12.829126	88.45481	27.627682	500.0	9.829648	2.661384	15.121026	3.3768797	528000	-2.2351742e-08	3.7522943	-0.009751903	-0.9558742	1.3564423	0.006562571	0.077125	127.0	806.7999815940857	0.0	0.09375	0.0	0.0	0.0
33	49.26325	11.243604	72.26156	32.91639	500.0	11.118049	2.8191707	15.657977	4.334011	544000	-1.1175871e-08	4.1669865	-0.009108394	-0.80374414	1.3564423	0.0072150626	0.073125005	127.0	836.6210198402405	0.0	0.21875	0.0	0.0	0.0
34	52.786766	13.032662	82.36015	33.91953	500.0	10.780681	2.342029	14.897735	5.3611336	560000	7.450581e-09	4.1242504	-0.009863736	-0.6814474	1.3564423	0.0075025717	0.0814375	127.0	871.3099405765533	0.0	0.3125	0.0625	0.0	0.0
35	58.267605	15.317615	96.851204	33.707657	500.0	11.569396	2.5145802	15.717402	5.5181065	576000	-1.8626451e-08	9.3129635	-0.009316281	-2.9175942	1.3564423	0.00789419	0.0904375	127.0	896.7731442451477	0.0	0.5625	0.0	0.0	0.0
36	59.69258	12.708814	89.321724	34.57028	500.0	13.079435	2.9148443	16.842264	5.83586	592000	-9.313226e-09	5.235686	-0.010698164	-0.71332455	1.3564423	0.009668747	0.0904375	127.0	921.4374408721924	0.0	0.28125	0.0	0.0	0.0
37	57.76993	16.334116	91.65635	31.86079	500.0	12.636189	3.3823702	17.324617	5.555993	608000	0.0	7.3256793	-0.010169335	-0.74024117	1.3564423	0.0073941434	0.081875	127.0	945.8513278961182	0.0	0.3125	0.0	0.0	0.0
38	62.144016	23.32953	117.82322	31.915134	500.0	12.36599	3.6622076	18.290012	3.6848624	624000	-2.9802322e-08	13.947334	-0.008931151	-4.367872	1.3564423	0.009480318	0.089562505	127.0	973.5219054222107	0.0	0.5	0.0	0.0	0.0
