Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.02295186	0.024497146	0.092027314	0.0026550808	500.0	-0.27686578	0.023366146	-0.23288234	-0.41327918	16000	1.3038516e-08	0.056926414	-0.006876388	-0.05466488	1.3564423	0.007435509	0.089562505	127.0	18.866761445999146	0.0	0.0	0.0	0.0	0.0
1	0.057494342	0.07149737	0.28899866	0.0025491428	500.0	-0.042122334	0.033112593	0.027504802	-0.13768367	32000	-2.9802322e-08	0.0017534739	-0.007768818	-0.0012668859	1.3564423	0.0057470044	0.0848125	127.0	35.99330401420593	0.0	0.0	0.0	0.0	0.0
2	0.08348021	0.106365964	0.43982837	0.004245547	500.0	0.009555214	0.021191163	0.051468037	-0.06636186	48000	0.0	0.0006954214	-0.0071630175	-0.00025069283	1.3564423	0.0050639	0.061000004	127.0	54.083677768707275	0.0	0.0	0.0	0.0	0.0
3	0.12155278	0.14308068	0.81468517	0.008845997	500.0	0.016674332	0.011936954	0.05144386	-0.045580264	64000	-1.4901161e-08	0.0011088783	-0.0074744667	-0.00026894157	1.3564423	0.00743024	0.0764375	127.0	71.6447160243988	0.0	0.0	0.0	0.0	0.0
4	0.5902415	0.8617842	3.327435	0.022830453	500.0	0.034199845	0.0100134155	0.06189225	-0.019406598	80000	0.0	0.04745231	-0.004695531	-0.02196318	1.3564423	0.006338317	0.043875	127.0	89.29389476776123	0.0	0.0	0.0	0.0	0.0
5	1.0178852	1.2024562	3.7636023	0.019669067	500.0	0.13751483	0.10324398	0.47157997	-0.064504236	96000	-7.450581e-09	0.08571773	-0.007022348	-0.04564923	1.3564423	0.0075890403	0.09056251	127.0	107.24640417098999	0.0	0.0	0.0	0.0	0.0
6	2.1442537	1.8668809	9.184891	0.1943565	500.0	0.4601619	0.34135047	1.4155192	-0.17229456	112000	-7.450581e-09	0.20156619	-0.0078713745	-0.055511776	1.3564423	0.009690991	0.1263125	127.0	125.17287230491638	0.0	0.0	0.0	0.0	0.0
7	4.398978	4.33166	18.008944	0.5963936	500.0	0.82538503	0.5215731	2.0102065	-0.19828638	128000	-2.9802322e-08	1.194993	-0.0068663084	-0.4126591	1.3564423	0.009244362	0.10206251	127.0	143.3409252166748	0.0	0.0	0.0	0.0	0.0
8	6.7881765	4.3620844	13.963831	0.42915112	500.0	1.2494638	0.8609571	3.1500666	-0.42073765	144000	-7.450581e-09	1.1272432	-0.0075447517	-0.43847376	1.3564423	0.008352768	0.092875004	127.0	161.02129745483398	0.0	0.0	0.0	0.0	0.0
9	13.994776	8.928568	44.10312	0.75049484	500.0	2.1984718	1.3582231	4.616335	-0.6031829	160000	7.450581e-09	5.2335844	-0.007178599	-2.0020301	1.3564423	0.0063983425	0.06925	127.0	178.85334539413452	0.0	0.0625	0.0	0.0	0.0
