Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.027796187	0.029219724	0.11427415	0.0036201838	500.0	-0.2568177	0.02400576	-0.21986914	-0.42323577	16000	-7.8231096e-08	0.049747024	-0.005026746	-0.047630217	1.3564423	0.0053653037	0.051	127.0	24.73024559020996	0.0	0.0	0.0	0.0	0.0
1	0.0828692	0.089899644	0.35174716	0.003987266	500.0	-0.034985457	0.030618314	0.027911238	-0.13788371	32000	0.0	0.0016549334	-0.007980185	-0.0011603194	1.3564423	0.0058577554	0.094312504	127.0	48.09169316291809	0.0	0.0	0.0	0.0	0.0
2	0.08045279	0.09993721	0.37212825	0.0067591476	500.0	0.01224063	0.02059029	0.051086552	-0.060892187	48000	0.0	0.0006037381	-0.007986144	-0.00019835707	1.3564423	0.005189187	0.0685	127.0	70.97203826904297	0.0	0.0	0.0	0.0	0.0
3	0.11550536	0.10260389	0.43775988	0.009775238	500.0	0.018972287	0.011029149	0.051059246	-0.04923377	64000	-1.1175871e-08	0.000455026	-0.007521722	-0.00010268549	1.3564423	0.006235484	0.0651875	127.0	92.58531022071838	0.0	0.0	0.0	0.0	0.0
4	0.17775525	0.16366163	0.49894482	0.0097075775	500.0	0.028451452	0.008984006	0.053906344	-0.022337228	80000	2.6077032e-08	0.00087840424	-0.0046600434	-0.0002594772	1.3564423	0.0063588554	0.039875	127.0	114.36071729660034	0.0	0.0	0.0	0.0	0.0
5	0.117262095	0.13662523	0.65568215	0.0112544475	500.0	0.035955746	0.0069929566	0.05843328	0.014407799	96000	2.9802322e-08	0.0004903771	-0.005756586	-0.0001743751	1.3564423	0.0044454755	0.054312497	127.0	139.46119165420532	0.0	0.0	0.0	0.0	0.0
6	0.14122623	0.12123251	0.57383347	0.007722539	500.0	0.035307765	0.010265345	0.066589385	0.006486006	112000	-1.4901161e-08	0.00028632843	-0.006995492	-7.7837685e-05	1.3564423	0.007256629	0.0728125	127.0	161.14758253097534	0.0	0.0	0.0	0.0	0.0
7	0.13749397	0.13270414	0.482465	0.015078201	500.0	0.034050826	0.012847396	0.07382271	0.005337782	128000	1.8626451e-09	0.00026018976	-0.0062581804	-6.92466e-05	1.3564423	0.0059798686	0.0526875	127.0	182.42874765396118	0.0	0.0	0.0	0.0	0.0
8	0.14237091	0.11110026	0.42346895	0.017767318	500.0	0.03788668	0.013379295	0.07529487	0.009125076	144000	2.9802322e-08	0.00017215648	-0.00797458	-5.8902187e-05	1.3564423	0.00690664	0.06625	127.0	204.7367923259735	0.0	0.0	0.0	0.0	0.0
9	0.15429124	0.172737	0.8622264	0.0130770765	500.0	0.034573432	0.017333673	0.07671489	-0.006247759	160000	2.2351742e-08	0.00054159027	-0.0063200435	-0.0001706036	1.3564423	0.005874221	0.067687504	127.0	227.28607416152954	0.0	0.0	0.0	0.0	0.0
10	0.21450993	0.2038575	0.8439048	0.018348182	500.0	0.04254887	0.018420568	0.08604061	0.0037216097	176000	-1.1175871e-08	0.0005435993	-0.0051322603	-0.00018993244	1.3564423	0.0064371945	0.0534375	127.0	249.05466508865356	0.0	0.0	0.0	0.0	0.0
11	0.19324656	0.19865589	0.87153804	0.019588558	500.0	0.041893393	0.022255039	0.09239324	-0.020776268	192000	-3.7252903e-09	0.0010129754	-0.0054117395	-0.00037952815	1.3564423	0.0057044653	0.055625	127.0	270.4181034564972	0.0	0.0	0.0	0.0	0.0
12	0.2608466	0.27125633	1.2305255	0.02001129	500.0	0.051399328	0.03583727	0.12988992	-0.03581262	208000	-1.4901161e-08	0.0010936493	-0.005886209	-0.0004628491	1.3564423	0.0054112053	0.0611875	127.0	291.71045088768005	0.0	0.0	0.0	0.0	0.0
13	0.3487332	0.49969506	2.6727502	0.026775934	500.0	0.060569637	0.04100474	0.1483902	-0.027379736	224000	7.450581e-09	0.013890946	-0.004324102	-0.009026853	1.3564423	0.0056261886	0.05325	127.0	315.6631853580475	0.0	0.0	0.0	0.0	0.0
14	0.5466217	0.73171186	3.0462804	0.04475488	500.0	0.1343451	0.17430358	1.0652491	-0.07359769	240000	-1.8626451e-09	0.016692549	-0.006546789	-0.005804766	1.3564423	0.0064969547	0.07493749	127.0	337.5808439254761	0.0	0.0	0.0	0.0	0.0
15	1.8744094	1.8561702	6.6013956	0.028552396	500.0	0.28212574	0.321179	1.3407328	-0.11907041	256000	3.1664968e-08	0.2506718	-0.0059919246	-0.10285353	1.3564423	0.0051370123	0.0598125	127.0	360.7977912425995	0.0	0.0	0.0	0.0	0.0
16	4.4082885	3.4043963	12.400309	0.036128506	500.0	0.708006	0.66030145	2.2790775	-0.40177822	272000	0.0	1.0930839	-0.0061812215	-0.3833479	1.3564423	0.0069812257	0.071187496	127.0	383.4384400844574	0.0	0.0	0.0	0.0	0.0
17	6.0377254	2.951283	14.008278	0.2548762	500.0	1.5767452	1.002179	3.1194677	-0.5373708	288000	0.0	0.9606353	-0.006897076	-0.16607553	1.3564423	0.007323411	0.068187505	127.0	405.9624705314636	0.0	0.0	0.0	0.0	0.0
18	7.7285814	4.6508126	24.664837	2.7131588	500.0	1.7976412	0.96614385	3.0387852	-0.393526	304000	-3.7252903e-09	1.6961857	-0.008572439	-0.56976277	1.3564423	0.0054157446	0.06487501	127.0	428.98283410072327	0.0	0.0	0.0	0.0	0.0
19	10.309448	5.9412227	23.506365	2.613373	500.0	2.1600564	1.1555772	5.0539765	-0.5961579	320000	1.1175871e-08	2.615304	-0.00851356	-0.80974686	1.3564423	0.0048369095	0.073437504	127.0	450.77880692481995	0.0	0.0	0.0	0.0	0.0
20	12.635796	4.9697394	24.896923	1.6436265	500.0	2.9643588	1.4830779	6.999153	-0.5326795	336000	6.519258e-09	2.2734365	-0.010470303	-0.70496345	1.3564423	0.008740155	0.102	127.0	474.86375164985657	0.0	0.0	0.0	0.0	0.0
21	15.9794655	7.533378	32.942627	3.485672	500.0	3.6435356	2.00095	8.779494	-0.2005269	352000	3.7252903e-09	4.2265973	-0.010164892	-1.2759006	1.3564423	0.008072374	0.110687494	127.0	498.08742785453796	0.0	0.03125	0.0	0.0	0.0
22	18.272448	7.5627847	34.8933	5.277057	500.0	4.2596893	2.3210855	9.416977	0.30882287	368000	3.7252903e-09	3.3769875	-0.009207226	-0.43904	1.3564423	0.0072559416	0.094375	127.0	522.9060122966766	0.0	0.03125	0.0	0.0	0.0
23	19.089638	8.561486	39.331467	0.27744135	500.0	4.507202	2.4165592	9.688044	0.6996162	384000	-3.7252903e-09	3.1387787	-0.009877084	-0.54336274	1.3564423	0.007843005	0.1009375	127.0	543.8063516616821	0.0	0.09375	0.0	0.0	0.0
24	23.243528	7.763439	37.191635	9.547494	500.0	4.9563046	2.7693787	10.705219	0.62438697	400000	1.4901161e-08	3.8243039	-0.008868214	-0.88618064	1.3564423	0.006660584	0.07325	127.0	566.1174738407135	0.0	0.125	0.0	0.0	0.0
25	19.111664	5.6885757	36.820652	10.54063	500.0	5.2401013	2.4151025	10.805381	1.1615448	416000	-7.450581e-09	3.2446244	-0.010841123	-1.1953219	1.3564423	0.006513931	0.0844375	127.0	589.582373380661	0.0	0.1875	0.0	0.0	0.0
26	26.113308	7.8237543	42.92471	13.367122	500.0	4.929253	2.2776453	9.170866	0.9014663	432000	-9.313226e-09	4.422681	-0.01111137	-1.7208452	1.3564423	0.0074822735	0.0964375	127.0	611.4719109535217	0.0	0.03125	0.0	0.0	0.0
27	25.497408	6.9666905	41.065186	12.805302	500.0	6.557396	2.95385	10.839975	1.2860497	448000	-7.450581e-09	2.7649903	-0.009121889	-0.73586774	1.3564423	0.0067820135	0.068125	127.0	634.058825969696	0.0	0.03125	0.0	0.0	0.0
