Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.43640903	0.4029795	2.0024772	0.061025396	500.0	-0.17885455	0.030867036	-0.14690205	-0.32900703	16000	-7.636845e-08	0.05110356	-0.0056393864	-0.04383762	1.3564423	0.0058149886	0.0454375	127.0	24.563206434249878	0.0	0.0	0.0	0.0	0.0
1	1.1125307	0.92359465	3.7715707	0.18010068	500.0	0.03184455	0.027622478	0.0985908	-0.059682015	32000	7.450581e-09	0.046443745	-0.0064736977	-0.02172425	1.3564423	0.004161777	0.050499998	127.0	47.03691267967224	0.0	0.0	0.0	0.0	0.0
2	1.4587632	1.113034	4.6858945	0.225843	500.0	0.19157934	0.044948403	0.31666172	0.032080106	48000	1.8626451e-08	0.058855798	-0.008169044	-0.01451103	1.3564423	0.007546178	0.0824375	127.0	67.56146550178528	0.0	0.0	0.0	0.0	0.0
3	2.7799735	1.6936672	7.722178	0.31371346	500.0	0.32261303	0.0562747	0.53768283	0.12871301	64000	2.9802322e-08	0.17177579	-0.010232604	-0.068110466	1.3564423	0.008732153	0.1014375	127.0	91.44434475898743	0.0	0.0	0.0	0.0	0.0
4	5.7161603	3.1361203	14.532077	1.4357542	500.0	0.65188885	0.13783002	1.0483478	0.32032287	80000	4.4703484e-08	0.701553	-0.006895112	-0.2944859	1.3564423	0.003702725	0.049999997	127.0	125.44045543670654	0.0	0.0	0.0	0.0	0.0
5	8.935488	4.866033	20.914658	2.9509091	500.0	1.1903031	0.17802006	1.7811325	0.67500615	96000	4.4703484e-08	1.5738674	-0.0076061557	-0.66768277	1.3564423	0.0055079414	0.0609375	127.0	153.8600993156433	0.0	0.0	0.0	0.0	0.0
6	13.113448	4.931663	25.447186	5.572039	500.0	2.1250308	0.436896	3.142899	0.91375417	112000	1.8626451e-08	1.8640153	-0.009045699	-0.87753016	1.3564423	0.005725055	0.072500005	127.0	175.9281554222107	0.0	0.0	0.0	0.0	0.0
7	15.230562	5.540247	26.615278	5.881653	500.0	3.1265957	0.8722419	4.6428747	0.55218804	128000	-2.9802322e-08	1.5620232	-0.009556606	-0.3101241	1.3564423	0.0067051407	0.085374996	127.0	198.59913992881775	0.0	0.0	0.0	0.0	0.0
8	21.189428	4.582819	36.2742	14.338107	500.0	3.8784091	0.9736646	5.4372134	0.8149901	144000	3.7252903e-08	2.3678901	-0.01096424	-0.99662393	1.3564423	0.006835009	0.093875006	127.0	220.40496611595154	0.0	0.0	0.0	0.0	0.0
9	23.639755	4.4906597	32.52851	14.831551	500.0	4.9113154	1.0718689	6.4451847	0.7772816	160000	2.6077032e-08	1.8777096	-0.011156952	-0.3418578	1.3564423	0.008472782	0.097937495	127.0	241.62162470817566	0.0	0.0	0.0	0.0	0.0
10	22.811573	3.6639814	31.705732	14.768858	500.0	5.7202587	1.0436145	6.86485	1.8017548	176000	2.2351742e-08	1.3040997	-0.008210026	-0.32589805	1.3564423	0.0069222813	0.0651875	127.0	262.90505743026733	0.0	0.0	0.0	0.0	0.0
11	26.157871	6.072942	45.419262	12.866847	500.0	5.330967	0.68373454	6.17388	2.401784	192000	1.4901161e-08	2.0634313	-0.008035285	-0.27206403	1.3564423	0.0061445963	0.06300001	127.0	284.9118585586548	0.0	0.0	0.0	0.0	0.0
12	28.243927	6.6631746	46.87542	17.210094	500.0	5.855689	0.6441316	6.6378875	2.3637795	208000	-4.4703484e-08	2.577997	-0.009191487	-0.22012419	1.3564423	0.0072280327	0.0748125	127.0	309.07047390937805	0.0	0.0	0.0	0.0	0.0
13	29.231327	6.606638	47.53252	20.376644	500.0	6.3344207	0.67822325	7.0680084	2.1880906	224000	-1.4901161e-08	2.6529446	-0.00817792	-0.07993786	1.3564423	0.008041133	0.0738125	127.0	332.11424231529236	0.0	0.0	0.0	0.0	0.0
14	33.106228	8.361759	49.95064	16.82395	500.0	6.4710546	0.58119	7.0366077	2.8011189	240000	7.450581e-09	4.383904	-0.009276387	-0.47495577	1.3564423	0.0060779885	0.068875	127.0	354.44841718673706	0.0	0.0	0.0	0.0	0.0
15	30.304277	7.0595107	49.393734	16.329079	500.0	7.1426916	0.63345367	7.662922	1.9303647	256000	-9.313226e-09	3.2546546	-0.009583703	-0.36499965	1.3564423	0.0058508646	0.0638125	127.0	374.3477473258972	0.0	0.0	0.0	0.0	0.0
16	36.027206	8.431303	53.043747	25.091665	500.0	6.718989	0.48615345	7.1113124	2.9183846	272000	-7.450581e-09	4.707415	-0.007209506	-0.9312455	1.3564423	0.0063492544	0.047375	127.0	401.86563086509705	0.0	0.0	0.0	0.0	0.0
17	36.354206	11.403967	56.902843	16.491825	500.0	7.6742487	0.6058592	8.110403	2.2841928	288000	0.0	5.8625093	-0.0082888	-0.12262753	1.3564423	0.005536393	0.0611875	127.0	438.05409502983093	0.0	0.0	0.0	0.0	0.0
18	41.49076	9.924274	54.28074	26.622255	500.0	7.920203	0.7277915	8.447802	2.1783345	304000	-7.450581e-09	5.724284	-0.008406003	-1.0723994	1.3564423	0.006712027	0.06487501	127.0	464.8905210494995	0.0	0.0	0.0	0.0	0.0
19	39.037006	9.06808	54.173706	25.79582	500.0	8.915773	0.9302695	9.51307	1.2085103	320000	0.0	4.3657904	-0.007501944	-0.18257739	1.3564423	0.006079998	0.052187502	127.0	486.7952561378479	0.0	0.0	0.0	0.0	0.0
20	42.246727	10.7197895	57.86388	20.510057	500.0	8.651026	0.82203645	9.280083	2.2320204	336000	-2.2351742e-08	5.6357303	-0.008792257	-0.520083	1.3564423	0.0057614725	0.055437498	127.0	512.213773727417	0.0	0.0	0.0	0.0	0.0
21	38.69654	11.375415	54.053802	23.365963	500.0	9.149901	1.0797417	9.979394	0.5171757	352000	0.0	6.176656	-0.008602216	-0.66141397	1.3564423	0.0042511495	0.05375	127.0	535.7218489646912	0.0	0.0	0.0	0.0	0.0
22	35.63345	9.773016	56.59442	24.565058	500.0	8.549938	0.91241556	9.835101	2.4995272	368000	-5.5879354e-09	4.848675	-0.007677012	-1.0141513	1.3564423	0.0052376403	0.0480625	127.0	559.4947216510773	0.0	0.0	0.0	0.0	0.0
23	37.40337	9.959596	55.963608	24.626257	500.0	7.7968664	0.86451334	9.620833	2.7310374	384000	-7.450581e-09	3.6799903	-0.009186804	-0.6750685	1.3564423	0.007822382	0.071875	127.0	583.8894748687744	0.0	0.0	0.0	0.0	0.0
24	42.328053	10.671025	56.86825	27.247519	500.0	8.4640665	1.1794717	10.602982	2.493531	400000	-7.450581e-09	4.0655847	-0.010613596	-0.9680686	1.3564423	0.007606403	0.084437504	127.0	607.0081341266632	0.0	0.0	0.0	0.0	0.0
25	39.27522	12.150664	55.505684	23.166897	500.0	8.663368	1.534069	11.563322	1.6344095	416000	1.8626451e-09	3.9744873	-0.009559866	-1.213192	1.3564423	0.0075857975	0.0810625	127.0	628.0956192016602	0.0	0.0	0.0	0.0	0.0
26	42.00596	11.960062	59.139503	24.826256	500.0	8.839246	2.1262522	12.5020685	0.9070661	432000	-3.7252903e-08	3.436646	-0.010473618	-0.7493419	1.3564423	0.008138441	0.0871875	127.0	667.2928340435028	0.0	0.0625	0.0	0.0	0.0
