Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.030290037	0.03258959	0.12660052	0.0036158126	500.0	-0.25891033	0.027551994	-0.22108617	-0.42476088	16000	-2.2724271e-07	0.05094478	-0.004857171	-0.048713744	1.3564423	0.00553378	0.0498125	127.0	32.03906512260437	0.0	0.0	0.0	0.0	0.0
1	0.11076565	0.17178963	0.9080921	0.0038690409	500.0	-0.03305758	0.028932843	0.027021043	-0.12138058	32000	3.9115548e-08	0.00267772	-0.006788324	-0.0014971974	1.3564423	0.0054010954	0.0875625	127.0	54.54055714607239	0.0	0.0	0.0	0.0	0.0
2	0.17052978	0.18939282	0.8409231	0.0064087054	500.0	0.021722874	0.019749576	0.058371246	-0.056827337	48000	0.0	0.0019970469	-0.007609024	-0.00052924233	1.3564423	0.005652728	0.082625	127.0	73.88699960708618	0.0	0.0	0.0	0.0	0.0
3	0.7590356	0.86423373	4.401939	0.019206977	500.0	0.045933627	0.016238518	0.093739375	-0.027866032	64000	-1.4901161e-08	0.054351475	-0.0056553218	-0.020047817	1.3564423	0.007197099	0.067	127.0	93.36332082748413	0.0	0.0	0.0	0.0	0.0
4	1.8704004	1.7221979	7.6958323	0.07629573	500.0	0.1864585	0.07441763	0.35654593	-0.025804628	80000	2.9802322e-08	0.20645349	-0.005652478	-0.08164987	1.3564423	0.005965547	0.0695	127.0	113.50044107437134	0.0	0.0	0.0	0.0	0.0
5	3.8448956	3.5210593	14.474609	0.62451917	500.0	0.47293785	0.17015056	1.0233243	-0.0007295683	96000	1.4901161e-08	0.80467916	-0.008004602	-0.30169022	1.3564423	0.0073249685	0.081625	127.0	134.368581533432	0.0	0.0	0.0	0.0	0.0
6	7.220691	5.2885647	23.71404	0.99837774	500.0	1.1323744	0.5024452	2.2006001	-0.32162926	112000	-7.450581e-09	1.8599311	-0.009255722	-0.6735585	1.3564423	0.008374933	0.106125	127.0	156.5554563999176	0.0	0.0	0.0	0.0	0.0
7	10.564507	6.216722	30.967468	3.2407246	500.0	2.0590377	0.9585605	3.7076933	-0.60739183	128000	7.450581e-09	1.9962094	-0.0078114914	-0.5754402	1.3564423	0.006392438	0.0930625	127.0	179.70911383628845	0.0	0.0	0.0	0.0	0.0
8	16.93195	9.569887	38.906597	2.5204964	500.0	3.0051734	1.1641691	4.70417	-0.41299766	144000	7.450581e-09	6.238138	-0.0074380487	-1.9104521	1.3564423	0.00679518	0.080625	127.0	200.09676790237427	0.0	0.125	0.0	0.0	0.0
9	19.968159	8.858308	36.389484	5.399536	500.0	4.127405	1.723709	6.4305463	-1.1719999	160000	-1.8626451e-08	4.514109	-0.00807854	-1.2883375	1.3564423	0.006090366	0.074375	127.0	219.72732424736023	0.0	0.03125	0.0	0.0	0.0
