Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.025241747	0.025536902	0.09276692	0.00264337	500.0	-0.27689046	0.023085417	-0.24147142	-0.41142303	16000	1.8626451e-09	0.05685041	-0.0063681193	-0.05429911	1.3564423	0.0071360264	0.086875	127.0	25.30153250694275	0.0	0.0	0.0	0.0	0.0
1	0.061110333	0.11481157	0.631512	0.002552081	500.0	-0.043818183	0.032605935	0.020796284	-0.13351451	32000	2.0489097e-08	0.002054404	-0.007262937	-0.0013643767	1.3564423	0.0052763605	0.074875	127.0	49.18445801734924	0.0	0.0	0.0	0.0	0.0
2	0.17049703	0.23467492	0.91605633	0.0042232913	500.0	0.006772898	0.022248445	0.055541813	-0.06389666	48000	2.2351742e-08	0.0036732997	-0.0060887234	-0.001263401	1.3564423	0.0062010107	0.0724375	127.0	72.89168238639832	0.0	0.0	0.0	0.0	0.0
3	0.5738794	0.8595839	3.7529793	0.009425505	500.0	0.03760149	0.01801793	0.09038746	-0.07369633	64000	-1.6763806e-08	0.050066717	-0.0061844937	-0.014135285	1.3564423	0.008393871	0.094	127.0	96.85977697372437	0.0	0.0	0.0	0.0	0.0
4	0.95153236	1.1515536	5.9617147	0.020248456	500.0	0.13619718	0.06987993	0.33208433	-0.084130906	80000	-1.4901161e-08	0.07996738	-0.006599538	-0.026965257	1.3564423	0.00888531	0.112875	127.0	120.96123051643372	0.0	0.0	0.0	0.0	0.0
5	2.8874774	3.1031463	14.9524355	0.51197803	500.0	0.33447826	0.14850812	0.7978911	-0.05779997	96000	7.450581e-09	0.67300093	-0.008333031	-0.22375569	1.3564423	0.0070940787	0.096375	127.0	145.02532839775085	0.0	0.0	0.0	0.0	0.0
6	4.6417823	3.1803908	11.896707	0.19397613	500.0	0.95602554	0.4553944	1.9295788	-0.34526497	112000	-7.450581e-09	0.6372633	-0.009082758	-0.19575702	1.3564423	0.009338656	0.102875	127.0	166.90765714645386	0.0	0.0	0.0	0.0	0.0
7	4.931145	3.8985803	17.76765	0.51625955	500.0	1.3064868	0.7261755	2.7681885	-0.72725326	128000	2.9802322e-08	0.8727246	-0.006019645	-0.23748705	1.3564423	0.004551595	0.0555	127.0	194.39221954345703	0.0	0.0	0.0	0.0	0.0
8	10.670382	7.3443065	30.236467	0.6965096	500.0	1.5386536	0.96377534	3.659437	-0.6166089	144000	2.8871e-08	3.7278051	-0.00835762	-1.9288797	1.3564423	0.007844688	0.0856875	127.0	218.21553444862366	0.0	0.0625	0.0	0.0	0.0
9	17.604736	4.8634095	24.770784	4.835562	500.0	3.4529212	1.5839621	6.275775	-1.0420557	160000	5.5879354e-09	3.3830228	-0.010027982	-1.1377642	1.3564423	0.0066764145	0.095062494	127.0	241.7280354499817	0.0	0.0	0.0	0.0	0.0
10	16.851408	7.6267467	38.317204	2.728579	500.0	4.821802	1.8120708	7.317503	-0.2857852	176000	9.313226e-09	4.4080243	-0.0070881783	-0.39409903	1.3564423	0.0060297647	0.05625	127.0	264.26675057411194	0.0	0.0625	0.0	0.0	0.0
11	18.720047	5.5784383	39.85464	7.987047	500.0	4.6215663	1.5342036	6.4765306	0.16227672	192000	-1.4901161e-08	3.4335613	-0.0078199385	-0.20327243	1.3564423	0.008662074	0.0726875	127.0	286.55289340019226	0.0	0.03125	0.0	0.0	0.0
12	20.203152	7.857387	49.18845	7.04497	500.0	4.8568945	1.2230204	6.1009073	0.5223203	208000	1.4901161e-08	4.5098324	-0.0071070762	-0.1387349	1.3564423	0.005774553	0.051562503	127.0	310.7536041736603	0.0	0.125	0.0	0.0	0.0
13	20.516205	7.942343	42.803883	6.467795	500.0	4.9245934	1.1964813	6.15869	0.71409255	224000	-3.3527613e-08	4.6492057	-0.0065582865	-0.25414923	1.3564423	0.0076094726	0.058812503	127.0	336.37965512275696	0.0	0.09375	0.0	0.0	0.0
14	20.396545	7.912309	46.604115	9.382464	500.0	4.9824333	0.981531	6.3043056	1.3900676	240000	-1.4901161e-08	3.8400285	-0.007767694	-0.3237837	1.3564423	0.006749865	0.071125	127.0	360.7752182483673	0.0	0.0625	0.0	0.0	0.0
15	26.25591	8.401825	47.64362	10.607162	500.0	4.871739	0.888684	6.547863	1.6393878	256000	-1.4901161e-08	5.5532207	-0.0096917655	-1.3031865	1.3564423	0.007534497	0.091562495	127.0	396.4369089603424	0.0	0.21875	0.0	0.0	0.0
16	30.130182	7.9074917	47.836224	16.951824	500.0	5.8382807	1.0366805	7.7222977	1.9365606	272000	1.3038516e-08	4.3272915	-0.008338945	-1.3675866	1.3564423	0.004113106	0.0640625	127.0	435.2167658805847	0.0	0.09375	0.0	0.0	0.0
