Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.033210874	0.02893193	0.10999315	0.006128832	500.0	-0.25800934	0.027165962	-0.22029565	-0.42509776	16000	-5.401671e-08	0.050914973	-0.0053513786	-0.04883161	1.3564423	0.0055976296	0.059750002	127.0	34.00803232192993	0.0	0.0	0.0	0.0	0.0
1	0.119399816	0.17785744	0.967973	0.00699708	500.0	-0.03398508	0.03016583	0.030801639	-0.12603167	32000	1.1175871e-08	0.003024382	-0.0071880063	-0.001699012	1.3564423	0.0055342326	0.089312494	127.0	70.3718912601471	0.0	0.0	0.0	0.0	0.0
2	0.39372763	0.56093276	2.8235452	0.01461788	500.0	0.025247868	0.021701306	0.064602636	-0.06540893	48000	-1.1175871e-08	0.021025226	-0.005570517	-0.0071698995	1.3564423	0.0050230087	0.066125	127.0	94.58314800262451	0.0	0.0	0.0	0.0	0.0
3	1.4767168	1.4754933	5.334676	0.034293197	500.0	0.094580255	0.042110324	0.22107941	-0.019266717	64000	-3.7252903e-09	0.17909093	-0.0070439065	-0.09610638	1.3564423	0.007865635	0.081375	127.0	118.88656377792358	0.0	0.0	0.0	0.0	0.0
4	3.6012576	3.1335738	12.127065	0.11653274	500.0	0.43271863	0.19469902	0.92959553	-0.04326412	80000	-2.2351742e-08	0.65741456	-0.007236934	-0.27729475	1.3564423	0.00689648	0.0933125	127.0	143.68211388587952	0.0	0.0	0.0	0.0	0.0
5	7.6636586	4.1790595	17.560734	2.2242525	500.0	1.1068071	0.42349288	2.474371	-0.065643564	96000	2.6077032e-08	1.5241205	-0.00976388	-0.66393447	1.3564423	0.0065752827	0.0925625	127.0	167.06064653396606	0.0	0.0	0.0	0.0	0.0
6	11.8311615	4.908052	23.615393	4.85445	500.0	2.1733053	0.88619107	3.8893135	-0.32676956	112000	-1.4901161e-08	1.9034251	-0.010440013	-0.6706146	1.3564423	0.0088141905	0.1049375	127.0	190.4459843635559	0.0	0.0	0.0	0.0	0.0
7	13.982378	5.848678	31.850178	3.5414162	500.0	3.194897	1.2184372	4.8764434	-0.3527378	128000	-7.450581e-09	2.0959206	-0.007417123	-0.16541371	1.3564423	0.0050971042	0.067375004	127.0	214.41279935836792	0.0	0.0	0.0	0.0	0.0
8	16.201727	6.232307	35.61118	4.3271875	500.0	3.7032995	1.2013954	5.2004695	0.0014041439	144000	7.450581e-09	2.2219443	-0.0072044805	-0.24744964	1.3564423	0.0050552078	0.067375004	127.0	240.00386786460876	0.0	0.0	0.0	0.0	0.0
9	18.28008	4.821838	29.386135	9.714568	500.0	4.0621037	1.239818	5.4375057	0.025252737	160000	1.3038516e-08	1.7149591	-0.007854452	-0.19901785	1.3564423	0.005213798	0.069000006	127.0	262.74016523361206	0.0	0.0	0.0	0.0	0.0
10	22.487587	6.765295	36.930607	10.838827	500.0	4.545656	1.3699647	5.9506683	0.20199986	176000	7.450581e-09	2.9778721	-0.008334564	-0.59704924	1.3564423	0.007592815	0.067875	127.0	286.1173207759857	0.0	0.0	0.0	0.0	0.0
11	24.012478	5.795261	37.19353	14.7965555	500.0	5.3234386	1.3697898	6.688452	0.59203273	192000	-2.7939677e-08	2.1880646	-0.0082837995	-0.18524168	1.3564423	0.005874196	0.061125	127.0	310.2040526866913	0.0	0.0	0.0	0.0	0.0
12	24.751919	6.1016164	35.121586	15.19825	500.0	5.7424803	1.3499745	6.967573	0.81645316	208000	0.0	2.1815953	-0.007837077	-0.06143347	1.3564423	0.0065516885	0.0611875	127.0	334.8700728416443	0.0	0.0	0.0	0.0	0.0
13	28.013838	6.6771812	39.50957	16.265312	500.0	5.91034	1.233718	6.9674134	0.92924035	224000	-7.450581e-09	2.7621307	-0.00823308	-0.34845763	1.3564423	0.008335706	0.065625	127.0	359.6548345088959	0.0	0.0	0.0	0.0	0.0
14	28.91182	6.0924854	41.67711	14.626318	500.0	6.4883957	1.2835008	7.943931	1.1719829	240000	-7.450581e-09	1.9750922	-0.008070801	-0.113598935	1.3564423	0.0058048777	0.059874997	127.0	385.4416391849518	0.0	0.0	0.0	0.0	0.0
15	29.430101	6.3707256	42.422348	15.176024	500.0	6.651208	1.1405209	7.79892	1.7811021	256000	-2.9802322e-08	2.1561806	-0.0082615055	-0.09338022	1.3564423	0.0071729757	0.060812503	127.0	409.424391746521	0.0	0.03125	0.0	0.0	0.0
16	31.74035	6.116721	43.690018	22.374895	500.0	6.842919	1.0886128	7.9439154	1.7323921	272000	1.1175871e-08	2.1320477	-0.007844886	-0.23284249	1.3564423	0.0053121797	0.0546875	127.0	433.1859703063965	0.0	0.0	0.0	0.0	0.0
17	32.284218	7.1550155	45.025635	15.600413	500.0	7.255614	1.2932993	8.886813	0.8538693	288000	7.450581e-09	2.3564293	-0.0067743454	-0.14310381	1.3564423	0.005338822	0.0540625	127.0	458.1912372112274	0.0	0.03125	0.0	0.0	0.0
18	34.76217	5.4809723	44.678993	24.424438	500.0	7.377875	1.1906096	8.722869	1.7589626	304000	2.2351742e-08	1.598711	-0.008136407	-0.31608042	1.3564423	0.006264102	0.059812505	127.0	483.4797990322113	0.0	0.03125	0.0	0.0	0.0
19	37.038563	4.5746884	55.694027	27.647072	500.0	7.7843924	1.3823735	9.910375	1.8448265	320000	-1.4901161e-08	1.3099115	-0.008665418	-0.36060932	1.3564423	0.0076100295	0.063125	127.0	507.9879596233368	0.0	0.21875	0.0	0.0	0.0
20	35.248158	7.7823696	54.170696	18.287624	500.0	8.434491	1.4564471	10.73543	2.0372522	336000	-1.8626451e-09	2.51338	-0.009222686	-0.47476482	1.3564423	0.0075945547	0.063	127.0	532.5662379264832	0.0	0.0625	0.0	0.0	0.0
