Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.03620508	0.0435023	0.18066466	0.0022123707	500.0	-0.276596	0.023620874	-0.2308639	-0.4163875	16000	2.0489097e-07	0.05788898	-0.006517465	-0.055424128	1.3564423	0.00707605	0.0870625	127.0	35.22213125228882	0.0	0.0	0.0	0.0	0.0
1	0.05712594	0.11698271	0.6810087	0.004316905	500.0	-0.0393185	0.03305002	0.028101496	-0.13189211	32000	-2.2351742e-08	0.0018178308	-0.008011552	-0.0011061109	1.3564423	0.005561642	0.0865625	127.0	56.787986040115356	0.0	0.0	0.0	0.0	0.0
2	0.24218768	0.4232951	1.9955763	0.0043642	500.0	0.008090544	0.022190358	0.058966033	-0.067736134	48000	1.4901161e-08	0.010723548	-0.0051943515	-0.0037586784	1.3564423	0.0056902245	0.0635	127.0	77.38264155387878	0.0	0.0	0.0	0.0	0.0
3	0.7015727	0.98683584	4.6845946	0.03394941	500.0	0.057322986	0.02787437	0.13038301	-0.04431948	64000	7.450581e-09	0.06756163	-0.0065088393	-0.018111136	1.3564423	0.008706781	0.0915	127.0	98.53206324577332	0.0	0.0	0.0	0.0	0.0
4	2.226437	4.3056684	23.650354	0.022782652	500.0	0.20219837	0.09232331	0.48307353	-0.10318996	80000	0.0	1.0450215	-0.006199718	-0.30260092	1.3564423	0.0070610084	0.1016875	127.0	118.87361216545105	0.0	0.0	0.0	0.0	0.0
5	2.936715	2.975778	10.272847	0.14594886	500.0	0.71917653	0.43512926	2.026077	-0.42085823	96000	2.2351742e-08	0.49243838	-0.011111462	-0.1319618	1.3564423	0.008161493	0.121625	127.0	137.9660303592682	0.0	0.0	0.0	0.0	0.0
6	3.315817	3.5730286	14.220766	0.15592767	500.0	1.1309195	0.68483776	2.7131429	-0.7282851	112000	9.313226e-09	0.81551033	-0.008355187	-0.23708531	1.3564423	0.007614051	0.071687505	127.0	157.94377398490906	0.0	0.0	0.0	0.0	0.0
7	5.886324	5.2932544	21.23509	0.14715524	500.0	1.1744525	0.7009403	2.7192302	-0.4572543	128000	0.0	1.6328505	-0.0069807805	-0.45960087	1.3564423	0.006170353	0.0820625	127.0	179.59939336776733	0.0	0.0	0.0	0.0	0.0
8	11.361771	8.684875	27.684044	0.4352861	500.0	1.9259936	1.0782623	4.2050133	-0.56791216	144000	-7.450581e-09	4.1802526	-0.0075173336	-1.2864594	1.3564423	0.0073707616	0.0926875	127.0	203.44580149650574	0.0	0.0	0.0	0.0	0.0
9	17.057554	6.853507	32.66092	4.710681	500.0	3.5042593	1.415771	7.0991106	-0.46120602	160000	3.7252903e-09	4.007213	-0.009618893	-0.8424299	1.3564423	0.006604011	0.091875	127.0	227.88574504852295	0.0	0.0	0.0	0.0	0.0
10	18.408321	7.472453	34.156364	4.5591793	500.0	4.473497	1.4249269	6.9825277	0.3269122	176000	-1.8626451e-09	3.677527	-0.0077191815	-0.46100536	1.3564423	0.006617997	0.066374995	127.0	248.94192123413086	0.0	0.0	0.0	0.0	0.0
11	22.384167	8.467723	38.10352	8.604676	500.0	4.7739325	1.3332257	6.8665857	0.3973934	192000	-3.7252903e-09	5.0141544	-0.007905904	-0.7273686	1.3564423	0.0070351283	0.066250004	127.0	270.4793872833252	0.0	0.0	0.0	0.0	0.0
12	25.276077	8.530239	40.462845	11.755128	500.0	5.5657487	1.4779071	8.328896	0.63530415	208000	0.0	4.355731	-0.0075336345	-0.5693376	1.3564423	0.006120655	0.07125	127.0	291.1837613582611	0.0	0.0	0.0	0.0	0.0
13	27.15121	7.8983274	38.78983	12.540652	500.0	6.156988	1.6775228	9.230328	-0.23049995	224000	1.6763806e-08	3.630972	-0.0073547955	-0.32463506	1.3564423	0.0062761256	0.0525625	127.0	312.113245010376	0.0	0.0	0.0	0.0	0.0
14	24.957958	8.471321	43.320942	11.174087	500.0	6.3588924	1.69162	9.704954	0.1235096	240000	-1.6763806e-08	4.199937	-0.0071766553	-0.9517921	1.3564423	0.0064673596	0.051125	127.0	334.519478559494	0.0	0.0	0.0	0.0	0.0
15	27.710289	7.40171	45.02529	14.898858	500.0	6.404196	1.5019263	9.717117	0.11050312	256000	-1.4901161e-08	3.2354445	-0.007967807	-0.36920372	1.3564423	0.004515816	0.061499998	127.0	355.0297636985779	0.0	0.03125	0.0	0.0	0.0
16	26.825205	5.2161684	34.471287	14.341043	500.0	6.6181445	1.444793	9.809138	-0.21478815	272000	0.0	2.7846174	-0.0077201393	-0.45506474	1.3564423	0.0059105363	0.05825	127.0	377.18318247795105	0.0	0.0625	0.0	0.0	0.0
17	30.318302	3.8593328	36.87412	21.454285	500.0	6.6800942	1.640623	10.752176	-0.74767536	288000	-1.4901161e-08	2.089039	-0.006768264	-0.4879253	1.3564423	0.004332175	0.045375	127.0	400.56006240844727	0.0	0.03125	0.0	0.0	0.0
18	30.103182	4.6060214	45.368275	22.22531	500.0	7.267935	1.8591363	9.933709	0.43455702	304000	2.2351742e-08	1.8644542	-0.008832576	-0.12905037	1.3564423	0.006533618	0.063374996	127.0	422.55612325668335	0.0	0.0	0.0	0.0	0.0
19	32.39873	5.0353165	41.322777	16.30164	500.0	7.4438043	1.9648557	10.491061	0.3769349	320000	1.8626451e-08	1.9828278	-0.008374803	-0.32461447	1.3564423	0.0061085145	0.0566875	127.0	442.95465898513794	0.0	0.0625	0.0	0.0	0.0
20	32.458504	5.836003	41.397125	15.624177	500.0	7.72034	1.7735234	9.954172	1.0380826	336000	5.5879354e-09	2.6663785	-0.007762724	-0.26379168	1.3564423	0.0058930777	0.0476875	127.0	463.1422326564789	0.0	0.0625	0.0	0.0	0.0
21	33.065075	6.164062	47.70909	19.408096	500.0	7.6815543	1.6326991	9.679256	1.4681393	352000	0.0	2.6470556	-0.008125495	-0.47265184	1.3564423	0.005388185	0.0564375	127.0	484.7213296890259	0.0	0.21875	0.0	0.0	0.0
22	31.97083	5.31846	40.433357	18.084082	500.0	7.62906	1.6973163	10.195199	1.717815	368000	0.0	2.0944624	-0.00976089	-0.65885377	1.3564423	0.007845633	0.07125	127.0	504.6808497905731	0.0	0.125	0.0	0.0	0.0
23	33.154514	4.9760547	45.14588	22.780405	500.0	7.859306	1.5930872	9.7943125	2.4345276	384000	7.450581e-09	1.4398725	-0.008380464	-0.26565957	1.3564423	0.0055203233	0.0663125	127.0	526.9365644454956	0.0	0.0625	0.0	0.0	0.0
24	34.02892	4.623676	49.07043	26.108913	500.0	7.5941052	1.549973	9.781164	2.5213645	400000	0.0	1.3199344	-0.012932038	-0.2782476	1.3564423	0.0066298153	0.0919375	127.0	548.4491539001465	0.0	0.1875	0.0	0.0	0.0
25	35.95611	5.8133817	58.430035	28.790724	500.0	7.7303767	1.6720045	9.986935	2.7638757	416000	2.6077032e-08	2.3243308	-0.009725642	-0.66359055	1.3564423	0.007708866	0.071499996	127.0	571.3919150829315	0.0	0.1875	0.0	0.0	0.0
26	35.030396	4.246526	44.965897	21.763254	500.0	8.108909	1.5284537	10.313725	2.6192212	432000	-7.450581e-09	1.1153126	-0.010345133	-0.12148678	1.3564423	0.0068847025	0.0679375	127.0	591.785900592804	0.0	0.0625	0.0	0.0	0.0
27	37.12762	4.3828926	50.039692	27.76077	500.0	8.036221	1.5949123	10.6560135	2.7492235	448000	6.519258e-09	1.4774791	-0.008890297	-0.43107295	1.3564423	0.008557463	0.0671875	127.0	620.1511363983154	0.0	0.0	0.0	0.0	0.0
28	36.94895	5.495308	46.861855	25.615732	500.0	8.348627	1.607133	10.368835	3.407906	464000	1.4901161e-08	1.5969305	-0.008064073	-0.2355212	1.3564423	0.005464972	0.0555	127.0	651.3082120418549	0.0	0.1875	0.0	0.0	0.0
