Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.03730514	0.028839294	0.11275519	0.0064151357	500.0	-0.24195105	0.026786726	-0.21241659	-0.40325904	16000	-9.126961e-08	0.04482311	-0.0052926913	-0.04279201	1.3564423	0.006040491	0.0636875	127.0	19.703784465789795	0.0	0.0	0.0	0.0	0.0
1	0.06074664	0.06390238	0.26115635	0.0032008498	500.0	-0.023874883	0.02617698	0.03483198	-0.10938984	32000	4.4703484e-08	0.0009569983	-0.008635082	-0.0006758049	1.3564423	0.0065037105	0.113249995	127.0	36.61567687988281	0.0	0.0	0.0	0.0	0.0
2	0.16123973	0.16716254	0.5548282	0.0060037756	500.0	0.014671693	0.014387853	0.04444219	-0.04666067	48000	-7.450581e-09	0.0014559624	-0.008055598	-0.0005735291	1.3564423	0.0055933986	0.08125	127.0	54.00834512710571	0.0	0.0	0.0	0.0	0.0
3	0.4672892	1.0733571	6.140616	0.007841515	500.0	0.03678216	0.013489033	0.08491378	-0.015660055	64000	1.4901161e-08	0.053745423	-0.0044763535	-0.017689567	1.3564423	0.007181426	0.0738125	127.0	70.76970338821411	0.0	0.0	0.0	0.0	0.0
4	3.1072714	2.9265924	10.054358	0.13111174	500.0	0.25506493	0.12939653	0.6735789	-0.024016663	80000	7.450581e-09	0.68521994	-0.005949091	-0.32119733	1.3564423	0.007546164	0.0776875	127.0	88.41172051429749	0.0	0.0	0.0	0.0	0.0
5	7.479257	4.074961	15.980019	1.0469371	500.0	1.050965	0.5797528	2.2617762	-0.23273957	96000	0.0	1.6624122	-0.006876069	-0.7159654	1.3564423	0.0065002795	0.088687494	127.0	105.70578002929688	0.0	0.0	0.0	0.0	0.0
6	6.451765	3.3974562	14.176948	2.153142	500.0	2.1943285	1.0250831	3.7277527	-0.22491193	112000	0.0	0.97437316	-0.009216472	-0.1685124	1.3564423	0.008720707	0.081	127.0	122.99440693855286	0.0	0.0	0.0	0.0	0.0
7	7.134021	3.473445	14.472258	2.5459013	500.0	2.0835402	0.8698713	3.3399649	-0.17069326	128000	1.4901161e-08	0.9437605	-0.008177538	-0.11547498	1.3564423	0.005629357	0.061125	127.0	139.6316418647766	0.0	0.0	0.0	0.0	0.0
8	11.718409	5.205876	24.105078	3.9050758	500.0	1.9957694	0.6224833	2.7957327	0.34647092	144000	-3.3527613e-08	2.3680005	-0.006615779	-0.6276188	1.3564423	0.0069084326	0.0778125	127.0	156.8898606300354	0.0	0.0	0.0	0.0	0.0
9	14.846172	4.2958164	29.27711	7.708181	500.0	2.768648	0.74132425	3.5630264	0.51624966	160000	-1.1175871e-08	1.8961259	-0.0091729	-0.5337486	1.3564423	0.0060751694	0.083812505	127.0	174.22628593444824	0.0	0.0	0.0	0.0	0.0
10	18.632425	5.499112	28.211943	7.7225027	500.0	3.5074077	0.9139967	4.390145	0.57491386	176000	2.2351742e-08	2.4085534	-0.008093782	-0.68763757	1.3564423	0.006589256	0.0750625	127.0	192.0996916294098	0.0	0.0	0.0	0.0	0.0
11	20.942127	5.4615703	31.798286	9.53331	500.0	4.323915	1.1079876	5.3134265	0.5751725	192000	2.9802322e-08	2.126367	-0.009670552	-0.39337584	1.3564423	0.006968282	0.07525	127.0	209.48149728775024	0.0	0.0	0.0	0.0	0.0
12	24.343369	4.2213235	30.045303	14.710818	500.0	4.9820433	1.2778406	6.0319567	0.30986857	208000	7.450581e-09	1.7076797	-0.0076628216	-0.47900003	1.3564423	0.0064986385	0.055	127.0	227.34327626228333	0.0	0.0	0.0	0.0	0.0
