Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.030635037	0.025557442	0.098083705	0.006100807	500.0	-0.2558628	0.023732096	-0.22021094	-0.42114884	16000	2.0675361e-07	0.04954608	-0.005227927	-0.04746622	1.3564423	0.005530098	0.058375	127.0	20.66957950592041	0.0	0.0	0.0	0.0	0.0
1	0.08377128	0.07855007	0.2790728	0.0070442795	500.0	-0.03289186	0.03030897	0.02714412	-0.13518077	32000	5.2154064e-08	0.0014906062	-0.008160079	-0.001063146	1.3564423	0.005894639	0.098437496	127.0	39.09348177909851	0.0	0.0	0.0	0.0	0.0
2	0.08827644	0.088449545	0.36203644	0.013745125	500.0	0.012134962	0.020336753	0.049341388	-0.061522253	48000	-2.2351742e-08	0.00049195095	-0.00850853	-0.00016042532	1.3564423	0.00540624	0.072	127.0	60.074071168899536	0.0	0.0	0.0	0.0	0.0
3	0.115034655	0.08240337	0.32369456	0.019142881	500.0	0.020051079	0.011143711	0.0513511	-0.04750094	64000	-1.1175871e-08	0.00034302735	-0.007141188	-8.470865e-05	1.3564423	0.006472564	0.067125	127.0	85.0197741985321	0.0	0.0	0.0	0.0	0.0
4	0.16549799	0.12853226	0.39591607	0.018456616	500.0	0.028543139	0.008568207	0.056250677	-0.019693084	80000	-3.7252903e-09	0.0006025976	-0.0053385855	-0.00015642811	1.3564423	0.006590687	0.04525	127.0	116.58695483207703	0.0	0.0	0.0	0.0	0.0
5	0.1178034	0.106510386	0.46142823	0.021896942	500.0	0.03736483	0.0065301163	0.058394313	0.01556287	96000	7.450581e-09	0.00038174144	-0.006299528	-0.00014122846	1.3564423	0.0043215617	0.0575	127.0	148.6969599723816	0.0	0.0	0.0	0.0	0.0
6	0.15329137	0.10151073	0.4527683	0.018926455	500.0	0.034986068	0.008557329	0.060453564	0.01353085	112000	-1.1175871e-08	0.00022754693	-0.00775708	-4.705814e-05	1.3564423	0.006895103	0.0724375	127.0	169.8441231250763	0.0	0.0	0.0	0.0	0.0
7	0.18339713	0.25476664	1.4579583	0.03141735	500.0	0.036778692	0.009492465	0.06804706	0.005575262	128000	-3.7252903e-09	0.0025666344	-0.005777928	-0.0012192588	1.3564423	0.00554424	0.051	127.0	191.295077085495	0.0	0.0	0.0	0.0	0.0
8	0.21160999	0.33733276	2.0229657	0.03220379	500.0	0.05114365	0.025950518	0.22367331	0.0055020526	144000	-3.7252903e-09	0.0050269673	-0.008050496	-0.0033861522	1.3564423	0.008372032	0.10887501	127.0	212.83525443077087	0.0	0.0	0.0	0.0	0.0
9	0.30605826	0.422811	2.33046	0.030231599	500.0	0.092576146	0.106010124	0.70817137	-0.03607641	160000	5.5879354e-09	0.0063583963	-0.0090907505	-0.002321765	1.3564423	0.0077540763	0.09675	127.0	231.20498919487	0.0	0.0	0.0	0.0	0.0
