Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.03681868	0.043978486	0.16954839	0.0025370684	500.0	-0.27613702	0.022917623	-0.2397332	-0.4094457	16000	6.7055225e-08	0.057442255	-0.006696474	-0.054805137	1.3564423	0.0073388377	0.093125	127.0	21.720516681671143	0.0	0.0	0.0	0.0	0.0
1	0.05630955	0.121030815	0.7061231	0.004104196	500.0	-0.041499298	0.032555886	0.021061294	-0.13172758	32000	-9.313226e-09	0.0019325205	-0.007508002	-0.0012054928	1.3564423	0.005380456	0.0794375	127.0	42.1738498210907	0.0	0.0	0.0	0.0	0.0
2	0.2588135	0.47172323	2.4146025	0.003589115	500.0	0.006962063	0.021242548	0.056223102	-0.06253712	48000	-7.450581e-09	0.013787928	-0.0048152236	-0.004618699	1.3564423	0.0054409225	0.0609375	127.0	62.186426401138306	0.0	0.0	0.0	0.0	0.0
3	0.6914723	1.0464993	5.298317	0.026032683	500.0	0.06030082	0.030247862	0.15227798	-0.05101583	64000	-3.7252903e-09	0.069502905	-0.006427234	-0.017863736	1.3564423	0.008981593	0.0983125	127.0	84.06330466270447	0.0	0.0	0.0	0.0	0.0
4	2.2848778	4.145854	22.33056	0.031833872	500.0	0.21404237	0.103658535	0.49251515	-0.092670456	80000	4.4703484e-08	0.97582376	-0.0054876353	-0.284308	1.3564423	0.0066688117	0.091125	127.0	104.68628120422363	0.0	0.0	0.0	0.0	0.0
5	4.037137	3.9268897	15.961865	0.22492903	500.0	0.6968427	0.4281023	2.0533683	-0.4375042	96000	0.0	0.87969494	-0.011095562	-0.3190161	1.3564423	0.008280728	0.1200625	127.0	125.85586595535278	0.0	0.0	0.0	0.0	0.0
6	4.5123467	4.2848296	14.164155	0.23266625	500.0	1.5982866	0.84552914	3.5235739	-0.5474001	112000	-2.0489097e-08	1.4460549	-0.007913403	-0.42571887	1.3564423	0.0070863254	0.0696875	127.0	148.50809741020203	0.0	0.0	0.0	0.0	0.0
7	5.433445	5.1190023	14.306839	0.15101524	500.0	1.4525095	0.89600146	3.4418635	-0.77559537	128000	-1.4901161e-08	1.325866	-0.0070909667	-0.41168672	1.3564423	0.0051547242	0.063187495	127.0	169.55721616744995	0.0	0.0	0.0	0.0	0.0
8	9.711892	7.3017125	23.80212	0.29679424	500.0	1.959458	1.1899393	4.3700967	-0.7741816	144000	-1.4901161e-08	2.7891	-0.007427998	-0.7163074	1.3564423	0.006298024	0.0750625	127.0	189.12592911720276	0.0	0.0	0.0	0.0	0.0
9	14.89829	6.2919674	32.63096	1.2364724	500.0	3.2034316	1.3332214	6.365375	-0.117151596	160000	-5.5879354e-09	3.185958	-0.009684211	-0.5308935	1.3564423	0.006156194	0.083625	127.0	209.89402294158936	0.0	0.0	0.0	0.0	0.0
10	15.909608	6.7302804	34.36592	7.8424416	500.0	4.0894017	1.3285223	6.425332	0.292011	176000	-1.8626451e-08	3.4233334	-0.008318383	-0.42565173	1.3564423	0.0069350614	0.0875625	127.0	231.23295092582703	0.0	0.0	0.0	0.0	0.0
