Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.027680237	0.017584102	0.06775182	0.0056835217	500.0	-0.24621212	0.027510723	-0.217455	-0.41561133	16000	4.0978193e-08	0.04580114	-0.00504231	-0.043705195	1.3564423	0.006247268	0.0710625	127.0	22.368550062179565	0.0	0.0	0.0	0.0	0.0
1	0.043637954	0.040690385	0.15992585	0.0033140683	500.0	-0.02534131	0.02613566	0.036577873	-0.114667356	32000	-5.9604645e-08	0.0008657536	-0.008237407	-0.0006562855	1.3564423	0.006551454	0.114874996	127.0	40.778032541275024	0.0	0.0	0.0	0.0	0.0
2	0.078351334	0.07176466	0.26283923	0.0051483777	500.0	0.013277149	0.0140787745	0.04411327	-0.046701953	48000	1.8626451e-08	0.00034005643	-0.009991291	-0.00012212619	1.3564423	0.0068676174	0.10618751	127.0	61.13898253440857	0.0	0.0	0.0	0.0	0.0
3	0.12231937	0.20457503	1.1222359	0.0050961045	500.0	0.022727262	0.010485087	0.053341717	-0.031352587	64000	-1.4901161e-08	0.0015158916	-0.007159561	-0.00059075915	1.3564423	0.0075140838	0.09275	127.0	79.95267415046692	0.0	0.0	0.0	0.0	0.0
4	0.698172	1.3086835	7.483058	0.0367604	500.0	0.05413291	0.02137567	0.12223936	-0.0065474957	80000	-2.2351742e-08	0.10836999	-0.004729775	-0.035772428	1.3564423	0.0079201	0.0828125	127.0	99.0602080821991	0.0	0.0	0.0	0.0	0.0
5	3.363194	2.9248738	13.838466	0.15407997	500.0	0.34665447	0.22671622	0.9788786	-0.10600202	96000	2.4214387e-08	0.6559118	-0.0079404265	-0.3136124	1.3564423	0.0070106015	0.09025	127.0	118.51690125465393	0.0	0.0	0.0	0.0	0.0
6	4.7611747	3.2062564	15.059649	1.8347411	500.0	1.2427094	0.6999007	2.6876328	-0.1664832	112000	0.0	0.6172625	-0.009602713	-0.07014131	1.3564423	0.011088766	0.1294375	127.0	137.24799227714539	0.0	0.0	0.0	0.0	0.0
7	5.322956	4.1291947	15.605962	0.99575615	500.0	1.621049	0.7311376	2.7082632	-0.11056857	128000	7.450581e-09	1.1117599	-0.008273102	-0.27950585	1.3564423	0.0065749465	0.0748125	127.0	155.6853630542755	0.0	0.0	0.0	0.0	0.0
8	10.030657	4.9084325	19.766981	1.6833019	500.0	1.628084	0.7385757	2.7514997	-0.1336288	144000	1.8626451e-09	2.2883396	-0.0075272038	-0.8924394	1.3564423	0.007941043	0.087937504	127.0	175.15521883964539	0.0	0.0	0.0	0.0	0.0
9	15.706351	3.65981	21.689314	6.2532816	500.0	2.6065645	1.0777457	4.4926143	-0.06570058	160000	3.7252903e-08	2.530489	-0.010450855	-1.3786453	1.3564423	0.0063088443	0.089312494	127.0	194.74924159049988	0.0	0.0	0.0	0.0	0.0
10	19.392902	5.233122	28.627428	7.3470273	500.0	3.8255014	1.3669267	5.564527	-0.024785038	176000	-1.8626451e-08	2.6792974	-0.009234358	-0.78757036	1.3564423	0.006897849	0.086125	127.0	214.52324080467224	0.0	0.0625	0.0	0.0	0.0
11	19.953253	4.760166	30.76996	8.904256	500.0	4.8498397	1.5429636	6.5411816	0.3735402	192000	1.4901161e-08	1.5427017	-0.0088448785	-0.0515644	1.3564423	0.0074916766	0.06375	127.0	233.7095022201538	0.0	0.03125	0.0	0.0	0.0
12	23.434662	5.455043	35.768803	13.609734	500.0	5.076673	1.455094	6.5130963	0.42035213	208000	0.0	2.4758337	-0.008647203	-0.39766145	1.3564423	0.0063205427	0.063999996	127.0	255.07444429397583	0.0	0.15625	0.0	0.0	0.0
13	25.25365	4.7785525	34.20339	15.889368	500.0	5.642928	1.364185	6.789141	0.7672692	224000	-7.450581e-09	1.669764	-0.008515441	-0.13771807	1.3564423	0.007261775	0.05675	127.0	276.088725566864	0.0	0.0625	0.0	0.0	0.0
14	28.885677	8.05951	53.13436	19.172491	500.0	5.984909	1.3829526	7.113274	0.81896174	240000	2.9802322e-08	4.2123218	-0.008050694	-0.5988792	1.3564423	0.005944379	0.067687504	127.0	304.7904682159424	0.0	0.15625	0.0	0.0	0.0
15	30.529718	8.918675	63.937077	17.757696	500.0	6.7228866	1.4681585	7.8498173	1.0338174	256000	2.6077032e-08	4.639525	-0.008238785	-0.27599815	1.3564423	0.00738335	0.073750004	127.0	331.8240416049957	0.0	0.25	0.0	0.0	0.0
16	31.304825	5.5671473	48.171085	22.34388	500.0	7.102172	1.5995997	8.25754	0.92316747	272000	-3.1664968e-08	1.8024372	-0.008026411	-0.14777291	1.3564423	0.0069148093	0.062	127.0	352.00997614860535	0.0	0.3125	0.0	0.0	0.0
17	31.307785	5.4648523	41.641827	21.239985	500.0	7.312162	1.4443221	8.541858	1.9169587	288000	6.519258e-09	1.824671	-0.0077326978	-0.123591915	1.3564423	0.0064712567	0.0625	127.0	372.9754581451416	0.0	0.25	0.0	0.0	0.0
18	35.211876	8.283384	68.60975	23.90782	500.0	7.2559175	1.2738433	8.391969	2.1360767	304000	-1.1175871e-08	3.6951234	-0.008033713	-0.65548885	1.3564423	0.006777848	0.0685	127.0	395.7169795036316	0.0	0.28125	0.0	0.0	0.0
19	37.380424	12.199699	97.5942	19.019987	500.0	8.076926	1.4297581	9.428185	2.325228	320000	2.0489097e-08	7.6523914	-0.0069148373	-0.5736487	1.3564423	0.0056969803	0.068312496	127.0	416.59177327156067	0.0	0.125	0.0	0.0	0.0
20	39.12316	12.816786	90.26146	23.558826	500.0	8.326646	1.3924235	9.311973	1.9069841	336000	7.450581e-09	8.482488	-0.0072771613	-0.69248533	1.3564423	0.006220641	0.071375	127.0	438.85340118408203	0.0	0.40625	0.0	0.0	0.0
21	35.86159	7.328542	45.070076	16.791977	500.0	8.845377	1.6710931	10.397443	2.3059576	352000	0.0	2.3745184	-0.009606663	-0.4752206	1.3564423	0.008931885	0.063062504	127.0	460.0205760002136	0.0	0.1875	0.0	0.0	0.0
22	36.94523	6.925422	57.888203	24.166506	500.0	8.475802	1.5834767	10.040064	2.7739692	368000	1.3038516e-08	3.3529994	-0.008738803	-0.48578173	1.3564423	0.007507688	0.075375	127.0	479.78599643707275	0.0	0.25	0.0	0.0	0.0
23	37.49738	4.9909325	46.088394	25.211073	500.0	8.455195	1.3143125	9.705457	2.8405185	384000	-1.1175871e-08	1.4515656	-0.010486897	-0.12798429	1.3564423	0.00765368	0.072937496	127.0	498.97904205322266	0.0	0.46875	0.0	0.0	0.0
