Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.025468465	0.018132595	0.0703045	0.0062187775	500.0	-0.25958836	0.02761313	-0.22146307	-0.4276983	16000	5.2154064e-08	0.051064044	-0.0048136283	-0.04897639	1.3564423	0.0055659544	0.053375	127.0	23.365047216415405	0.0	0.0	0.0	0.0	0.0
1	0.05938994	0.08093452	0.44840768	0.0058639627	500.0	-0.035550248	0.030146182	0.027464949	-0.12623458	32000	-2.9802322e-08	0.0015254221	-0.0075770463	-0.0010625591	1.3564423	0.0055209054	0.09262501	127.0	44.230116844177246	0.0	0.0	0.0	0.0	0.0
2	0.12427605	0.12603322	0.6041504	0.008344811	500.0	0.013972469	0.018027663	0.0484469	-0.060397595	48000	1.4901161e-08	0.00094960525	-0.008104377	-0.0003063419	1.3564423	0.005569596	0.0859375	127.0	64.43905329704285	0.0	0.0	0.0	0.0	0.0
3	0.5201284	0.577332	2.6486125	0.022524277	500.0	0.031239236	0.014573534	0.074623145	-0.037894104	64000	3.5390258e-08	0.025558872	-0.005919262	-0.010103293	1.3564423	0.007913813	0.07781249	127.0	83.96015477180481	0.0	0.0	0.0	0.0	0.0
4	1.6310066	1.494374	6.9672604	0.08449368	500.0	0.1572563	0.07048424	0.3413914	-0.00030466914	80000	-7.450581e-09	0.17627105	-0.0056697335	-0.06689744	1.3564423	0.006566755	0.080125004	127.0	103.96965408325195	0.0	0.0	0.0	0.0	0.0
5	3.7416897	2.4520237	12.105773	1.0223956	500.0	0.43238845	0.16539645	0.95492357	0.018690705	96000	3.7252903e-09	0.5744534	-0.008912656	-0.2609058	1.3564423	0.006936176	0.081250004	127.0	125.95272660255432	0.0	0.0	0.0	0.0	0.0
6	6.702474	4.909236	22.870888	1.5189835	500.0	1.0243767	0.4511113	2.0029242	-0.11451833	112000	0.0	1.6652822	-0.009871466	-0.6108581	1.3564423	0.009584473	0.1139375	127.0	144.86756086349487	0.0	0.03125	0.0	0.0	0.0
7	12.024244	5.886934	26.79038	3.7153518	500.0	1.98812	0.9013665	3.546298	-0.4634445	128000	0.0	2.7017155	-0.009480976	-1.0120473	1.3564423	0.0069726454	0.1021875	127.0	164.98988962173462	0.0	0.0	0.0	0.0	0.0
8	16.271818	5.3725743	32.379356	5.3696766	500.0	3.3280637	1.2114289	5.031765	-0.54630107	144000	-7.450581e-09	2.5150933	-0.007719467	-0.66681266	1.3564423	0.0059163435	0.0684375	127.0	185.33148431777954	0.0	0.0	0.0	0.0	0.0
9	17.701118	3.928645	25.541372	9.671171	500.0	4.1098385	1.4372963	5.764525	-0.5017254	160000	-3.7252903e-09	1.3762286	-0.008433392	-0.2499555	1.3564423	0.0041492153	0.061687503	127.0	205.5127658843994	0.0	0.0	0.0	0.0	0.0
