Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.027836114	0.01771195	0.06844573	0.005732365	500.0	-0.24357896	0.026910696	-0.21404645	-0.40520644	16000	-8.940697e-08	0.044870555	-0.004906703	-0.042833656	1.3564423	0.0062293615	0.0668125	127.0	24.099185943603516	0.0	0.0	0.0	0.0	0.0
1	0.04304865	0.04043064	0.16210459	0.0033116147	500.0	-0.024390953	0.025803763	0.0333786	-0.1103951	32000	0.0	0.00079947466	-0.008343991	-0.00059391535	1.3564423	0.0067387046	0.11956251	127.0	47.74919319152832	0.0	0.0	0.0	0.0	0.0
2	0.082048655	0.07500821	0.2666444	0.0051067844	500.0	0.012746218	0.013780517	0.042604394	-0.047113813	48000	-7.450581e-09	0.00036276228	-0.009989096	-0.00012531356	1.3564423	0.0069629382	0.107187495	127.0	68.7402458190918	0.0	0.0	0.0	0.0	0.0
3	0.13801536	0.22320396	1.2234242	0.0052843164	500.0	0.02427547	0.010636625	0.059274003	-0.027167007	64000	-3.7252903e-08	0.0018280734	-0.0072615584	-0.00063308515	1.3564423	0.0075774924	0.093125	127.0	91.88772082328796	0.0	0.0	0.0	0.0	0.0
4	0.8576342	1.3540096	7.609322	0.042656977	500.0	0.06367479	0.02616562	0.14207831	-0.008758463	80000	1.8626451e-08	0.11834183	-0.0050996756	-0.042885397	1.3564423	0.007596865	0.0793125	127.0	113.39939522743225	0.0	0.0	0.0	0.0	0.0
5	3.6930823	2.9357057	13.485712	0.2209118	500.0	0.37313515	0.23894392	1.0291265	-0.09313781	96000	0.0	0.70453703	-0.007440469	-0.34874165	1.3564423	0.0065771705	0.0829375	127.0	137.00177788734436	0.0	0.0	0.0	0.0	0.0
6	4.5296	2.8524227	13.31226	1.6248739	500.0	1.2810264	0.7051177	2.7088506	-0.13191092	112000	-2.2351742e-08	0.5082725	-0.009687973	-0.05261183	1.3564423	0.010644975	0.12243751	127.0	159.80215406417847	0.0	0.0	0.0	0.0	0.0
7	5.2835593	3.7743673	13.948335	1.0598861	500.0	1.551594	0.65231526	2.5175328	-0.036177255	128000	0.0	0.96387637	-0.008317697	-0.1937263	1.3564423	0.007119122	0.0816875	127.0	184.12768983840942	0.0	0.03125	0.0	0.0	0.0
8	10.152075	4.930265	20.484545	2.0773656	500.0	1.543676	0.62333846	2.4399498	-0.006434262	144000	-2.2351742e-08	2.447069	-0.0074398937	-0.95314276	1.3564423	0.007775764	0.08006249	127.0	205.02466249465942	0.0	0.0	0.0	0.0	0.0
9	16.369469	3.4888852	22.150778	7.0945773	500.0	2.5087962	0.9697917	3.9184856	0.015279226	160000	-1.21071935e-08	3.058586	-0.010108413	-1.8315824	1.3564423	0.0057584504	0.08481251	127.0	225.2624068260193	0.0	0.0	0.0	0.0	0.0
10	20.789618	6.0079536	33.552402	7.5393915	500.0	3.8710327	1.346987	5.4010096	0.14383785	176000	3.3527613e-08	3.5029235	-0.00863849	-1.2483974	1.3564423	0.0060403	0.0776875	127.0	248.0316517353058	0.0	0.03125	0.0	0.0	0.0
11	21.039055	5.147774	30.178438	9.8842325	500.0	5.017041	1.6461885	6.6456766	0.18439837	192000	1.4901161e-08	1.7272387	-0.008623072	-0.07030375	1.3564423	0.0068349987	0.064687505	127.0	272.95835733413696	0.0	0.09375	0.0	0.0	0.0
12	25.208035	6.745093	46.297638	13.99321	500.0	5.303341	1.5613914	6.7401886	0.49219373	208000	-1.1175871e-08	3.3980641	-0.007633142	-0.5697522	1.3564423	0.006070428	0.0623125	127.0	294.83332562446594	0.0	0.0625	0.0	0.0	0.0
13	27.046211	5.327029	35.91853	16.881157	500.0	6.091009	1.5631627	7.2711253	0.5961348	224000	1.8626451e-09	2.0351477	-0.0087969955	-0.13197525	1.3564423	0.0072462517	0.066874996	127.0	316.52606558799744	0.0	0.1875	0.0	0.0	0.0
14	29.399742	6.8329277	44.834694	18.246246	500.0	6.44095	1.5199109	7.636563	0.9216058	240000	2.9802322e-08	2.9321868	-0.0076815346	-0.25858703	1.3564423	0.005632723	0.058749996	127.0	340.1236991882324	0.0	0.28125	0.0	0.0	0.0
15	32.89354	4.1492386	39.312634	22.692299	500.0	6.8988705	1.4905072	8.1200075	1.295997	256000	-5.5879354e-09	1.800096	-0.009339447	-0.49541396	1.3564423	0.0073485505	0.0763125	127.0	360.8280973434448	0.0	0.1875	0.0	0.0	0.0
16	32.39003	6.4581327	46.61435	21.922565	500.0	7.516048	1.5917847	8.789292	1.3588716	272000	1.4901161e-08	2.2543912	-0.007517133	-0.11242647	1.3564423	0.00582986	0.056687497	127.0	388.83773946762085	0.0	0.28125	0.0	0.0	0.0
17	35.627663	6.1297626	55.511852	19.21333	500.0	7.6041403	1.4636252	8.870963	2.0280879	288000	-1.3038516e-08	2.7573724	-0.006828515	-0.2866219	1.3564423	0.0061020693	0.058000002	127.0	421.3002200126648	0.0	0.1875	0.0	0.0	0.0
18	34.817924	6.5421543	44.63099	18.891367	500.0	8.055859	1.4627756	9.29029	2.226415	304000	-1.4901161e-08	1.9360685	-0.00782693	-0.08207828	1.3564423	0.0062831603	0.06075	127.0	453.5300016403198	0.0	0.28125	0.0	0.0	0.0
19	36.46573	5.5471816	46.224705	25.253351	500.0	8.138297	1.4351908	9.362193	2.3285694	320000	-3.5390258e-08	1.4050218	-0.008439537	-0.14000484	1.3564423	0.0062061967	0.058375	127.0	474.4470925331116	0.0	0.09375	0.0	0.0	0.0
20	37.42922	6.8911514	45.25342	25.286476	500.0	8.249355	1.4002908	9.669505	2.6829498	336000	-1.4901161e-08	1.8922604	-0.008164177	-0.30287522	1.3564423	0.0054473467	0.0664375	127.0	498.3396849632263	0.0	0.15625	0.0	0.0	0.0
