Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.025577888	0.018439433	0.07310113	0.006183693	500.0	-0.2587616	0.02758192	-0.22157753	-0.42359483	16000	-5.401671e-08	0.05077468	-0.0047464543	-0.048682436	1.3564423	0.0054784347	0.052500002	127.0	22.775581121444702	0.0	0.0	0.0	0.0	0.0
1	0.06353453	0.08703386	0.4835368	0.0060844375	500.0	-0.03237995	0.02941003	0.024729095	-0.11912051	32000	3.1664968e-08	0.0013866841	-0.0073006097	-0.00092063117	1.3564423	0.005579113	0.0920625	127.0	41.944631814956665	0.0	0.0	0.0	0.0	0.0
2	0.12987226	0.14162734	0.7064819	0.008536007	500.0	0.013604763	0.017318781	0.043936767	-0.06130466	48000	-2.9802322e-08	0.0012161701	-0.0077232635	-0.00035256322	1.3564423	0.0056580724	0.088874996	127.0	62.700923204422	0.0	0.0	0.0	0.0	0.0
3	0.5334433	0.5822022	2.847089	0.023800105	500.0	0.03669513	0.015154049	0.081140205	-0.040653944	64000	-1.4901161e-08	0.025876034	-0.005850411	-0.00959919	1.3564423	0.00767971	0.0794375	127.0	82.19645595550537	0.0	0.0	0.0	0.0	0.0
4	1.7666571	1.5030653	7.1812196	0.09058824	500.0	0.1528277	0.06974673	0.33158997	-0.0004158914	80000	1.1175871e-08	0.19016296	-0.005593027	-0.07912421	1.3564423	0.0061767083	0.068312496	127.0	103.16147994995117	0.0	0.0	0.0	0.0	0.0
5	4.1547794	2.5516334	10.108594	1.2672769	500.0	0.46341082	0.18489183	1.0014874	0.014715798	96000	5.2154064e-08	0.67126316	-0.007912941	-0.33224446	1.3564423	0.006530117	0.075187504	127.0	126.01467251777649	0.0	0.0	0.0	0.0	0.0
6	6.655282	4.3859305	20.82686	1.6133155	500.0	1.1155286	0.5316999	2.1372058	-0.18539059	112000	1.4901161e-08	1.3375732	-0.01004814	-0.41975644	1.3564423	0.0093374355	0.113562495	127.0	150.03541326522827	0.0	0.0	0.0	0.0	0.0
7	11.457684	4.8081455	22.204311	3.8612401	500.0	1.970458	0.86694396	3.3695388	-0.3112946	128000	-5.3085387e-08	2.0392528	-0.009000011	-0.7990532	1.3564423	0.0067897546	0.095312506	127.0	169.90939450263977	0.0	0.0	0.0	0.0	0.0
8	15.951099	5.047613	28.201046	4.9671454	500.0	3.0740817	1.192868	4.843198	-0.46368575	144000	0.0	2.476643	-0.007961729	-0.84700906	1.3564423	0.006041721	0.0764375	127.0	189.83689618110657	0.0	0.0625	0.0	0.0	0.0
9	18.688625	4.1514597	27.272375	9.995807	500.0	4.0087466	1.4015528	5.552031	-0.3375939	160000	-2.2351742e-08	1.7000911	-0.008475678	-0.4576093	1.3564423	0.0045270454	0.0669375	127.0	210.6605658531189	0.0	0.0	0.0	0.0	0.0
10	20.092348	5.0732484	30.745712	11.969215	500.0	4.7267766	1.6984111	6.486008	-0.4079121	176000	-3.7252903e-09	1.6558063	-0.008236414	-0.16182864	1.3564423	0.0063055037	0.058125	127.0	231.77273964881897	0.0	0.03125	0.0	0.0	0.0
11	24.175608	5.1879187	34.130474	12.676443	500.0	5.004511	1.462407	6.551937	0.5297027	192000	-2.2351742e-08	2.1719718	-0.008767411	-0.5838748	1.3564423	0.0061546564	0.06425	127.0	253.27926659584045	0.0	0.0625	0.0	0.0	0.0
12	24.055895	4.7173862	32.809753	15.016358	500.0	5.7798495	1.5794768	7.342314	0.6132813	208000	0.0	1.2985864	-0.008570673	-0.06538749	1.3564423	0.0067231124	0.0656875	127.0	273.28611397743225	0.0	0.0625	0.0	0.0	0.0
13	27.049503	4.1918087	39.358986	16.976519	500.0	5.8675613	1.4240443	7.4366703	0.9947762	224000	-2.7939677e-08	1.3642075	-0.009396107	-0.2514714	1.3564423	0.0063975407	0.0670625	127.0	296.1262834072113	0.0	0.1875	0.0	0.0	0.0
14	26.786541	6.205885	38.389038	14.47138	500.0	6.3360443	1.4403193	8.03603	1.3320112	240000	3.7252903e-09	1.8610972	-0.008223178	-0.12504275	1.3564423	0.0059381877	0.0595	127.0	318.40315318107605	0.0	0.0625	0.0	0.0	0.0
15	29.721691	6.67782	42.797203	17.561195	500.0	6.397044	1.2994152	7.9180145	1.7093797	256000	0.0	2.2720509	-0.00937495	-0.24996367	1.3564423	0.0068850615	0.070125	127.0	339.9359564781189	0.0	0.125	0.0	0.0	0.0
16	29.469477	5.025041	40.87631	18.2492	500.0	6.6566014	1.208158	8.219617	1.8595008	272000	1.1175871e-08	1.29537	-0.007639732	-0.11093603	1.3564423	0.0050936304	0.0573125	127.0	361.3723475933075	0.0	0.0	0.0	0.0	0.0
17	32.43691	6.0895286	49.539852	17.533226	500.0	6.9838634	1.4326388	8.610793	1.530031	288000	0.0	2.137047	-0.00842957	-0.20510626	1.3564423	0.006907008	0.0744375	127.0	380.79262828826904	0.0	0.1875	0.0	0.0	0.0
18	33.16896	5.362475	42.033386	20.326624	500.0	7.3641086	1.3272724	8.764888	2.0965154	304000	-2.2351742e-08	1.4131789	-0.009301803	-0.107302286	1.3564423	0.00812917	0.071	127.0	402.32797265052795	0.0	0.25	0.0	0.0	0.0
19	36.44537	5.6349907	46.90836	21.19989	500.0	7.617837	1.38208	8.928388	1.9689376	320000	1.3038516e-08	2.0029745	-0.008733166	-0.37281787	1.3564423	0.005052878	0.061874997	127.0	421.19693875312805	0.0	0.40625	0.0	0.0	0.0
20	34.978947	7.0038705	51.183014	21.814026	500.0	8.146311	1.355715	9.500591	2.589401	336000	3.7252903e-09	2.378727	-0.009402818	-0.107686564	1.3564423	0.0075638415	0.069562495	127.0	445.03823733329773	0.0	0.34375	0.0	0.0	0.0
21	37.345715	6.8119874	53.04639	25.124838	500.0	8.081624	1.4460832	9.526169	2.1926804	352000	-7.450581e-09	2.3926225	-0.008438569	-0.21757618	1.3564423	0.005714162	0.066	127.0	464.5163667201996	0.0	0.34375	0.0	0.0	0.0
22	38.31192	7.3997173	60.664158	23.329472	500.0	8.381534	1.4712107	9.804071	2.1509335	368000	0.0	2.778124	-0.008174008	-0.30582863	1.3564423	0.00464811	0.0626875	127.0	485.01858949661255	0.0	0.46875	0.0	0.0	0.0
23	40.190426	5.3740163	49.549206	27.419527	500.0	8.665877	1.4353249	10.062443	2.5485837	384000	-1.6763806e-08	1.6593409	-0.009791538	-0.22363093	1.3564423	0.0073344437	0.079624996	127.0	507.06441283226013	0.0	0.5	0.0	0.0	0.0
24	43.443687	8.059191	72.21118	31.191214	500.0	9.097119	1.5085206	10.479002	2.5658965	400000	-1.1175871e-08	4.000487	-0.008664693	-0.6212285	1.3564423	0.008015076	0.079624996	127.0	527.9331891536713	0.0	0.625	0.0	0.0	0.0
25	45.369038	11.444147	82.22814	30.422499	500.0	9.771574	1.6638253	11.099057	2.3225021	416000	0.0	7.3749933	-0.007815947	-1.3027788	1.3564423	0.0073181866	0.0808125	127.0	548.9006161689758	0.0	0.59375	0.0	0.0	0.0
26	43.554344	9.552286	85.51818	32.42746	500.0	10.377651	1.9739839	12.530936	2.4933345	432000	0.0	4.7147713	-0.00824991	-0.44150043	1.3564423	0.0088815745	0.080312505	127.0	569.4347636699677	0.0	0.4375	0.0	0.0	0.0
27	44.340286	7.903449	65.20129	28.544477	500.0	10.1398945	1.6754568	11.894503	3.6444118	448000	1.4901161e-08	3.4065025	-0.008651433	-0.2925594	1.3564423	0.007910162	0.084625	127.0	590.2521550655365	0.0	0.4375	0.0	0.0	0.0
28	46.386757	13.599242	94.5981	24.620945	500.0	10.175166	1.7487363	12.040244	2.6974509	464000	2.2351742e-08	8.692582	-0.0077196974	-0.9636345	1.3564423	0.0074249646	0.0750625	127.0	611.1100280284882	0.0	0.78125	0.0	0.0	0.0
29	44.37744	12.630369	84.509155	24.423357	500.0	10.607436	1.8874491	13.511622	2.3846908	480000	-7.450581e-09	7.1730976	-0.008384263	-0.5674914	1.3564423	0.0053537013	0.0678125	127.0	631.2457768917084	0.0	0.375	0.0	0.0	0.0
30	44.42224	4.9417243	52.841602	29.875208	500.0	10.36408	1.8698674	13.1331005	1.7969341	496000	2.6077032e-08	1.3382465	-0.009811548	-0.24920449	1.3564423	0.007830279	0.07825	127.0	652.6187942028046	0.0	0.5	0.0	0.0	0.0
31	50.490658	14.632376	92.45481	35.27445	500.0	10.6671	1.7907917	12.905129	2.5944562	512000	-1.3038516e-08	10.789059	-0.0068263793	-2.5722113	1.3564423	0.008560405	0.072375	127.0	673.8693101406097	0.0	0.59375	0.0	0.0	0.0
32	52.14424	14.705552	102.75393	36.435246	500.0	11.391229	2.2087157	15.46093	1.684593	528000	-1.1175871e-08	9.458519	-0.0073186522	-1.9294109	1.3564423	0.007396726	0.076812506	127.0	693.3418018817902	0.0	0.46875	0.0	0.0	0.0
33	49.553185	14.173831	105.19344	31.769758	500.0	11.61317	2.5646758	17.035183	1.9023643	544000	3.7252903e-09	5.6657915	-0.0077451672	-0.8252798	1.3564423	0.006768849	0.068624996	127.0	715.2070465087891	0.0	0.40625	0.0	0.0	0.0
34	52.172237	14.761511	104.04074	32.81961	500.0	12.030505	2.6829243	18.281534	2.570675	560000	1.4901161e-08	7.2657547	-0.008527029	-1.1213423	1.3564423	0.009081574	0.0824375	127.0	735.5635492801666	0.0	0.65625	0.0	0.0	0.0
35	53.52336	14.590421	109.93592	38.674744	500.0	11.71006	2.8873408	19.21987	2.380656	576000	-7.450581e-09	10.080969	-0.0068289386	-2.3217912	1.3564423	0.006110518	0.06075	127.0	756.5937674045563	0.0	0.6875	0.0	0.0	0.0
36	49.411865	10.680912	97.70942	35.782288	500.0	12.2566595	3.1015227	20.291208	3.3812943	592000	-2.7939677e-09	7.020091	-0.0077196616	-1.2343963	1.3564423	0.0067226915	0.064875	127.0	777.7379770278931	0.0	0.53125	0.0	0.0	0.0
37	53.398792	16.731617	106.64663	27.028261	500.0	12.566859	3.1799576	20.415964	2.837359	608000	0.0	10.502103	-0.008163977	-1.376441	1.3564423	0.007756589	0.077374995	127.0	798.8641273975372	0.0	0.625	0.0	0.0	0.0
38	50.58895	12.822181	102.7528	37.57754	500.0	12.876014	3.6542	21.402933	3.5297508	624000	7.450581e-09	10.109978	-0.008684657	-2.4456334	1.3564423	0.007113789	0.0785	127.0	818.232804775238	0.0	0.46875	0.0	0.0	0.0
39	50.46393	9.936937	93.47013	38.997234	500.0	11.89288	2.8525667	20.604002	2.305223	640000	-9.313226e-09	5.0767097	-0.007633451	-0.29262522	1.3564423	0.006245207	0.0636875	127.0	840.5528273582458	0.0	0.71875	0.0	0.0	0.0
40	53.81138	17.293882	115.556404	34.722603	500.0	12.44398	3.3664176	21.097622	2.9263952	656000	-3.7252903e-09	11.642476	-0.008932642	-1.6408998	1.3564423	0.007177648	0.083875	127.0	861.34153175354	0.0	0.71875	0.0	0.0	0.0
41	58.332005	22.314169	121.920944	38.95865	500.0	13.264877	3.9545584	22.463367	3.3581812	672000	3.7252903e-08	12.434405	-0.008630597	-3.4841347	1.3564423	0.007250578	0.07618749	127.0	883.7007853984833	0.0	0.84375	0.0	0.0	0.0
42	59.498325	19.032513	103.96932	39.02825	500.0	14.90294	5.093169	24.543839	3.804726	688000	1.4901161e-08	15.180558	-0.008764876	-1.7221801	1.3564423	0.0074043726	0.078999996	127.0	906.3538641929626	0.0	0.875	0.0	0.0	0.0
43	54.148872	13.41827	84.78658	33.742565	500.0	14.091557	4.7674804	25.471987	3.6594162	704000	-1.4901161e-08	12.993136	-0.009157991	-3.013692	1.3564423	0.0052732867	0.0763125	127.0	925.4720566272736	0.0	1.0	0.0	0.0	0.0
44	66.04117	24.45386	115.35775	39.154514	500.0	14.994353	5.128115	25.388426	3.5103655	720000	2.6077032e-08	20.7495	-0.010427046	-3.974237	1.3564423	0.007460598	0.082937494	127.0	947.7759671211243	0.0	0.96875	0.0	0.0	0.0
45	61.84772	18.836115	106.7092	34.734337	500.0	15.558512	5.482099	27.087572	2.5851688	736000	-1.4901161e-08	19.251076	-0.0073536737	-2.5861115	1.3564423	0.005341231	0.0589375	127.0	969.8972470760345	0.0	0.875	0.0	0.0	0.0
46	65.64403	21.07833	119.40694	34.228573	498.09375	15.581546	5.793845	27.69073	3.5271542	752000	5.5879354e-09	17.05172	-0.008761052	-2.646254	1.3564423	0.0072014784	0.073312506	127.0	990.4357719421387	0.0	0.84375	0.0	0.0	0.0
