Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.053267214	0.0388447	0.17903677	0.008942966	500.0	-0.24988034	0.024749082	-0.2181426	-0.414133	16000	2.4214387e-08	0.04901605	-0.00539649	-0.04671292	1.3564423	0.005748493	0.0641875	127.0	24.537705183029175	0.0	0.0	0.0	0.0	0.0
1	0.08594146	0.06187979	0.20673789	0.01709157	500.0	-0.029717445	0.027617453	0.024859764	-0.12495374	32000	-2.2351742e-08	0.0013682453	-0.0074644503	-0.0010191989	1.3564423	0.0054466287	0.084375	127.0	49.41044592857361	0.0	0.0	0.0	0.0	0.0
2	0.07250485	0.056362905	0.2390562	0.015262254	500.0	0.019147208	0.017137684	0.049817488	-0.057009038	48000	-7.450581e-09	0.0003502193	-0.00909595	-0.00018345464	1.3564423	0.0054066516	0.0773125	127.0	73.99632382392883	0.0	0.0	0.0	0.0	0.0
3	0.068781435	0.049324494	0.22087024	0.015280626	500.0	0.02292463	0.012164817	0.060102984	-0.049292527	64000	-7.450581e-09	0.0002765127	-0.007377604	-0.00014111667	1.3564423	0.006228556	0.07775	127.0	96.59234476089478	0.0	0.0	0.0	0.0	0.0
4	0.0650197	0.051133364	0.21850285	0.013892763	500.0	0.024558475	0.010503545	0.055698454	-0.02572617	80000	1.8626451e-08	0.000256553	-0.007100641	-0.00013823141	1.3564423	0.006916155	0.06275	127.0	118.63711357116699	0.0	0.0	0.0	0.0	0.0
5	0.053313814	0.041778013	0.210356	0.01106008	500.0	0.02457375	0.00897384	0.050570033	0.0014814809	96000	-4.8428774e-08	0.00015541844	-0.008063655	-9.481098e-05	1.3564423	0.0053287847	0.06568751	127.0	141.8697726726532	0.0	0.0	0.0	0.0	0.0
6	0.0760546	0.047041435	0.21102908	0.009568498	500.0	0.021720277	0.009039086	0.0458989	0.0025318563	112000	0.0	8.783149e-05	-0.008615446	-3.781796e-05	1.3564423	0.0067076683	0.0674375	127.0	165.22277522087097	0.0	0.0	0.0	0.0	0.0
7	0.084365115	0.05170995	0.19726324	0.026377259	500.0	0.02429598	0.008067464	0.046807364	0.008009076	128000	-9.313226e-10	9.131986e-05	-0.008421345	-2.6323534e-05	1.3564423	0.0063120928	0.07431249	127.0	188.41198444366455	0.0	0.0	0.0	0.0	0.0
8	0.10012591	0.061364733	0.34130192	0.026899224	500.0	0.024762977	0.008158345	0.045275062	-0.03360538	144000	3.3527613e-08	0.00012999038	-0.0075842855	-5.5947014e-05	1.3564423	0.0067264973	0.0815625	127.0	211.02124977111816	0.0	0.0	0.0	0.0	0.0
9	0.12678434	0.084042616	0.3384374	0.028117612	500.0	0.02664894	0.007393858	0.05529905	0.008256875	160000	-1.1175871e-08	0.00029118406	-0.0060503925	-9.787183e-05	1.3564423	0.005527527	0.0643125	127.0	234.12226605415344	0.0	0.0	0.0	0.0	0.0
10	0.15669698	0.14794336	0.70041966	0.035881035	500.0	0.031226143	0.010975277	0.08946767	0.008129545	176000	2.2351742e-08	0.00097158365	-0.006422743	-0.00045612542	1.3564423	0.0063765943	0.0704375	127.0	256.260231256485	0.0	0.0	0.0	0.0	0.0
11	0.17416976	0.14064161	0.56892514	0.035430834	500.0	0.042613536	0.030695233	0.19726002	-0.0050156713	192000	-7.450581e-09	0.0011686662	-0.007949106	-0.00044066604	1.3564423	0.0068700453	0.091562495	127.0	278.68375301361084	0.0	0.0	0.0	0.0	0.0
12	1.004504	1.1431371	5.0170007	0.03584571	500.0	0.09093666	0.08207927	0.29465076	-0.009689674	208000	1.8626451e-09	0.10516991	-0.0042210678	-0.054656044	1.3564423	0.006263633	0.058125	127.0	301.2028193473816	0.0	0.0	0.0	0.0	0.0
13	1.2209167	1.1643071	4.260946	0.03909275	500.0	0.2895144	0.2986014	0.9715898	-0.052195504	224000	1.1175871e-08	0.06648927	-0.007558626	-0.017941147	1.3564423	0.0077793426	0.089125	127.0	328.07234954833984	0.0	0.0	0.0	0.0	0.0
14	3.6574695	3.3729558	14.573093	0.097810656	500.0	0.57506055	0.4350373	1.3371421	-0.040569805	240000	7.450581e-09	0.9087481	-0.006442852	-0.33087564	1.3564423	0.008216123	0.070625	127.0	358.5720670223236	0.0	0.0	0.0	0.0	0.0
15	4.4303265	4.6567426	19.221474	0.1380168	500.0	0.91746616	0.72388035	2.3147435	-0.14275537	256000	-1.4901161e-08	1.1412132	-0.007570294	-0.35539848	1.3564423	0.0073372405	0.092187494	127.0	390.6560900211334	0.0	0.0625	0.0	0.0	0.0
16	8.958458	5.1834464	21.34266	0.047174226	500.0	1.6481856	1.2726787	4.337058	-0.17287335	272000	2.9802322e-08	1.9113626	-0.008126599	-0.93206954	1.3564423	0.007234901	0.077625	127.0	412.899582862854	0.0	0.0625	0.0	0.0	0.0
17	11.91206	4.2729945	19.605436	1.4879	500.0	2.954296	1.941347	6.0279446	-0.36784828	288000	1.4901161e-08	1.2844031	-0.008377852	-0.29537928	1.3564423	0.007294888	0.077875	127.0	435.88450050354004	0.0	0.0	0.0	0.0	0.0
18	13.372948	4.9806046	26.599125	4.1245804	500.0	3.5475826	2.0827892	6.376871	-0.22677457	304000	-3.7252903e-09	1.6593927	-0.008211145	-0.26766998	1.3564423	0.0064981626	0.0744375	127.0	458.4872455596924	0.0	0.0	0.0	0.0	0.0
19	13.415777	5.3457103	24.401058	3.773945	500.0	4.0298486	2.236704	6.509489	-0.50581676	320000	0.0	1.8568037	-0.008703848	-0.28003123	1.3564423	0.0051302463	0.06837501	127.0	479.9576199054718	0.0	0.15625	0.0	0.0	0.0
20	15.191591	5.256866	26.498196	5.1797066	500.0	3.8893156	2.0250256	6.5591307	-0.19297558	336000	-3.7252903e-09	1.6494324	-0.008117402	-0.14252701	1.3564423	0.00589578	0.069437504	127.0	503.7120563983917	0.0	0.0625	0.0	0.0	0.0
21	16.95792	4.445926	25.636465	9.849501	500.0	4.174279	2.0396144	6.5913777	0.0034259222	352000	1.4901161e-08	1.2512786	-0.0090478435	-0.14802964	1.3564423	0.007420849	0.073	127.0	529.3647241592407	0.0	0.0625	0.0	0.0	0.0
22	17.411968	4.5747495	27.754368	11.238933	500.0	4.5755925	2.0275223	6.8349633	-0.26249424	368000	7.450581e-09	1.3141391	-0.008049976	-0.14677575	1.3564423	0.006169444	0.059250005	127.0	553.4836494922638	0.0	0.125	0.0	0.0	0.0
23	20.59362	3.1346793	28.019014	13.92983	500.0	4.491478	1.7454103	6.5658545	0.0030368268	384000	-1.0244548e-08	1.1635714	-0.009087409	-0.35481262	1.3564423	0.0056849336	0.071875006	127.0	575.374781370163	0.0	0.03125	0.0	0.0	0.0
24	21.79517	5.111722	33.059303	12.148341	500.0	5.081887	2.0284407	7.4007053	-0.32796466	400000	-2.6077032e-08	1.786227	-0.008304488	-0.30320197	1.3564423	0.0064974725	0.05775	127.0	598.9495422840118	0.0	0.03125	0.0	0.0	0.0
25	21.745289	4.271621	30.270887	14.2328415	500.0	5.4013805	1.9850006	7.84694	-0.007838845	416000	1.1175871e-08	1.3695962	-0.007774568	-0.17760126	1.3564423	0.006480729	0.060375	127.0	622.5465226173401	0.0	0.28125	0.0	0.0	0.0
26	25.04377	3.3288774	31.792274	18.536438	500.0	5.3541555	2.0468726	8.100323	-0.26979986	432000	-1.1175871e-08	1.3188028	-0.0084004495	-0.46157426	1.3564423	0.006171194	0.067625	127.0	644.3526005744934	0.0	0.25	0.0	0.0	0.0
27	25.411758	4.4293585	35.34912	13.596255	500.0	6.0757732	2.283167	8.929751	-0.2955206	448000	1.8626451e-09	1.3029325	-0.009603123	-0.15869315	1.3564423	0.007941457	0.0746875	127.0	667.0262274742126	0.0	0.25	0.0	0.0	0.0
28	24.487846	5.109062	37.035343	14.758383	500.0	6.209241	2.1824458	9.041495	-0.09895386	464000	1.6763806e-08	1.3800745	-0.0100769065	-0.22988181	1.3564423	0.0069733076	0.0744375	127.0	690.5136578083038	0.0	0.25	0.0	0.0	0.0
29	24.629429	5.784909	40.207924	13.501809	500.0	6.0468473	2.0026462	8.429072	0.2386166	480000	-1.4901161e-08	1.9700446	-0.009655127	-0.15347034	1.3564423	0.005852458	0.0645625	127.0	713.5113542079926	0.0	0.125	0.0	0.0	0.0
30	26.74793	5.5350914	40.973335	12.699459	500.0	6.1096735	1.9568162	8.208256	0.208884	496000	-1.8626451e-08	1.8152878	-0.008199809	-0.20947398	1.3564423	0.006215595	0.055437498	127.0	736.5846829414368	0.0	0.21875	0.0	0.0	0.0
31	26.574936	4.5816293	33.773174	13.237016	500.0	6.3507285	1.9711342	8.412783	0.41630268	512000	2.7939677e-08	1.3837821	-0.008480981	-0.19172025	1.3564423	0.0068907803	0.0593125	127.0	762.1863577365875	0.0	0.25	0.0	0.0	0.0
32	28.556164	5.342114	37.656994	16.515638	500.0	6.454636	2.0760748	8.880158	0.3772342	528000	0.0	1.9136809	-0.0085269045	-0.2656711	1.3564423	0.007171692	0.073750004	127.0	786.9645798206329	0.0	0.40625	0.0	0.0	0.0
33	27.684158	6.00133	37.844376	12.707679	500.0	6.804342	2.1752462	9.155096	0.39223725	544000	-1.1175871e-08	2.0709856	-0.008216037	-0.19942804	1.3564423	0.005816467	0.0635	127.0	810.282993555069	0.0	0.28125	0.0	0.0	0.0
34	29.030134	5.613242	41.079567	17.255877	500.0	6.7777357	2.1444325	9.27622	0.6311614	560000	0.0	1.7770529	-0.009416467	-0.20968062	1.3564423	0.0059652557	0.062562495	127.0	837.7618069648743	0.0	0.375	0.0	0.0	0.0
35	28.51067	5.728782	37.8204	14.249245	500.0	6.933877	2.1555133	9.441304	0.7799009	576000	2.0489097e-08	1.8843104	-0.00960606	-0.14275232	1.3564423	0.008314711	0.0765	127.0	869.1538503170013	0.0	0.15625	0.0	0.0	0.0
36	29.675627	5.542641	45.47377	17.341457	500.0	6.925485	2.2037978	9.657567	0.88296527	592000	2.0489097e-08	1.5967622	-0.009252911	-0.2621439	1.3564423	0.0075548114	0.0709375	127.0	898.8228757381439	0.0	0.25	0.0	0.0	0.0
37	28.196852	5.551428	40.306572	14.244747	500.0	7.0621533	2.3117478	10.003545	0.7686994	608000	1.4901161e-08	1.2986574	-0.007997206	-0.28323317	1.3564423	0.0056031784	0.062374998	127.0	922.4275259971619	0.0	0.1875	0.0	0.0	0.0
38	31.429976	8.374408	55.451958	16.666422	500.0	7.0374217	2.2497365	9.602795	0.6189316	624000	-3.7252903e-09	4.2103477	-0.0073179295	-1.8117741	1.3564423	0.0060234223	0.0639375	127.0	944.8149740695953	0.0	0.28125	0.0	0.0	0.0
39	30.7524	5.2365756	39.903767	15.516763	500.0	7.8156514	2.506962	11.786144	0.63291323	640000	2.4214387e-08	1.9235406	-0.010190651	-0.7007112	1.3564423	0.00735119	0.070062496	127.0	969.3062963485718	0.0	0.21875	0.0	0.0	0.0
40	32.76438	6.8046265	55.31998	20.59937	500.0	7.45009	2.302958	10.50558	1.366453	656000	-7.450581e-09	2.2133656	-0.009244266	-0.25785205	1.3564423	0.0057038935	0.084875	127.0	994.7629225254059	0.0	0.375	0.0	0.0	0.0
41	33.2529	5.781108	49.603535	21.04219	500.0	7.760336	2.3495226	11.051516	1.5846107	672000	0.0	1.7752289	-0.007931899	-0.201172	1.3564423	0.0062650554	0.0711875	127.0	1019.2144901752472	0.0	0.40625	0.0	0.0	0.0
42	32.433365	7.0690956	61.67911	19.553856	500.0	8.059532	2.2894938	10.910825	1.9748993	688000	-3.3527613e-08	2.0625165	-0.009863739	-0.29603	1.3564423	0.007741493	0.071875006	127.0	1042.231367111206	0.0	0.25	0.0	0.0	0.0
