Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.09053966	0.10904778	0.42892966	0.008118603	500.0	-0.27302235	0.023414662	-0.23772173	-0.4060465	16000	-8.754432e-08	0.060488332	-0.006916003	-0.057218224	1.3564423	0.0062734215	0.081625	127.0	24.072202682495117	0.0	0.0	0.0	0.0	0.0
1	0.17207158	0.2125835	0.9655439	0.012990514	500.0	-0.015746891	0.02587154	0.03662067	-0.11339395	32000	4.4703484e-08	0.004173547	-0.005489363	-0.0018060883	1.3564423	0.0040214546	0.059625	127.0	47.84481930732727	0.0	0.0	0.0	0.0	0.0
2	0.25918385	0.29316375	1.3569239	0.014761116	500.0	0.034240026	0.014585907	0.06981793	-0.05639173	48000	-9.313226e-10	0.0054656826	-0.005683464	-0.0017192813	1.3564423	0.0040295124	0.055124998	127.0	70.43078112602234	0.0	0.0	0.0	0.0	0.0
3	1.3416567	2.2634559	8.9221945	0.023541102	500.0	0.06951899	0.03361222	0.16659586	-0.05011431	64000	3.7252903e-09	0.34936363	-0.004919571	-0.13347223	1.3564423	0.0073832567	0.0533125	127.0	95.02335286140442	0.0	0.0	0.0	0.0	0.0
4	4.036516	3.7853234	12.302398	0.08834404	500.0	0.5012702	0.29540092	1.3028535	-0.14415748	80000	-3.7252903e-09	1.0286386	-0.006142838	-0.4179144	1.3564423	0.008149091	0.0865625	127.0	117.57425022125244	0.0	0.0	0.0	0.0	0.0
5	5.163857	3.0899923	14.565488	0.5407368	500.0	1.2834399	0.7522078	2.9508216	-0.50506705	96000	1.4901161e-08	0.68291855	-0.009631231	-0.12388246	1.3564423	0.008109303	0.12	127.0	140.31949186325073	0.0	0.0	0.0	0.0	0.0
6	5.641805	3.8940787	16.29921	0.33428374	500.0	1.6851848	0.8719365	3.3357635	-0.31901863	112000	2.2351742e-08	0.9235798	-0.0089786025	-0.1326841	1.3564423	0.008987701	0.080937505	127.0	162.23382186889648	0.0	0.0	0.0	0.0	0.0
7	9.12706	5.3318357	21.602839	1.7999701	500.0	1.9329138	0.93706584	3.4209366	-0.23638093	128000	1.5832484e-08	1.9868233	-0.007731624	-0.5053494	1.3564423	0.007874092	0.087875	127.0	185.2796561717987	0.0	0.0625	0.0	0.0	0.0
8	13.86211	5.6787987	26.613674	0.3733599	500.0	2.6441207	1.005553	4.4058385	0.17989355	144000	1.6763806e-08	2.8031511	-0.006770166	-0.77310276	1.3564423	0.0056764088	0.0661875	127.0	208.31462383270264	0.0	0.0	0.0	0.0	0.0
9	15.293695	4.144068	23.71889	7.41184	500.0	3.4898505	1.1928301	5.5848737	0.25591838	160000	5.5879354e-09	1.9547993	-0.007599079	-0.28818277	1.3564423	0.0046391124	0.063562505	127.0	229.79996252059937	0.0	0.0	0.0	0.0	0.0
10	17.055416	5.0904737	26.226551	8.089303	500.0	3.9527128	1.308319	6.3024707	0.17760964	176000	1.0244548e-08	2.0297275	-0.007095069	-0.34464005	1.3564423	0.005212349	0.055625	127.0	253.61246132850647	0.0	0.03125	0.0	0.0	0.0
11	17.313597	5.3200064	27.04924	0.2991595	500.0	4.231541	1.1462356	6.314045	0.5518949	192000	5.5879354e-09	2.2105742	-0.007328731	-0.23277962	1.3564423	0.0060077487	0.05025	127.0	275.28345584869385	0.0	0.0	0.0	0.0	0.0
12	19.313698	5.5214424	30.188408	8.8941765	500.0	4.3844085	1.3302488	6.711759	0.38111562	208000	-7.450581e-09	2.4860816	-0.008057993	-0.40150255	1.3564423	0.007925259	0.057125	127.0	299.0343370437622	0.0	0.0	0.0	0.0	0.0
13	19.893501	7.4348574	34.412	6.6776085	500.0	4.61284	1.3940921	7.5880814	0.4051522	224000	-2.9802322e-08	2.760593	-0.006819315	-0.8745629	1.3564423	0.0057018	0.049374998	127.0	321.68885231018066	0.0	0.0625	0.0	0.0	0.0
14	20.588543	7.8966217	36.723732	7.4419713	500.0	4.8487115	1.7852318	9.560925	0.60418737	240000	1.1175871e-08	2.3994145	-0.0073668724	-0.7801014	1.3564423	0.0059869266	0.0635	127.0	344.91781759262085	0.0	0.34375	0.0	0.0	0.0
15	23.180126	7.268144	37.766514	9.413692	500.0	5.6839824	2.0683439	9.950214	0.38742188	256000	-2.2351742e-08	2.3020825	-0.007314293	-0.4175891	1.3564423	0.0052181	0.066874996	127.0	368.4371552467346	0.0	0.0625	0.0	0.0	0.0
16	23.861845	6.247751	34.875664	12.9184675	500.0	6.08804	2.2745798	10.914104	1.1033938	272000	7.450581e-09	2.0465508	-0.008352057	-0.63979286	1.3564423	0.008185438	0.072	127.0	391.6306481361389	0.0	0.34375	0.0	0.0	0.0
17	25.940636	7.692524	46.201893	11.511221	500.0	5.9713535	2.221655	10.3584795	1.3716236	288000	-1.1175871e-08	3.1122801	-0.009669958	-0.64986265	1.3564423	0.0077263163	0.08068751	127.0	415.3941979408264	0.0	0.3125	0.0	0.0	0.0
18	25.831167	7.0743146	44.938057	14.216894	500.0	5.889217	2.072566	11.086919	1.6733195	304000	0.0	1.7161585	-0.008452035	-0.34078196	1.3564423	0.0064834086	0.0686875	127.0	441.7939872741699	0.0	0.21875	0.0	0.0	0.0
