Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	Success	SuccessGrasp	SuccessLift	SuccessHover	StepsAtGoal
0	0.02862214	0.018488178	0.067950465	0.0057239723	500.0	-0.24417616	0.026900252	-0.21561706	-0.40553725	16000	9.49949e-08	0.045029894	-0.0049082153	-0.04282786	1.3564423	0.0063203503	0.065375	127.0	26.065107583999634	0.0	0.0	0.0	0.0	0.0
1	0.040957056	0.03726326	0.14184198	0.0032049639	500.0	-0.025987156	0.024775613	0.027637407	-0.11071555	32000	-1.1175871e-08	0.00083004544	-0.008045707	-0.00064198853	1.3564423	0.0065995157	0.116125	127.0	46.016719341278076	0.0	0.0	0.0	0.0	0.0
2	0.0807669	0.07211089	0.25528294	0.005327995	500.0	0.011614712	0.013174979	0.039707497	-0.045264207	48000	1.8626451e-09	0.00030564735	-0.009555124	-0.00010384672	1.3564423	0.006532962	0.102249995	127.0	65.6241705417633	0.0	0.0	0.0	0.0	0.0
3	0.15082124	0.2855135	1.6150256	0.006041036	500.0	0.023402378	0.010227474	0.056237616	-0.026624486	64000	7.450581e-09	0.0030825255	-0.006021244	-0.0009620107	1.3564423	0.0072920313	0.088250004	127.0	89.55055618286133	0.0	0.0	0.0	0.0	0.0
4	0.94437516	1.5283892	8.31727	0.053492006	500.0	0.06849691	0.028405199	0.16019425	-0.009550422	80000	-3.7252903e-09	0.15900312	-0.004726618	-0.058946714	1.3564423	0.00760592	0.07893749	127.0	111.18119025230408	0.0	0.0	0.0	0.0	0.0
5	4.45247	3.5087419	14.255664	0.28368035	500.0	0.4331649	0.28329813	1.1936966	-0.14168152	96000	3.7252903e-09	1.0574054	-0.0076521058	-0.5263407	1.3564423	0.0066364543	0.0829375	127.0	132.0300965309143	0.0	0.0	0.0	0.0	0.0
6	5.445801	3.3186767	13.389774	1.4063877	500.0	1.479061	0.8469711	3.112454	-0.2519754	112000	-7.450581e-09	0.7190141	-0.010234229	-0.09032556	1.3564423	0.010316064	0.124375	127.0	153.40702986717224	0.0	0.0	0.0	0.0	0.0
7	6.8846498	4.7350407	21.433935	1.1958656	500.0	1.8236647	0.8159351	3.0433125	-0.2077638	128000	3.7252903e-09	1.4319396	-0.009116961	-0.26649398	1.3564423	0.006507067	0.082375	127.0	176.01707458496094	0.0	0.0	0.0	0.0	0.0
8	13.03837	5.6154184	24.145441	2.918317	500.0	1.9729269	0.85258687	3.3198981	-0.1282835	144000	-2.4214387e-08	3.6702487	-0.007906401	-1.540552	1.3564423	0.0076870346	0.083937496	127.0	196.8674066066742	0.0	0.03125	0.0	0.0	0.0
9	17.19901	3.4164839	24.23214	8.915303	500.0	3.2390382	1.2737253	4.8741655	-0.1419265	160000	-1.0244548e-08	2.0800476	-0.010522986	-0.89890695	1.3564423	0.0061558876	0.086500004	127.0	218.01017379760742	0.0	0.03125	0.0	0.0	0.0
10	19.991451	4.7475796	31.680243	7.24259	500.0	4.2662587	1.4810358	5.787324	0.05884426	176000	-2.9802322e-08	1.9797857	-0.008729687	-0.42127407	1.3564423	0.007001289	0.0695	127.0	240.17625856399536	0.0	0.0	0.0	0.0	0.0
11	20.910706	4.63052	28.870695	12.1747	500.0	4.971151	1.5075707	6.432757	0.35410205	192000	1.3038516e-08	1.6029396	-0.008762162	-0.06972691	1.3564423	0.005188544	0.059687495	127.0	260.98727321624756	0.0	0.1875	0.0	0.0	0.0
